,"Реестр лицензий на розничную продажу алкогольной продукции организаций, осуществляющих деятельность на территории Сургутского района в 2012 году",,,,,,,,
83,О5,"Общество с ограниченной ответственностью ""Запсибпроминвест""  ИНН 8617023595    ","место нахождения юридического лица:  п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Автомобилистов, д. 11,  (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, пер. Таежный, д. 1 А, кулинария ""Глория"".","Р№ 003045,

31.03.2011 до
31.03.2014",  ,,,
84,12,Федоровское потребительское общество ИНН8617029300,"место нахождения юридического лица:  г.п. Федоровский, ул. Пионерная, д. 9, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
г.п. Федоровский, ул. Пионерная, д. 9, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, магазин ""Смешанные товары"".","Р№ 003052,

26.05.2011 до
26.05.2013",  ,,,
85,16,"Общество с ограниченной ответственностью ""Фатина"" ИНН 8602009774","место нахождения юридического лица:  пос. Солнечный, ул. Космонавтов, д. 36, Сургутского района Ханты-Мансийского автономного округа-Югры  (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
поселок Солнечный, ул. Космонавтов, д. 36, Сургутского района Ханты-Мансийского автономного округа-Югры , отдел ""Вино-водка"" в магазине №10.","Р№ 003056,

17.06.2011 до
17.06.2014",  ,,,
86,27,"Общество с ограниченной ответственностью Туристическая база ""СКОЛ - СЕРВИС"" ИНН 8617020153","место нахождения юридического лица:  Сургутский район  Ханты-Мансийского автономного округа-Югры Тюменской области, Западно - Сургутское месторождение, полигон ""СКОЛ"", строение 1, комната 54  (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
г. Сургут, пр. Мунарева, д. 4, Ханты-Мансийского автономного округа-Югры , Тюменской области, кафе на 48 посадочных мест.","Р№ 003067,

01.12.2011 до
01.12.2012",  ,,,
87,36,"Общество с ограниченной ответственностью ""Мечта"" ИНН 8617023517","место нахождения юридического лица:  пгт. Федоровский, ул. Ленина, д. 2/2, Сургутского района Ханты-Мансийского автономного округа-Югры  Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
пгт. Федоровский, ул. Ленина, д. 2/2, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, отдел ""Вино-водка"" в магазине ""Мечта""","Р№ 002895,

20.01.2012 до
20.01.2015",  ,,,
88,"42
","Общество с ограниченной ответственностью ""Сластена"" ИНН 8617004761","место нахождения юридического лица:  с. Локосово, ул. Центральная, дом 38, Сургутского района Ханты-Мансийского автономного округа-Югры  Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
г. Сургут, пр. Комсомольский, 48, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,  магазин  ""Продукты""","Р№ 006601,
30.03.2012 до
30.03.2013",  ,,,
89,"43 
","Общество с ограниченной ответственностью ""Северное Сияние"" ИНН 8617023316","место нахождения юридического лица:  поселок Солнечный, улица Энтузиастов, дом 4а, Сургутского района Ханты-Мансийского автономного округа-Югры  Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
пос. Солнечный, ул. Энтузиастов, 4а, Сургутского района Ханты-Мансийского автономного округа-Югры  Тюменской области,  магазин  ""Джабир""","Р№ 006602,
05.04.2012 до
05.04.2017",  ,,,
90,45,"Общество с ограниченной ответственностью ""ЭРА""                                     ИНН 8617029773","место нахождения юридического лица:  пгт. Федоровский, пер. Тюменский, д. 3, кв. 10, Сургутского района Ханты-Мансийского автономного округа-Югры  Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: 
пгт. Федоровский, ул. Московская, д.15, мкр. 4, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, магазин ""Магдалина - 1"" отдел ""Вино-водка"".","Р№ 006604,
02.05.2012 до
02.05.2013",,,,
91,56,"Общество с ограниченной ответственностью ""Арташ""                                                                 ИНН 8617029886","место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Эстонских дорожников, д. 26, к. 204 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта: городское поселение Лянтор, г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Эстонских дорожников, д. 26, минимаркет «Арташ».","Р№ 006615,
17.08.2012 до
17.08.2017",,,,
92,58,"Общество с ограниченной ответственностью ""Ласточка""                                                                 ИНН 8617024630","место нахождения юридического лица: пгт Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Лесная, д.17 А-9 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:   г.  Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, СНТ ""Кедровый Бор"", ул. Озерная № 1, «Магазин продуктовый и стройматериалы для дач». ","Р№ 006617,
23.08.2012 до
23.08.2013",,,,
93,60,"Общество с ограниченной ответственностью ""Елена""                                                                 ИНН 8617030659","место нахождения юридического лица: п Ульт - Ягун Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул.Школьная, д.1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:   сельское поселение Ульт - Ягун, п. Ульт - Ягун Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Школьная, д. 1, магазин продовольственных товаров ""Елена"". ","Р№ 006619,
20.09.2012 до
20.09.2017",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
