,"Реестр лицензий на розничную продажу алкогольной продукции организаций, осуществляющих деятельность на территории Сургутского района в 2012 году",,,,,,,,
19,"34
","Общество  с ограниченной ответственностью ""Магдалина""  ИНН 8617023242","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Московская, д. 15 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии- адреса мест нахождения объектов:
1. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, д. 27 Б, магазин ""Магдалина-2"";                                                                                                  2. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Пионерная, д. 49/2, магазин  ""Шанс-2"".  ","002893, Р№        30.12.2011до 14.07.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии № 14 от 08.06.2011
20,"3254
","Общество с ограниченной ответственностью ""Диана""  ИНН 8617023563","Место нахождения юридического лица:  пгт. Барсово Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Кубанская, д. 13 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                  пгт.  Барсово Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области, ул. Кубанская, д. 13, магазин ""Диана"";  ","413965,  Б       20.07.2006 до 20.07.2011
продлено до 20.07.2016",,,,
21,"3265
","Общество с ограниченной ответственностью ""Кура""  ИНН 8617023612","Место нахождения юридического лица:  пгт. Барсово Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Сосновый бор, д. 31, офис 18 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:  пгт.  Барсово Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,      ул. Сосновый бор, д. 31, магазин  № 18. ","413976,  Б      21.07.2006 до 21.07.2011
продлено до 21.07.2016",,,,
22,"3266
","Общество с ограниченной ответственностью ""Тимур""  ИНН 8617023154","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 3 микрорайон, строение 48 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции, Обратная сторона лицензии-  адрес места нахождения объекта:                                                                                г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 3 микрорайон, строение 48, магазин ""Каспий"".  ","413977,  Б    21.07.2006 до 21.07.2011
продлено до 21.07.2016",,,,
23,"3300
","Общество с ограниченной ответственностью ""Торговый центр Рассвет""  ИНН 8617023683","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 2 микрорайон, строение 35 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                          г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  2 микрорайон, строение 35, вино-водочный отдел в магазине ""Рассвет"".  ","413685,  Б    28.07.2006 до 28.07.2011
продлено ло 28.07.2013",,,,
24,"19
","Общество с ограниченной ответственностью ""ВИКИНГ""  ИНН 8617023387","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 4 микрорайон, д. 15, офис 16 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                                 г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Северная, строение 3, магазин ""Викинг"".  ","003059,  Р   15.07.2011 до 28.07.2011
продлено до 28.07.2016 ",,,,настоящая лицензия выдана в порядке переоформления лицензии № 3301 от 28.07.2006
25,"3323
","Общество с ограниченной ответственностью ""Восход""  ИНН 8617023997","Место нахождения юридического лица:  с. Угут Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Сибирская, д. 33 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                  с.  Угут Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,  ул. Сибирская, д. 33, магазин ""Смешанные товары"".  ","413713,  Б   31.07.2006 до 31.07.2011
продлено до 31.07.2013",,,,
26,"3369
","Общество с ограниченной ответственностью ""Весна""  ИНН 8617023490","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Есенина, д. 9 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адреса мест нахождения объектов:                                                                            1. пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,ул. Есенина, д. 9, магазин ""Весна"";                                                                                  2. пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 1 микрорайон, д. 5 А, магазин смешанных товаров ""Обь"".  ","413768,  Б  07.08.2006 до 19.06.2011    продлено до 19.06.2016",,,,
27,3480,"Общество с ограниченной ответственностью ""Аркадия""  ИНН 8617024246","Место нахождения юридического лица:  с. Угут Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Советская, д. 1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                с. Угут Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Совестская, д. 1,  магазин ""Аркадия"".  ","413886,  Б   31.08.2006 до 31.08.2011        продлено до 31.08.2016",,,,
28,"17
 ","Общество с ограниченной ответственностью ""Сибирь-Строй""  ИНН 8602242097","Место нахождения юридичекого лица:  поселок Барсово Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, улица Мостостроителей, дом 3 (адреса  мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адреса мест нахождения объектов:                                                                            1. Город Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, улица Мелик Карамова, дом 28/1, магазин ""Домино"";                                                                         2. Город Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, улица Мелик Карамова, дом 28/1,  бар ""Домино"".  ","003057, Р№ от 28.06.2011 до 21.07.2011 продлено до
21.07.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии № 3541 от 20.09.2006
