Зубово-Полянский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
,,,,,"магазин  с. Зарубкино,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Каргал, ул. Школьная, 25,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Кисилевка,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Журавкино,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Морд-Пимбур, ул. Центральная, 6,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Морд-Поляна,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Новые Выселки, ул. Нововыселская, 86а,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Новое Бадиково, ул. Советская, 1,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Новое Бадиково,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Покров-Селищи, ул. Монастырская, 52,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Пичпанда, ул. Московская, 7,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Поповка,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Подлясово,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Старое Бадиково, ул. Центральная, 105а,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Булдыгино, ул. Центральная, 40,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Ширингуши, ул. Рабочая, 52,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Уголок, ул. Центральная, 21,  З.Полянский район;",,,,,,
,,,,,"магазин  с. Вад. Сосновка, Зубово-Полянский район;",,,,,,
,,,,,"магазин  с. Аким Сергеевка, (МСО), Зубово-Полянский район;",,,,,,
,,,,,"магазин  с. Тархан-Потьма, Зубово-Полянский район;",,,,,,
,,,,,"магазин  с. Новая Потьма, Зубово-Полянский район;",,,,,,
,,,,,"магазин ""У дороги"" п. Умет, ул. Советская, Зубово-Полянский район;",,,,,,
,,,,,"м-н с. Ширингуши, ул. Шоссейная, 19а, З.Полянский р-н",,,,,,
1,161,13 МЕ,"ООО ""Гурман"" п. З.Поляна, ул. Советская, 28",1308083410,"кафе ""Вдохновение"" п. З.Поляна, ул. Советская, 21а;",4,30/05/11,3-37-17,пр.6.05.11,Шибанова Вера Романовна,
,,001615,,1091308000013,"кафе ""Молодежное"" п. З.Поляна, ул. Ленинская, 12;",,30/01/14,,в.30.05.11,,
,,,,,"  кафе ""Уют"" п. З.Поляна, ул. Советская, 28;",,,,,,
,,,,,"кафе ""Валентина"" п. Умет, ул. Лесная, 1а, З.Полянский район",,,,,,
1,374,13 МЕ,"ООО ""Октан"" п. П.З.Поляна, ул. Фрунзе, 11",1308081526,"м-н п. З.Поляна, с. Аким Сергеевка (АЗС № 7)",6,15/11/11,2-51-79,,Пузырев Сергей Николаевич,
,,001850,,1021300658884,"кафе ""Незабудка""  с. Аким-Сергеевка, (АЗС №8)",,16/11/14,,,,
,,,,,"м-н с. Аким-Сергеевка (АЗС №*), З.Полянский район",,,,,,
,,,,,"м-н с. Н. Выселки, ул. Нововысельская (АЗС №3), З.Пол",,,,,,
,,,,,"м-н п. Явас, ул. Тактаева (АЗС №5), З.Полянский район",,,,,,
,,,,,"магазин, п. З.Поляна, ул. Ленинская, 5",,,,,,
