Наименование,Номер лицензии,Срок действия,Вид деятельности
"ООО ""Евролот Запад""",32 МЕ 003978,8/15/2016,Розничная продажа алкогольной продукции
"ООО ""Эдем""",32 МЕ 003533,8/5/2013,Розничная продажа алкогольной продукции
"ЗАО ""УК ""БМЗ""",32 МЕ 001691,9/27/2012,Розничная продажа алкогольной продукции
"ООО ""Акварель""",32 МЕ 001692,9/27/2012,Розничная продажа алкогольной продукции
"ОАО ""ЖТК""",32 МЕ 002882,10/1/2012,Розничная продажа алкогольной продукции
"ООО МПП ""НИКО""",32 МЕ 004080,6/1/2013,Розничная продажа алкогольной продукции
"ООО ""Колос""",32 МЕ 004093,10/4/2012,Розничная продажа алкогольной продукции
"ООО ""СТРОЙСЕРВИСТОРГ""",32 МЕ 002152,9/30/2013,Розничная продажа алкогольной продукции
"ООО ""Аленка""",32 МЕ 001704,10/11/2012,Розничная продажа алкогольной продукции
"ООО ""Садко""",32 МЕ 001705,10/17/2012,Розничная продажа алкогольной продукции
"ООО ""Сетевик""",32 МЕ 004140,6/21/2013,Розничная продажа алкогольной продукции
"ООО ""Старт""",32 МЕ 004159,6/26/2015,Розничная продажа алкогольной продукции
"ООО ""Сайка""",32 МЕ 003659,10/28/2012,Розничная продажа алкогольной продукции
"ООО ""ЮГАС""",32  МЕ 00427,5/24/2016,Розничная продажа алкогольной продукции
"ООО ""ВлаНа""",32 МЕ 002661,10/22/2014,Розничная продажа алкогольной продукции
"ООО ""СЛОН""",32 МЕ 002282,12/16/2013,Розничная продажа алкогольной продукции
"ООО ""БОГАРА""",32 МЕ 003680,11/10/2016,Розничная продажа алкогольной продукции
"ООО ""Елена""",32 МЕ 003574,6/9/2013,Розничная продажа алкогольной продукции
"ООО ""ИЗЮМ""",32 МЕ 001729,11/16/2012,Розничная продажа алкогольной продукции
"ООО ""Хлебокомбинат""",32 МЕ 003590,11/21/2012,Розничная продажа алкогольной продукции
"ООО ""Лидия""",32 МЕ 001735,11/22/2012,Розничная продажа алкогольной продукции
"ЗАО ""Кафе-бар ""Нептун""",32 МЕ 001739,11/26/2012,Розничная продажа алкогольной продукции
"ООО ""Грант""",32 МЕ 001740,11/26/2012,Розничная продажа алкогольной продукции
"ЗАО ""Растмасло""",32 МЕ 001927,11/27/2012,Розничная продажа алкогольной продукции
"ООО ""Дебрянск""",32 МЕ 001742,11/27/2012,Розничная продажа алкогольной продукции
"ООО ""Финтэкс ЛТД""",32 МЕ 004280,12/12/2012,Розничная продажа алкогольной продукции
Гриневское сельпо,32 МЕ 004244,11/29/2012,Розничная продажа алкогольной продукции
Почепское горпо,32 МЕ 001749,11/29/2012,Розничная продажа алкогольной продукции
Гордеевское райпо,32 МЕ004209,3/7/2017,Розничная продажа алкогольной продукции
"ООО ""Партнер""",32 МЕ 001752,12/4/2012,Розничная продажа алкогольной продукции
"ООО ""Звента""",32 МЕ 001753,12/4/2012,Розничная продажа алкогольной продукции
"ООО ""ОПС""",32 МЕ 004018,12/4/2012,Розничная продажа алкогольной продукции
"ООО ""Динамика""",32 МЕ 003724,12/2/2012,Розничная продажа алкогольной продукции
"ООО ""Тонус""",32 МЕ 004243,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Березка""",32 МЕ 002226,11/26/2013,Розничная продажа алкогольной продукции
"ООО ""Эдельвейс-Плюс""",32 МЕ 004184,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Юность +""",32 МЕ 003269,6/9/2014,Розничная продажа алкогольной продукции
"ООО ""Национальная кухня""",32 МЕ 001766,12/10/2012,Розничная продажа алкогольной продукции
"ООО ""Фипрафил""",32 МЕ 004105,3/28/2013,Розничная продажа алкогольной продукции
"ООО ""Мелодия Сервис""",32 МЕ 003608,12/1/2013,Розничная продажа алкогольной продукции
"ООО ""Коммерсант плюс""",32 МЕ 004293,3/2/2013,Розничная продажа алкогольной продукции
Чаусовское сельпо,32 МЕ 003253,12/13/2012,Розничная продажа алкогольной продукции
Комаричское поспо,32 МЕ 001804,12/17/2012,Розничная продажа алкогольной продукции
"ООО ""Лес""",32 МЕ 001821,12/19/2012,Розничная продажа алкогольной продукции
"ООО ""Ягер""",32 МЕ 003629,10/3/2014,Розничная продажа алкогольной продукции
"ООО ""Рассвет""",32 МЕ 003834,1/23/2017,Розничная продажа алкогольной продукции
"ООО ""Золотой бычок""",32 МЕ 002246,12/4/2013,Розничная продажа алкогольной продукции
Клетнянское райпо,32 МЕ 002195,12/19/2012,Розничная продажа алкогольной продукции
Севский РПС,32 МЕ 002720,12/7/2014,Розничная продажа алкогольной продукции
"ООО ""Продукты""",32 МЕ 001796,12/13/2012,Розничная продажа алкогольной продукции
