Наименование,Номер лицензии,Срок действия,Вид деятельности
"ООО ""Галатекс""",32 МЕ 003884,3/1/2013,Розничная продажа алкогольной продукции
"ООО ""Минимаркет""",32 МЕ 003289,6/20/2016,Розничная продажа алкогольной продукции
"ООО ""Галатея""",32 МЕ 003895,3/6/2013,Розничная продажа алкогольной продукции
"ООО ""Панорама""",32 МЕ 003891,3/2/2013,Розничная продажа алкогольной продукции
"ООО ""Пионер""",32 МЕ 003892,3/2/2013,Розничная продажа алкогольной продукции
"ООО ""РУБИН""",32 МЕ 003880,2/28/2013,Розничная продажа алкогольной продукции
"ООО ""Терра-1""",32 МЕ 003140,4/19/2014,Розничная продажа алкогольной продукции
"ООО ""Мечта""",32 МЕ 003681,3/11/2016,Розничная продажа алкогольной продукции
"ООО ""Для Вас""",32 МЕ 003057,3/14/2013,Розничная продажа алкогольной продукции
"ООО ""Русь Плюс""",32 МЕ 004111,6/15/2013,Розничная продажа алкогольной продукции
"ООО ""Бриз""",32 МЕ 003918,3/21/2013,Розничная продажа алкогольной продукции
"ООО ""Ресторатор""",32 МЕ 003073,3/18/2014,Розничная продажа алкогольной продукции
"ООО ""Ирина""",32 МЕ 003909,3/15/2013,Розничная продажа алкогольной продукции
"ООО ""Уголок""",32 МЕ 003915,3/21/2013,Розничная продажа алкогольной продукции
"МУП ""ОРС Кожановского торфобрикетного предприятия""",32 МЕ 003075,3/21/2013,Розничная продажа алкогольной продукции
"ООО ""Дареевск""",32 МЕ 003943,3/30/2013,Розничная продажа алкогольной продукции
"ООО ""Продуктовый ряд""",32 МЕ 003099,3/31/2014,Розничная продажа алкогольной продукции
"ООО ""Меркурий""",32 МЕ 003925,3/25/2013,Розничная продажа алкогольной продукции
"ООО""Бар-Сервис""",32 МЕ 003090,3/28/2014,Розничная продажа алкогольной продукции
"ООО ""Фиалка +""",32 МЕ 003937,3/29/2013,Розничная продажа алкогольной продукции
"ООО ""Сириус""",32 МЕ 003945,3/30/2013,Розничная продажа алкогольной продукции
"ООО ""Лесное""",32 МЕ 003946,3/30/2013,Розничная продажа алкогольной продукции
"ООО ""Татьяна""",32 МЕ 003976,4/18/2013,Розничная продажа алкогольной продукции
"ООО""ПК-СНАБ""",32 МЕ 003106,4/6/2014,Розничная продажа алкогольной продукции
"ООО ""Аметист""",32 МЕ 003109,4/8/2013,Розничная продажа алкогольной продукции
"ООО ""Мираж""",32 МЕ 003957,4/6/2013,Розничная продажа алкогольной продукции
"ООО ""Пиццерия""",32 МЕ 003960,4/10/2013,Розничная продажа алкогольной продукции
"ООО ""Встреча""",32 МЕ 004074,4/12/2013,Розничная продажа алкогольной продукции
"ООО ""Блицмаркет""",32 МЕ 003963,4/11/2013,Розничная продажа алкогольной продукции
"ООО ""КРИСТАЛЛ""",32 МЕ 003961,4/10/2013,Розничная продажа алкогольной продукции
"ООО ""Бартынь""",32 МЕ 004290,4/13/2013,Розничная продажа алкогольной продукции
"ООО ""Континент""",32 МЕ 003619,9/30/2012,Розничная продажа алкогольной продукции
"ООО ""ЛИПТ""",32 МЕ 003968,4/13/2013,Розничная продажа алкогольной продукции
"ООО ""Аурум""",32 МЕ 004352,4/13/2013,Розничная продажа алкогольной продукции
"ООО ""Профит""",32 МЕ 003134,4/19/2016,Розничная продажа алкогольной продукции
"ООО ""Солнце""",32 МЕ 003135,4/19/2013,Розничная продажа алкогольной продукции
"ООО ""СервисКомплекс""",32 МЕ 003975,4/18/2013,Розничная продажа алкогольной продукции
"ООО ""Ресторан""",32 МЕ 003152,4/26/2013,Розничная продажа алкогольной продукции
"ООО ""Транзит плюс""",32 МЕ 004000,4/28/2013,Розничная продажа алкогольной продукции
"ООО ""Содружество""",32 МЕ 003186,5/17/2014,Розничная продажа алкогольной продукции
"ООО ""Звезда""",32 МЕ 003566,8/23/2016,Розничная продажа алкогольной продукции
"ООО ""Анна""",32 МЕ 003999,4/28/2013,Розничная продажа алкогольной продукции
"ООО ""Галла""",32 МЕ 004003,4/28/2013,Розничная продажа алкогольной продукции
"ООО ""Светлана""",32 МЕ 004001,4/29/2013,Розничная продажа алкогольной продукции
"ООО ""Капелька""",32 МЕ 003167,5/6/2013,Розничная продажа алкогольной продукции
"ООО ""ТПК ""Славянский базар""",32 МЕ 004007,5/4/2013,Розничная продажа алкогольной продукции
"ООО ""Витали""",32 МЕ 004393,6/9/2016,Розничная продажа алкогольной продукции
"ООО ""АХТАМАР""",32 МЕ 004011,5/5/2014,Розничная продажа алкогольной продукции
"ООО ""Фламинго""",32 МЕ 004087,5/10/2013,Розничная продажа алкогольной продукции
"ООО ""Онлайн""",32 МЕ 004017,5/5/2013,Розничная продажа алкогольной продукции
"ООО ""Тэсти""",32 МЕ 004242,5/10/2013,Розничная продажа алкогольной продукции
"ООО ""Кристалл""",32 МЕ 003181,5/13/2013,Розничная продажа алкогольной продукции
"ООО ""Богами""",32 МЕ 004034,5/17/2013,Розничная продажа алкогольной продукции
"ООО ""Айсберг""",32 МЕ 004051,5/23/2013,Розничная продажа алкогольной продукции
"ООО ""Трейд""",32 МЕ 003202,5/23/2014,Розничная продажа алкогольной продукции
"ООО ""Акварель""",32 МЕ 004046,5/23/2015,Розничная продажа алкогольной продукции
"ООО ""СКАЗКА""",32 МЕ 004055,5/24/2013,Розничная продажа алкогольной продукции
"ООО ""СаНата""",32 МЕ 004065,5/25/2013,Розничная продажа алкогольной продукции
"ООО ""Елена""",32 МЕ 004061,5/25/2014,Розничная продажа алкогольной продукции
"ООО ""Сказка""",32 МЕ 004062,5/25/2014,Розничная продажа алкогольной продукции
"ООО ""Метеорит""",32 МЕ 004075,5/30/2013,Розничная продажа алкогольной продукции
"ООО ""МИП""",32 МЕ 004069,5/29/2013,Розничная продажа алкогольной продукции
"ООО ""ЛИТВИНОВ""",32 МЕ 004296,5/30/2014,Розничная продажа алкогольной продукции
"ООО ""Радуга""",32 МЕ 004070,5/29/2013,Розничная продажа алкогольной продукции
"ООО ""Светлана""",32 МЕ 003241,6/2/2013,Розничная продажа алкогольной продукции
"ООО ""Весна""",32 МЕ 4129,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""ИРИС""",32 МЕ 003249,6/6/2013,Розничная продажа алкогольной продукции
"ООО ""Аркада""",32 МЕ 003251,6/6/2013,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 003252,6/6/2014,Розничная продажа алкогольной продукции
"ООО ""Надежный Партнер""",32 МЕ 004297,6/7/2016,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 003297,6/8/2013,Розничная продажа алкогольной продукции
"ЗАО ""Садко""",32 МЕ 003327,6/23/2013,Розничная продажа алкогольной продукции
"ООО ""Меркурий""",32 МЕ 004101,6/8/2013,Розничная продажа алкогольной продукции
"ООО ""Торговый Дом Тимошковых и Ко""",32 МЕ 003498,6/14/2016,Розничная продажа алкогольной продукции
"ООО ""Лагуна""",32 МЕ 004094,6/7/2013,Розничная продажа алкогольной продукции
"ООО ""Эдельвейс""",32 МЕ 003276,6/14/2014,Розничная продажа алкогольной продукции
"ООО ""Кафе Созвездие 2""",32 МЕ 003281,6/16/2013,Розничная продажа алкогольной продукции
"ООО ""МАЛЕКС РУ""",32 МЕ 004109,6/15/2013,Розничная продажа алкогольной продукции
"ООО ""Ковчег""",32 МЕ 004119,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Алтын""",32 МЕ 004115,6/20/2014,Розничная продажа алкогольной продукции
"ООО ""Фортуна""",32 МЕ 004131,6/20/2015,Розничная продажа алкогольной продукции
"ООО ""Эверест""",32 МЕ 004163,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Пересвет""",32 МЕ 003298,6/21/2013,Розничная продажа алкогольной продукции
"ООО ""Садко""",32 МЕ 004130,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Уют""",32 МЕ 004095,6/7/2015,Розничная продажа алкогольной продукции
"ООО ""Панда""",32 МЕ 004118,6/20/2014,Розничная продажа алкогольной продукции
"ООО ""Юкон""",32 МЕ 004136,6/21/2013,Розничная продажа алкогольной продукции
"ООО ""Кулинар""",32 МЕ 003305,6/21/2013,Розничная продажа алкогольной продукции
"ООО""Элит""",32 МЕ 004235,6/29/2014,Розничная продажа алкогольной продукции
"ООО ""Атава""",32 МЕ 003365,6/28/2016,Розничная продажа алкогольной продукции
"ООО ""Каронада""",32 МЕ 003314,6/21/2014,Розничная продажа алкогольной продукции
"ООО ""Фортуна""",32 МЕ 004058,6/21/2014,Розничная продажа алкогольной продукции
"ОАО ""Унеча""",32 МЕ 004155,6/22/2014,Розничная продажа алкогольной продукции
"ООО ""ЛАНС""",32 МЕ 003320,6/23/2013,Розничная продажа алкогольной продукции
"ООО ""Капри""",32 МЕ 003322,6/23/2013,Розничная продажа алкогольной продукции
"ООО ""Ника""",32 МЕ 004128,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004124,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Универсам Центральный""",32 МЕ 004133,6/21/2015,Розничная продажа алкогольной продукции
"ООО ""Привал""",32 МЕ 004187,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Чилим""",32 МЕ 004132,6/21/2014,Розничная продажа алкогольной продукции
"ООО ""Русский фейерверк - Брянск""",32 МЕ 004156,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Орион""",32 МЕ 004126,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Визит""",32 МЕ 003333,6/24/2014,Розничная продажа алкогольной продукции
"ООО ""РИО-плюс""",32 МЕ 004141,6/21/2013,Розничная продажа алкогольной продукции
"ООО ""Лесной""",32 МЕ 004192,6/28/2015,Розничная продажа алкогольной продукции
"ООО ""Компания Бриг""",32 МЕ 004153,6/22/2014,Розничная продажа алкогольной продукции
"ООО ""Пчелка""",32 МЕ 003341,6/24/2014,Розничная продажа алкогольной продукции
"ООО ""Движок""",32 МЕ 004152,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Ультрамаринъ""",32 МЕ 003344,6/24/2013,Розничная продажа алкогольной продукции
"ООО ""КАРИНЕ""",32 МЕ 004122,6/20/2014,Розничная продажа алкогольной продукции
"ООО ""Интерпродукт""",32 МЕ 004135,6/21/2013,Розничная продажа алкогольной продукции
"ООО ""ТВИНЗ""",32 МЕ 004173,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Мастер""",32 МЕ 003351,6/27/2016,Розничная продажа алкогольной продукции
"ООО ""Галактика""",32 МЕ 004147,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Купец""",32 МЕ 004174,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""У Ирины""",32 МЕ 004169,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Федотов""",32 МЕ 003356,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Мечта""",32 МЕ 004150,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Подворье""",32 МЕ 004193,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Ареал""",32 МЕ 003361,6/28/2014,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004182,6/28/2013,Розничная продажа алкогольной продукции
"ООО""Валентина""",32 МЕ 003377,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Оазис""",32 МЕ 004185,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Соблазн""",32 МЕ 004183,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Волна""",32 МЕ 004177,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Семья""",32 МЕ 004166,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Торговый мир""",32 МЕ 004149,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Жар-пицца""",32 МЕ 004336,6/28/2015,Розничная продажа алкогольной продукции
"ООО ""Дубрава""",32 МЕ 004197,6/29/2013,Розничная продажа алкогольной продукции
"ООО ""Рассвет""",32 МЕ 003394,6/30/2013,Розничная продажа алкогольной продукции
"ООО ""Магазин ""Железнодорожник""",32 МЕ 004199,6/29/2013,Розничная продажа алкогольной продукции
"ООО ""Агат""",32 МЕ 004181,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Речное""",32 МЕ 003459,7/11/2013,Розничная продажа алкогольной продукции
"ООО ""Рами""",32 МЕ 004219,7/4/2013,Розничная продажа алкогольной продукции
"ООО ""Элита""",32 МЕ 003408,7/4/2013,Розничная продажа алкогольной продукции
"ООО ""Алые паруса""",32 МЕ 004205,6/29/2013,Розничная продажа алкогольной продукции
"ООО ""Провиант эконом""",32 МЕ 003411,7/5/2014,Розничная продажа алкогольной продукции
"ООО ""Альянс""",32 МЕ 004222,7/5/2013,Розничная продажа алкогольной продукции
"ООО ""Арбат""",32 МЕ 004366,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Омега""",32 МЕ 004201,6/29/2013,Розничная продажа алкогольной продукции
"ООО ""ТК  ЛЕВ""",32 МЕ 003418,7/5/2013,Розничная продажа алкогольной продукции
"ООО ""Лилия""",32 МЕ 003419,7/5/2014,Розничная продажа алкогольной продукции
"ООО ""Береза""",32 МЕ 004131,6/21/2013,Розничная продажа алкогольной продукции
"ООО""Брянский картофель""",32 МЕ 004220,7/5/2013,Розничная продажа алкогольной продукции
"ООО ""АВЕНЮ""",32 МЕ 004207,7/2/2013,Розничная продажа алкогольной продукции
"ООО ""Олимп""",32 МЕ 004214,7/4/2013,Розничная продажа алкогольной продукции
"ООО ""Притяжение""",32 МЕ 003429,7/5/2013,Розничная продажа алкогольной продукции
"ООО ""Ирина""",32 МЕ 004216,7/4/2013,Розничная продажа алкогольной продукции
"ООО ""Европа""",32 МЕ 003433,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Максим""",32 МЕ004198,6/29/2013,Розничная продажа алкогольной продукции
"ООО """"Негинское""",32 МЕ 004224,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Континент""",32 МЕ 004227,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Символ""",32 МЕ 004223,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Катрина""",32 МЕ 004200,6/29/2014,Розничная продажа алкогольной продукции
"ООО""ГЕРМЕС""",32 МЕ 004226,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Талисман""",32 МЕ 003454,7/8/2014,Розничная продажа алкогольной продукции
"ООО ""Созвездие""",32 МЕ004236,7/11/2013,Розничная продажа алкогольной продукции
"ООО ""Феникс""",32 МЕ 004238,7/11/2013,Розничная продажа алкогольной продукции
"ООО""Альтернатива""",32 МЕ 003458,7/11/2014,Розничная продажа алкогольной продукции
"ООО ""Мечта""",32 МЕ 004237,7/11/2013,Розничная продажа алкогольной продукции
"ООО ""Поиск""",32 МЕ 003461,7/11/2013,Розничная продажа алкогольной продукции
"ООО ""Созидание""",32 МЕ 004249,7/13/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004195,6/29/2013,Розничная продажа алкогольной продукции
"ООО ""Созвездие 2""",32 МЕ 003472,7/13/2013,Розничная продажа алкогольной продукции
"ООО ""Родник""",32 МЕ 004215,7/4/2013,Розничная продажа алкогольной продукции
"ООО ""Гермес""",32 МЕ 003480,7/15/2013,Розничная продажа алкогольной продукции
"ООО ""Санти""",32 МЕ 004260,7/18/2013,Розничная продажа алкогольной продукции
"ООО ""Вираж""",32 МЕ 004263,7/19/2013,Розничная продажа алкогольной продукции
"ООО ""Галина""",32 МЕ 003505,7/25/2013,Розничная продажа алкогольной продукции
"ООО""Бильярд - Клаб""",32 МЕ 003507,7/25/2014,Розничная продажа алкогольной продукции
"ООО ""Елена""",32 МЕ 004287,7/27/2014,Розничная продажа алкогольной продукции
"ООО ""Калипсо""",32 МЕ 004264,7/20/2013,Розничная продажа алкогольной продукции
"ООО ""Русский продукт""",32 МЕ 004307,8/3/2013,Розничная продажа алкогольной продукции
"ООО ТП ""Клен""",32 МЕ 003531,8/4/2016,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004321,8/10/2013,Розничная продажа алкогольной продукции
"ООО ""НИЖЕН""",32 МЕ 004317,8/10/2013,Розничная продажа алкогольной продукции
"ООО ""Фортуна""",32 МЕ 004319,8/10/2013,Розничная продажа алкогольной продукции
"ООО ""ПавирАвто""",32 МЕ 003551,8/16/2014,Розничная продажа алкогольной продукции
"ООО ""Развитие""",32 МЕ 004333,8/16/2013,Розничная продажа алкогольной продукции
"ООО ""Еда""",32 МЕ 004324,8/13/2013,Розничная продажа алкогольной продукции
"ООО ""Конкур""",32 МЕ 003559,8/18/2014,Розничная продажа алкогольной продукции
"ООО ""Нептун""",32 МЕ 004334,8/17/2013,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 003572,8/26/2016,Розничная продажа алкогольной продукции
"ООО ""Азарт""",32 МЕ 004341,8/24/2013,Розничная продажа алкогольной продукции
"ООО ""Катюша""",32 МЕ 004349,8/31/2013,Розничная продажа алкогольной продукции
"ООО ""ТК ПродМастер""",32 МЕ 003598,9/16/2016,Розничная продажа алкогольной продукции
"ООО  ""Валкар""",32 МЕ 004380,9/19/2013,Розничная продажа алкогольной продукции
"ООО ""Сарман""",32 МЕ 003609,9/28/2012,Розничная продажа алкогольной продукции
"ООО ""Березка""",32 МЕ 003611,9/28/2012,Розничная продажа алкогольной продукции
"ООО ""Балагур""",32 МЕ 003612,9/28/2014,Розничная продажа алкогольной продукции
"ООО ""Оптима""",32 МЕ 004387,9/21/2013,Розничная продажа алкогольной продукции
"ООО ""Радуга""",32 МЕ 003615,9/29/2012,Розничная продажа алкогольной продукции
"ООО ""Техносервис""",32 МЕ 003616,9/29/2012,Розничная продажа алкогольной продукции
"ООО ""ВЕРШИНА""",32 МЕ 004391,9/24/2014,Розничная продажа алкогольной продукции
"ООО ""Фарол""",32 МЕ 003624,9/30/2016,Розничная продажа алкогольной продукции
"ООО ""ИВА-2""",32 МЕ 003625,9/30/2013,Розничная продажа алкогольной продукции
"ООО ""Максимум""",32 МЕ 004392,9/24/2013,Розничная продажа алкогольной продукции
"ООО ""Магазин-кафе Мария""",32 МЕ 003630,10/3/2012,Розничная продажа алкогольной продукции
"ООО ""Лакомый кусочек""",32 МЕ 003819,10/3/2013,Розничная продажа алкогольной продукции
"ООО ""БРАС""",32 МЕ 003634,10/6/2012,Розничная продажа алкогольной продукции
"ООО ""ГЕРМЕС""",32 МЕ 003636,10/6/2012,Розничная продажа алкогольной продукции
"ООО ""АЭЛИТА""",32 МЕ 003637,10/7/2012,Розничная продажа алкогольной продукции
"ООО ""Родник""",32 МЕ 003638,10/7/2014,Розничная продажа алкогольной продукции
"ООО ""Арбат""",32 МЕ 003643,10/11/2012,Розничная продажа алкогольной продукции
"ООО ""Алиса""",32 МЕ 003646,10/18/2016,Розничная продажа алкогольной продукции
"ООО ""Кардинал""",32 МЕ 003980,4/19/2013,Розничная продажа алкогольной продукции
"ООО ""Кристина""",32 МЕ 003653,10/21/2012,Розничная продажа алкогольной продукции
"СПК-Агроформа ""Культура""",32 МЕ 003723,11/1/2012,Розничная продажа алкогольной продукции
"ООО ""Мария""",32 МЕ 003669,11/2/2012,Розничная продажа алкогольной продукции
"ООО ""Конкурент""",32 МЕ 004030,11/2/2012,Розничная продажа алкогольной продукции
"ООО ""Утро""",32 МЕ 003671,11/3/2012,Розничная продажа алкогольной продукции
"ООО ""Пикур""",32 МЕ 003673,11/3/2013,Розничная продажа алкогольной продукции
"ЗАО ""Банзай""",32 МЕ 003676,11/9/2013,Розничная продажа алкогольной продукции
"ООО ""Вера""",32 МЕ 003682,11/10/2012,Розничная продажа алкогольной продукции
"ООО ""Агромашсервис""",32 МЕ 003687,11/15/2014,Розничная продажа алкогольной продукции
"ООО ""У Мироныча""",32 МЕ 003700,11/22/2014,Розничная продажа алкогольной продукции
"ООО ""Перспектива""",32 МЕ 003706,11/25/2012,Розничная продажа алкогольной продукции
"ООО ""Визит-М""",32 МЕ 003709,11/28/2012,Розничная продажа алкогольной продукции
"ООО ""Старт""",32 МЕ 003710,11/28/2012,Розничная продажа алкогольной продукции
"ООО ""Пати-Бар""",32 МЕ 003721,12/2/2012,Розничная продажа алкогольной продукции
"ООО ""Золушка""",32 МЕ 003739,12/8/2012,Розничная продажа алкогольной продукции
"ООО ""Доверие""",32 МЕ 003748,12/13/2012,Розничная продажа алкогольной продукции
"ООО ""Суши Суши""",32 МЕ 003759,12/15/2012,Розничная продажа алкогольной продукции
"ООО ""ЭЛЕН""",32 МЕ 003765,12/16/2012,Розничная продажа алкогольной продукции
"ООО""ФрешМаркет""",32 МЕ 003773,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Унечская Мясная Компания""",32 МЕ 003775,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""СВЕТЛАНА""",32 МЕ 003781,12/21/2012,Розничная продажа алкогольной продукции
"ООО ""ИНТЕРА""",32 МЕ 003790,12/23/2012,Розничная продажа алкогольной продукции
"ООО""Восточная сказка""",32 МЕ 003793,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""24 часа""",32 МЕ 003794,12/23/2012,Розничная продажа алкогольной продукции
"ООО""ЗАРЯ Плюс""",32 МЕ 003795,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""ФЕЯ""",32 МЕ 003796,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""ТОРГОВЫЙ РЯД""",32 МЕ 003830,12/26/2014,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 003803,12/26/2012,Розничная продажа алкогольной продукции
"ООО ""Ника""",32 МЕ 003804,12/26/2012,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 003805,12/26/2012,Розничная продажа алкогольной продукции
"ООО"" МегаТорг""",32 МЕ 003806,12/26/2012,Розничная продажа алкогольной продукции
"ООО ""Красный пищевик""",32 МЕ 003814,12/27/2012,Розничная продажа алкогольной продукции
ФКУ ИК-4 УФСИН России по Брянской области,32 МЕ 003815,12/27/2012,Розничная продажа алкогольной продукции
"ООО ""Реванш""",32 МЕ 003817,12/28/2012,Розничная продажа алкогольной продукции
"ОАО ""Каравай""",32 МЕ 003818,12/28/2012,Розничная продажа алкогольной продукции
"ООО""Hoмe Строй""",32 МЕ 003825,1/17/2013,Розничная продажа алкогольной продукции
"ООО ""Кофейный рай""",32 МЕ 003831,1/18/2013,Розничная продажа алкогольной продукции
"ООО ""Бульвар""",32 МЕ 003848,2/3/2013,Розничная продажа алкогольной продукции
"ООО ""Удача""",32 МЕ 003850,2/3/2013,Розничная продажа алкогольной продукции
"ОАО ""Березка""",32 МЕ 003858,2/10/2013,Розничная продажа алкогольной продукции
"ООО ""Брасовские сыры""",32 МЕ 003859,2/10/2013,Розничная продажа алкогольной продукции
"ЗАО ""Сакура""",32 МЕ 003908,2/17/2013,Розничная продажа алкогольной продукции
"ООО ""Колибри""",32 МЕ 004267,2/20/2013,Розничная продажа алкогольной продукции
"ООО ""Сервис""",32 МЕ 003869,2/20/2013,Розничная продажа алкогольной продукции
"ООО ""Ряба""",32 МЕ 003877,2/27/2013,Розничная продажа алкогольной продукции
Трубчевское РАЙПО,32 МЕ 003956,2/28/2013,Розничная продажа алкогольной продукции
"ООО ""Свенская Ярмарка""",32 МЕ 003889,3/2/2014,Розничная продажа алкогольной продукции
"ООО ""Лесной мир""",32 МЕ 003890,3/2/2013,Розничная продажа алкогольной продукции
"ООО ""Брянская зефирная фабрика""",32 МЕ 003894,3/6/2013,Розничная продажа алкогольной продукции
"ООО ""Гурман""",32 МЕ 003896,3/7/2013,Розничная продажа алкогольной продукции
"ООО ""ЛИК""",32 МЕ 003902,3/12/2013,Розничная продажа алкогольной продукции
"ООО ""Брянскпродсервис""",32 МЕ 003910,3/15/2013,Розничная продажа алкогольной продукции
"ООО""Глянец""",32 МЕ 003914,3/21/2013,Розничная продажа алкогольной продукции
"ООО""Лотос""",32 МЕ 003929,3/26/2013,Розничная продажа алкогольной продукции
"ООО  ""Солнечный ветер""",32 МЕ 003938,3/29/2013,Розничная продажа алкогольной продукции
"ООО ""Хлебосол""",32 МЕ 003940,3/30/2013,Розничная продажа алкогольной продукции
"ООО ""Скат""",32 МЕ 004325,3/30/2015,Розничная продажа алкогольной продукции
"ООО ""Трубчевский лесхоз""",32 МЕ 003951,4/5/2013,Розничная продажа алкогольной продукции
"ООО ""Центральна гостиница ""Уют""",32 МЕ 003955,4/6/2013,Розничная продажа алкогольной продукции
"ООО ""АЮШКА""",32 МЕ 003967,4/12/2013,Розничная продажа алкогольной продукции
"ООО ""Пересвет""",32 МЕ 003993,4/28/2013,Розничная продажа алкогольной продукции
"ЗАО ""Заповедное""",32 МЕ 003996,4/28/2014,Розничная продажа алкогольной продукции
"ООО ""Даурия Трейд""",32 МЕ 003995,4/28/2013,Розничная продажа алкогольной продукции
"ООО ""Паутина-2""",32 МЕ 003996,4/28/2015,Розничная продажа алкогольной продукции
"ООО ""Малина""",32 МЕ 004012,5/5/2013,Розничная продажа алкогольной продукции
"ООО ""Колхозник Плюс""",32 МЕ 004016,5/5/2015,Розничная продажа алкогольной продукции
"ООО ""Айсберг-М""",32 МЕ 004023,5/10/2014,Розничная продажа алкогольной продукции
"ООО ""ПКФ ""Наш мир""",32 МЕ 004013,5/14/2014,Розничная продажа алкогольной продукции
"00О ""Лидер""",32 МЕ 004035,5/17/2013,Розничная продажа алкогольной продукции
"ЗАО ""Тритон""",32 МЕ 004042,5/21/2014,Розничная продажа алкогольной продукции
"ООО ""КРОНОС""",32 МЕ 004043,5/23/2013,Розничная продажа алкогольной продукции
"ООО ""ЦАС""",32 МЕ 004048,5/23/2013,Розничная продажа алкогольной продукции
"ООО ""Лео""",32 МЕ 004049,5/23/2013,Розничная продажа алкогольной продукции
"ООО ""Радиус""",32 МЕ 004077,5/30/2013,Розничная продажа алкогольной продукции
"ООО ""РусКонтакт""",32 МЕ 004104,6/13/2013,Розничная продажа алкогольной продукции
"ООО ""Техноторг""",32 МЕ 004107,6/15/2013,Розничная продажа алкогольной продукции
"ООО ""Маркет-СО""",32 МЕ 004114,6/19/2017,Розничная продажа алкогольной продукции
"ООО ""Вкусняша плюс""",32 МЕ 004139,6/21/2014,Розничная продажа алкогольной продукции
"ООО ""СТРОЙПРОДТОРГ""",32 МЕ 004143,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""ВТМ""",32 МЕ 004144,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Кредо""",32 МЕ 004162,6/27/2013,Розничная продажа алкогольной продукции
"ЗАО ""ДИКСИ Юг""",32 МЕ 004172,6/27/2017,Розничная продажа алкогольной продукции
"ООО ""Белкон-С""",32 МЕ 004356,7/13/2013,Розничная продажа алкогольной продукции
"СПК ""Надежда""",32 МЕ 004232,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Лидер+""",32 МЕ 004234,7/10/2013,Розничная продажа алкогольной продукции
"ЗАО ""Хлеб""",32 МЕ 004240,7/12/2014,Розничная продажа алкогольной продукции
"ООО ""Калипсо""",32 МЕ 004241,7/12/2013,Розничная продажа алкогольной продукции
"ООО ""ИДЕАЛ и К""",32 МЕ 004250,7/17/2013,Розничная продажа алкогольной продукции
"ООО ""Феликс""",32 МЕ 004357,7/17/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004261,7/18/2017,Розничная продажа алкогольной продукции
"ООО ""Чинар-сервис""",32 МЕ 004269,7/23/2013,Розничная продажа алкогольной продукции
"ООО ""Айболит""",32 МЕ 004272,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""Провиант""",32 МЕ 004275,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""АЛЕНД""",32 МЕ 004276,7/24/2013,Розничная продажа алкогольной продукции
