№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
68,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Боженко, д.8, корп.4",Магазин,ПРИУ 43116,11.01.2005,13.01.2005,11.01.2013,Действует
69,"Общество с ограниченной ответственностью ""ФЛЕШ""",7727510409/ 1047796307811,"117186, г. Москва, ул.Нагорная, д.15, корп.8","г. Москва, Нахимовский проспект, д.25, корп.1, стр.1",Кафе,ПРЗЮЗ 566,12.01.2005,14.01.2005,12.01.2014,Действует
70,"Общество с ограниченной ответственностью ""Центр предпринимательства ""ДИНАСТИЯ""",7713291570/ 1027700260774,"127238, г. Москва, Дмитровское шоссе, д. 46, корп. 1","г. Москва, Нагатинская наб., д. 10, корп. 2","Кафе ""Иверия""",ПРЮВЮ 621,14.01.2005,14.01.2005,14.01.2016,Действует
7,,,,,,,,,,
71,"Общество с ограниченной ответственностью ""Гамбринус""",7705608802/ 1047796524456,"109240, г. Москва, ул.Верхняя Радищевская, д.4, стр.3-4-5","109004, г. Москва, ул.Таганская, д.17-23","Ресторан ""Колбасофф""",ПРИУ 43134,14.01.2005,14.01.2005,14.01.2013,Действует
72,"Общество с ограниченной ответственностью ""Кофе Хаус.Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"127599, г. Москва, ул.Ижорская, д.8, стр.1","109004, г. Москва, ул.Нижняя Радищевская, д.5, стр.2",Кафе,ПРИУ 43156,18.01.2005,19.01.2005,18.01.2013,Действует
73,"Общество с ограниченной ответственностью ""Кафе на лестнице""",7704525487/ 1047796513203,"121099, г. Москва, 2-й Смоленский пер., д.1/4","121099, г. Москва, 2-й Смоленский пер., д.1/4",Кафе,ПРИУ 43167,19.01.2005,19.01.2005,19.01.2014,Действует
74,"Общество с ограниченной ответственностью ""Бабл-энд-скуик""",7722521397/ 1047796563407,"115088, г. Москва, ул.1-я Дубровская, д.13","г. Москва, Зубовский б-р, д.13, стр.2",Ресторан,ПРИУ 43176,20.01.2005,20.01.2005,26.01.2015,Действует
75,"Общество с ограниченной ответственностью ""Авоська-два""",7724232030/ 1027739670870,"115211, г. Москва, ул. Борисовские пруды, д. 14, корп. 4","115211, г. Москва, ул. Борисовские пруды, д.14, корп. 4","Универсам ""Авоська""",ПРЮВЮ 646,21.01.2005,,21.01.2013,Действует
76,"Общество с ограниченной ответственностью ""Гилтор""",7733089732/ 1027739375025,"123363, г. Москва, ул. Сходненская, д.25","г. Москва, ул. Свободы, д.34",Магазин,ПРСЗС 506,26.01.2005,01.02.2005,26.01.2015,Действует
77,"Общество с ограниченной ответственностью фирма ""АЛЬВЭС""",7721172785/ 1027739659970,"109380, г. Москва, ул. Степана Шутова, д. 4, стр. 1","105589, г. Москва, ул. Новосибирская, д. 11",Магазин,ПРВСВ 569,27.01.2005,27.01.2005,27.01.2013,Действует
78,"Общество с ограниченной ответственностью ""ГАММА""",7725524639/ 1047796860968,"119071, г. Москва, Ленинский проспект, д. 28","119071, г. Москва, Ленинский проспект, д. 28","Кафе ""Кальвадос""",ПРЮВЮ 678,28.01.2005,28.01.2005,28.01.2013,Действует
79,"Общество с ограниченной ответственностью ""КОПЕЙКА-МОСКВА""",7715196234/ 1027739014930,"127560, г. Москва, ул. Коненкова, д. 5","г. Москва, ул.Сергея Лазо, д.18, корп.2",Магазин,ПРИУ 43221,28.01.2005,28.01.2005,28.01.2013,Действует
80,"Общество с ограниченной ответственностью ""Крона ШТАР""",7716171779/ 1027700255813,"129626, г. Москва, Мира просп., д. 112, стр.1","129626, г. Москва, Мира просп., д. 112, стр. 1",Магазин,ПРВСВ 540,28.01.2005,24.01.2005,28.01.2016,Действует
8,,,,,,,,,,
81,"Общество с ограниченной ответственностью ""Универсам ""Алые Паруса""",7734519307/ 1047796893033,"123182, г. Москва, ул.Авиационная, д.66","125009, г. Москва, ул.Тверская, д.14, стр.1",Универсам,ПРИУ 43219,28.01.2005,28.01.2005,28.01.2013,Действует
82,"Общество с ограниченной ответственностью фирма ""Афорц""",7720075073/ 1037739096812,"111394, г. Москва, ул. 3-я Владимирская, д. 20, стр. 6","111401, г. Москва, ул. 3-я Владимирская, д. 20, стр. 6",Магазин,ПРВСВ 572,28.01.2005,01.02.2005,28.01.2013,Действует
83,"Общество с ограниченной ответственностью ""Гранд норд""",7704194732/ 1027739844285,"121099, г. Москва, 1-й Смоленский пер., д. 24, стр. 1","107241, г. Москва, ул. Уральская, д. 13",Магазин,ПРВСВ 542,30.01.2005,21.01.2005,30.01.2013,Действует
84,"Общество с ограниченной ответственностью ""КОРЧМА""",7722530176/ 1047796852982,"111024, г. Москва, шоссе Энтузиастов, д. 14","109428, г. Москва, Рязанский проспект, д. 65, корп. 2",Ресторан,ПРЮВЮ 644,01.02.2005,21.01.2005,01.02.2013,Действует
85,"Общество с ограниченной ответственностью ""ЮЖАНКА""",7719025303/ 1027700413663,"105568, г. Москва, М. Купавенский пр, д. 3","105568, г. Москва, Малый Купавенский проезд, д.3",Магазин,ПРВСВ 549,01.02.2005,26.01.2005,01.02.2016,Действует
86,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Красного Маяка, д.3",Магазин,ПРИУ 43223,03.02.2005,04.02.2005,03.02.2013,Действует
87,"Общество с ограниченной ответственностью ""СВЕТЛАНА Ч""",7715212542/ 1037739265882,"127349, г. Москва, Шенкурский проезд, д. 10В, кв. 99","127349, г. Москва, ул. Гостиничная, д. 4, корп. 9","Магазин ""Продукты""",ПРВСВ 582,08.02.2005,09.02.2005,08.02.2016,Действует
88,"Закрытое акционерное общество ""Торкас""",7725141594/ 1047725047941,"115419, г. Москва, ул.Серпуховский Вал, д.24, корп.1","г. Москва, ул. Енисейская, д. 33, стр. 2",Магазин,ПРИУ 41889,09.02.2005,,17.05.2013,Действует
