№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
6264,"Общество с ограниченной ответственностью ""МИЛСТАР""",7704731828/ 1097746473780,"119019, г.Москва, ул. Арбат, д.1, этаж 1, помещение 1","г.Москва, ул. Арбат, д.1",Ресторан,ДПРУ 12010,07.04.2010,07.04.2010,07.04.2015,Действует
6265,"Общество с ограниченной ответственностью ""Триумф""",7725559991/ 1067746208749,"115280, г.Москва, ул. Автозаводская, д.17, корп.3, оф.11","г.Москва, ул. Новослободская, д.50/1, стр.2",Кафе,ДПРУ 12001,07.04.2010,07.04.2010,07.04.2013,Действует
6266,"Общество с ограниченной ответственностью ""ФАНТОЦЦИ 2""",7704738372/ 1097746719014,"119034, г.Москва, ул. Остоженка, д.41","г.Москва, ул. Широкая, д.12Б",Кафе,ДПРУ 11967,07.04.2010,07.04.2010,07.04.2015,Действует
6267,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Криворожская, д.21, корп.3",Магазин,ДПРУ 12029,08.04.2010,08.04.2010,08.04.2015,Действует
6268,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Скобелевская, д.24",Универсам,ДПРУ 12012,08.04.2010,08.04.2010,08.04.2015,Действует
6269,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Яблочкова, д.19Г",Магазин,ДПРУ 12027,08.04.2010,08.04.2010,08.04.2015,Действует
6270,"Общество с ограниченной ответственностью ""Инвестпроект""",5047081220/ 1075047001974,"141401, Московская обл., г.Химки, Победы ул., д.11","г.Москва, ул. Арцимовича Академика, д.8",Универсам,ДПРУ 6209,08.04.2010,08.04.2010,07.12.2012,Действует
627,,,,,,,,,,
6271,"Общество с ограниченной ответственностью ""Инвестпроект""",5047081220/ 1075047001974,"141401, Московская обл., г.Химки, Победы ул., д.11","г.Москва, ул. Внуковская Б., д.17",Универсам,ДПРУ 6581,08.04.2010,08.04.2010,23.01.2015,Действует
6272,"Общество с ограниченной ответственностью ""Инвестпроект""",5047081220/ 1075047001974,"141401, Московская обл., г.Химки, Победы ул., д.11","г.Москва, ул. Очаковская Б., д.32",Универсам,ДПРУ 11468,08.04.2010,13.04.2010,07.01.2013,Действует
6273,"Общество с ограниченной ответственностью ""Инвестпроект""",5047081220/ 1075047001974,"141401, Московская обл., г.Химки, Победы ул., д.11","г.Москва, ул. Россошанская, д.13, корп.1",Универсам,ДПРУ 7130,08.04.2010,13.04.2010,25.04.2016,Действует
6274,"Общество с ограниченной ответственностью ""МАРЛИЗЗ""",7737113175/ 1037739475674,"113403, г. Москва, ул. Булатниковская, д. 5, корп. 4, кв. 28","г. Москва, 2-й Павелецкий проезд, д. 7, стр. 7",Магазин,ДПРУ 12024,08.04.2010,08.04.2010,08.04.2013,Действует
6275,"Общество с ограниченной ответственностью ""Наш Хлеб-Филион""",7708701172/ 1097746327030,"107045, г.Москва, Луков пер., д.4, оф.8","г.Москва, ул. Новослободская, д.21",Кафе,ДПРУ 12020,08.04.2010,08.04.2010,08.04.2013,Действует
6276,"Общество с ограниченной ответственностью ""ПРОМАГРОМЕХАНИЗАЦИЯ""",7710349180/ 1037739553961,"113152, г. Москва, Севастопольский пр-т, д. 5, корп. 2","г.Москва, Пролетарский просп., д.23 Б",Магазин,ДПРУ 11948,08.04.2010,08.04.2010,08.04.2013,Действует
6277,"Общество с ограниченной ответственностью ""РАЙТ""",7707676195/ 5087746170221,"127051, г.Москва, Петровский бульв., д.13, стр.1","г.Москва, ул. Садовая-Сухаревская, д.6/37","Кафе ""Курабье""",ДПРУ 12093,08.04.2010,12.04.2010,08.04.2015,Действует
6278,"Общество с ограниченной ответственностью ""Сингур""",7714546341/ 1047796243472,"125167, г.Москва, ул. Планетная, д.11","г.Москва, Варшавское шоссе, д.36",Магазин,ДПРУ 11901,08.04.2010,08.04.2010,08.04.2015,Действует
6279,"Общество с ограниченной ответственностью ""ФортЭпьяно""",5046030705/ 1105003000255,"Московская область, г. Троицк, Микрорайон ""В"", дом 55, пом. 1, к. 106-113","Московская область, г. Троицк, Микрорайон ""В"", дом 55, пом. 1, ком. 106-113, кафе",-,МО 11284,08.04.2010,,07.04.2014,Действует
6280,"Государственное унитарное предприятие города Москвы ""Мосавтотранс""",7710308586/ 1027739240825,"125047, г.Москва, ул. Бутырский Вал, д.22, стр.3","г.Москва, 2-й Лесной пер., д.11, стр.1",Кафе,ДПРУ 12026,09.04.2010,09.04.2010,09.04.2015,Действует
628,,,,,,,,,,
6281,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, Востряковский пр-д, д.17А",Универсам,ДПРУ 12040,09.04.2010,09.04.2010,09.04.2015,Действует
6282,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Коломенская, д.7",Универсам,ДПРУ 12042,09.04.2010,09.04.2010,09.04.2015,Действует
6283,"Закрытое акционерное общество ""ЭЛИТКОМ""",7715746015/ 1097746040468,"111123, г.Москва, Энтузиастов шоссе, д.50","г.Москва, Энтузиастов шоссе , д.50",Ресторан,ДПРУ 10980,09.04.2010,12.04.2010,20.11.2012,Действует
6284,"Общество с ограниченной ответственностью ""АЛЬЯНС""",7707601707/ 5067746767127,"115114, г.Москва, Кожевническая улица, д.1, стр.1","г.Москва, ул. Перерва, д.58","Ресторан ""Ерш""",ДПРУ 7028,09.04.2010,29.08.2012,09.04.2013,Действует
6285,"Общество с ограниченной ответственностью ""Виаджио Итальяно Турин""",7704721604/ 1097746081510,"119146, г.Москва, Комсомольский просп., д.15, стр.2","г.Москва, Комсомольский просп., д.15, стр.2",Ресторан,ДПРУ 12107,09.04.2010,12.04.2010,09.04.2013,Действует
6286,"Общество с ограниченной ответственностью ""Гелио-объект""",7733131568/ 1027700392720,"125459, г. Москва, ул. Фабрициуса, д. 48","г. Москва, Карамышевская наб., д. 34/1",Магазин,ДПРУ 12003,09.04.2010,09.04.2010,09.04.2015,Действует
6287,"Общество с ограниченной ответственностью ""Диалог""",7703626813/ 1077746355928,"123001, г.Москва, Гранатный пер., д.9, оф.77","г.Москва, Семеновская пл., д.2",Кафе,ДПРУ 12086,09.04.2010,09.04.2010,09.04.2015,Действует
6288,"Общество с ограниченной ответственностью ""Интерсервис Тур""",7723735715/ 1097746685607,"109386, г.Москва, ул. Краснодонская, д.7/1, стр.1","г.Москва, ул. Краснодонская, д.7/1, стр.1",Кафе,ДПРУ 12081,09.04.2010,12.04.2010,09.04.2013,Действует
6289,"Общество с ограниченной ответственностью ""Итал Фуд""",7725572960/ 1067746699118,"123317, г.Москва, ул. Тестовская, д.10","г.Москва, ул. Тестовская, д.10","Ресторан ""Ла Торре""",ДПРУ 12082,09.04.2010,09.04.2010,09.04.2015,Действует
6290,"Общество с ограниченной ответственностью ""МАРУКО""",7725669190/ 1097746284437,"115148, г.Москва, просп. Андропова, д.28, корп.2","г.Москва, просп. Андропова, д.28, корп.2",Ресторан,ДПРУ 12028,09.04.2010,09.04.2010,09.04.2015,Действует
629,,,,,,,,,,
6291,"Общество с ограниченной ответственностью ""Мясной дворик""",7726602287/ 1087746976800,"119634, г.Москва, Боровское шоссе , д.20","г.Москва, Мичуринский просп., Олимпийская деревня, д.4, корп.1",Магазин,ДПРУ 11942,09.04.2010,09.04.2010,09.04.2015,Действует
6292,"Общество с ограниченной ответственностью ""Недвижимость-Инвест""",7701773139/ 1087746283503,"125171, г.Москва, пл. Ганецкого, д.1","г.Москва, пл. Ганецкого, д.1",Бар,ДПРУ 11089,09.04.2010,13.04.2010,02.12.2014,Действует
6293,"Общество с ограниченной ответственностью ""Нок Стон""",7702637330/ 5077746428580,"129110, г.Москва, просп. Мира, д.46, стр.1","г.Москва, ул. Богданова, д.19",Кафе,ДПРУ 11943,09.04.2010,09.04.2010,09.04.2013,Действует
6294,"Общество с ограниченной ответственностью ""Отдохни-77""",7737531091/ 1087746635294,"115372, г.Москва, ул. Бирюлевская, д.38","г.Москва, ул. Медиков, д.12",Магазин,ДПРУ 12006,09.04.2010,09.04.2010,09.04.2013,Действует
6295,"Общество с ограниченной ответственностью ""Патагония""",7705901600/ 1097746683539,"115054, г.Москва, ул. Зацепский Вал, д.6/13, стр.1","г.Москва, ул. Зацепский Вал, д.6, стр.2",Кафе,ДПРУ 12046,09.04.2010,12.04.2010,09.04.2013,Действует
6296,"Общество с ограниченной ответственностью ""Патагония""",7705901600/ 1097746683539,"115054, г.Москва, ул. Зацепский Вал, д.6/13, стр.1","г.Москва, ул. Зацепский Вал, д.6/13, стр.1",Кафе,ДПРУ 12044,09.04.2010,12.04.2010,09.04.2013,Действует
6297,"Общество с ограниченной ответственностью ""Полли-М""",7701309431/ 1027701004759,"109028, г.Москва, Певческий пер., д.1/2, стр.1","г. Москва, Гагаринский пер., д. 24/7, стр. 1",Магазин,ДПРУ 5859,09.04.2010,09.04.2010,24.10.2015,Действует
6298,"Общество с ограниченной ответственностью ""Руслан""",7726537944/ 1067746418618,"117152, г. Москва, Загородное ш., д.9, корп.1","г.Москва, Загородное шоссе, д.8, корп.3",Магазин,ДПРУ 11946,09.04.2010,09.04.2010,09.04.2015,Действует
6299,"Общество с ограниченной ответственностью ""Серпуховская""",7705806811/ 1077759474209,"115093, г.Москва, ул. Серпуховская Б., д.8/7, стр.2","г.Москва, ул. Б. Дмитровка, д.5/6, стр.3","Кафе ""Две Палочки""",ДПРУ 12068,09.04.2010,09.04.2010,09.04.2013,Действует
6300,"Общество с ограниченной ответственностью ""СНЕЖИНКА-С""",7728175457/ 1037739453058,"109439, г.Москва, ул. Юных Ленинцев, д.99","г.Москва, ул. Лобачевского, д.74",Магазин,ДПРУ 12023,09.04.2010,09.04.2010,09.04.2015,Действует
630,,,,,,,,,,
6301,"Общество с ограниченной ответственностью ""Торговый Дом ""Реноме""",5029114715/ 1085029004390,"141033, Московская обл., Мытищинский район , пгт.Пироговский, ул. Фабричная, д.1","г.Москва, ул. Ангарская, д.26, корп.1",Магазин,ДПРУ 12080,09.04.2010,09.04.2010,09.04.2015,Действует
6302,"Общество с ограниченной ответственностью ""ХАЙЛЭНД ГРУПП""",7704743421/ 1097746862245,"119002, г.Москва, ул. Арбат, д.38/1, стр.2","г.Москва, ул. Новый Арбат, д.21",Бар,ДПРУ 12087,09.04.2010,09.04.2010,09.04.2013,Действует
6303,"Общество с ограниченной ответственностью ""Экстра Профит""",7718169976/ 1027700012372,"101000, г.Москва, ул. Мясницкая, д.8/2, стр.1","г.Москва, ул. Мясницкая, д.8/2, стр.1","Ресторан ""Тануки""",ДПРУ 6509,09.04.2010,12.04.2010,15.01.2013,Действует
6304,"Общество с ограниченной ответственностью ""Юдита""",7723137088/ 1027739286706,"117186, г.Москва, ул. Нагорная, д.33, корп.1","г.Москва, ул. Нагорная, д.33, корп.1",Магазин,ДПРУ 12103,09.04.2010,13.04.2010,09.04.2013,Действует
6305,"Общество с ограниченной ответственностью ""ТОРГОВЫЙ ДОМ ""АФРОДИТА""",7720120907/ 1037739407452,"105523, г. Москва, Щелковское ш., вл.98","г. Москва, Щелковское ш., вл.98 А, стр.1",Кафе,ДПРУ 11817,12.04.2010,15.04.2010,12.04.2015,Действует
6306,"Общество с ограниченной ответственностью ""АБК Ритейл""",7721557810/ 1067746695015,"109472, г.Москва, просп. Волгоградский, д.183/36","г.Москва, Волгоградский просп., д.183/36",Магазин,ДПРУ 12090,13.04.2010,13.04.2010,13.04.2015,Действует
6307,"Общество с ограниченной ответственностью ""Аллегрия""",7718770182/ 1097746418428,"107076, г.Москва, ул. Стромынка, д.4, корп.1","г.Москва, ул. Стромынка, д.4, корп.1",Кафе,ДПРУ 12069,13.04.2010,15.04.2010,13.04.2013,Действует
6308,"Общество с ограниченной ответственностью ""АЯКС""",7734506379/ 1037789033270,"109341, г.Москва, ул. Люблинская, д.163/1","г. Москва, ул. Люблинская, д.163/1",Кафе,ДПРУ 5828,13.04.2010,13.04.2010,19.10.2015,Действует
6309,"Общество с ограниченной ответственностью ""ВЕНЕРА""",7716651790/ 1097746670340,"129128, г.Москва, ул. Бажова, д.5, кв.1","г.Москва, просп. Мира, д.169",Магазин,ДПРУ 12097,13.04.2010,13.04.2010,13.04.2013,Действует
6310,"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""",7704520601/ 1047796357179,"119002, г. Москва, ул. Арбат, д.44, стр.1","г.Москва, Солнцевский просп., д.21",Кафе,ДПРУ 12095,13.04.2010,13.04.2010,13.04.2013,Действует
631,,,,,,,,,,
6311,"Общество с ограниченной ответственностью ""ЕВРОКОМ""",7733556916/ 1057749251229,"123627, г. Москва, ул. Митинская, д.25, корп.4","г. Москва, ул. Митинская, д.25, корп.4",Ресторан,ДПРУ 11947,13.04.2010,13.04.2010,13.04.2015,Действует
6312,"Общество с ограниченной ответственностью ""Ирвинг""",7715715257/ 5087746049221,"127224, г.Москва, ул. Широкая, д.21","г.Москва, ул. Широкая, д.21",Магазин,ДПРУ 12030,13.04.2010,19.04.2010,13.04.2015,Действует
6313,"Общество с ограниченной ответственностью ""ПАРУС""",7733719110/ 1097746764543,"125373, г.Москва, Походный пр-д, д.7","г.Москва, Походный пр-д, д.7",Ресторан,ДПРУ 12017,13.04.2010,14.04.2010,13.04.2013,Действует
6314,"Общество с ограниченной ответственностью ""ПЕТАСА""",7725532809/ 1057746295023,"115682, г.Москва, ул. Кустанайская, д.5, корп.4","г. Москва, ул. Кустанайская, д. 5, корп. 4",Магазин,ДПРУ 12118,13.04.2010,15.04.2010,13.04.2015,Действует
6315,"Общество с ограниченной ответственностью ""ПРЕСТИЖ""",7721543013/ 1057749094215,"109462, г.Москва, ул. Маршала Чуйкова, д.2","г. Москва, ул. Маршала Чуйкова, д.2",Магазин,ДПРУ 11918,13.04.2010,14.04.2010,13.04.2015,Действует
6317,"Общество с ограниченной ответственностью ""Тарантелла""",7725112233/ 1027700168143,"117049, г. Москва, ул. Шаболовка, д.59, стр.2","г.Москва, ул. Б. Черемушкинская, д.2, корп.1","Магазин ""Продукты""",ДПРУ 11949,13.04.2010,13.04.2010,13.04.2013,Действует
6318,"Общество с ограниченной ответственностью ""ТЕХНОМАРКЕТ""",7731512769/ 1047796673352,"121471, г.Москва, Можайское шоссе , д.29","г. Москва, ул. Нежинская, д. 17, корп. 2",Магазин,ДПРУ 12065,13.04.2010,13.04.2010,13.04.2013,Действует
6319,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, Боровское шоссе, д.46",Универсам,ДПРУ 11974,14.04.2010,14.04.2010,14.04.2015,Действует
6320,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Братиславская, д.12",Универсам,ДПРУ 12109,14.04.2010,14.04.2010,14.04.2015,Действует
632,,,,,,,,,,
6321,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Елецкая, д.15",Универсам,ДПРУ 11969,14.04.2010,14.04.2010,14.04.2015,Действует
6322,"Общество с ограниченной ответственностью ""АРИЗАРУМ ГРУПП""",7705176856/ 1027700482259,"115541, г. Москва, ул. Бакинская, д.29","г. Москва, ул. Бакинская, д.29","Бар ""Каприз""",ДПРУ 12031,14.04.2010,14.04.2010,14.04.2013,Действует
6323,"Общество с ограниченной ответственностью ""ГУРМАН""",7705898379/ 1097746580678,"109017, г.Москва, ул. Пятницкая, д.37","г.Москва, ул. Пятницкая, д.37",Кафе,ДПРУ 12062,14.04.2010,14.04.2010,14.04.2013,Действует
6324,"Общество с ограниченной ответственностью ""Зельгрос""",5050058510/ 1065050019605,"г. Москва, ул. Подольских курсантов, дом 26","Московская область, Ленинский район, дер. Рассказовка, дом 200, торговый комплекс",-,МО 11401,14.04.2010,,13.04.2014,Действует
6325,"Общество с ограниченной ответственностью ""МБМ-Плюс""",7714788277/ 1097746529374,"125312, г.Москва, ул. Часовая, д.11","г.Москва, ул. Часовая, д.11",Ресторан,ДПРУ 12073,14.04.2010,21.04.2010,14.04.2015,Действует
6326,"Общество с ограниченной ответственностью ""Никос""",7725681783/ 1097746740409,"115114, г.Москва, Дербеневская наб., д.7, стр.21","г.Москва, Дербеневская наб., д.7, стр.21",Магазин,ДПРУ 12110,14.04.2010,14.04.2010,14.04.2015,Действует
6327,"Общество с ограниченной ответственностью ""Окраина""",7718253515/ 1037718042450,"107076, г.Москва, ул. Краснобогатырская, д.77","г. Москва, ул. Красноярская, д.9","Магазин ""Продукты""",ДПРУ 12009,14.04.2010,14.04.2010,14.04.2013,Действует
6328,"Общество с ограниченной ответственностью ""ОСА""",5003071658/ 1095003003358,"142700, Московская обл., Ленинский район , г.Видное, просп. Ленинского Комсомола, д.46А","г.Москва, просп. Вернадского, д.37, корп.2",Кафе,ДПРУ 12077,14.04.2010,14.04.2010,14.04.2015,Действует
6329,"Общество с ограниченной ответственностью ""Тандем""",7704621825/ 1067758883004,"115280, г.Москва, ул. Восточная, д.4, корп.1","г. Москва, ул. Генерала Белова, д. 1/8",Кафе,ДПРУ 5884,14.04.2010,22.04.2010,26.10.2012,Действует
6330,"Общество с ограниченной ответственностью ""Хуршед""",7714249162/ 1037700034613,"123007, г. Москва, Хорошевское шоссе, д. 60а","г. Москва, Ленинградское шоссе, д.8/2, стр. 1",Ресторан,ДПРУ 12060,14.04.2010,19.04.2010,14.04.2013,Действует
633,,,,,,,,,,
6331,"Общество с ограниченной ответственностью ""Шашлычная №1""",7704721273/ 1097746070916,"119021, г.Москва, Пуговишников пер., д.16","г.Москва, ул. Новая Басманная, д.9/2-4, стр.6",Кафе,ДПРУ 12032,14.04.2010,14.04.2010,14.04.2013,Действует
6332,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Генерала Кузнецова, д.26, корп.1",Универсам,ДПРУ 11992,15.04.2010,19.04.2010,15.04.2015,Действует
6333,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Маршала Полубоярова, д.16, корп.1",Универсам,ДПРУ 12155,15.04.2010,19.04.2010,15.04.2015,Действует
6334,"Общество с ограниченной ответственностью ""И-КОМ""",7719722664/ 1097746240085,"105043, г.Москва, ул. Первомайская, д.51/23","г.Москва, ул. Генерала Глаголева, д.24, корп.1",Магазин,ДПРУ 11975,15.04.2010,15.04.2010,15.04.2015,Действует
6335,"Общество с ограниченной ответственностью ""Ривьера""",7733638372/ 1087746006567,"127373, г.Москва, пр-д Донелайтиса, д.19","г.Москва, 2-й Неопалимовский пер., д.3","Кафе ""Ангелов""",ДПРУ 12146,15.04.2010,16.04.2010,11.05.2013,Действует
6336,"Общество с ограниченной ответственностью ""Стандарт""",7704644798/ 5077746567036,"125009, г.Москва, ул. Воздвиженка, д.4/7, стр.2","г.Москва, просп. Мира, д.26, стр.2",Кафе,ДПРУ 12121,15.04.2010,15.04.2010,15.04.2015,Действует
6337,"Общество с ограниченной ответственностью ""Тарантелла""",7725112233/ 1027700168143,"117049, г. Москва, ул. Шаболовка, д.59, стр.2","г. Москва, ул. Шверника, д.8/1, корп.1","Магазин ""Продукты""",ДПРУ 12115,15.04.2010,15.04.2010,15.04.2013,Действует
6338,"Закрытое акционерное общество ""Валенс Актив""",7722215657/ 1027739779517,"111020, г. Москва, ул. 2-я Синичкина, д. 19, стр. 3","109443, г. Москва, Волгоградский проспект, д. 119 А",Магазин,ДПРУ 11977,16.04.2010,20.04.2010,16.04.2015,Действует
6339,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Братиславская, д.27, корп.1",Универсам,ДПРУ 12129,16.04.2010,16.04.2010,16.04.2015,Действует
6340,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г.Москва, ул. Новокосинская, д.10, корп.2",Универсам,ДПРУ 12127,16.04.2010,16.04.2010,16.04.2015,Действует
634,,,,,,,,,,
6341,"Общество с ограниченной ответственностью ""Аванд""",7743761135/ 1097746732973,"125493, г.Москва, Авангардная ул., д.16","г.Москва, Авангардная ул., д.16",Кафе,ДПРУ 12114,16.04.2010,16.04.2010,16.04.2013,Действует
6342,"Общество с ограниченной ответственностью ""Валеда""",7743740488/ 1097746214719,"127006, г.Москва, Долгоруковская улица, д.35, пом.IV, комн. №3","г.Москва, Болотная наб., д.3/4, стр.2",Ресторан,ДПРУ 12014,16.04.2010,28.09.2012,16.04.2013,Действует
6343,"Общество с ограниченной ответственностью ""ВИМКО""",7729011980/ 1027700338962,"127349, г.Москва, Алтуфьевское шоссе, д.88","127349, г. Москва, Алтуфьевское шоссе, д.88",Магазин,ДПРУ 12126,16.04.2010,16.04.2010,16.04.2013,Действует
6344,"Общество с ограниченной ответственностью ""Висто Л""",7737124480/ 1037739575499,"117403, г. Москва, Востряковский пр-д, д. 15Б","г. Москва, Востряковский пр-д, д. 15Б",Кафе,ДПРУ 11851,16.04.2010,20.04.2010,16.04.2015,Действует
6345,"Общество с ограниченной ответственностью ""Висто Л""",7737124480/ 1037739575499,"117403, г. Москва, Востряковский пр-д, д. 15Б","г. Москва, Востряковский пр-д, д. 15Б","Магазин ""Продукты""",ДПРУ 11848,16.04.2010,20.04.2010,16.04.2015,Действует
6346,"Общество с ограниченной ответственностью ""ГЕЛЕНА""",7718017959/ 1037700129103,"107150, г. Москва, Подбельского 3-й проезд, д. 22","г.Москва, пр-д 3-й Подбельского, д.22",Бар,ДПРУ 11981,16.04.2010,16.04.2010,16.04.2013,Действует
6347,"Общество с ограниченной ответственностью ""Заведение №1""",7718659949/ 1077758803210,"127018, г.Москва, ул. Сущевский Вал, д.12","г.Москва, ул. Сущевский Вал, д.12","Ресторан ""ВАСАБИ""",ДПРУ 10414,16.04.2010,21.04.2010,14.09.2014,Действует
6348,"Общество с ограниченной ответственностью ""ЗВЕЗДА""",7707706315/ 1097746353737,"119454, г.Москва, ул. Коштоянца, д.1А","г.Москва, ул. Коштоянца, д.1А",Ресторан,ДПРУ 11069,16.04.2010,19.04.2010,26.11.2012,Действует
6349,"Общество с ограниченной ответственностью ""Интерсервис Тур""",7723735715/ 1097746685607,"109386, г.Москва, ул. Краснодонская, д.7/1, стр.1","г.Москва, ул. Краснодарская, д.14",Кафе,ДПРУ 12125,16.04.2010,16.04.2010,16.04.2013,Действует
6350,"Общество с ограниченной ответственностью ""Компания ""Стейдком""",7705017912/ 1027700117928,"115088, г.Москва, ул. Симоновский Вал, д.15","г. Москва, ул. Симоновский вал, д. 15",Ресторан,ДПРУ 10036,16.04.2010,20.04.2010,17.07.2014,Действует
635,,,,,,,,,,
6351,"Общество с ограниченной ответственностью ""Континент""",7708573121/ 1057748081929,"107078, г.Москва, ул. Каланчевская, д.11, стр.3","г.Москва, Цветной бульв., д.11, стр.2",Кафе,ДПРУ 12122,16.04.2010,16.04.2010,16.04.2013,Действует
6352,"Общество с ограниченной ответственностью ""Мечта""",7709723161/ 1077746281238,"105120, г.Москва, ул. Радонежского Сергия, д.13/1, стр.1","г.Москва, ул. Веерная, д.3, корп.3",Магазин,ДПРУ 12124,16.04.2010,16.04.2010,16.04.2013,Действует
6353,"Общество с ограниченной ответственностью ""Оливия""",7720667979/ 1097746576036,"111024, г.Москва, ул. 2-я Энтузиастов, д.5, корп.45","г.Москва, Б. Строченовский пер., д.7",Кафе,ДПРУ 12075,16.04.2010,20.04.2010,16.04.2013,Действует
6354,"Общество с ограниченной ответственностью ""ПИНТА""",7729642231/ 1097746660219,"119634, г.Москва, Боровское шоссе, д.45, кв.167","г.Москва, ул. Медынская, д.12, стр.3",Магазин,ДПРУ 12036,16.04.2010,20.04.2010,16.04.2013,Действует
6355,"Общество с ограниченной ответственностью ""Радуга""",7723535730/ 1057746590032,"109469, г.Москва, ул. Белореченская, д.49","г. Москва, ул. Белореченская, д.49",Магазин,ДПРУ 12119,16.04.2010,16.04.2010,16.04.2014,Действует
6356,"Общество с ограниченной ответственностью ""Ресторанный синдикат""",7705732567/ 1067746615640,"115054, г. Москва, 1-й Монетчиковский пер., д.5","г. Москва, Большой Саввинский пер., д.12, стр.2",Ресторан,ДПРУ 12108,16.04.2010,16.04.2010,16.04.2015,Действует
6357,"Общество с ограниченной ответственностью ""Ресторан""Садовое кольцо""",7702714506/ 1097746529000,"129090, г.Москва, просп. Мира, д.14, стр.2","г.Москва, просп. Мира, д.14, стр.2",Ресторан,ДПРУ 11983,16.04.2010,16.04.2010,16.04.2015,Действует
6358,"Общество с ограниченной ответственностью ""Система БИТ-2000""",7726286627/ 1037700227586,"117648, г.Москва, Северное Чертаново, д.3, корп.В","г.Москва, ул. Профсоюзная, д.61А","Кафе ""Кремлевский экспресс""",ДПРУ 12033,16.04.2010,16.04.2010,16.04.2013,Действует
6359,"Общество с ограниченной ответственностью ""Система БИТ-2000""",7726286627/ 1037700227586,"117648, г.Москва, Северное Чертаново, д.3, корп.В","г.Москва, ул. Профсоюзная, д.61А","Кафе ""КофеТун""",ДПРУ 12034,16.04.2010,16.04.2010,16.04.2013,Действует
6360,"Общество с ограниченной ответственностью ""СЛАВУТИЧ""",7704736777/ 1097746666082,"119019, г.Москва, ул. Арбат, д.9, стр.1","г.Москва, ул. Арбат, д.9, стр.1",Кафе,ДПРУ 12035,16.04.2010,16.04.2010,16.04.2013,Действует
636,,,,,,,,,,
6361,"Общество с ограниченной ответственностью ""ТОРГПРОДУКТ""",7715791723/ 1107746010570,"127224, г.Москва, ул. Грекова, д.8","г.Москва, ул. Грекова, д.8",Магазин,ДПРУ 11976,16.04.2010,16.04.2010,16.04.2015,Действует
6362,"Общество с ограниченной ответственностью ""ФАРТОВ""",7715758363/ 1097746269862,"127276, г.Москва, ул. Комарова Академика, д.1А","г.Москва, ул. Цандера, д.1, стр.1",Магазин,ДПРУ 12102,16.04.2010,19.04.2010,16.04.2013,Действует
6363,"Общество с ограниченной ответственностью ""ФУЛЛ ФРИ""",7702717754/ 1097746650605,"129090, г.Москва, ул. Щепкина, д.33","г.Москва, ул. Щепкина, д.33",Кафе,ДПРУ 12104,16.04.2010,19.04.2010,16.04.2013,Действует
6364,"Общество с ограниченной ответственностью ""Частные Пивоварни ""ТИНЬКОФФ""",7825422951/ 1027809196491,"119049, г.Москва, ул. Донская, д.27, корп.3","121099, г. Москва, Проточный пер., д.11",Ресторан,ПРИУ 42971,16.04.2010,20.04.2010,16.12.2012,Действует
6365,"Общество с ограниченной ответственностью ""Альянс Групп Н.Т.""",7714582879/ 1047796988832,"123100, г.Москва, Шмитовский пр-д , д.14/1","г.Москва, ул. Русаковская, д.5",Магазин,ДПРУ 11934,19.04.2010,20.04.2010,19.04.2013,Действует
