РЕЕСТР,,,,,,,,
"О ДЕЙСТВУЮЩИХ ЛИЦЕНЗИЯХ НА РОЗНИЧНУЮ ПРОДАЖУ АЛКОГОЛЬНОЙ ПРОДУКЦИИ В ХАНТЫ-МАНСИЙСКОМ АВТОНОМНОМ ОКРУГЕ-ЮГРЕ, на территории город Урай""  по состоянию на 01.07.2011",,,,,,,,
,,,,,,,,
№,Номер,Наименование Предприятия,Адрес .юридического лица,"Вид деятельности, адрес места нахождения объекта",Номер Серия,Дата,Доп Информация,Состояние
,,,,"Адреса мест нахождения объектов:  1. г. Урай  Ханты - Мансийского  автономного округа - Югры   Тюменской  области,  микрорайон 1 Д, в районе жилого дома  № 39, магазин ""Ира"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, д. 81, отдел в ТЦ ""Юбилейный"";  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, д. 86, магазин ""Корона"";  4. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 2 микрорайон,",,,,
,,,,"Торгово-входной комплекс на территорию городского рынка, магазин ""Гермес"".  ",,,,"настоящая лицензия выдана в порядке переоформления лицензии   №  4619  07.03.2008  Приостановлена с   06.07.2009 (срок 15 дней) до устранения нарушений неисполнение предписания Лицензионной палаты ХМАО-Югры Возобновлена с   21.07.2009  Устранение обстоятельств, повлекших приостановление действия лицензии "
13,5324,"Обществу с ограниченной ответственностью ""Турсунт-сервис""  ИНН 8606013316","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Шевченко, д. 18 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001837,  Р №",18.06.2009 до 18.06.2014,,настоящая лицензия выдана в порядке переоформления лицензии   №  3712  21.11.2006  
,,,,"Адреса мест нахождения объектов:  1. г. Урай     Ханты - Мансийского    автономного    округа  -  Югры   Тюменской   области,   ул.   Шевченко,     д. 18,  ресторан в отеле ""Турсунт"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Шевченко, д. 18, бар в отеле  ""Турсунт"".  ",,,,
14,5467,"Обществу с ограниченной ответственностью ""Комфорт""  ИНН 8606013531","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Яковлева, д. 16 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001982,  Р №",15.10.2009 до 15.10.2014,,
,,,,"Адрес места нахождения объекта:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Яковлева, д. 16, отдел вино-водочных изделий в магазине ""Юго-Восточный"".  ",,,,
15,5542,"Обществу с ограниченной ответственностью ""Парус""   ИНН 8606011020      ","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 1 Г, д. 17 А (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002058,  Р №",17.12.2009 до 28.12.2013,,настоящая лицензия выдана в порядке переоформления лицензии   №  4799  26.06.2008  
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 1 Г, д. 17 А, магазин ""Европа"";  2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон Западный, д. 7 А, магазин ""Туман"";  3. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Узбекистанская, д. 7, магазин ""Пальмира"";  4. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, Торгово-входной комплекс на",,,,
,,,,"территории городского рынка, магазин ""Гермес"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5333  24.06.2009  
16,5624,"Обществу с ограниченной ответственностью ""Росс""  ИНН 8606011206","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, проезд 1, подъезд 15 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002140,  Р №",17.02.2010 до 30.12.2013,,
,,,,"Адреса мест нахождения объектов:  1.  г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 3, в районе дома 47, магазин ""Росс"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон Д, в районе дома 63, магазин ""Росс-2"";  3. д. Ушья Кондинского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Лесная, 1/1, магазин;  4. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 1 Д, в",,,,
,,,,"районе жилого дома № 39, магазин ""Ира"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  28  30.12.2005  
17,5635,"Обществу с ограниченной ответственностью ""Триумф""  ИНН 8606013806","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 2, д. 106 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002150,  Р №",26.02.2010 до 26.02.2013,,
,,,,"Адрес места нахождения объекта:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2 , д. 106, магазин ""Продукты"" в ТЦ ""Олимп"".  ",,,,
18,5677,"Обществу с ограниченной ответственностью ""Мария""  ИНН 8606008059","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 3, д. 3 А (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002188,  Р №",29.03.2010 до 30.12.2013,,
,,,,"Адреса мест нахождения объектов:  1.  г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 3, д. 3 А, магазин ""Мария"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Цветочная, д. 11, магазин № 24.  ",,,,
19,5728,"Обществу с ограниченной ответственностью ""СВЕТЛАНА""  ИНН 8606011541","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 3, дом 29 А (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002231,  Р №",30.04.2010 до 02.08.2011,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 3, д. 29 А, магазин ""Эдем-2"";  2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, д. 31 А, магазин ""Центральный"";  3. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон ""Западный"",          д. 12 А, магазин ""Продукты"";  4. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 1 Г, д. 65, отдел",,,,
,,,,"""Продукты"" в ТЦ ""Армада"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4476  03.12.2007  
20,5859,"Обществу с ограниченной ответственностью ""Сабина""  ИНН 8606012048  ","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, база ЗАО ""Урайдорстрой"", офис 2 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002354,  Р №",26.08.2010 до 01.08.2012,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 3, д. 5, кв. 1, магазин ""Сабина"";  2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, п. Электросети, база ЗАО ""Урайдорстрой"", д. 1, магазин ""Рус-Айс"".  ",,,,
21,5884,"Обществу с ограниченной ответственностью ""ТоргЛайнСервис""  ИНН 8606011164","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 2 А, д. 9 А (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002385,  Р№",07.10.2010 до 30.12.2013,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, д. 50-2, отдел            в магазине ""Продукты"";  2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 1, д. 7, кв. 4, магазин ""Абсолют-1"";  3. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 1 Д, д. 58 Б, магазин ""Южный"";  4. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2",,,,
,,,,"А, д. 7 А, магазин ""Магнум"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5252  15.04.2009  
22,5901,"Обществу с ограниченной ответственностью ""Супер""   ИНН 8606011051","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, проезд 7, подъезд 44 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002400,  Р №",18.10.2010 до 30.12.2013,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай  Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 3, д. 1 А, магазин № 27 ""Супер"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 2, район дома 76, магазин ""Супер"";  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Толстого, 6, магазин ""Супер"";  4. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 1 Г, д. 51 А, торговый павильон.  ",,,,
23,5910,"Обществу с ограниченной ответственностью ""Авангард Пласт""   ИНН 8606008482","место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, проезд 7, подъезд 44/7 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002409,  Р №",21.10.2010 до 26.07.2015,,настоящая лицензия выдана в порядке переоформления лицензии   №  4537  25.12.2007  
,,,,"1. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон Западный, д. 13, кв. 168, магазин ""Супер"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 3 микрорайон, д. 1 А, магазин № 27 ""Супер"";  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 3 микрорайон, д. 5, магазин ""Супер"";  4. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 3 микрорайон, д. 53 А, магазин ""Супер"";  5. г. Урай",,,,
,,,,"Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Толстого, 6, магазин ""Супер"";  6. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 3 микрорайон, д. 37, магазин ""Супер"";  7. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, проезд 7, подъезд 44/7,           кафе ""Престиж"";  8. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 1 Г микрорайон, д. 51 А, торговый павильон;  9. г. Урай Ханты-Мансийского",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5832  26.07.2010  
,,,,"автономного округа - Югры Тюменской области, ул. Нефтяников, д. 3, магазин ""Уют"".  ",,,,
24,5911,"Обществу с ограниченной ответственностью ""ЖАСМИН""  ИНН 8606013362","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, 1-й проезд, подъезд 13 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002411,  Р №",28.10.2010 до 28.10.2011,,
,,,,"Адрес места нахождения объекта:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, 1-й проезд, подъезд 13,                  кафе ""Жасмин"".  ",,,,
25,1,"Обществу с ограниченной ответственностью ""ОМСК-продукт""","Место нахождения юридического лица: г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон 1А, дом 6","Розничная продажа алкогольной продукции .                                                                   1. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, Проезд 1, Подъезд 31, магазин ""Грацио"";
2. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон 1А, дом 6, магазин ""Омич"".","002843, Р№",24.02.2011 до 24.02.2014,,
26,10,"Обществу с ограниченной ответственностью ""КАРАТ-плюс""","Место нахождения юридического лица: г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, улица Нефтяников, д. 2","Розничная продажа алкогольной продукции .                                                                                                                                                   1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, д. 106, магазин ""Продукты"" в ТРЦ ""Олимп"";
2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, д. 106, кафе ""Карабас"" в ТРЦ ""Олимп"";
3. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, д. 106, бар в бильярдном клубе ""Русская пирамида"" в ТРЦ ""Олимп"";
4. г. Урай Ханты-Мансийского автономногоокруга-Югры Тюменской области, ул. Узбекистанская, д. 7, магазин ""Пальмира"";
5. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Нефтяников, д. 2, магазин  ""Мясо-рыба"";
6. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Нефтяников, д. 2, магазин № 20 ""Овощи"";
7. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон ""1 Г"", д. 65, магазин ""Продукты"" в ТЦ ""Армада"";
8. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, Промбаза проезд 1, подъезд 13, магазин ""Агроника"";
9. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, Промзона, территория базы ОРСа, складское помещение №23, отдел в складском помещении №23.","002845, Р№",05.03.2011 до 06.06.2014,,настоящая лицензия выдана в порядке переоформления лицензии   №  4662  07.04.2008
27,11,"Обществу с ограниченной ответственностью ""Элемент-Трейд""","г.Екатеринбург, улица Щербакова, дом 4","1. г. Урай, Ханты-Мансийского автономного округа - Югры, Тюменской области, микрорайон Западный, дом 24, Универсам ""Монетка""","002852, Р№",10.06.2011 до 10.06.2016,,
28,12,"Обществу с ограниченной ответственностью ""Абсолют""","Место нахождения юридического лица: г.Урай, Ханты-Мансийского автономного округа - Югры, Тюменской области, микрорайон Г, дом 60","1. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон 3, дом 53, магазин ""Евра"";
2. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон Г, дом 60, магазин ""Северянка"";
3. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон Д, дом 49 А, магазин ""У Ольги"";
4. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон 2, дом 88, магазин ""Лакомка"";
5. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон 2, дом 44 А, вино-водочный отдел в торговом центре ""Астерия"".
6. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон Г, дом 28, вино-водочный отдел в торговом комплексе ""Весна"".","002853, Р№",30.06.11 до 30.12.2013,,настоящая лицензия выдана в порядке переоформления лицензии рег. № 4 508 от 13.12.2007
29,2,"Обществу с ограниченной ответственностью ""ЛЕЙЛА""","Место нахождения юридического лица: г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, микрорайон 3, дом 20, квартира 14","1. г. Урай, Ханты-Мансийского автономного округа-Югры, Тюменской области, улица Урусова, в районе жилых домов 7-8.","002841, Р№",24.02.11 до 24.02.2012,,
