11,"Общество с ограниченной ответственностью «Аристократ»   
","Сушина 
Оксана 
Борисовна
","г. Губкинский, мкр.12, д. 41                       тел. 3-28-48
","бар «Аристократ» (мкр.12, д. 41)
(временно закрыт);","свыше 1,5%","Г 128571
",01.03.2012 рег. № 277,06.09.2011 05.09.2012,,,,,,,,,,,,,,,,,
,,,,"ресторан ""Тиффани"" (мкр. 5, д. 42)",,,,,,,,,,,,,,,,,,,,,
12,Общество с ограниченной ответственностью «Купец»,"Мельник 
Светлана 
Васильевна
","г. Губкинский, мкр.9, д. 14, кв. 2
тел. 5-69-21, 5-71-23
","отдел ""Вино-водка"" в магазине 
«Купец-4» (г. Губкинский, мкр. 6, д.5);","свыше 1,5%",Г 128569,19.09.2011 рег. № 275,19.09.2011 18.09.2012,,,,,,,,,,,,,,,,,
,,,,"отдел ""Вино-водка"" в магазине 
«Купец-3» (г. Губкинский, мкр. 6);", до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел ""Вино-водка"" в магазине 
«Купец-2» (г. Губкинский, мкр. 2);", до 15 %;,,,,,,,,,,,,,,,,,,,,
13,"Общество с ограниченной ответственностью ""Эклипс""","Цымбал 
Леонид Ильич
","г. Губкинский, мкр.11, д. 53, кв.7","отдел «Алкогольная продукция» магазина «Каспий» 
(мкр.12, д.47);","свыше 1,5%",Г 128573 ,23.03.2012  рег № 279,31.03.2012  30.03.2015,,,,,,,,,,,,,,,,,
14,"Общество с ограниченной ответственностью ""Ягодка""",Рузавина Наталья Владимировна,"г. Губкинский, мкр.7, д. 6 5-47-86","павильон ""Ягодка""
(мкр. 7);","свыше 1,5%",Г 128522,25.03.2010 рег. № 236,06.04.2007  05.04.2012,,,,,,,,,,,,,,,,,
15,"Общество с ограниченной ответственностью ""Ямалбизнес""",Ломкина Людмила Мунировна,"г. Губкинский, мкр.16, д. 15
тел. 5-64-90
","павильон «Ирина» 
 (мкр.14);","свыше 1,5%",Г128455,19.07.2007 рег. № 176,19.07.2007 18.07.2012,,,,,,,,,,,,,,,,,
16,Общество с ограниченной ответственностью «ПНГ-ОРС»,Ельцова Елена Борисовна,"Г. Губкинский, панель №4 
5-12-79, 5-18-81","кафе №8 (мкр. 10, д.3)","свыше 1,5%",Г 128473,28.03.2008  рег. №190,28.03.2008 27.03.2013,,,,,,,,,,,,,,,,,
,,,,"столовая №9
(Пуровский р-он, 
п. Пурпе, база ООО «ПНГ-Склад»)",,,,,,,,,,,,,,,,,,,,,
17,Общество с ограниченной ответственностью  «Норд Премиум Бизнес»,"Соколова 
Ольга Сергеевна
","г. Губкинский, мкр. 5, д. 42,  5-11-97","бар «Барин» 
(г.Губкинский, мкр. 5, д. 42)","свыше 1,5%",Г 128494,19.09.2008 рег. № 210,19.09.2008 18.09.2013,,,,,,,,,,,,,,,,,
18,Общество с ограниченной ответственностью «Катюша»,Тищенко Галина Валентиновна,"г. Губкинский, мкр. 9,  д. 12, кв. 70
6-32-50
","кафе «Катюша» 
( г. Губкинский, ПКиО, д. 7) ","свыше 1,5%",Г 128509,27.05.2009 рег.№ 223,27.05.2009 26.05.2014,,,,,,,,,,,,,,,,,
19,Общество с ограниченной ответственностью «Сибирь»,"Кириченко Владимир
Григорьевич
","г. Губкинский, мкр. 5,  д. 42
3-54-84
","кафе «Таланга» 
(г. Губкинский, мкр. 2, д. 57);","свыше 1,5%",Г128554,19.07.2011 рег. №262,22.07.2009  21.07.2014,,,,,,,,,,,,,,,,,
,,,,"буфет  «Сибирь» 
(г. Губкинский, мкр.5, д.42)",,,,,,,,,,,,,,,,,,,,,
20,"Общество с ограниченной ответственностью  ""Рубин""",Филимоненков Юрий Анатольевич,"г. Губкинский, мкр. 11, д. 58","отдел ""Вино-водка"" в магазине ""Березка"" (мкр. 11, д. 58)","свыше 1,5%",128567,15.09.2011 рег.№ 274,25.12.2009  24.12.2014,,,,,,,,,,,,,,,,,
,,,,"магазин Брудершафт, ТЦ ""Байкал"" Пуровский район г. Тарко-Сале, 
ул. Труда 4а.",,,,,,,,,,,,,,,,,,,,,
21,"Общество с ограниченной ответственностью  ""Согласие""              (ООО ""СГС"")",Старшинина Валентина Прохоровна,"г. Губкинский, мкр. 2, общ. 58, кв. 14","отдел ""Вино-водка"" в минимаркете
 ""Наш магазин"" (мкр. 6)","свыше 1,5%",Г128538,21.12.2010 рег. №247,06.07.2010-05.07.2015,,,,,,,,,,,,,,,,,
,*, - объекты расположенные за пределами города Губкинский,,,,,,,,,,,,,,,,,,,,,,,
,*,- вновь оформленные лицензии,,,,,,,,,,,,,,,,,,,,,,,
22,"Общество с ограниченной ответственностью  ""Квадрат""              ",Кульгин Олег Иванович,"г. Губкинский, мкр.1, д. 27, кв.20,21
тел. 5-47-89
","ресторан ""Норд +""
 (мкр. 12, д. 25, ТЦ ""Меркурий"")","свыше 1,5%",Г128542,07.03.2012 рег. № 278,07.03.2012-06.03.2013,,,,,,,,,,,,,,,,,
23,"Общество с ограниченной ответственностью  ""Петрович и Ко""              ",Косолап Петр Петрович,"г. Губкинский, панель 5, производственная база № 0005 
тел. 5-20-42
","отдел «Вино-водка» магазина ГК «Берлога» (г.Губкинский, промышленная зона, панель 9, производственная база № 0002, д. 1)","свыше 1,5%",Г128561,19.08.2011 рег. №269,19.08.2011-18.08.2013,,,,,,,,,,,,,,,,,
,,,,"кафе ГК  «Берлога»  
(г. Губкинский, промышленная зона, панель 9, производственная база № 0002, д. 1)",,,,,,,,,,,,,,,,,,,,,
24,"Общество с ограниченной ответственностью  ""Ямал-Пурпе""              ",Крысяк        Лариса Петровна,"г. Губкинский, мкр.14, д. 22, кв.20
тел. 5-34-39
","кафе ""Ларен"" в ТЦ ""Ямал-Пурпе"" 
(мкр. 4, д. 32)","свыше 1,5%",Г128570,17.02.2012 рег. №276,17.02.2012-16.02.2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,4/1/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,исп.Третьякова Ирина Николаевна,,,,,,,,,,,,,,,,,,,,,,,,
,телефон: (34936) 3-98-14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
