№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
61,"ООО ""Рафаэль""",6725013512,1076725000802,"216500, Смоленская область, г. Рославль, 15 микрорайон, д. 31, кв. 142","216500, Смоленская область, г. Рославль, 15 микрорайон, остановка ""Поликлиника"" (павильон ""Рафаэль"")",№ 1526                     Г 679529,20 июля 2007,по 20 июля 2012,,,,,,,,,,,,,,,
62,"ООО ""Гермес""",6725013544,1076725000824,"216500, Смоленская область, г. Рославль, ул. Э. Г. Репина, кольцо 17 микрорайон","216500, Смоленская область, г. Рославль, ул. ЗЭ. Г. Репина, кольцо 17 микрорайон (павильон ""24 часа"")",№ 1525                 Г 679526,20 июля 2007,по 20 июля 2012,,,,,,,,,,,,,,,
63,"ООО ""Рябинки""",6725013671,1076725001033,"216537, Смоленская область, Рославльский район, автодорога Брянск-Смоленск, 273 км","216537, Смоленская область, Рославльский район, автодорога Брянск-Смоленск, 273 км (закусочная ""Рябинки"")",№ 1552                       Г 679556,29 августа 2007,по 29 августа 2012,,,,,,,,,,,,,,,
64,"ООО ""Вета""",6725013600,1076725000934,"216500, Смоленская область, г. Рославль, ул. Мичурина, д. 179","216500, Смоленская область, г. Рославль, ул. Мичурина, д. 179 (магазин ""Продукты"")",№ 1551              Г 679555,27 августа 2007,по 27 августа 2012,,,,,,,,,,,,,,,
65,"ООО ""Россия""",6725007420,1026700928583,"216500, Смоленская область, г. Рославль, 15-ый микрорайон, д. 39","216500, Смоленская область, г. Рославль, 15-ый микрорайон, д. 39 (бары танцевального зала ДК ""Россия"")",№ 1546                  Г 679546,16 августа 2007,по 16 августа 2012,,,,,,,,,,,,,,,
66,"ООО ""У Семеныча""",6725013632,1076725000989,"216500, Смоленская область, Рославльский район, дер. Бывальское","216500, Смоленская область, Рославльский район, дер. Бывальское (закусочная)",№ 1540                   Г 679541,17 сентября 2007,по 08 августа 2012,,,,,,,,,,,,,,,
,,,,,"216521, Смоленская область, Рославльский район, д. Астапковичи (закусочная)",,,,,,,,,,,,,,,,,,
67,"ООО ""Торгово- комерческий центр-1""",6725014065,1086725000273,"216500, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 14","216500, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 14 (магазин ""Ситалл""), без ограничений",№ 1658               Б 005235,13 октября 2010,по 22 апреля 2013,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 14 (кафе ""Ситаллик""), без ограничений",, ,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 14 (бар ""Каламбур""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 4-ый Смоленский переулок, д. 49, корпус 2 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 15 микрорайон (магазин ""Сапсан"", без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500,Смоленская область, г. Рославль, 15 микрорайон (бар ""Сапсан""), без ограничений",,,,,,,,,,,,,,,,,,
68,"ООО ""Лайма""",6725013865,1076725001374,"216500, Смоленская область, г. Рославль, 1-й Дачный переулок, д. 27","216537, Смоленская область, Рославльский район, п. Остер, ул. Строителей (торговый павильон ""Лайма"")",№ 1609              Г 679626,18 декабря 2007,по 18 декабря 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 1-ый Дачный переулок, д. 2-а (магазин ""Удачный"")",,,,,,,,,,,,,,,,,,
69,"ООО ""Вяхори""",6725014033,1086725000218,"216500, Смоленская область, Рославльский район, дер. Вяхори","216500, Смоленская область, Рославльский район, дер. Вяхори (закусочная ""Вяхори"")",№ 1661                  Г 679684,30 апреля 2008,по 30 апреля 2013,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 15 микрорайон, д. 2 (закусочная ""Трапеза"")",,,,,,,,,,,,,,,,,,
70,"ООО ""Подорожник""",6725015527,1106725000359,"214012, Смоленская область, Рославльский район, г. Рославль, ул. Пушкина, д. 64","216502, Смоленская область, г. Рославль, ул. Пушкина, д. 64 (магазин), без ограничений",№ 1970                 Б 005379,22 февраля 2011,по 22 февраля 2012,,,,,,,,,,,,,,,
71,"ООО ""ЛИДЖАН""",6725015799,1106725000722,"216521, Смоленская область, Рославльский район, д. Астапковичи","216500, Смоленская область, г. Рославль, ул. Пролетарская, территория рынка (магазин), без ограничений",№ 1963                     Б 005368,17 февраля 2011,по 17 февраля 2012,,,,,,,,,,,,,,,
72,ОАО ДЭП №44,6725015439,1106725000227,"216500, Смоленская область, г. Рославль, ул. Б. Смоленская, д. 28","216500, Смоленская область, г. Рославль, ул. Б. Смоленская, д. 28 (магазин), без ограничений",№ 1921                Б 005238,14 октября 2010,по 14 октября 2012,,,,,,,,,,,,,,,
73,"ОАО ""720 ремонтный завод средсив обеспечения полетов""",6725015051,1096725000701,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 6","216500, Смоленская область, г. Рославль, 34 микрорайон, д. 12-а (магазин)",№ 1874                Б 005167,29 октября 2009,по 29 октября 2014,,,,,,,,,,,,,,,
74,"ООО ""Мрия""",6725013520,1076725000813,"216500, Смоленская область, Рославльский район, д. Городецкое","216500, Смоленская область, Рославльский район, д. Городецкое (кафе)",№ 1846                Б 005126,02 июня 2009,по 02 июня 2014,,,,,,,,,,,,,,,
75,"ООО ""Фабрика""",6725014428,1086725000889,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 9","216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 9 (кафе)",№ 1793               Б 005057,17 декабря 2008,по 17 декабря 2013,,,,,,,,,,,,,,,
76,"ООО ""ТД ""Чародей""",6725010102,1036700000700,"216500, Смоленская область, г. Рославль, ул. Дачная, д. 1","216500, Смоленская область, г. Рославль, ул. Дачная, д. 1 (магазин)",№ 1780                 Б 005036,17 декабря 2008,по 17 декабря 2013,,,,,,,,,,,,,,,
77,"ООО ""ЗеВС""",6725011272,1056700015910,"216500, Смоленская область, г. Рославль, ул. Карла Маркса, 3, 4","216500, Смоленская область, г. Рославль, ул. Карла Маркса, д. 1 (магазин ""Мечта"")",№ 1777                 Б 005042,27 декабря 2008,по 27 декабря 2013,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, Рославльский район, д. М. Кириллы, ул. Молодежная, д. 34 (магазин ""Домик в деревне"")",,,,,,,,,,,,,,,,,,
78,"ООО ""Белые ночи""",6725014516,1086725001043,"216500, Смоленская область, г. Рославль, ул. Большая Смоленская, д. 5. кв. 38","216400, Смоленская область, г. Десногорск, 1-ый микрорайон, ГСК ""Десна"" (кафе)",№ 1744                 Б 005004,28 сентября 2010,по 13 ноября 2013,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, Рославльский район, пересечение а,д на Москву и ж/д на АЭС (на кафе)",, ,,,,,,,,,,,,,,,,
79,"ООО ""Рославльская торговая база ОПС""",6725009361,1026700923193,"216430, Смоленская область, Рославльский район, д. Козловка","216430, Смоленская область, Рославльский район, д. Козловка (магазин)",№ 1739                 Г 679794,12 ноября 2008,по 12 ноября 2013,,,,,,,,,,,,,,,
80,"ООО ""Диалог""",6725007290,1026700924964,"216520, Смоленская область, г. Рославль, пос. Стеклозавода, д. 1-а","216520, Смоленская область, г. Рославль, пос. Стеклозавода, д. 1-а (магазин)",№ 1711               Г 679757,15 сентября 2008,по 15 сентября 2013,,,,,,,,,,,,,,,
81,"ФКУ ""ИК №6 УФСИН  России по Смоленской области""",6725008752,1026700928506,"216500, Смоленская область, г. Рославль, ул. Карла Маркса","216500, Смоленская область, г. Рославль, ул. Карла Маркса (магазин)",№ 1708                  Г 679758                            (Г 301850)                     ,15 сентября 2008,по 15 сентября 2013,,реорганизация,,,,,,,,,,,,,
82,"ООО ""Узон-Трейд""",6725011152,1056700010190,"216500, Смоленская область, г. Рославль, ул. Урицкого, 14","216500, Смоленская область, г. Рославль, ул. Урицкого, 14 (магазин)",№ 1706                 Г 679753,04 сентября 2008,по 04 сентября 2013,,,,,,,,,,,,,,,
83,"ООО ""Шторм""",6725014682,1096725000063,"216500, Смоленская область, Рославльский район, д. Козловка, ул. Гагарина, д. 35","216500, Смоленская область, Рославльский район, д. Козловка, ул. Гагарина, д. 35 (магазин), без ограничений",№ 1839                Б 005288,10 декабря 2010,по 03 апреля 2014,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Красноармейская, торговый ряд напротив Трикотажной фабрики (торговый павильон), до 15%",,,,,,,,,,,,,,,,,,
84,"ООО ""Алена""",6725014139,1086725000405,"216533, Смоленская область, Рославльский район, с. Екимовичи, ул. Ленинская, д.10","216533, Смоленская область, Рославльский район, с. Екимовичи, ул. Ленинская, д. 10 (магазин), без ограничений",№ 1699                   Г 679740,28 июнля 2008,по 28 июля 2013,,,,,,,,,,,,,,,
85,"ФКУ ""ИК № 6 УФСИН России по Смоленской области""",6725008752,1026700928506,"216500, Смоленская область, г. Рославль, ул. Карла Маркса","216500, Смоленская область, г. Рославль, ул. Карла Маркса (магазин), без ограничений",№ 1708                    Г 301850,21 ноября 2011,до 15 сентября 2013,,,,,,,,,,,,,,,
86,Рославльское РАЙПО,6725000464,1026700923260,"216500, г. Рославль, ул. Пролетарская, 33-а","216500, Рославльский район, д. Волковичи (магазин ТПС), без ограничений","№1282                           Б 005396
 ",01 сентября 2006,01 сентября 2011,,,,,,,,,,,,,,,
,,,,," 216500, Рославльский район, д. Барсуки (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,," 216500, Рославльский район, д. Костыри (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/4 –  216500, Рославльский район, д. Колпино (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/5 –  216500, Рославльский район, д. Богданово (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/6 –  216500, Рославльский район, д. Козловка, ул. Мира, д. 42 (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/7 –  216500, Рославльский район, д. Козловка, ул. Мира, д. 47 (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/8 –  216500, Рославльский район, с. Остер, ул. Железнодорожная, д. 1 (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/9 –  216500, Рославльский район, с. Остер, ул. Советская, д. 4 (универмаг), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/10 –  216500, Рославльский район, д. Кириллы (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/11 –  216500, Рославльский район, д. Грязенять (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/12 –  216500, Рославльский район, д. Перенка (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/13–  216500, Рославльский район, д. Липовка (магазин ТПС № 1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/14 –  216500, Рославльский район, д. Липовка (магазин ТПС № 2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/15 –  216500, Рославльский район, д. Крапивенская (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/16 –  216500, Рославльский район, д. Крапивенская (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/17 –  216500, Рославльский район, д. Доротовка (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/18 –  216500, Рославльский район, д. Лахи (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/19 –  216500, Рославльский район, д. Пригорье (магазин ТПС № 1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/20 –  216500, Рославльский район, д. Пригорье (магазин ТПС № 2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/21 –  216500, Рославльский район, д. Жарынь (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/22 –  216500, Рославльский район, д. Епишево (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/23 –  216500, Рославльский район, д. Крупец (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/24 –  216500, Рославльский район, д. Волконщина (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/25 –  216500, Рославльский район, д. Горлово (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/26 –  216500, Рославльский район, д. Бехово (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/27 –  216500, Рославльский район, д. Астапковичи (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/28 –  216500, Рославльский район, д. Лесники (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/29 –  216500, Рославльский район, д. Павловка (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/30 –  216500, Рославльский район, д. Петрово (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/31 –  216500, Рославльский район, д. Хорошово (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/32 –  216500, Рославльский район, д. Коски (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/33 –  216500, Рославльский район, д. Чижовка (магазин ТПС № 1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/34 –  216500, Рославльский район, д. Чижовка (магазин ТПС № 2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/35 –  216500, Рославльский район, д. Утоки (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/36 –  216500, Рославльский район, п. Красный, д. Надворное (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/37 –  216500, Рославльский район, с. Екимовичи, ул. Первомайская, д. 3 (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/38 –  216500, Рославльский район, с. Екимовичи, ул. Б. Советская, д. 59 (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/39 –  216500, Рославльский район, с. Екимовичи, ул. Заводская (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/40 –  216500, Рославльский район, с. Екимовичи, ул. Б. Советская, д. 92 (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/41–  216500, Рославльский район, д. Ивановское (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/42–  216500, Рославльский район, д. Савеево (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/43–  216500, Рославльский район, д. Новоселки (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/44–  216500, Рославльский район, д. Крапивна (магазин ТПС № 1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/45–  216500, Рославльский район, д. Крапивна (магазин ТПС № 2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/46–  216500, Рославльский район, д. Коханы (магазин ТПС), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/47–  216500, г. Рославль, ул. Пролетарская, д. 33-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/48–  216500, г. Рославль, ул. Б. Смоленская, д. 6 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/49–  216500, г. Рославль, 165 квартал, д. 5 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/50–  216500, г. Рославль, ул. К. Маркса, д. 164 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/51–  216500, г. Рославль, ул. Чехова, д. 20 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/52–  216500, г. Рославль, ул. Октябрьская, д. 26 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/53–  216500, г. Рославль, ул. Советская (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/54–  216500, Рославльский район, д. Коски (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/55–  216500, Рославльский район, с. Екимовичи (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/56–  216500, г. Рославль, ул. Пролетарская, д. 33-а (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/57–  216500, Рославльский район, д. Павловка (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/58–  216500, г. Рославль, ул. Орджоникидзед, д. 2 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1282/59–  216500, Рославльский район, д. М.Кириллы (закусочная), без ограничений.",,,,,,,,,,,,,,,,,,
,,,,,"1282/60–  216500, г.Рославль, ул. Белинского, д. 19 (магазин ""Эконом""), без ограничений.",,,,,,,,,,,,,,,,,,
87,"ООО ""Фаэтон""",6725013488,1076725000769,"216500, Смоленская область, г. Рославль, 17-й микрорайон, д. 5, кв 16","216500, Смоленская область, г. Рославль, ул. Красина, д.13 (закусочная)",№ 1530               Г 679531,24 июля 2007,по 24 июля 2012,,,,,прекращено по заявлению,,,,,,,,,,
88,"ООО ""Шар""",6725015245,1096725001240,"216527, Смоленская область, Рославльский район, д. Павловка, ул. Мира","216580, Смоленская область, с. Ершичи, ул. Советская, д. 21 (магазин ""Карида""), без ограничений",№ 2077                         Г 301950,21 декабря 2011,до 21 декабря 2012,,,,,,,,,,,,,,,
