№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
,,,,,"215560, Смоленская область, Сафоновский район, д. Дурово, ул. Совхозная, д. 6, (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Вышегор, ул. Тухачевского (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215503, Смоленская область, Сафоновский район, д. Дроздово, ул. Луговая, д. 4 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215525, Смоленская область, Сафоновский район, д. Рыбки, ул. Центральная, д. 1 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215541, Смоленская область, Сафоновский район, д. Терентеево (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215563, Смоленская область, Сафоновский район, д. Беленино, ул. Центральная, д. 1 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Мишенино, ул. Молодежная, д. 56 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215536, Смоленская область, сафоновский район, с. Васильевское, ул. Центральная, д. 58 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215523, Смоленская область, Сафоновский район, д. Пушкино, ул. Пролетарская, д. 25(магазин ТПС)",,,,,,,,,,,
,,,,,"215500, Смоленская область, сафоновский район, д. Анохово, ул. Магистральная, д. 2 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215527, Смоленская область, Сафоновский район, д. Бараново, ул. Советская, д. 13 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Высокое, ул. Центральная, д. 21 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215557, Смоленская область, Сафоновский район, д. Казулино, ул. Центральная, д. 2 (магазин ""Продукты""), без ограничений",,,,,,,,,,,
,,,,,"215556, Смоленская область, Сафоновский район, д. Николо-Погорелое, ул. Днепровская, д. 20 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215556, Смоленская область,Сафоновский район, д. Николо-Погорелое, ул. Днепровская, д. 22 (бар), без ограничений",,,,,,,,,,,
,,,,,"215520, Смоленская область, Сафоновский район, пос. Вадино, ул. Советская, д. 21 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215540, Смоленская область, Сафоновский район, пгт. Издешково, 1-а Ленинская, д.34 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215540, Смоленская область, Сафоновский район, пгт. Издешково, ул. Гвардейская, д. 8 (магазин ""Продукты""), без ограничений",,,,,,,,,,,
,,,,,"215540, Смоленская область, Сафоновский район, пгт. Издешково, Советская, д. 3 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215540, Смоленская область, Сафоновский район, пгт. Издешково, ул. Гвардейская, д. 6(бар), без ограничений",,,,,,,,,,,
,,,,,"215541, Смоленская область, Сафоновский район, д. Прудки, ул. Центральная (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Старое Истомино (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215565, Смоленская область, Сафоновский район, д. Игнатково (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215563, Смоленская область, Сафоновский район, д. Старое село, ул. Придорожная, д. 12 (магазин ТПС с баром), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Морозово (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215530, Смоленская область, Сафоновский район, д. Зимницы, ул. Центральная, д. 34 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215552, Смоленская область,Сафоновский район, д. Богдановщина, ул. Центральная, д. 9 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Кононово, ул. Школьная, д. 11 (магазин ТПС с баром), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, пос. Алферово, ул. Привокзальная, д. 16 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Троица (автолавка №1), до 15%",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Холм (автолавка №2) до 15%",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновски район, д. Ерошино (автолавка №3), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Маршала Жукова, 12 (магазин ""Кооператор""), без ограничений ",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Духовщинское шоссе, 10 (раймаг №2), без ограничений",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Прохорова, 44/1 (магазин ""Сельхозпродукты""), без ограничений",,,,,,,,,,,
,,,,,"215820, Смоленская область, Ярцевский район, д. Капыревщина, ул. Магистральная, 61-а (магазин-заготпункт), без ограничений",,,,,,,,,,,
,,,,,"215816, смоленская область, Ярцевский район, д. Ольхово, ул. Центральная, д. 32 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215841, Смоленская область, Ярцевский район, д. Засижье, ул. Центральная, д. 1/2 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215817, Смоленская область, Ярцевский район, д. Петрово, ул. Центральная, д. 6 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215825,Смоленская область, Ярцевский район, д. Климово, ул. Центральная, д. 18 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215827, Смоленская область, Ярцевский район, д. Львово, ул. Заречная, д. 15 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215820,Смоленская область, Ярцевский район, д. Капыревщина, ул. Советская, 14 (магазин ТПС с баром), без ограничений",,,,,,,,,,,
,,,,,"215825, Смоленская область, Ярцевский район, д. Репино, пер. Центральный, д. 1 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215824, Смоленская область, Ярцевский район, д. Мирополье, ул. Победы, д. 6 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215814, Смоленская область, Ярцевский район, д. Подроща, пер. Центральный, д. 1 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215833, Смоленская область, Ярцевский район, д. Сапрыкино-2, ул. Центральная, д. 15 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215840, Смоленская область, Ярцевский район, д. Суетово, ул. Магистральная, д. 8-а (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215821, Смоленская область, Ярцевский район, д. Кротово, ул. Озерная, д. 1 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215823, Смоленская область, Ярцевский район, д. Печеничино, Дорожный пер., д. 2 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215820, Смоленская область, Ярцевский район, д. Самсоново, пер. Озерный, д. 3 (магазин ТПС), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, г. Сафоново, ул. Заозерная, д. 4(магазин), без ограничений",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Халтурина, д. 45-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"215525, Смоленская область, Сафоновский район, д. Рыбки, ул. Центральная, д. 1 (бар)без ограничений",,,,,,,,,,,
15,"ООО ""МАРС""",6726010867,1056721977509,"215503, Смоленская область, г. Сафоново, ул. Ленинградская, д. 5, кв. 5","215500, Смоленская область, г. Сафоново, ул. Ленинградская, д. 29 (магазин), без ограничений",№ 746                 Б 005465,10 мая 2011,по 01 июня 2011, до 02 июня 2014,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 2 (магазин)",,01 июня 2006,по 01 июня 2011,,исключение объекта,,,,,,
16,"ООО ""Исток""",6726011420,1066726014794,"215500, Смоленская область, г. Сафоново, ул. Кутузова, д. 31","215500, Смоленская область, г. Сафоново, ул. Кутузова, д. 31 (магазин), без ограничений",№ 961                 Б 004920,16 июня 2011,по 29 июня 2011,до 30 июня 2012,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Кутузова, д. 31/1",,29 июня 2006,по 29 июня 2011,,исключение объекта,,,,,,
17,"ООО ""Экстра""",6726011518,1066726014926,"215500, Смоленская область, г. Сафоново, ул. Октябрьская, д. 11, кв. 134","215500, Смоленская область, г. Сафоново, 1-й микрорайон, дю 18 (магазин), без ограничений",№ 970                 Б 004901,10 июня 2011,по 30 июня 2011,до 01 июля 2016,,,,,,,
18,"ООО ""НИКА""",6726011444,1066726014838,"215500, Смоленская область, г. Сафоново, ул. Первомайская, д. 7, кв. 9","215500, Смоленская область, г. Сафоново, ул. Первомайская, у жилых домов №7 и №9 (торговый павильон), без ограничений",№ 932                 Б 004961,30 июня 2011,до 30 июня 2012,,,,,,,,
19,"ООО ""Дивос""",6726011356,1066726014728,"215500, Смоленская область, г. Сафоново, ул. Гагарина, д. 5, кв. 90","215500, Смоленская область, г. Сафоново, ул. Гагарина, около д. 5 (торговый павильон), без ограничений",№ 986                 Б 005754,30 июня 2006,по 30 июня 2011,до 01 июля 2016,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Энгельса, около д. 17, (торговый павильон), без ограничений",,,,,,,,,,,
20,"ОО ""САМ""",6726011412,1066726014772,"215500, Смоленская область, г. Сафоново, ул. Шахтерская, д. 7, кв. 23","215500, Смоленская область, г. Сафоново, ГМП, д. 20, (магазин), без ограничений",№ 930                 Б 005696,29 июня 2006,по 29 июня 2011,до 30 июня 2012,,,,,,,
21,"ООО ""Лада""",6726011349,1066726014684,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 1-а, кв. 115","215500, Смоленская область, г. Сафоново, ул. Шахтерская, д. 6 (магазин), без ограничений",№ 895                 Б 004974,30 июня 2011,до 30 июня 2012,,,,,,,,
22,"ООО ""СМАК""",6726011290,1066726014618,"215500, Смоленская область, г. Сафоново, ул. Первомайская, д. 1, кв. 8","215500, Смоленская область, г. Сафоново, ул. Ленина, северо-восточнее д. 2 (магазин), до 15%",№ 808                 Б 004980,02 июля 2011,до 02 июля 2016,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 26-а (кафе), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2 микрорайон, в районежилого дома №31 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2 микрорайон, около д. 12 (торговая палатка), до 15%",,,,,,,,,,,
,,,,,"215500, смоленская область, г. Сафоново, ул. Шахтерская, около д. 1 (торговая палатка), до 15%",,,,,,,,,,,
23,"ООО ""Экстра""",6726011518,1066726014926,"215500, Смоленская область, г. Сафоново, ул. Октябрьская, д. 11, кв. 134","215500, Смоленская область, г. Сафоново, 1-й микрорайон, д. 18 (магазин), без ограничений",№ 970                 Б 004901,10 июня 2011,по 30 июня 2011,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ленинградская, около д. 27 (торговая палатка)",,30 июня 2006,по 30 июня 2011,,исключение объекта,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, перекресток ул. Ленинградская - ул. Тимирязева (торговая палатка)",,30 июня 2006,по 30 июня 2011,,исключение объекта,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 1 микрорайон, около д. 18 (павильон)",,30 июня 2006,по 30 июня 2011,,исключение объекта,,,,,,
24,"ООО ТОРГОВЫЙ ДОМ ""УНИВЕРСАЛ-ПЛЮС""",6726010257,1056721965002,"215524, Смоленская область, Сафоновский район, д. Вышегор, а/д Москва-Минск 310 км,. Здание отеля ""Люкс-310""","215524, Смоленская область, Сафоновский район, д. Вышегор, 310 км, а/д Москва-Минск (магазин №1)",№ 725                 В 317882,04 мая 2006,по 04 мая 2011,,,,,,,,
,,,,,"215524, Смоленская область, сафоновский район, д. Вышегор, 310 км. а/д Москва-Минск (магазин №2)",,,,,,,,,,,
,,,,,"215524, Смоленская область, сафоновский район, д. Вышегор, 310 км. а/д Москва-Минск (кафе ""Люкс-310"")",,,,,,,,,,,
,,,,,"215524, Смоленская область, Сафоновский район, д. Дурово, 291 км. а/д Москва-Минск (магазин № 3)",,,,,,,,,,,
,,,,,"215524, Смоленская область, Сафоновский район, д. Залужье, 365 км. а/д Москва-Минск (магазин №4)",,,,,,,,,,,
25," ООО ""ГУРМАН""",6726010842,1056721975859,"215506, Смоленская область, г. Сафоново, 2-ой микрорайон, д. 21","215506, Смоленская область, г. Сафоново, 2-ой микрорайон, д. 21 (магазин)",№ 727                Г 246000,04 мая 2006,по 04 мая 2011,,,,,,,,
26,"ООО ""У ДОРОГИ""",6726010955,1066726001022,"215557, Смоленская область, Сафоновский район, дер. Казулино","215557, Смоленская область, Сафоновский район, д. Казулино (магазин)",№ 632                 Г 679229,27 февраля 2006,по 27 февраля 2011,,,,,,,,
27,"ООО ""ЛИВ""",6726010610,1056721974033,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 1, А, кв. 112","215500, Смоленская область, Сафоновский район, п. Богдановщина (магазин)",№ 678                 Г 679290,06 апреля 2006,по 06 апреля 2011,,,,,,,,
28,"ООО ""Империя""",6726015086,1106726001040,"215650, Смоленская область, г. Сафоново, ул. Гагарина, д. 8, кв. 80","215650, Смоленская область, Холм-Жирковский район, пгт. Холм-Жирковский, ул. Героя Соколова, д. 4 (магазин0, без ограничений",№ 1969               Б 005391,14 марта 2011,до 14 марта 2013,,,,,,,,
29,"ООО ""Славяночка""",6726010874,1056721978004,"215500, Смоленская область, г. Сафоново, ул. Свободы, д. 3","215500, Смоленская область, г. Сафоново, ул. Куйбышева, д. 1, (магазин), без ограничений",№ 664                 Г 679271,27 марта 2006,по 27 марта 2011,до 28 марта 2014,,,,,,,
30," ООО ""Космос""",6726011540,1066726015003,"215500, Смоленская область, г. Сафоново, ул. Энгельса, 7-а","215500, Смоленская область, г. Сафоново, ул. Энгельса, д. 7-а (кафе), без ограничений",№ 1086               Б 005847,10 июля 2006,по 10 июля 2011,до 11 июля 2013,,,,,,,
31,"ООО ""ТК Березка""",6726011229,1066726014497,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 31","215500, Смоленская область, г. Сафоново, ул. Ленина, д. 31 (кафе), без ограничений",№ 811                 Б 004939,02 июля 2011,до 02 июля 2014,,,,,,,,
32," ООО ""Надежда""",6726010955,1066726001022,"215557, Смоленская область, Сафоновский Район, д. Казулино, ул. Центральная, д. 25","215557, Смоленская область, Сафоновский район, д. казулино, ул. Центральная, д. 25 (магазин), без ограничений",№ 1994                Б 005440,20 апреля 2011,до 20 апреля 2012,,,,,,,,
33,"ООО ""Диалог""",6726011821,1066726015949,"215500, Смоленская область, г. Сафоново, Доргобужский проезд, 3","215500, Смоленская область, г. Сафоново, Дорогобужский проезд, 3(магазин)",№ 1347               В 445756,27 октября 2006,по 27 октября 2011,,,,,,,,
34,"ОАО ""Сафоновомясопродукт""",6726001213,1026700947712,"215500, Смоленская область, г. Сафоново, ул. Радищева, д. 11","215650, Смоленская область, пгт. Холм-Жирковский, ул. Героя Соколова, д. 4 (магазин)",№ 742                В 317903 ,02 июня 2006,по 02 июня 2011,,,,,,,,
35,"ООО ""ИНИПС""",6726000548,1026700946689,"215700, Смоленская область, г. Сафоново, ул. Заозерная, д. 2","215700, Смоленская область, г. Сафоново, ул. Заозерниая, д. 2 (магазин), без ограничений",№ 633                  Г 679242,14 марта 2006,по 14 марта 2011,до 15 марта 2013,,,,,,,
36,"ООО ""ДОРОЖНОЕ""",6726000435,1026700947085,"215700, Смоленская область, г. Сафоново, ул. Советская, д. 2","215500, Смоленская область, г. Сафоново, ул. Советская, д. 2 (кафе), без ограничений",№ 602                 Г 679204                              ( № 2098                 Б 004832),02 февраля 2006                          (30 января 2012),по 02 февраля 2011                        ( до 30 января 2013),до 03 февраля 2012,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 2 (магазин), без ограничений",,,,,,,,,,,
37,"ООО ""Лада""",6726011349,1066726014684,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 1-а, кв. 115","215500, Смоленская область, г. Сафоново, ул. Шахтерская, д. 6 (магазин), без ограничений",№ 895                Б 005692,29 июня 2006,по 29 июня 2011,,,,,,,,
38,"ООО ""Лариса""",6726011500,1066726014893,"215500, Смоленская область, г. Сафоново, 1 микрорайон, ул. Химиков, кафе ""Лариса""","215500, Смоленская область, г. Сафоново, 1 микрорайон, ул. Химиков (кафе ""Лариса"")",№ 1080                Б 005850,10 июля 2006,по 10 июля 2011,,,,,,,,
39,"ООО ""Дивос""",6726011356,1066726014728,"215500, Смоленская область, г. Сафоново, ул. Гагарина, д. 5, кв. 90","215500, Смоленская область, г. Сафоново, ул. Гагрина, около д. 5 (павильон)",№ 986                 Б 005754,30 июня 2006,по 30 июня 2011,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Энгельса, около д. 17 (павильон)",,,,,,,,,,,
40,"ООО Торгово-коммерческое предприятие ""Вита""",6726011532,1066726014948,"215500, Смоленская область, г. Сафоново, ул. Комсомольская, д. 2","215500, Смоленская область, г. Сафоново, ул. Комсомольская, д. 2 (магазин)",№ 989                 Б 005804,30 июня 2006,по 30 июня 2011,,,,,,,,
41,"ООО ""У Камина""",6726011483,1066726014882,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 8, кв. 53","215500, Смоленская область, г. Сафоново, 297 км. а/д Москва-Беларусь (кафе)",№ 937                Б 005892,13 июля 2006,по 29 июня 2011,,,,,,,,
42,"ООО ""Успех""",6726011331,1066726014673,"215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 28-а","215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 28-а, ""АТС-3"" (магазин)",№ 902                 Б 005659,26 июня 2006,по 26 июня 2011,,,,,,,,
43,"ООО ""КОЖЕНОВ""",6726011155,1066726012858,"215506, Смоленская область, г. Сафоново, 2 микрорайон, д. 12","215500, Смоленская область, г. Сафоново, ул. 40 лет Октября, д. 1 (магазин)",№ 873                 Б 005626,22 июня 2006,по 22 июня 2011,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 13 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2 микрорайон, д. 12 (магазин)",,,,,,,,,,,
44,"ООО ""РУБИНЫХ""",6726011363,1066726014717,"215700, Смоленская область, г. Сафоново, ул. Калинина, д. 49","215700, Смоленская область, ул. Калинина, д. 49 (магазин)",№ 846                 Б 005605,19 июня 2006,по 19 июня 2011,,,,,,,,
,,,,,"215700, Смоленская область, г. Сафоново, ул. Калинина, д. 49 (кафе)",,,,,,,,,,,
45,"ООО ""АЛЬФА""",6726012230,1076726000713,"215560, Смоленская область, Сафоновский район, д. Дурово, ул. Молодежная, д. 34","215560, Смоленская область, Сафоновский район, д. Дурово, ул. Молодежная, д. 34 (магазин)",№ 1490                Г 679487,24 мая 2007,по 24 мая 2012,,,,,,,,
46,"ООО ""ПЛАТАН""",6726008392,1026700946084,"215500, Смоленская область, г. Сафоново","215540, Смоленская область, Сафоновский район, п. Издешково, ул. Десантная, д. 2 (магазин)",№ 1471                      Г 679460,06 апреля 2007,по 06 апреля 2012,,,,,,,,
