тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ООО,Юлия,"г. Чита, ул.Журавлева, 18",,7536100338,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Журавлева, 18",171,09-Jun-09,09-Jun-09,08-Jun-14,,,,,,
о выдаче,ООО,Веста,"Забайкальский край , г. Краснокаменск, д.211/1, магазин ""Богатство Сибири""",,7530012075,753001001,"магазин ""Богатство Сибири""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,д. 211/1,172,10-Jun-09,10-Jun-09,09-Jun-14,,,,,,
о переоформлении,ООО,Запас,"Забайкальский край, г. Чита, ул. Лазебного, 2-4",1097536002706,7536100881,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Баранского, 98 а, помещение 8",0754,24-Jun-09,24-Jun-09,23-Jun-14,75 ме,002744,,,,
о выдаче,ООО,Карина,"Забайкальский край, Могочинский район, Амазар, ул. Вокзальная, 8В",,7512005163,751201001,отдел в магазине,Могочинский район,"п. Амазар,","ул. Вокзальная, 8 В",0177,26-Jun-09,26-Jun-09,25-Jun-14,,,,,,
о выдаче,ООО,Карина,"Забайкальский край, Могойтуйский район, пгт.Могойтуй, ул.Малиновского, 35",,8003037772,800301001,"отдел в магазине ""Тумеян №1""",Могойтуйский район,пгт.Могойтуй,"переулок Пионерский, б/н",180 (а),30-Jun-09,30-Jun-09,29-Jun-14,,,,,,
о выдаче,ООО,Расим,"Забайкальский край, г.Чита, ул.Ленина, 123, кв.4",,7536101652,753601001,павильон,г. Чита,г. Чита,"ул. Красноярская, 32-б",179,30-Jun-09,30-Jun-09,29-Jun-14,,,,,,
о переоформлении,ООО,Анюта,"Забайкальский край, Оловяннинский район, п.г.т. Ясногорск, ул. Ленина, д. 5 пом. 1",107751500078,7515006895,751501001,отдел в магазине,Оловяннинский район,п.г.т. Ясногорск,"мкр. Луговой, д. 4",149,06-Jul-09,06-Jul-09,05-Jul-14,,,,,,
о выдаче,ООО,Аврора,"Забайкальский край, г. Чита, улица Шилова, 16",1087536007228,7536094420,753601001,"магазин ""Парус""",г. Чита,г. Чита,"ул. Шилова, 16, помещение 65",181,06-Jul-09,06-Jul-09,05-Jul-14,,,,,,
о переоформлении,ООО,ОРИОН,"Забайкальский край, г. Борзя, переулок Весенний, 2, кв. 1",1097505000097,7529011648,752901001,"отдел в магазине ""Спика""",Борзинский район,г. Борзя,"переулок Весенний, дом 2, кв.1",183,07-Jul-09,07-Jul-09,06-Jul-14,,,,,,
о переоформлении,ООО,Ривьера,"Агинский район, п.г.т. Агинское, ул. 30-летия Победы, 100",1068080016322,8001012370,800101001,"отдел в магазине ""Буратино""",Агинский район,п.г.т. Агинское,"ул. 30-летия Победы, 100",0105,15-Jul-09,15-Jul-09,14-Jul-14,75ме,002969,,,,
о выдаче,ООО,Саядян,"Могойтуйский район, п.г.т. Могойтуй, ул. Зугалайская, б/н",1068080000207,8003037099,800301001,"магазин ""Березка""",Могойтуйский район,п.г.т. Могойтуй,"ул. Бабушкина, б/н",187 а,15-Jul-09,15-Jul-09,14-Jul-14,,,,,,
о выдаче,ООО,Надежда,"Могойтуйский район, п.г.т. Могойтуй, Комсомольская, 5",1058080071092,8003037035,800301001,"отдел в магазине ""Надежда""",Могойтуйский район,п.г.т. Могойтуй,"ул. Комсомольская, 14",186 а,15-Jul-09,15-Jul-09,14-Jul-14,,,,,,
о выдаче,ООО,Тезоро,"г. Чита, 1 мкр., д. 24",1097536001980,7536100112,753601001,отдел в магазине,г. Чита,г. Чита,"1 мкр., д. 25",188,20-Jul-09,20-Jul-09,19-Jul-14,,,,,,
о выдаче,ООО,Феникс,"Забайкальский край, Читинский район, пгт. Новокручининский, ул. Федореева, 1В",1077524002390,7524014412,752401001,"отдел в магазине ""Продукты""",Читинский район,пгт. Новокручининский,"ул. Федореева, 1б",190,28-Jul-09,28-Jul-09,27-Jul-14,,,,,,
о выдаче,ООО,Мэргэн,"Забайкальский край, п.г.т. Могойтуй, ул. Нерчинская, 17",1068080022691,8003038173,800301001,"отдел в торговом центре ""Азия""",Могойтуйский район,пгт. Могойтуй,"Могойтуйский район, п.г.т. Могойтуй, ул. Бабушкина, б/н",191 а,31-Jul-09,31-Jul-09,30-Jul-14,,,,,,
о переоформлении,ООО,Караван +,"Забайкальский край, г. Чита, 1 мкр., д. 11",1097536002190,7536100306,753601001,"отдел в магазине ""Караван""",г. Чита,г. Чита,"г. Чита, Центральный административный район, ул. Новобульварная, 42б",162,03-Aug-09,03-Aug-09,02-Aug-14,,,,,,
о выдаче,ООО,Звезда Кочевника,"Забайкальский край, п.г.т. Могойтуй, ул. Деповская, 3",1068080021921,8003038060,800301001,"магазин ""Звезда""",Могойтуйский район,пгт. Могойтуй,"ул. Деповская, 3",194 а,05-Aug-09,05-Aug-09,04-Aug-14,,,,,,
о выдаче,ООО,Светлана,"Забайкальский край, п.г.т. Могойтуй, ул. Малиновского, б/н",1058080071301,8003037042,800301001,"отдел в магазине ""Забайкалье""",Могойтуйский район,пгт. Могойтуй,"ул. Малиновского, 17",195 а,05-Aug-09,05-Aug-09,04-Aug-14,,,,,,
о выдаче,ООО,ПродМир,"Забайкальский край, г. Чита, ул. Автогенная, 2, пом. 2",1077536013950,7536087447,753601001,отдел в магазине,г. Чита,г. Чита,"г. Чита, Центральный административный район, ул. Автогенная, 2, пом. 2",196,06-Aug-09,06-Aug-09,05-Aug-14,,,,,,
о выдаче,ООО,Дугарова Т.А,"Забайкальский край, Агинский район, с. Будулан, ул. Советская, 11",1097580000462,8001015910,800101001,"магазин ""Центральный""",Агинский район,с. Будулан,"ул. Советская, 11",199 а,12-Aug-09,12-Aug-09,11-Aug-14,,,,,,
о выдаче,ООО,Уряал,"Забайкальский край, Читинский район, с. Угдан, ул. Школьная, д. 1а",1067524007495,7524013698,752401001,отдел в магазине,Читинский район,с. Угдан,"ул. Школьная, д. 1а",201,19-Aug-09,19-Aug-09,18-Aug-14,,,,,,
о выдаче,ООО,Мигарада,"Читинская область, г. Чита, ул. Бутина, д.93",1097536002585,7536100754,753601001,"бар в ресторане ""Пекинская утка""",г. Чита,г. Чита,"Центральный район, ул. Евгения Гаюсана, д. 25 а",202,19-Aug-09,29-Dec-07,18-Aug-14,,,,,,
о выдаче,ООО,Дульдургинское районное потребительское общество,"Забайкальский край, Дульдургинский район, с. Дульдурга, ул. Советская, д. 43",1028002321984,8002018495,800201001,магазин № 8,Дульдургинский район,с. Дульдурга,"ул. 50 лет Октября, д. 54",203 а,21-Aug-09,21-Aug-09,20-Aug-14,,,,,,
о выдаче,ООО,Арина,"Забайкальский край, г. Борзя-2, д. 40, кв. 10",1097505000251,7529011694,752901001,"отдел в магазине ""Ксения""",Борзинский район,г. Борзя,г. Борзя-2,0206,28-Aug-09,28-Aug-09,27-Aug-14,75 ме,001818,,,,
о выдаче,ООО,Перспектива,"Забайкальский край, Чернышевский район, п.г.т.Жирекен, д. 21, пом. 46",1077530000503,7525005675,752501001,"отдел в магазине ""Катюша""",Чернышевский район,пгт. Жирекен,д. 21 пом. 46,207,28-Aug-09,28-Aug-09,27-Aug-14,,,,,,
о выдаче,ООО,ВОСТОК,"Забайкальский край, г. Балей, ул. Каменская, д. 7-а",1097527000493,7528005472,752801001,"магазин ""Визит""",Балейский район,г. Балей,"ул. Профсоюзная, д. 4/2",208,02-Sep-09,02-Sep-09,01-Sep-14,,,,,,
о выдаче,ООО,Домнинская строительная компания,"Забайкальский край, Читинский район, с. Домна, ул. Садовая, д. 1, строение 1",1077524001334,7524014003,752401001,"отдел в магазине ""Продукты""",г. Чита,г. Чита,"Центральный адм.район, ул. 5-я Каштакская, д. 13",209,03-Sep-09,03-Sep-09,02-Sep-14,,,,,,
о выдаче,ООО,Толон,"Забайкальский край, Могойтуйский район, п.г.т. Могойтуй, ул. Заводская, 6-а",1068080020766,8003037797,800301001,"отдел в магазине ""Заря""",Могойтуйский район,пгт. Могойтуй,"ул. Заводская, д. 6-а",211 а,10-Sep-09,10-Sep-09,09-Sep-14,,,,,,
о выдаче,ООО,Диана,"Забайкальский край, Приаргунский район, п. Досатуй, ул. Юбилейная, 4-б, магазин ""Диана""",1077530000844,7518006491,751801001,"отдел в магазине ""Диана""",Приаргунский район,п. Досатуй,"ул. Юбилейная, 4-б",210,10-Sep-09,10-Sep-09,09-Sep-14,,,,,,
о выдаче,ООО,Удача,"Забайкальский край, Карымский район, п.г.т. Курорт-Дарасун, ул. Млачнева-Новая, б/н",1097524000144,7508006051,750801001,"отдел в магазине ""У Васильевны""",Карымский район,пгт. Курорт-Дарасун,"ул. Млачнева-Новая, б/н",213,16-Sep-09,16-Sep-09,15-Sep-14,,,,,,
о выдаче,ООО,Орбит,"Забайкальский край, г. Чита, ул. Лазо, д. 114",1077536011893,7536086002,753601001,"организация общественного питания (бар в кафе ""Привоз"")",г. Чита,г. Чита,"Центральный административный район, ул. Бабушкина, д. 33",212,16-Sep-09,16-Sep-09,15-Sep-14,,,,,,
о переоформлении,ООО,Байкал,"Забайкальский край, г. Чита, ул. Бабушкина, 33",1097536003971,7536102293,753601001,"отдел в магазине ""Привоз""",г. Чита,г. Чита,"Ингодинский административный район, ул. Бабушкина, д. 33 (изменение местонахожд.организации 11.05.2010)",36,22-Sep-09,22-Sep-09,21-Sep-14,,,,,,
о выдаче,ООО,Транзит,"Забайкальский край, Карымский район, п.г.т. Дарасун, ул. Транспортная, д. 1",1027500586156,7508003117,750801001,"магазин ""Транзит""",Карымский район,пгт. Дарасун,"ул. Дорожная, д. 6-а",217,22-Sep-09,22-Sep-09,21-Sep-14,,,,,,
о выдаче,ООО,Кристалл,"Забайкальский край, г. Нерчинск, ул. Красноармейская, 108-А",1097513000221,7513006297,751301001,отдел в магазине № 30,Нерчинский район,г. Нерчинск,"ул. Красноармейская, д. 108-а",215,22-Sep-09,22-Sep-09,21-Sep-14,,,,,,
о выдаче,ООО,Ника,"Забайкальский край, г. Чита, ул. Газимурская, д. 5",1097536005225,7536103628,753601001,отдел в магазине № 28,Читинский район,с. Сохондо,"ул. Лесная, д. 2",214,22-Sep-09,22-Sep-09,21-Sep-14,,,,,,
о переоформлении,ООО,Эльчин,"Забайкальский край, г. Могоча, ул. Дроздова, д. 12А",109752000526,7512005220,751201001,"павильон ""Фонтан""",Могочинский район,г. Могоча,"ул. Дроздова, 12-А",0072,23-Sep-09,23-Sep-09,22-Sep-14,,,,,,
о выдаче,ООО,Бонус,"Забайкальский край, Читинский район, с. Засопка, ул. 1-я  Ясная, д. 1",1097524000672,7524015649,752401001,отдел в магазине,Читинский район,с. Засопка,"Читинский район, с. Засопка, ул. 1-я Ясная, д. 1",219,24-Sep-09,24-Sep-09,23-Sep-14,,,,,,
о выдаче,ООО,КАЙЛАС,"Забайкальский край, г. Чита, ул. Будочная, д. 18",1067536048645,7536073691,753601001,"организация общественного питания (кафе ""Кайлас"")",Читинский район,с. Угдан,"ул. Трактовая, д. 23",222,25-Sep-09,25-Sep-09,24-Sep-14,,,,,,
о переоформлении,ООО,Чаша,"Забайкальский край, Нерчинский район, г. Нерчинск, ул Ярославского, д.44",1097513000254,7513006314,751301001,"отдел в магазине №12 ""Никольск""",г. Краснокаменск и Краснокаменский район,п. Целинный,"ул. Кооперативная, д.158",0064,28-Sep-09,28-Sep-09,27-Sep-14,75ме,003084,,,,
о переоформлении,ООО,ПремьерА,"Забайкальский край, г.Чита, ул. Амурская, д. 69",1097536000176,7536098505,753601001,"организация общественного питания (бар -клуб ""Paparazzi"")",г. Чита,г. Чита,"Центральный административный район, ул. Амурская, 69",207,30-Sep-09,30-Sep-09,29-Sep-14,,,,,,
о переоформлении,ООО,Русичь,"Забайкальский край, г. Шилка, ул. Балябина, д. 67",1097527000515,7527008505,752701001,магазин,Шилкинский район,г. Шилка," ул. Соболева, 2, пом. 15",393,01-Oct-09,01-Oct-09,30-Sep-14,,,,,,
о выдаче,ООО,Север,"Забайкальский край, Читинский район, с. Верх-Чита, ул. Центральная, д. 107-А",1097524000793,7524015712,752401001,отдел в магазине,Читинский район,с. Верх-Чита,"ул. Центральная, д. 107-А",226,01-Oct-09,01-Oct-09,30-Sep-14,,,,,,
о переоформлении,ООО,Нарек,"Забайкальский край, Могойтуйский район, п.г.т. Могойтуй, ул. Заводская, д. 6",1097580000660,8003039032,800301001,отдел в магазине,Могойтуйский район,пгт. Могойтуй,"пер. Глухой, д. 30/1",0147,06-Oct-09,06-Oct-09,05-Oct-14,75МЕ,003017,,,,
о выдаче,ООО,Плюс,"Забайкальский край, Карымский район, с. Кадахта, ул. Советская, 71",1097524000232,7508006083,750801001,"оотдел в магазине ""Продукты""",Карымский район,с. Кадахта,"ул. Линейная, д. 7/1",228,06-Oct-09,06-Oct-09,05-Oct-14,,,,,,
о выдаче,ООО,Авантаж,"Забайкальский край, г. Краснокаменск, УМП Центр, склад № 17",1097530000028,7530012406,753001001,"магазин ""Авантаж""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"промышленная зона УМП Центр, блок № 2, склад № 0",232,14-Oct-09,14-Oct-09,13-Oct-14,75 ме,1841,,,,
о выдаче,ООО,Лезги,"Забайкальский край, г. Краснокаменск, УМП Центр, блок № 2, склад № 0",1097530000369,7530012685,753001001,"магазин ""Лезги""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"промышленная зона УМП Центр, блок № 2, склад № 0",231,14-Oct-09,14-Oct-09,13-Oct-14,,,,,,
о выдаче,ООО,Аракс,"Забайкальский край, г. Чита, ул. Ангарская, д. 26-87",1097536005434,7536103843,753601001,"организация общественного питания ( бар в кафе ""Аракс"")",г. Чита,г. Чита,"Железнодорожныйадминистративный район, ул. Ивановская, д. 9 стр. 1.",234,16-Oct-09,16-Oct-09,15-Oct-14,75 ме,1844,,,,
о переоформлении,ООО,Пеликан,"Забайкальский край, г. Чита, Агинский тракт, д. 36 ""б""",1087536010506,7536097710,753601001,павильон,г. Чита,г. Чита,"Ингодинский административный район, ул. Агинский тракт, д. 36 ""Б""",0796,16-Oct-09,16-Oct-09,15-Oct-14,75 ме,002797,,,,
о переоформлении,ООО,Весна,"Забайкальский край, Дульдургинский район, с. Дульдурга, ул. Лазо, д. 31",1068080021547,8002003121,800201001,отдел в магазине,Дульдургинский район,с. Дульдурга,"ул. Лазо, д. 31",236 а,20-Oct-09,20-Oct-09,19-Oct-14,,,,,,
о выдаче,ООО,Север,"Забайкальский край, г. Чита, п. Каштак, ДОС 2, пом. 2",1057536130519,7536066239,753601001,магазин,г. Чита,г. Чита,"Центральный административный район, п. Каштак, ДОС 2, пом. 2",237,20-Oct-09,20-Oct-09,19-Oct-14,,,,,,
о переоформлении,ООО,Кубань,"Забайкальский край, г. Чита, ул. Ингодинская, д. 19, каб. 12",1097536004004,7536102286,753601001,"отдел в магазине ""Аленка""",г. Чита,г. Чита,"Железнодорожныйадминистративный район,  проспект Советов, д. 7, пом. 1",238,23-Oct-09,23-Oct-09,22-Oct-14,,,,,,
о выдаче,ООО,Ритм,"Забайкальский край, г. Чита, ул. Пограничная, д. 9",1097536004081,7536102381,753601001,отдел в магазине,г. Чита,г. Чита,"Центральный административный район, ул. Бутина, д. 50, пом. 3",244,30-Oct-09,30-Oct-09,29-Oct-14,,,,,,
о выдаче,ООО,Бурхан,"Забайкальский край, г. Балей,  ул. Амурская, д. 37-а",1097527000560,7528005480,752801001,"магазин ""Дуэт""",Балейский район,г. Балей,"ул. Амурская, д. 37-а",247,06-Nov-09,06-Nov-09,05-Nov-14,,,,,,
о выдаче,ООО,Солнышко,"Забайкальский край, г. Чита, ул.Ленина, д. 25, помещение 3",1097536006611,7536105086,753601001,отдел в магазине,г. Чита,г. Чита,"Ингодинский район, ул Ленина, д. 25, пом. 3",248,13-Nov-09,13-Nov-09,12-Nov-14,,,,,,
о выдаче,ООО,ПИР,"Забайкальский край, г. Чита, ул. Чкалова, д. 158, пом. 2",1097536004015,7536102279,753601001,"организация общественного питания (бар в ресторане ""Сирена"")",г. Чита,г. Чита,"Центральный район, ул. Чкалова, д. 158, пом. 2",249,13-Nov-09,13-Nov-09,12-Nov-14,,,,,,
о выдаче,ООО,Байк,"Забайкальский край, Каларский район,  пгт. Новая Чара, ул. Молдованова, д 6, пом. 4",1097524000562,7506004740,750601001,"отдел в магазине ""Байкал""",Каларский район,пгт. Новая Чара,"ул. Молдованова, д. 6, пом. 4",255,27-Nov-09,27-Nov-09,26-Nov-14,,,,,,
о выдаче,ООО,Юность,"Забайкальский край, г. Чита,  ул. Назара Губина, д. 29, пом. 11",1097536003036,7536101243,753601001,отдел в магазине,г. Чита,г. Чита,"Черновский район, ул. Назара Губина, д. 29, пом. 11",254,27-Nov-09,27-Nov-09,26-Nov-14,,,,,,
о переоформлении,ООО,Лилия,"Забайкальский край, Калганский район, с. Доно, ул. Молодежная, д. 14",1097530000446,7507002350,750701001,отдел в магазине,Калганский район,с. Доно,"ул. Молодежная, д. 14",130,02-Dec-09,02-Dec-09,01-Dec-14,,,,,,
о выдаче,ООО,ЮЛИС,"Забайкальский край, Тунгокоченский район, с. Верх-Усугли ул. Новая, д. 9 кв. 1",1097527000713,7521003814,752101001,отдел в магазине,Тунгокоченский район,с. Верх-Усугли,"ул. Советская, д. 11",257,02-Dec-09,02-Dec-09,01-Dec-14,,,,,,
о переоформлении,ООО,Мечта,"Забайкальский край, г. Борзя, ул. Гурьева, д. 8, пом. 3",1097505000350,7529011743,752901001," отдел в магазине ""Ксения""",Борзинский район,г. Борзя,"ул. Гурьева, д.8 пом. 3",131,08-Dec-09,08-Dec-09,07-Dec-14,,,,,,
о выдаче,ООО,Агат,"Забайкальский край, г. Чита, ул. Шилова, д. 46, пом. 2",1097536006590,7536105093,753601001,"отдел в магазине ""Сытый добрый""",г. Чита,г. Чита,"Центральный район, ул. Шилова, д. 46, пом. 2",262,08-Dec-09,08-Dec-09,07-Dec-14,,,,,,
о переоформлении,ООО,Онтарио,"Забайкальский край, Читинский район, п.г.т. Атамановка, ул. Первомайская, д. 11-а",1087524000387,7524014797,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Набережная, 14 б",0330,09-Dec-09,09-Dec-09,08-Dec-14,75ме,003247,,,,
о выдаче,ООО,Сириус,"Забайкальский край, г. Хилок, ул. Калинина, д. 7",1087538000428,7538001325,753801001,магазин,Хилокский район,с. Линево Озеро," ул. Калинина, д. 5",259,09-Dec-09,09-Dec-09,08-Dec-14,,,,,,
о выдаче,ООО,Азия,"Забайкальский край, г. Борзя, ул. Савватеевская, д. 58",1097505000328,7529011729,752901001,"отдел в магазине ""Азия""",Борзинский район,г. Борзя,"ул. Савватеевская, д. 58",267,16-Dec-09,16-Dec-09,15-Dec-14,,,,,,
о переоформлении,ООО,Градус,"Забайкальский край, Хилокский район, п.г.т. Могзон, ул. Рабочая, д. 51А",1077538002079,7538001195,753801001,"отдел в магазине ""Кристалл""",Хилокский район,пгт. Могзон,"ул. Рабочая, д. 51А",270,17-Dec-09,17-Dec-09,16-Dec-14,,,,,,
о выдаче,ООО,Каспий,"Забайкальский край, г. Чернышевский район, п.г.т. Чернышевск, ул. Центральная, д. 13а",1097536001045,7536099467,753601001,отдел в магазине,Чернышевский район,пгт. Чернышевск,"ул. Центральная, д. 13-а",271,17-Dec-09,17-Dec-09,16-Dec-14,,,,,,
о выдаче,ООО,Волюм,"Забайкальский край, г. Чита, ул. Ленинградская, д. 36",1097536005214,7536103593,753601001,"бутик - пристройка к торговому  центру гостиницы ""Забайкалье условие: розничная продажа алкогольной продукции с содержанием этилового спирта не более 15 процентов",г. Чита,г. Чита,"г. Чита, Центральный административный район, ул. Ленинградская, д. 36",276,21-Dec-09,21-Dec-09,20-Dec-14,,,,,РПАП до 15%,
о выдаче,ООО,Алиса,"Забайкльский край, Приаргунский район, п. Приаргунск, ул. Ленина, 5",1097530000545,7518006822,751801001,"отдел в магазине ""Аргунь""",Приаргунский район,с. Староцурухайтуй,"ул. Дружбы, д. 2-а",279,24-Dec-09,24-Dec-09,23-Dec-14,75 ме,001900,,,,
о выдаче,ООО,Калерия,"Забайкальский край, г. Чита, 1 мкр., д. 12, кв. 24",1087530000414,7530012300,753001001,"павильон ""Мечта""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,авт. остановка между жилыми домами 8 ц и 9 ц,281,24-Dec-09,24-Dec-09,23-Dec-14,,,,,,
о выдаче,ООО,Элит,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Заречная, д. 2/2",1097538000515,7509004554,750901001,отдел в магазине,Красночикойский район,с. Конкино,"ул. Горная, д. 9-а",282,24-Dec-09,24-Dec-09,23-Dec-14,,,,,,
о переоформлении,ООО,Купец,"Забайкальский край, г. Чита, 6 мкр., д. 4, кв. 23",1097536007403,7536106019,753601001,отдел в магазине,Улетовский район,с. Николаевское,"ул. Красноармейская, д. 65",0084,24-Dec-09,24-Dec-09,23-Dec-14,,,,,,
о выдаче,ООО,Алекс,"Забайкальский край,Оловяннинский район, п.г.т. Ясногорск, мкр. Луговой, д. 1 кв.56",1097515000197,7515007296,751501001,"магазин ""Алекс""",Оловяннинский район,пгт. Ясногорск,"ул. Энергетиков, д. 5",288,29-Dec-09,29-Dec-09,28-Dec-14,,,,,,
о выдаче,ООО,Катерина,"Забайкальский край, г. Чита, ул. Баргузинская, д. 17",1057536108816,7536064175,753601001,магазин,г. Чита,г. Чита,"Ингодинский район, ул. Бабушкина, д. 30",287,29-Dec-09,29-Dec-09,28-Dec-14,,,,,,
о выдаче,ООО,Эврика,"Забайкальский край, Читинский район, п.г.т. Новокручининский, ул. Новая, д. 12. кв. 2",10875240001289,7524015286,752401001,магазин,Читинский район,пгт. Новокручининский,"ул. Дорожная, д. 23-б",286,29-Dec-09,29-Dec-09,28-Dec-14,,,,,,
о выдаче,ООО,Версаль,"г. Новосибирск, ул. Гоголя, д. 15",1085406007048,5406430701,,"магазин ""Пивная лавка""",Забайкальский район,пгт. Забайкальск,"ул. Железнодорожная, д. 2, пом. 1",285,29-Dec-09,29-Dec-09,28-Dec-14,,,,,,
о выдаче,ООО,Орхидея,"Забайкальский край, Читинский район, п.г.т. Новокручининский, ул. Широкая, д. 6",1097524001211,7524015977,752401001,"отдел в магазине ""Багульник""",Читинский район,пгт. Новокручининский,"ул. Широкая, д. 6",284,29-Dec-09,29-Dec-09,28-Dec-14,,,,,,
о выдаче,ООО,Лидер,"Забайкальский край, Карымский район, п.г.т. Дарасун, ул. 1-я Шахтерская, д. 27-а",1087524000849,7508005932,750801001,"отдел в магазине ""Продукты""",Карымский район,пгт. Дарасун,"ул. Дорожная, 23",291,30-Dec-09,30-Dec-09,29-Dec-14,,,,,,
о выдаче,ООО,Амрита,"Забайкальский край, Дульдургинский район, с. Таптанай, ул. Ж.Тумунова,д. 28",1097580001056,8002003918,800201001,"отдел в магазине ""Весы""",Дульдургинский район,с. Таптанай,"ул. Калинина, д. 17",4,05-Feb-10,05-Feb-10,04-Feb-15,,,,,,
о выдаче,ООО,АИФ,"Забайкальский край, г. Краснокаменск, д. 4 ""Ц"", кв. 72",1027501069331,7530007276,753001001,"магазин ""Угловой""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,д. 408 (подвальное помещение),2,05-Feb-10,05-Feb-10,04-Feb-15,75 ме,001958,,,,
о выдаче,ООО,"МТК ""Капиталл""","Забайкальский край, г. Могоча, ул. Нижне-Набережная, д. 18, кв. 64",1097527000790,7512005269,751201001,"магазин ""Винодел""",Могочинский район,г. Могоча,"ул. Интернациональная, д. 31, пом. 7",1,05-Feb-10,05-Feb-10,04-Feb-15,,,,,,
о выдаче,ООО,Багульник,"Забайкальский край, п.г.т. Оловянная, пер. Юбилейный, д. 5",1097515000307,7515007377,751501001,"отдел в магазине ""Багульник""",Оловяннинский район,пгт. Оловянная,"пер. Юбилейный, д. 5",3,05-Feb-10,05-Feb-10,05-Feb-15,,,,,,
о выдаче,ООО,Волна,"Забайкальский край, Краснокамеский район, с. Среднеаргунск, ул. Новая, 9",1097530000567,7530012847,753001001,отдел в магазине,г. Краснокаменск и Краснокаменский район,с. Среднеаргунск,"с. Среднеаргунск, ул. Новая, д. 9",5,09-Feb-10,09-Feb-10,08-Feb-15,,,,,,
о выдаче,ООО,Транс-Универсал ЛТД,"Забайкальский край, г. Чита, ул. Бабушкина, 42-а, офис 14",1057536126064,7536065806,753601001,"организация общественного питания (Кафе-бар ""Вдали от жен"")",Читинский район,"пересечение автодорог ""М-55"" и с. Новая Кука-с. Жипковщина","пересечение автодорог ""М-55"" и с. Новая Кука-с. Жипковщина, с правой стороны в 51 метре от дорог",6,11-Feb-10,11-Feb-10,10-Feb-15,,,,,,
о выдаче,ООО,Полимер,"Забайкальский край, Читинский район, п.г.т. Яблоново, ул. Советская, д. 1",1067536049074,7536073927,753601001,отдел в магазине № 30,Читинский район,пгт. Яблоново,"ул. Линейная, д. 8",7,11-Feb-10,11-Feb-10,10-Feb-15,,,,,,
о переоформлении,ООО,Роза,"Забайкальский край, Шелопугинский район, с. Шелопугино, ул. Верхняя, 13 а",1027500745260,7526002067,752601001,магазин,Шелопугинский район,с. Шелопугино,"ул. Верхняя, д. 13 а",8,18-Feb-10,18-Feb-10,17-Feb-13,,,,,,
о выдаче,ООО,Гарекин,"Забайкальский край, Нерчинско-Заводский район, ул. Зверева, д. 11 а",1077530000580,7514002947,751401001,отдел в магазине,Нерчинско-Заводский район,с. Нерчинский Завод,"ул. Зверева, д. 11-а",9,18-Feb-10,18-Feb-10,17-Feb-15,,,,,,
о переоформлении,ООО,Гела,"Забайкальский край, г. Чита, ул. Суглинная, 2-3",1057536101039,7534011805,753401001,павильон,г. Чита,г. Чита,"Ингодинский административный район, 1 мкр., д. 10-б",16,19-Feb-10,19-Feb-10,18-Feb-15,,,,,,
о переоформлении,ООО,Торговый дом БИС,"Забайкальский край, г. Чита, ул. Верхоленская, 4, корп. 5, пом. 5 (лит. В 5)",1047550024389,7534018712,753401001,павильон,г. Чита,г. Чита,"Агрогородок ""Опытный"", д. 4-а",0080,30-Sep-10,30-Oct-08,29-Oct-13,75 ме,002773,,,,
о выдаче,ООО,Рост +,"Забайкальский край, г. Чита, ул. Бабушкина, 9",1057536118848,7536065186,753601001, отдел в магазине,г. Чита,г. Чита,"Ингодинский район, ул. Бабушкина, 9",91,14-Oct-10,29-Dec-08,28-Dec-13,,,,,,
о выдаче,ООО,Лотос,"Забайкальский край, г. Чита,п. Энергетиков,  ул.Строителей, 90-а",1077536013961,7536087430,753601001,отдел в магазине,г. Чита,г. Чита,"мкр. Северный, 57, помещение 1/1",93,26-Oct-10,29-Oct-08,28-Oct-13,,,,,,
о переоформлении,ООО,Спутник,"Забайкальский край, г.Чита, мкр. Девичья сопка, 1 квартал 1",1077536009495,7536083795,753601001,отдел в магазине,г. Чита,г. Чита,"г. Чита, Ингодинский административный район, ул. Столярова, 44, пом.80 (действует с 19.04.2011)",97,29-Oct-10,05-Dec-07,04-Dec-12,75ме,002871,,,,
о выдаче,ООО,Данилова и Компания,"Забайкальский край, Забайкальский район, п. Забайкальск, ул. Красноармейская, 62-а",1087505000626,7505005606,750501001,отдел в магазине,Забайкальский район,пгт. Забайкальск,"Забайкальский район, п. Забайкальск, ул. Советская, 6-а",98,03-Nov-10,31-Oct-08,30-Oct-13,,,,,,
о выдаче,ООО,Калинина,"Забайкальский край,  г. Чита, ул. Советская, д. 25, к. 121",1097536003388,7536101606,753601001,организация общественного питания (бар),г. Чита,г. Чита,"г. Чита, ул. Строителей, 25",111,18-Nov-10,12-Aug-09,11-Aug-14,,,,,,
