тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ООО,Алмико,"Забайкальский край, г. Могоча, ул. Кирова, 44 а",1067527004236,7512004473,751201001,"павильон ""Космос - 1""",Могочинский район,г. Могоча,"ул. Интернациональная, 6 л",0310,10-Aug-12,02-Sep-12,02-Sep-15,75МЕ,003222,,,,
о выдаче,ООО,Айсберг,"Забайкальский край, Агинский район, п. Орловский, ул.30 лет Победы, 15",1078080001009,8001014346,800101001,магазин,Агинский район,пгт. Орловский,"ул. 30 лет Победы, 15",0312,13-Aug-12,13-Aug-12,13-Aug-13,75ме,003228,,,,
о выдаче,ООО,Набат,"Забайкальский край, Могойтуйский район, п. Могойтуй, ул. Комсомольская, 17",1078080000591,8003038350,800301001,магазин,Могойтуйский район,пгт. Могойтуй,"ул. Комсомольская, 17",0314,13-Aug-12,14-Aug-12,14-Aug-13,75ме,003229,,,,
о выдаче,ООО,Славянка,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Первомайская, 86",1027500600126,7509003624,750901001,отдел в магазине,Красночикойский район,с. Красный Чикой,"ул. Партизанская, 42",0319,14-Aug-12,14-Aug-12,14-Aug-13,75МЕ,003235,,,,
о выдаче,ООО,Гермес,"Нерчинский район, п. Заречный, ул. Рабочая 20",1127513000086,7513006770,751301001,отдел в магазине,Нерчинский район,п. Заречный,"ул. Рабочая, д.20",0320,14-Aug-12,15-Aug-12,15-Aug-13,75ме,003236,,,,
о продлении,ООО,Надежда,"Забайкальский край, Карымский район, пгт. Карымское, ул. Весенняя, 12",1067524006417,7508005185,750801001,отдел в магазине,Карымский район,пгт. Карымское,"ул. Рабочая, 50",0322,14-Aug-12,16-Aug-12,16-Aug-13,75МЕ,003238,,,,
о продлении,ООО,Экономъ,"Забайкальский край, г. Чита, Центральный район, ул. Чкалова, 83",1067536043629,7536070813,753601001,магазин,г. Чита,г. Чита,"Центральный район, ул. Чкалова, д. 83, пом. 1",0316,14-Aug-12,20-Sep-12,20-Sep-13,75МЕ,003233,,,,
о выдаче,ООО,Сити,"Забайкальский край, г. Чита, ул. Ярославского, 54",1107536003783,7536067384,753601001,магазин,г. Чита,г. Чита,"ул. Ярославского, д. 54",0317,14-Aug-12,14-Aug-12,14-Aug-14,75ме,003234,,,,
о выдаче,ООО,Триэр+,"Забайкальский край, Краснокаменский район, г.Краснокаменск, мкр.1, д.104, офис 6",1067530007478,7530011466,753001001,отдел в магазине,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,д. 421,0315,14-Aug-12,14-Aug-12,14-Aug-14,75 МЕ,003232,,,,
о выдаче,ООО,Селенга,"Забайкальский край, г. Чита, ул. Бутина, 107, пом.5",1127536001636,7536125519,753601001,магазин,г. Чита,г. Чита,"Центральный район, ул. Бутина, 107, пом.5",0318,14-Aug-12,14-Aug-12,14-Aug-14,75МЕ,003230,,,,
о выдаче,ООО,Новые ресторанные технологии,"Забайкальский край, г. Чита, ул. Бабушкина, 104, офис 501",1127536002241,7536126103,753601001,организация общественного питания,г. Чита,г. Чита,"ул. Бабушкина, 104, пом.5",0321,14-Aug-12,15-Aug-12,15-Aug-14,75 Ме,003237,,,,
о продлении,ООО,Миф,"Забайкальский край, г. Краснокаменск, проспект Строителей, 31",1067530000812,7530011145,753001001,магазин,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"7 мкр., д. 709-а",0323,15-Aug-12,19-Aug-12,19-Aug-13,75МЕ,003239,,,,
о продлении,ООО,Алиса,"Забайкальский край, Оловяннинский район, ст. Ясная, ул. Нагорная, 24",1027500682725,7515003076,751501001,"магазин ""Алиса""",Оловяннинский район,ст. Ясная,"ул. Нагорная, 24",0325,15-Aug-12,21-Aug-12,21-Aug-14,75ме,003242,,,,
