"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
618,"ООО Милый дом, ИНН - 4217069171, ОГРН - 1044217027580","654005, г. Новокузнецк, ул. Куйбышева, дом.11-1","г. Новокузнецк, ул. Кирова д.21А (магазин)","лицензия № ОЛ-9965-РПА, 42 МЕ № 001978, 02.02.2011",c 29.11.2010 по 28.11.2011 продлена с 29.11.2011 по 28.11.2013,
619,"ООО Мимоза, ИНН - 4228011720, ОГРН - 1084228000405","652990, г. Таштагол, ул. Урицкого, дом.102","г. Таштагол, ул. Урицкого д.102 (магазин); г. Таштагол, ул. Коммунистическая д.4 (магазин)","лицензия № ОЛ-9598-РПА, 42 МЕ № 001641, 06.07.2010",c 06.07.2010 по 05.07.2011 продлена с 06.07.2011 по 05.07.2012,
620,"ООО Мир Продуктов, ИНН - 4223046609, ОГРН - 1074223005152","653000, г. Прокопьевск, ул. Пионерская, дом.34А","г. Прокопьевск, ул. Пионерская д.34А (магазин); г. Прокопьевск, ул. Карла Либкнехта д.8 (магазин)","лицензия № ОЛ-7297-РПА, Д № 488152, 26.12.2007",c 26.12.2007 по 26.12.2012,
621,"ООО Мир, ИНН - 4238018315, ОГРН - 1054238050602","654222, Новокузнецкий р-н, с. Сидорово, ул. Куюкова, дом.35А","Новокузнецкий р-н, п. Чистогорский,  д.35А (кафе-бар); Новокузнецкий р-н, с. Сидорово, ул. Куюкова д.19 (магазин); Новокузнецкий р-н, п. Терехино, ул. Озерная д.1А (магазин); Новокузнецкий р-н, п. Чистогорский,  д.35А (магазин); Новокузнецкий р-н, п. Чистогорский,  (магазин)","лицензия № ОЛ-5618-РПА, Д № 489114, 07.06.2006",c 07.06.2006 по 07.06.2011 продлена с 08.06.2011 по 07.06.2014,
622,"ООО Мираж, ИНН - 4246006970, ОГРН - 1064246018935","652120, Ижморский р-н, пгт. Ижморский, Микрорайон , дом.1 кв.8","Ижморский р-н, с. Троицкое, ул. Ленинская д.45 (магазин); Ижморский р-н, пгт. Ижморский, ул. Ленинская д.67 (магазин)","лицензия № ОЛ-11445-РПА, 42 МЕ № 002895, 20.12.2011",c 20.12.2011 по 19.12.2012,
623,"ООО Митино, ИНН - 4238018844, ОГРН - 1064238006106","654054, Новокузнецкий р-н, д. Митино, ул. Нагорная, дом.1","Новокузнецкий р-н, д. Митино, ул. Нагорная д.1А (кафе); г. Новокузнецк, ш. Листвянское д.1 (кафе)","лицензия № ОЛ-5801-РПА, Д № 489209, 27.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2016,
624,"ООО Молодая гвардия, ИНН - 4205161782, ОГРН - 1084205014794","650066, г. Кемерово, б-р. Строителей, дом.28/1-30","г. Кемерово, ул. Весенняя д.16 (ресторан)","лицензия № ОЛ-11351-РПА, 42 МЕ № 002827, 30.11.2011",c 30.11.2011 по 29.11.2016,
625,"ООО Молодежный, ИНН - 4231002098, ОГРН - 1024200549526","652644, г. Белово, ул. Посадная, дом.11а","г. Белово, пгт. Инской, ул. Приморская д.15 (магазин); г. Белово, пгт. Инской, ул. Ильича д.19 (магазин); г. Белово, пгт. Инской, ул. Посадная д.11А (магазин); г. Белово, ул. Доватора д.13 (магазин); г. Белово, ул. Пржевальского д.9 (магазин); г. Белово, ул. Клубная (магазин)","лицензия № ОЛ-1547-РПА, Д № 092368, 30.12.2002",c 01.01.2003 по 01.01.2006 продлена с 03.01.2012 по 02.01.2013,
626,"ООО Молот, ИНН - 4202028976, ОГРН - 1064202020486","652600, г. Белово, пер. Чапаева, дом.21","г. Белово, пер. Чапаева д.21 (магазин); г. Белово, ул. Советская д.55 (магазин); г. Белово, ул. Советская д.8 торговый центр ""Махсут"" (магазин)","лицензия № ОЛ-6104-РПА, Д № 489550, 03.08.2006",c 03.08.2006 по 03.08.2011 продлена с 04.08.2011 по 03.08.2012,
627,"ООО Мров, ИНН - 4205108644, ОГРН - 1064205106305","650003, г. Кемерово, пр-кт. Ленинградский, дом.30 кв.556","г. Кемерово,  пересечение ул. Сибиряков-Гвардейцев и ул. Терешковой (кафе с баром); г. Кемерово,  пересечение ул. Сибиряков-Гвардейцев и ул. Терешковой (магазин); г. Полысаево, ул. Крупской д.121 (кафе)","лицензия № ОЛ-7870-РПА, Д № 488509, 03.10.2008",c 03.10.2008 по 02.10.2013,
628,"ООО Мускатель, ИНН - 4205106196, ОГРН - 1064205099925","650000, г. Кемерово, пр-кт. Советский, дом.45","г. Кемерово, ул. Кирова д.26 (кафе); г. Кемерово, пр-кт. Советский д.45 (магазин)","лицензия № ОЛ-5883-РПА, Д № 489301, 30.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2016,
629,"ООО НАДЕЖДА, ИНН - 4218102520, ОГРН - 1074218001593","654000, г. Новокузнецк, ул. Косыгина, дом.3А","г. Новокузнецк, ул. Косыгина д.3А (магазин)","лицензия № ОЛ-7219-РПА, Д № 488119, 17.12.2007",c 17.12.2007 по 17.12.2009 продлена с 18.12.2009 по 16.12.2012,
630,"ООО НАТАЛИ, ИНН - 4212004332, ОГРН - 1054212026417","652523, г. Ленинск-Кузнецкий, ул. Фадеева, дом.19","г. Ленинск-Кузнецкий, ул. Фадеева д.19 (магазин)","лицензия № ОЛ-11672-РПА, 42 МЕ № 003017, 17.02.2012",c 17.02.2012 по 16.02.2013,
631,"ООО НАТАША, ИНН - 4222003899, ОГРН - 1024201856755","652815, г. Осинники, ул. 50 лет Октября, дом.7А","г. Осинники, ул. 50 лет Октября д.7А (магазин); г. Прокопьевск, ул. Ноградская д.40 (магазин) розничная продажа алкогольной продукции с содержанием этилового спирта не более 15% объема; г. Таштагол, ул. Поспелова д.30 (кафе)","лицензия № ОЛ-3366-РПА, Д № 451195, 30.11.2007",c 14.12.2004 по 14.12.2007 продлена с 15.12.2007 по 15.12.2012,
632,"ООО НАШ, ИНН - 4221019310, ОГРН - 1064221006761","654013, г. Новокузнецк, ул. День Шахтера, дом.21","г. Новокузнецк, ул. День Шахтера д.21 оф.пом. 1 (магазин); г. Новокузнецк, ул. Пржевальского д.26 (магазин)","лицензия № ОЛ-5732-РПА, Д № 489204, 21.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
633,"ООО НЕБСОН, ИНН - 4222008030, ОГРН - 1024201858504","652800, г. Осинники, ул. Кирова, дом.32","г. Осинники, ул. Кирова д.32 (магазин)","лицензия № ОЛ-5960-РПА, Д № 489470, 19.07.2006",c 19.07.2006 по 19.07.2011 продлена с 20.07.2011 по 19.07.2012,
634,"ООО НИГ, ИНН - 4218001680, ОГРН - 1024201677610","654011, г. Новокузнецк, Архитекторов , дом.14","г. Новокузнецк, пр-кт. Архитекторов д.14 (магазин)","лицензия № ОЛ-1085-РПА, Д № 092896, 05.11.2002",c 05.11.2002 по 05.11.2005 продлена с 07.11.2008 по 06.11.2013,
635,"ООО НИКА ПЛЮС, ИНН - 4211018759, ОГРН - 1064211005870","652723, г. Киселевск, ул. 50 лет Города, дом.12","г. Киселевск, ул. 50 лет Города д.12 (магазин)","лицензия № ОЛ-5907-РПА, Д № 489363, 07.07.2006",c 07.07.2006 по 07.07.2011 продлена с 08.07.2011 по 07.07.2012,
636,"ООО НК-Сервис, ИНН - 4217119249, ОГРН - 1094217007312","654000, г. Новокузнецк, ул. Тольятти, дом.46А","г. Новокузнецк, ул. Тольятти д.46А (кафе)","лицензия № ОЛ-11495-РПА, 42 МЕ № 002912, 27.12.2011",c 27.12.2011 по 26.12.2012,
637,"ООО НМО Профцентр, ИНН - 4220031273, ОГРН - 1064220011162","654036, г. Новокузнецк, ул. Варшавская, дом.1","г. Новокузнецк, ул. Варшавская д.1 (магазин)","лицензия № ОЛ-5973-РПА, Д № 489443, 13.07.2006",c 13.07.2006 по 13.07.2011 продлена с 14.07.2011 по 13.07.2012,
638,"ООО НОВАЯ ЭРА, ИНН - 4220031178, ОГРН - 1064220010502","654102, г. Новокузнецк, ул. Кубинская, дом.37А","г. Новокузнецк, ул. Кубинская д.37А (магазин)","лицензия № ОЛ-6640-РПА, Д № 489868, 19.01.2007",c 19.01.2007 по 19.01.2008 продлена с 20.01.2010 по 19.01.2013,
639,"ООО Надежда, ИНН - 4202036208, ОГРН - 1084202490690","652614, г. Белово, пгт. Грамотеино, мкр. Ивушка, дом.4А","г. Белово, пгт. Грамотеино, мкр. Ивушка д.4А (павильон)","лицензия № ОЛ-9667-РПА, 42МЕ № 001676, 29.07.2010",c 29.07.2010 по 28.07.2011 продлена с 29.07.2011 по 28.07.2012,
640,"ООО Надежда, ИНН - 4204006537, ОГРН - 1064204002004","652793, Гурьевский р-н, п. Сосновка, ул. Зеленая, дом.6 кв.2","Гурьевский р-н, п. Сосновка, ул. Коммунистическая д.1Б (магазин); Гурьевский р-н, п. Сосновка, ул. Ленинская д.47Б (магазин)","лицензия № ОЛ-5649-РПА, Д № 489151, 15.06.2006",c 15.06.2006 по 15.06.2011 продлена с 16.06.2011 по 15.06.2014,
641,"ООО Надежда, ИНН - 4211018903, ОГРН - 1064211006078","652729, г. Киселевск, п. Карагайлинский, ул. Большевистская, дом.16/2","г. Киселевск, п. Карагайлинский, ул. Большевистская д.16/2 (магазин)","лицензия № ОЛ-5737-РПА, Д № 489249, 29.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
642,"ООО Надежда, ИНН - 4229006747, ОГРН - 1054229005434","652300, г. Топки, ул. Советская, дом.48А","Топкинский р-н, д. Опарино,  (столовая); г. Топки, ул. Революции д.12 (кафе); г. Топки, мкр. Красная Горка д.15 (магазин)","лицензия № ОЛ-5079-РПА, В № 935701, 20.12.2005",c 20.12.2005 по 20.12.2008 продлена с 21.12.2008 по 20.12.2013,
643,"ООО Надежда, ИНН - 4230021891, ОГРН - 1064230008622","652050, г. Юрга, ул. Комсомольская, дом.25","Юргинский р-н, с. Верх-Тайменка, ул. Центральная д.77А (закусочная); г. Юрга, ул. Комсомольская д.25 (кафе)","лицензия № ОЛ-11756-РПА, 42 МЕ № 003061, 20.03.2012",c 20.03.2012 по 19.03.2013,
644,"ООО Надежда, ИНН - 4246005888, ОГРН - 1054246024579","652010, Яшкинский р-н, пгт. Яшкино, ул. Строительная, дом.4","Яшкинский р-н, пгт. Яшкино, ул. Солнечная д.13 (магазин); Яшкинский р-н, пгт. Яшкино, ул. Строительная д.4 (магазин); Яшкинский р-н, пгт. Яшкино, ул. Гагарина д.6 (магазин)","лицензия № ОЛ-5281-РПА, В № 935859, 01.02.2006",c 01.02.2006 по 01.02.2011 продлена с 02.02.2011 по 01.02.2013,
645,"ООО Настенька, ИНН - 4218004219, ОГРН - 1024201672736","654000, г. Новокузнецк, ул. 40 лет ВЛКСМ, дом.122 кв.54","Новокузнецкий р-н, с. Славино,  (магазин); Новокузнецкий р-н, ""Речное"" СНТ д.150 (магазин); Новокузнецкий р-н, ЗСМК СНТ ""Березка"" д.75 (магазин); г. Новокузнецк, ул. Р.Зорге д.10 (магазин)","лицензия № ОЛ-0496-РПА, Д № 052455, 24.04.2002",c 24.04.2002 по 25.12.2004 продлена с 28.12.2011 по 27.12.2012,
646,"ООО Натали, ИНН - 4220028979, ОГРН - 1054220023329","654000, г. Новокузнецк, ул. Верхнередаково, дом.54","г. Новокузнецк, ул. Верхнередаково д.54 (магазин)","лицензия № ОЛ-11416-РПА, 42МЕ № 002875, 15.12.2011",c 15.12.2011 по 14.12.2012,
647,"ООО Наталья, ИНН - 4230022197, ОГРН - 1064230009172","652062, г. Юрга, ул. Фестивальная, дом.5 кв.40","Юргинский р-н, д. Талая, ул. Зеленая д.2 В пом.2 (магазин); г. Юрга, ул. Ленина д.25 пом. 20(магазин); г. Юрга, ул. Фестивальная д.11 пом.73 (магазин); г. Юрга, ул. Фестивальная д.5 пом.73 (магазин)","лицензия № ОЛ-6565-РПА, Д № 489827, 21.12.2006",c  по  продлена с 22.12.2011 по 21.12.2012,
648,"ООО Находка, ИНН - 4202028912, ОГРН - 1064202020321","652667, Беловский р-н, с. Вишневка, ул. Новая, дом.23А","Беловский р-н, с. Вишневка, ул. Новая д.23А (магазин)","лицензия № ОЛ-11128-РПА, 42 МЕ № 002675, 07.09.2011",c 07.09.2011 по 06.09.2012,
649,"ООО Начало, ИНН - 4228001739, ОГРН - 1024201961619","652990, г. Таштагол, ул. Мира, дом.37","г. Таштагол, ул. Советская д.145 (магазин); г. Таштагол, ул. Мира д.37 (магазин)","лицензия № ОЛ-3616-РПА, Д № 451377, 27.12.2004",c 01.01.2005 по 01.01.2008 продлена с 03.01.2012 по 02.01.2017,
650,"ООО Наше, ИНН - 4212013930, ОГРН - 1064212016373","652523, г. Ленинск-Кузнецкий, ул. Топкинская, дом.6/2","г. Ленинск-Кузнецкий, ул. Топкинская д.6/2 (магазин)","лицензия № ОЛ-5982-РПА, Д № 489454, 17.07.2006",c 17.07.2006 по 17.07.2011 продлена с 18.07.2011 по 17.07.2013,
651,"ООО Нежность, ИНН - 4202028327, ОГРН - 1064202017395","652600, г. Белово, ул. Коммунистическая, дом.74","г. Белово, ул. Коммунистическая д.74 (магазин)","лицензия № ОЛ-6093-РПА, Д № 489543, 01.08.2006",c 01.08.2006 по 01.08.2011 продлена с 02.08.2011 по 01.08.2016,
652,"ООО Нейжен ЛТД, ИНН - 4223010218, ОГРН - 1034223003649","653032, г. Прокопьевск, ул. Криворожская, дом.13 кв.1","г. Прокопьевск, ул. Раздольная д.17 (магазин)","лицензия № ОЛ-0517-РПА, Д № 052478, 27.04.2002",c 27.04.2002 по 27.04.2005 продлена с 30.04.2011 по 29.04.2013,
653,"ООО Нива, ИНН - 4243005128, ОГРН - 1054243008049","652240, Тяжинский р-н, пгт. Тяжинский, ул. Первомайская, дом.17","Тяжинский р-н, пгт. Тяжинский, ул. Первомайская д.17 (магазин)","лицензия № ОЛ-5145-РПА, В № 935770, 27.12.2005",c 27.12.2005 по 27.12.2008 продлена с 28.12.2011 по 27.12.2012,
654,"ООО Ниджат, ИНН - 4217103168, ОГРН - 1084217002770","654027, г. Новокузнецк, ул. Суворова, дом.2","г. Новокузнецк, ул. Ленина д.44А (магазин)","лицензия № ОЛ-11730-РПА, 42МЕ № 003042, 13.03.2012",c 13.03.2012 по 12.03.2013,
655,"ООО Ника, ИНН - 4222010293, ОГРН - 104222003735","652800, г. Осинники, ул. 50 лет Октября, дом.10","г. Осинники, ул. 50 лет Октября д.10 (магазин)","лицензия № ОЛ-5818-РПА, 42МЕ № 002161, 25.04.2011",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
656,"ООО Ника, ИНН - 4250001967, ОГРН - 1054250010539","650512, Кемеровский р-н, д. Береговая, ул. Дорожная, дом.1","Кемеровский р-н, д. Береговая, ул. Дорожная д.1 (магазин)","лицензия № ОЛ-9046-РПА, 42МЕ № 001374, 27.11.2009",c 27.11.2009 по 26.11.2010 продлена с 27.11.2011 по 26.11.2012,
657,"ООО Нике, ИНН - 4223004091, ОГРН - 1024201885950","653016, г. Прокопьевск, ул. Кутузова, дом.6","г. Прокопьевск, ул. Кутузова д.6 (магазин)","лицензия № ОЛ-11833-РПА, 42 МЕ № 003109, 10.04.2012",c 10.04.2012 по 09.04.2013,
658,"ООО Никитина, ИНН - 4238017590, ОГРН - 1054238046224","654211, Новокузнецкий р-н, п. Металлургов, ул. Молодежная, дом.12А","Новокузнецкий р-н, п. Металлургов, ул. Молодежная д.12А (магазин)","лицензия № ОЛ-11962-РПА, 42 МЕ № 003181, 31.05.2012",c 31.05.2012 по 30.05.2013,
659,"ООО Ниса, ИНН - 4223042731, ОГРН - 1064223021301","653036, г. Прокопьевск, ул. Союзная, дом.8","г. Прокопьевск, ул. Союзная д.8 (магазин)","лицензия № ОЛ-6140-РПА, Д № 489575, 10.08.2006",c 10.08.2006 по 10.08.2011 продлена с 11.08.2011 по 10.08.2012,
660,"ООО НоБел, ИНН - 4220038367, ОГРН - 1084220003251","654029, г. Новокузнецк, ул. Промышленная, дом.31","г. Белово, ул. Ленина д.24 (магазин); г. Белово, ул. Юбилейная д.5 (магазин); г. Белово, ул. Юбилейная д.9 (магазин); г. Новокузнецк, пр-кт. Курако д.1 (кафе); г. Новокузнецк, пр-кт. Курако д.1 (магазин)","лицензия № ОЛ-12026-РПА, 42 МЕ № 003216, 13.06.2012",c 13.06.2012 по 12.06.2013,
661,"ООО Новинка, ИНН - 4222010198, ОГРН - 1064222002680","652831, г. Калтан, п. Малиновка, ул. 60 лет Октября, дом.6","г. Калтан, п. Малиновка, ул. 60 лет Октября д.6 (магазин)","лицензия № ОЛ-5767-РПА, Д № 489214, 26.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
662,"ООО НовоПит, ИНН - 4220022543, ОГРН - 1024201757788","654002, г. Новокузнецк, ул. Транспортная, дом.2","г. Новокузнецк, ул. Транспортная д.2Б кафе)","лицензия № ОЛ-0353-РПА, Д № 052252, 28.03.2002",c 28.03.2002 по 28.03.2005 продлена с 31.03.2012 по 30.03.2013,
663,"ООО Новокузнецкобувьторг, ИНН - 4220036377, ОГРН - 1084220000314","654063, г. Новокузнецк, ул. Отдельная, дом.6","Новокузнецкий р-н, с. Сосновка, ул. Калинина д.70 (магазин); г. Калтан, ул. Комсомольская д.57 (магазин); г. Киселевск, ул. Дзержинского д.13 (магазин); г. Киселевск, ул. Томская д.20 (магазин); г. Новокузнецк, проезд Защитный д.9 оф.1 (магазин); г. Новокузнецк, пр-кт. Авиаторов д.55 к.1 (магазин); г. Новокузнецк, ул. Кирова д.88 (магазин); г. Новокузнецк, ул. Павловского д.3 (магазин); г. Новокузнецк, ул. Отдельная д.6, кор.2 (магазин); г. Новокузнецк, ул. Мориса Тореза д.64 (магазин); г. Новокузнецк, ул. Тольятти д.62, кор.6 (магазин); г. Новокузнецк, ул. Глинки д.24 (магазин); г. Новокузнецк, ул. Суворова д.7 (магазин); г. Новокузнецк, пр-кт. Строителей д.18 (магазин); г. Новокузнецк, ул. Косыгина д.35А (магазин); г. Новокузнецк, ул. Селекционная д.11,кор.11 (магазин); г. Новокузнецк, пр-кт. Пионерский д.32 (магазин); г. Новокузнецк, пр-кт. Курако д.49, кор.1А (магазин); г. Новокузнецк, пр-кт. Октябрьский д.31 (магазин); г. Прокопьевск, ул. Институтская д.6 (магазин)","лицензия № ОЛ-7488-РПА, Д № 488276, 24.03.2008",c 24.03.2008 по 24.03.2013,
664,"ООО Нэко, ИНН - 4205232497, ОГРН - 1114205041785","650000, г. Кемерово, ул. Красная, дом.3","г. Кемерово, ул. Красная д.3 пом.65 (кафе)","лицензия № ОЛ-11852-РПА, 42 МЕ № 003121, 18.04.2012",c 18.04.2012 по 17.04.2013,
665,"ООО ОВЕН, ИНН - 4228009551, ОГРН - 1054228012299","652992, г. Таштагол, ул. Ноградская, дом.16А","Таштагольский р-н, пгт. Шерегеш, ул. Дзержинского д.7 (магазин); г. Таштагол, ул. Ноградская д.16А (магазин)","лицензия № ОЛ-5309-РПА, 42 МЕ № 002228, 26.04.2010",c 09.02.2006 по 09.02.2011 продлена с 10.02.2011 по 09.02.2014,
666,"ООО ОГОНЕК, ИНН - 4250000508, ОГРН - 1034250902014","650055, г. Кемерово, пр-кт. Кузнецкий, дом.105","г. Белово, ул. Советская д.175 (магазин); г. Кемерово, пр-кт. Кузнецкий д.105 (магазин); г. Кемерово, б-р. Строителей д.46А (магазин); г. Юрга, ул. Леонова д.1 (магазин); г. Юрга, ул. Кирова д.4А (магазин); г. Юрга, ул. Ленина д.88 (магазин)","лицензия № ОЛ-11823-РПА, 42 МЕ № 003111, 10.04.2012",c 10.04.2012 по 09.04.2017,
667,"ООО ОЛГЕН, ИНН - 4217029531, ОГРН - 922/98-4504","654014, г. Новокузнецк, ул. Светлая, дом.16","г. Новокузнецк, ул. Светлая д.16 (магазин)","лицензия № ОЛ-1510-РПА, Д № 092424, 25.12.2002",c 25.12.2002 по 25.12.2005 продлена с 27.12.2011 по 26.12.2012,
668,"ООО ОЛИКА, ИНН - 4212012196, ОГРН - 1064212013337","652504, г. Ленинск-Кузнецкий, пр-кт. Ленина, дом.19 кв.11","г. Ленинск-Кузнецкий, ул. Лесной городок д.37А (магазин)","лицензия № ОЛ-5689-РПА, Д № 489153, 15.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2013,
669,"ООО ОЛИМП, ИНН - 4230021059, ОГРН - 1064230005168","652073, Юргинский р-н, с. Проскоково, ул. Совхозная, дом.1А","Юргинский р-н, с. Проскоково, ул. Совхозная д.1А (закусочная); Юргинский р-н, с. Проскоково, ул. Совхозная д.1А (магазин)","лицензия № ОЛ-5959-РПА, Д № 489437, 13.07.2006",c 13.07.2006 по 13.07.2011 продлена с 14.07.2011 по 13.07.2012,
670,"ООО ОНИКС, ИНН - 4218106757, ОГРН - 1104218000556","654008, г. Новокузнецк, Пойменное шоссе, дом.5","г. Новокузнецк, ул. Автотранспортная д.43 оф.корпус 7 (ресторан)","лицензия № ОЛ-10394-РПА, 42 МЕ № 002115, 25.03.2011",c 25.03.2011 по 24.03.2013,
671,"ООО ОПТОВИК, ИНН - 4201009850, ОГРН - 1024200508881","652471, г. Анжеро-Судженск, ул. Гагарина, дом.1А","г. Анжеро-Судженск, ул. Гагарина д.1А (закусочная); г. Анжеро-Судженск, ул. им. 50- летия Октября д.1А (кафе); г. Анжеро-Судженск, ул. Станционная д.1 (магазин); г. Анжеро-Судженск, ул. Гагарина д.1А (магазин); г. Анжеро-Судженск, ул. им. 50-летия Октября д.1А (магазин); г. Анжеро-Судженск, ул. Южная д.2 (магазин); г. Анжеро-Судженск, ул. Рабочая д.77 (магазин); г. Анжеро-Судженск, пгт. Рудничный, ул. Советская д.3Б (магазин) розничная продажа алкогольной продукции с содержанием этилового спирта не более 15% объема","лицензия № ОЛ-6885-РПА, Д № 489974, 25.06.2007",c 25.06.2007 по 25.06.2008 продлена с 27.06.2011 по 26.06.2012,
672,"ООО ОРБИТА, ИНН - 4205186441, ОГРН - 1094205018907","650000, г. Кемерово, пр-кт. Советский, дом.8","г. Кемерово, пр-кт. Советский д.8 (бар)","лицензия № ОЛ-9062-РПА, 42МЕ № 001379, 27.11.2009",c 27.11.2009 по 26.11.2014,
673,"ООО ОРИОН, ИНН - 4250003107, ОГРН - 1064250009823","650517, Кемеровский р-н, п. Металлплощадка, ул. Молодежная, дом.55","Кемеровский р-н, п. Металлплощадка, ул. Молодежная д.55 (магазин)","лицензия № ОЛ-5750-РПА, Д № 489376, 06.07.2006",c 06.07.2006 по 06.07.2011 продлена с 07.07.2011 по 06.07.2012,
674,"ООО ОРФЕЙ, ИНН - 4214030874, ОГРН - 1094214000528","652842, г. Мыски, кв-л. 8-й, дом.4","г. Мыски, кв-л. 8-й д.4 (магазин)","лицензия № ОЛ-8891-РПА, 42МЕ № 001281, 09.09.2009",c 09.09.2009 по 08.09.2010 продлена с 09.09.2011 по 08.09.2012,
675,"ООО ОРХИДЕЯ, ИНН - 4204007185, ОГРН - 1074204000221","652774, Гурьевский р-н, с. Малая Салаирка, ул. Матросова, дом.3А","Гурьевский р-н, с. Малая Салаирка, ул. Матросова д.3А (магазин)","лицензия № ОЛ-9643-РПА, 42  МЕ № 001665, 20.07.2010",c 20.07.2010 по 19.07.2011 продлена с 20.07.2011 по 19.07.2012,
676,"ООО Оазис, ИНН - 4246005609, ОГРН - 1054246023204","652470, г. Анжеро-Судженск, ул. Ленина, дом.15А","г. Анжеро-Судженск, ул. Ленина д.15А (кафе)","лицензия № ОЛ-5068-РПА, В № 935706, 21.12.2005",c 21.12.2005 по 21.12.2008 продлена с 22.12.2008 по 21.12.2013,
677,"ООО Обжорка, ИНН - 4246015276, ОГРН - 003280106","652120, Ижморский р-н, пгт. Ижморский, ул. М. Горького, дом.66","Ижморский р-н, пгт. Ижморский, ул. М. Горького д.66 (магазин)","лицензия № ОЛ-11173-РПА, 42МЕ № 002718, 28.09.2011",c 28.09.2011 по 27.09.2012,
678,"ООО Обжорка, ИНН - 4250003379, ОГРН - 1064250010164","650023, г. Кемерово, пр-кт. Ленина, дом.134-100","г. Кемерово, ул. Тухачевского пост ГиБДД (кафе)","лицензия № ОЛ-6039-РПА, 42 Ме № 002245, 14.05.2010",c 24.07.2006 по 24.07.2011 продлена с 25.07.2011 по 24.07.2012,
679,"ООО Общепит горы Зеленой, ИНН - 4217134977, ОГРН - 1114217005264","654041, г. Новокузнецк, ул. Кутузова, дом.36","Таштагольский р-н, пгт. Шерегеш, гора Зеленая (бар ресторана ""Берлога""); Таштагольский р-н, пгт. Шерегеш, гора Зеленая (бар ресторана ""Ольга"")","лицензия № ОЛ-11285-РПА, 42МЕ № 002779, 10.11.2011",c 10.11.2011 по 09.11.2012,
680,"ООО Ода, ИНН - 4202028101, ОГРН - 1064202011830","652645, г. Белово, пгт. Новый Городок, ул. Тухачевского, дом.5","г. Белово, пгт. Новый Городок, ул. Тухачевского д.5 (магазин)","лицензия № ОЛ-5627-РПА, 42 МЕ № 001315, 08.10.2009",c 07.06.2006 по 07.06.2011 продлена с 08.06.2011 по 07.06.2013,
681,"ООО Околица, ИНН - 4202033944, ОГРН - 1084202000662","652673, Беловский р-н, с. Каракан, ул. Степная, дом.2","Беловский р-н, с. Каракан, ул. Степная д.2 (магазин)","лицензия № ОЛ-7706-РПА, Д № 488407, 14.07.2008",c 14.07.2008 по 13.07.2009 продлена с 14.07.2011 по 13.07.2012,
682,"ООО ОлеКА, ИНН - 4217093294, ОГРН - 1074217004256","654000, г. Новокузнецк, пр-кт. Пионерский, дом.46","г. Новокузнецк, пр-кт. Пионерский д.46 (магазин)","лицензия № ОЛ-11322-РПА, 42 МЕ № 002815, 21.11.2011",c 21.11.2011 по 20.11.2012,
683,"ООО Олимп, ИНН - 4214023884, ОГРН - 1054214021245","652870, г. Междуреченск, ул. Разрезовская, дом.2","г. Междуреченск, ул. Разрезовская д.2 (магазин)","лицензия № ОЛ-5203-РПА, Д № 489799, 06.12.2006",c 29.12.2005 по 29.12.2008 продлена с 30.12.2011 по 29.12.2012,
684,"ООО Ольга, ИНН - 4222013840, ОГРН - 1114222001354","652825, г. Калтан, с. Сарбала, ул. Кооперативная, дом.22","г. Калтан, п. Малиновка, ул. Крупская д.1А (магазин); г. Калтан, с. Сарбала, ул. Кооперативная д.22 (магазин)","лицензия № ОЛ-11362-РПА, 42 МЕ № 002835, 06.12.2011",c 06.12.2011 по 05.12.2012,
685,"ООО Оля, ИНН - 4205098481, ОГРН - 1064205006634","650051, г. Кемерово, ул. Центральная, дом.65А","Кемеровский р-н, п. Новоискитимск, ул. Зеленая д.1, пом. 1 (магазин); г. Кемерово, ул. Центральная д.65А (магазин); г. Кемерово, ул. Мелиораторов литер А (магазин)","лицензия № ОЛ-5411-РПА, В № 935957, 23.03.2006",c 23.03.2006 по 23.03.2011 продлена с 24.03.2012 по 23.03.2013,
686,"ООО Орион, ИНН - 4228010349, ОГРН - 1064228004653","652930, Таштагольский р-н, пгт. Каз, пл. Центральная, дом.2","Таштагольский р-н, пгт. Каз, пл. Центральная д.2 (магазин)","лицензия № ОЛ-6743-РПА, Д № 489914, 16.03.2007",c 16.03.2007 по 16.03.2008 продлена с 18.03.2012 по 17.03.2013,
