"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
20,"МП Темиртауское, ИНН - 4228000809, ОГРН - 00562096","652920, Таштагольский р-н, пгт. Темиртау, ул. Центральная, дом.12А","Таштагольский р-н, пгт. Темиртау, ул. Суворова д.16 (магазин); Таштагольский р-н, пгт. Темиртау, ул. Центральная д.12А (магазин); Таштагольский р-н, пгт. Темиртау, ул. Шоссейная д.8 (магазин)","лицензия № ОЛ-3613-РПА, Д № 489459, 17.07.2006",c 01.01.2005 по 01.01.2008 продлена с 03.01.2012 по 02.01.2013,
21,"ОАО Железнодорожная торговая компания, ИНН - 7708639622, ОГРН - 5077746868403","107228, г. Москва, ул. Новорязанская, дом.12","Беловский р-н, ст. Проектная,  (магазин № 121); Беловский р-н, ст. Мереть,  (магазин № 122); Топкинский р-н, ст. Шишино,  (магазин № 26); Юргинский р-н, ст. Арлюк,  (магазин № 27); Новокузнецкий р-н, ст. Смирновка,  (магазин № 77); Таштагольский р-н, ст. Учулен,  (магазин № 82); Таштагольский р-н, ст. Алгаин,  (магазин № 83); Таштагольский р-н, ст. Чугунаш,  (магазин № 84); Таштагольский р-н, ст. Калары,  (магазин № 86); Новокузнецкий р-н, ст. Карлык,  (магазин № 96); Новокузнецкий р-н, ст. Ерунаково,  (магазин № 98); Прокопьевский р-н, ст. Углерод,  (магазин №100); Прокопьевский р-н, ст. Тырган,  (магазин №135); Прокопьевский р-н, ст. Калачево,  (магазин №71); Промышленновский р-н, п. Тарсьма, ул. Центральная д.19 (магазин); Таштагольский р-н, ст. Кондома, ул. О. Дундича (магазин№87); г. Белово, ул. Ленина д.15А (столовая № 17); г. Березовский, ст. Бирюлинская,  (магазин №5); г. Калтан, ул. Комсомольская д.2 (закусочная); г. Кемерово, ст. Латыши,  (магазин); г. Краснобродский, ст. Дуб","лицензия № ОЛ-7127-РПА, Д № 488080, 29.11.2007",c 29.11.2007 по 29.11.2010 продлена с 30.11.2011 по 29.11.2012,
,,,"рово,  (магазин № 131); г. Краснобродский, ст. Артышта-1, ул. Ворошилова (магазин № 133); г. Новокузнецк, ул. Кутузова д.80А (кафе); г. Новокузнецк, ст. Полосухино,  (магазин № 101); г. Новокузнецк, ст. Разъезд Абагуровский,  (магазин №76); г. Новокузнецк, ул. Сызранская д.5 (магазин); г. Новокузнецк, ул. Вокзальная д.11 (столовая № 12); г. Осинники, ул. Вокзальная д.6 (магазин №78); г. Прокопьевск, ст. Спиченково,  (магазин); г. Тайга, ул. Привокзальная д.24 (закусочная); г. Топки, ул. Привокзальная д.8 (закусочная); г. Топки, ул. Революции д.30А (кулинария); г. Топки, ул. Ретюнской д.1 (пельменная)",,,
22,"ОАО Кемеровский Центральный Универмаг, ИНН - 4205000496, ОГРН - 2044205028261","650000, г. Кемерово, ул. Кирова, дом.37","г. Кемерово, ул. Кирова д.37 ( отдел ""Бергхофф""); г. Кемерово, ул. Кирова д.37 (кафе); г. Кемерово, ул. Кирова д.37 (отдел ); г. Кемерово, ул. Кирова д.37 (столовая)","лицензия № ОЛ-3999-РПА, Д № 451709, 21.03.2005",c 21.03.2005 по 21.03.2008 продлена с 22.03.2008 по 22.03.2013,
23,"ОАО Мариинский ликеро-водочный завод, ИНН - 4213003050, ОГРН - 202","652140, г. Мариинск, ул. Пальчикова, дом.28","г. Кемерово, ул. Орджоникидзе д.3 (магазин)","лицензия № ОЛ-0448-РПА, Д № 052429, 18.04.2002",c 18.04.2002 по 18.04.2005 продлена с 21.04.2012 по 20.04.2017,
24,"ОАО Предприятие вагонов-ресторанов, ИНН - 4216002150, ОГРН - 00486220","654000, г. Новокузнецк, ул. Транспортная, дом.2, кор. 36","г. Новокузнецк,  вагон № 63122; г. Новокузнецк,  вагон № 63155; г. Новокузнецк,  вагон № 63163; г. Новокузнецк,  вагон № 63171; г. Новокузнецк,  вагон № 63197; г. Новокузнецк,  вагон № 63205; г. Новокузнецк,  вагон № 63239; г. Новокузнецк,  вагон № 63247; г. Новокузнецк,  вагон № 63361; г. Новокузнецк,  вагон № 63379; г. Новокузнецк,  вагон № 63387; г. Новокузнецк,  вагон № 63403; г. Новокузнецк,  вагон № 63429; г. Новокузнецк,  вагон № 63445; г. Новокузнецк,  вагон № 63452; г. Новокузнецк,  вагон № 63460; г. Новокузнецк,  вагон № 63461; г. Новокузнецк,  вагон № 63486; г. Новокузнецк,  вагон-ресторан №63189; г. Новокузнецк,  вагон-ресторан №63254; г. Новокузнецк,  вагон-ресторан №63478; г. Новокузнецк,  купе-буфет № 17703; г. Новокузнецк,  купе-буфет №17711; г. Новокузнецк,  купе-буфет №17745; г. Новокузнецк,  купе-буфет №17760; г. Новокузнецк,  купе-буфет №17786; г. Новокузнецк,  купе-буфет №17844","лицензия № ОЛ-3467-РПА, Д № 451290, 24.12.2004",c 02.01.2005 по 02.01.2008 продлена с 03.01.2008 по 03.01.2013,
25,"ОАО Северо-Кузбасская энергетическая компания, ИНН - 4205153492, ОГРН - 1084205006600","650000, г. Кемерово, ул. Кузбасская, дом.6","Промышленновский р-н, д. Калинкино,  в 3х км.на северо-запад, база отдыха ""Березовый уют""(бар)","лицензия № ОЛ-11862-РПА, 42 МЕ № 003127, 23.04.2012",c 23.04.2012 по 22.04.2013,
26,"ОАО Славяночка, ИНН - 4206022037, ОГРН - 1024200681922","650065, г. Кемерово, пр-кт. Ленина, дом.135","г. Кемерово, пр-кт. Ленина д.135 (бар); г. Кемерово, пр-кт. Ленина д.135 (ресторан)","лицензия № ОЛ-0900-РПА, Д № 052982, 11.09.2002",c 11.09.2002 по 11.09.2005 продлена с 13.09.2008 по 12.09.2013,
27,"ОАО Центрпродсервис, ИНН - 4216000498, ОГРН - 690/2002-7857","654000, г. Новокузнецк, ул. Орджоникидзе, дом.7-А","Таштагольский р-н, пгт. Темиртау, ул. Чехова д.1 (магазин); Новокузнецкий р-н, с. Сосновка, ул. Кузнецкая д.16 (магазин); Новокузнецкий р-н, п. Металлургов, ул. Центральная д.92 (магазин); Новокузнецкий р-н, п. Степной,  (магазин); Новокузнецкий р-н, п. Казанково, ул. Зеленая д.1А (магазин); г. Калтан, ул. Дзержинского д.34 (магазин); г. Мыски, ул. Степная д.3 (магазин); г. Новокузнецк, ул. Мориса Тореза д.10 (магазин); г. Новокузнецк, ул. Спартака д.18 (магазин); г. Новокузнецк, пр-кт. Металлургов д.23 (магазин); г. Новокузнецк, ул. Циолковского д.34 (магазин); г. Новокузнецк, ул. Челюскина д.40 (магазин); г. Новокузнецк, ул. 40 лет ВЛКСМ д.47 (магазин); г. Новокузнецк, пр-кт. Строителей д.80 (магазин); г. Новокузнецк, ул. Ленина д.9 (магазин); г. Новокузнецк, пр-кт. Октябрьский д.47 (магазин); г. Новокузнецк, пр-кт. Строителей д.45 (магазин); г. Новокузнецк, пр-кт. Металлургов д.34 (магазин); г. Новокузнецк, ул. Циолковского д.33 (магазин); г. Новокузнецк, ул. Циолковского д.1 (магаз","лицензия № ОЛ-0751-РПА, Д № 052835, 11.07.2002",c 11.07.2002 по 01.01.2005 продлена с 03.01.2008 по 03.01.2013,
,,,"ин); г. Новокузнецк, пр-кт. Металлургов д.50 (магазин); г. Новокузнецк, пр-кт. Бардина д.4 (магазин); г. Новокузнецк, ул. Кирова д.73 (магазин); г. Новокузнецк, пр-кт. Металлургов д.39 (магазин); г. Новокузнецк, ул. Франкфурта д.17 (магазин); г. Новокузнецк, пр-кт. Металлургов д.53 (магазин); г. Новокузнецк, пр-кт. Октябрьский д.3 (магазин); г. Новокузнецк, ул. Кирова д.103 (магазин); г. Новокузнецк, пр-кт. Дружбы д.65 (магазин); г. Новокузнецк, пр-кт. Октябрьский д.23 (магазин); г. Новокузнецк, пр-кт. Дружбы д.21 (магазин); г. Новокузнецк, пр-кт. Дружбы д.48А (магазин); г. Новокузнецк, пр-кт. Металлургов д.4 (магазин); г. Новокузнецк, ул. Тореза д.24 (магазин); г. Новокузнецк, пр-кт. Строителей д.90 корпус 1 (магазин)",,,
