№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
3,"ООО ""Карина""",6712009283,1106712000086,"216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 69","216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 69-а (магазин), без ограничений",№ 1924                     Б 005251                      (Г 301803),22 октября 2010,по 22 октября 2011,до 23 октября 2012,,,,,,,
4,"ООО ""Лидер""",6712009269,1106712000053,"216450, Смоленская область, г. Починок, ул. Ленина, д. 47","216450, Смоленская область, г. Починок, ул. Ленина, д. 47 (магазин)",№ 1914                Б 005218,07 мая 2010,по 07 мая 2012,,,,,,,,
5,"ООО ""Антей""",6712007800,1056750863080,"216450, Смоленская область, г. Починок, ул. Советская, д. 20","216450, Смоленская область, г. Починок, ул. Советская, д. 20 (магазин), без ограничений",№ 845                    Г 254949,01 июля 2006,по 01 июля 2011, до 02 июля 2016,,,,,,,
,,,,,"216450, Смоленская область, г. Починок, ул. Кирова, д. 7-а (магазин), без ограничений",,,,,,,,,,,
6,"ООО ""Марс""",6712002619,1026700635026,"216470, Смоленская область, Починовский район, п. Сиодолище, ул. Советская, д. 112","216450, Смоленская область, г. Починок, ул. Советская, д. 8 (магазин)",№ 1377                  Г 679358                               ( Г 301831),05 декабря 2006,по 05 декабря 2011,до 06 декабря 2012,,,,,,,
,,,,,"216450, Смоленская область, г. Починок, ул. Советская, д. 8 (кафе ""У Шаха""), без ограничений",,,,,,,,,,,
,,,,,"216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 112 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 112 (дискобар)",,,,,,,,,,,
7,"ООО ""Шарм""",6712007960,1066712011827,"216450, Смоленская область, г. Починок, 2-ой Советский переулок, д. 2, кв. 2","216450, Смоленская область, г. Починок, 2-ой Советский пер. д. 2 (магазин), без ограничений",№ 871                Б 005647,22 июня 2006,по 22 июня 2011, до 23 июня 2014,,,,,,,
8,"ООО ""КОРНЕЕВА и КО""",6712007751,1056750860220,"216466, Смоленская область, Починовский район, дер. Мурыгино","216466, Смоленская область, Починковский район, д. Мурыгино (магазин), без ограничений",№ 797                 Б 00546,09 июня 2006,по 09 июня 2011,до 10 июня 2016,,,,,,,
,,,,,"216466, Смоленская область, Починковский район, д. Мурыгино (кафе), без ограничений",,,,,,,,,,,
9,"ООО ""УДАЧА""",6712007952,1066712011640,"216450, Смоленская область, г. Починок, в/ч 75090, д. 198, кв. 6","216450, Смоленская область, г. Починок, переулок Ленина (магазин), без ограничений",№ 844                Б 005607,19 июня 2006, по 19 июня 2011,до 20 июня 2016,,,,,,,
,,,,,"216450, Смоленская область, г. Починок, ул. Советская, д. 32 (магазин), без огарничений",,,,,,,,,,,
10,"ООО ""ЛЮБАВА""",6712008000,1066712012190,"216486, Смоленская область, Починовский район, дер. Прудки","216486, Смоленская область, Починовский район, дер. Прудки (кафе), без ограничений",№ 1139                  Б 005916,17 июля 2006,по 17 июля 2011,до 18 июля 2012,,,,,,,
11,"КФХ ""Никульчино""",6712001630,1026700629757,"216602, Смоленская область, Починовский район, д. Никульчино","216450, Смоленская область, г. Починок, ул. Ленина, д. 2-а (магазин)",№ 1467                 Г 679453,29 марта 2007,по 29 марта 2012,,,,,,,,
,"ЗАО ""ОСП""",6712006349,1026700633211,"216466, Смоленская область, Починовский район, дер. Мурыгино","216466, Смоленская область, Починовский район, дер. Мурыгино (магазин)",№ 1453                 Г 679436,05 марта 2007,по 05 марта 2012,,,,,,,,
,,,,,"216450, Смоленская область, г. Починок, ул. Октябрьская, д. 2-а (кафе)",,,,,,,,,,,
12,"ООО ""Лат""",6712008201,1066712012872,"216465, Смоленская область, Починовский район, д. Плоское, д. 35, кв. 40","216465, Смоленская область, Починовский район, д. Плоское (магазин)",№ 1407              Г 679382,21 декабря 2006,по 21 декабря 2011,,,,,,,,
13,"ООО ""Ритм""",6712007991,1066712012070,"216450, Смоленская область, г. Починок, ул. Новикова, 2-а","216450, Смоленская область, г. Починок, ул. Новикова, д. 2-а (магазин)",№ 1317               Г 254959,29 сентября 2006,по 29 сентября 2011,,,,,,,,
,,,,,"216450, Смоленская область, г. Починок, ул. Советская, д. 48",,,,,,,,,,,
14,"ООО ""Альянс""",6712008018,1066712012212,"216486, Смоленская область, Починовский район, дер. Прудки","216486, Смоленская область, Починовский район, дер. Прудки (магазин-закусочная)",№ 1132                 Б 005911,14 июля 2006,по 14 июля 2011,,,,,,,,
15,"ООО ""Кедр""",6712007984,1066712012025,"216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 115","216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 115 (закусочная)",№ 1017                   Б 005770,30 июня 2006,по 30 июня 2011,,,,,,,,
16,"ООО ""Леди Грин""",6712009170,1096712000440,"216486, Смоленская область, Починовский район, д. Прудки, ул. Центральная, д. 25","216450, Смоленская область, г. Починок, ул. Октябрьская, д. 2-а (кафе)",№ 1878                 Б 005174,13 ноября 2009,по 13 ноября 2010,,,,,,,,
17,"ООО ""Смолвинпром- завод №2""",6714012676,1026700629680,"216470, Смоленская область, Починовский район, п. Стодолище, ул. Краснознаменская, д. 16","216458, Смоленская область, Починовский район, д. Потемкино (магазин)",№ 1620               Г 679641,01 января 2008,по 01 января 2013,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 100 (магазин)",,,,,,,,,,,
18,"ООО ""ВЕЛЕС""",6712008699,1076712000694,"216450, Смоленская область, г. Починок, ул. В. Теркина, д. 13","216450, Смоленская область, г. Починок, ул. Новикова, д. 2-а (магазин ""Продукты"")",№ 1591                 Г 679605 ,26 ноября 2007,по 26 ноября 2012,,,,,,,,
19,"ООО ""Хазал""",6712008882,1086712000407,"216456, Смоленская область, Починовский район, д. Бобыново","216450, Смоленская область, г. Починок, 2-й Советский переулок, д. 12 (кафе-бар),без ограничений",№ 1709                   Г 679760,15 сентября 2008,по 15 сентября 2013,,,,,,,,
20,"ООО ""Феникс-Н""",6712008642,1076712000584,"216466, Смоленская область, Починовский район, дер. Льнозавод","216467, Смоленская область, Починовский район, дер.Ламоново (магазин), без ограничений",№ 1571                        Г 301852,11 октября 2007,11 октября 2012,,,,,,,,
21.,Починковское РАЙПО,6712000114,1026700630065,"216600, г. Починок, ул. Советская, д. 9","1606/1 –  216484, Починковский район, д. Стригино (магазин ""Стригино""), без ограничений","№ 1606                            Г 679621
 ",29 декабря 2007,29 декабря 2012,,,,,,,,
,,,,,"1606/2 –  216496, Починковский район, д. Климщина (магазин""Климщина""), без ограничений",,,,,,,,,,,
,,,,,"1606/3 –  216456, Починковский район, д. Лучеса (магазин""Лучеса""), без ограничений",,,,,,,,,,,
,,,,,"1606/4 –  216494, Починковский район, д. Марьино (магазин""Марьино""), без ограничений",,,,,,,,,,,
,,,,,"1606/5 –  216454, Починковский район, д. Бабыново (магазин""Бабыново""), без ограничений",,,,,,,,,,,
,,,,,"1606/6 –  216468, Починковский район, д. Макшеево (магазин""Макшеево""), без ограничений",,,,,,,,,,,
,,,,,"1606/7 –  216654, Починковский район, д. Старинки (магазин""Старинки""), без ограничений",,,,,,,,,,,
,,,,,"1606/8 –  216498, Починковский район, д. Яново (магазин""Яново""), без ограничений",,,,,,,,,,,
,,,,,"1606/9 –  216450, Починковский район, д. Даньково (магазин""Даньково""), без ограничений",,,,,,,,,,,
,,,,,"1606/10 –  216485, Починковский район, д. Пересна (магазин""Пересна""), без ограничений",,,,,,,,,,,
,,,,,"1606/11 –  216498, Починковский район, д. Рябцево (магазин""Рябцево""), без ограничений",,,,,,,,,,,
,,,,,"1606/12 –  216613, Починковский район, д. Княжое (магазин""Княжое""), без ограничений",,,,,,,,,,,
,,,,,"1606/13 –  216048, Починковский район, д. Пивовка (магазин""Пивовка""), без ограничений",,,,,,,,,,,
,,,,,"1606/14 –  216464, Починковский район, д. Кошелево (магазин""Кошелево""), без ограничений",,,,,,,,,,,
,,,,,"1606/15 –  216048, Починковский район, д. Прудки (магазин""Прудки""), без ограничений",,,,,,,,,,,
,,,,,"1606/16 –  216466, Починковский район, д. Мурыгино (магазин""Мурыгино""), без ограничений",,,,,,,,,,,
,,,,,"1606/17 –  216493, Починковский район, д. Алексино (магазин""Алексино""), без ограничений",,,,,,,,,,,
,,,,,"1606/18 –  216492, Починковский район, д. Шаталово (магазин""Шаталово""), без ограничений",,,,,,,,,,,
,,,,,"1606/19 –  216462, Починковский район, д. Прилепово (магазин""Прилепово""), без ограничений",,,,,,,,,,,
,,,,,"1606/20 –  216547, Починковский район, д. Лосня (магазин""Лосня""), без ограничений",,,,,,,,,,,
,,,,,"1606/21 –  216493, Починковский район, д. Мачулы (магазин""Мачулы""), без ограничений",,,,,,,,,,,
,,,,,"1606/22 –  216461, Починковский район, д. Липки (магазин""Липки""), без ограничений",,,,,,,,,,,
,,,,,"1606/23 –  216494, Починковский район, д. Красиловка (магазин""Ксасиловка""), без ограничений",,,,,,,,,,,
,,,,,"1606/24 –  216458, Починковский район, д. Клемятино (магазин""Клемятино""), без ограничений",,,,,,,,,,,
,,,,,"1606/25 –  216485, Починковский район, п/о Пересна, д. Денисово (магазин""Редчино""), без ограничений",,,,,,,,,,,
,,,,,"1606/26 –  216467, Починковский район, д. Ламоново (магазин""Ламоново""), без ограничений",,,,,,,,,,,
,,,,,"1606/27 –  216493, Починковский район, д. Льнозавод (магазин""Льнозавод""), без ограничений",,,,,,,,,,,
,,,,,"1606/28 –  216450, г. Починок, ул. Юбилейная, д.5 (магазин № 7), без ограничений",,,,,,,,,,,
,,,,,"1606/29 –  216450, г. Починок, ул. Советская, д. 11 (магазин № 2), без ограничений",,,,,,,,,,,
,,,,,"1606/30 –  216450, г. Починок, ул. Советская, д. 18 (магазин № 5), без ограничений",,,,,,,,,,,
,,,,,"1606/31 –  216450, г. Починок, ул. Октябрьская, д. 11 (магазин № 4), без ограничений.",,,,,,,,,,,
,,,,,"1606/32 –  216450, г. Починок, ул. Кирова, д. 1-а, ""Торговый дом ""Центральный"" (магазин ""Бакалея""), без ограничений",,,,,,,,,,,
,,,,,"1606/33 –  216450, г. Починок, ул. Социалистическая (магазин ПМК), без ограничений.",,,,,,,,,,,
,,,,,"1606/34 –  216450, г. Починок, 2-ой Советский переулок, д. 2 (магазин № 6), без ограничений.",,,,,,,,,,,
,,,,,"1606/35 –  216450, г. Починок, ул. Урицкого, д. 38 (магазин ""Заготзерно""), без ограничений.",,,,,,,,,,,
,,,,,"1606/36 –  216450, г. Починок, ул. Строителей, д. 10 (магазин № 9), без ограничений.",,,,,,,,,,,
,,,,,"1606/37 –  216494, Починковский район, д. Марьино (ночной магазин ""Марьино""), без ограничений.",,,,,,,,,,,
,,,,,"1606/38 –  216486, Починковский район, д. Прудки (магазин""Прудки""), без ограничений",,,,,,,,,,,
,,,,,"1606/39 –  216450, г. Починок, ул. Советская, д. 29 (ресторан), без ограничений",,,,,,,,,,,
,,,,,"1606/40 –  216450, г. Починок, переулок Юбилейный, д. 1 (бар ""Сказка""), без ограничений",,,,,,,,,,,
,,,,,"1606/41 –  216450, г. Починок, ул. Урицкого, д. 2 (бар ""Ночной""), без ограничений",,,,,,,,,,,
,,,,,"1606/42 –  216450, г. Починок, ул. Октябрьская, д. 5 (столовая № 1), без ограничений",,,,,,,,,,,
,,,,,"1606/43 –  216498, Починковский район, д. Рябцево (кафе-бар), без ограничений",,,,,,,,,,,
,,,,,"1606/44 –  216301, Глинковский район, д. Балтутино (магазин ""Балтутино""), без ограничений",,,,,,,,,,,
,,,,,"1606/45 –  216320, Глинковский район, с. Глинко, ул. Рабочая, д. 7 (магазин Сельхозтехника ""Юлия""), без ограничений",,,,,,,,,,,
,,,,,"1606/46 –  216316, Глинковский район, д. Березкино (магазин ""Березкино""), без ограничений",,,,,,,,,,,
,,,,,"1606/47 –  216310, Глинковский район, д. Добронино (магазин ""Добронино РТС""), без ограничений",,,,,,,,,,,
,,,,,"1606/48 –  216310, Глинковский район, д. Добронино (магазин ""Добронино Центр""), без ограничений",,,,,,,,,,,
,,,,,"1606/49 –  216322, Глинковский район, д. Белый Холм (магазин ""Белый Холм""), без ограничений",,,,,,,,,,,
,,,,,"1606/50 –  216320, с. Глинко, ул. Ленина, д. 27 (магазин № 15), без ограничений",,,,,,,,,,,
,,,,,"1606/51 –  216302, Глинковский район, д. Ханино (магазин ""Ханино""), без ограничений",,,,,,,,,,,
,,,,,"1606/52 –  216311, Глинковский район, д. Дубосище (магазин ""Дубосище""), без ограничений",,,,,,,,,,,
,,,,,"1606/53 –  216325, Глинковский район, д. Ромоданово (магазин ""Ромоданово""), без ограничений",,,,,,,,,,,
,,,,,"1606/54 –  216320, Глинковский район, д. Ново-Яковлевичи (магазин""Ново-Яковлевичи""), без ограничений",,,,,,,,,,,
,,,,,"1606/55 –  216320, Глинковский район, д. Яковлево (магазин"" Яковлево""), без ограничений",,,,,,,,,,,
,,,,,"1606/56 –  216315, Глинковский район, д. Беззаботы (магазин""Беззаботы""), без ограничений",,,,,,,,,,,
,,,,,"1606/57 –  216301, Глинковский район, д. Балтутино (магазин""продажи продукции общепита""), без ограничений",,,,,,,,,,,
,,,,,"1606/58 –  216320, Глинковский район, с.Глинко, ул. Ленина, д. 31 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"1606/59 –  216320, Глинковский район, с. Глинко, ул. Ленина, д. 15 (магазин № 1), без ограничений",,,,,,,,,,,
,,,,,"1606/60 –  216465, Починковский район, д. Плоское (магазин), без ограничений.",,,,,,,,,,,
22,"ООО ""Апогей""",6712008138,1066712012696,"216484, Смоленская область, Починковский район, д. Свиридово","214018, Смоленская область, г. Смоленск, ул. Раевского, д. 8 (магазин ""Птица""), без ограничений",№ 1384                Г 679361               (Г 301900),05 декабря 2006,по 05 декабря 2011,до 06 декабря 2012,,,,,,,
23,"ОАО ""Васьково""",6712006395,1026700629900,"216480, Смоленская область, Починковский район, п/о ""Васьково"", д. Галеевка","216480, Смоленская область, Починковский район, д. Васьково, (кафе-бар), без ограничений",№ 1672                  Г 679694,28 мая 2008,по 28 мая 2013,,,,,,,,
24,"ООО ""Аркада""",6726013811,1096726000865,"215500, Смоленская область, г. Сафоново, ул. Гагарина, д. 10","215500, Смоленская область, г. Сафоново,микрорайон ГМП (магазин), без ограничений",№ 1882                   Б 005184          (Г 301779),03 декабря 2009,по 03 декабря 2014,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,микрорайон МЖК (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,ул. Красногвардейская (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,1 микрорайон, д. 1(магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,ул. Красноармейская, д. 13(магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,ул. Дружбы, д. 7(магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,ул. Энгельса, д. 28(магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,микрорайон 2, д. 21 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново,ул. Кутузова, д. 35(магазин), без ограничений",,,,,18 октября 2011            включение объекта,,,,,,
25,"ООО ""Агропромышленный животноводческий союз""",6712008113,1.06671E+12,"216608, Смоленская область, Починковский район, д. Потемкино","216458, Смоленская область, Починовский район, д. Плоское (магазин)",№ 1628                    Г 679646,30 января 2008,30 января 2013,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
