РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
39,112-11алк/Хол,11/24/2011,"ООО ""Респект""","Холмский р-н, г. Холмск, ул. Капитанская, 5",МЕ006711,11/23/2012,действующая,алк> 15%,"магазин ""Продукты"" г. Холмск ул. Капитанская, 4"
40,421-09алк/ЮС,11/26/2009,"ООО ""СТРЕЛА-С""","г. Южно-Сахалинск, пл.р/н Луговое, ул.2-я Железнодорожная,37а/1",МЕ005198,11/26/2012,действующая,алк<15%,"магазин ""Кайф"" г. Южно-Сахалинск пл.р/н Луговое, ул.2-я Железнодорожная, 37а"
41,422-09алк/ЮС,11/26/2009,"ООО ""Элит""","г. Южно-Сахалинск, пр.Мира, 284б",МЕ005199,11/26/2012,действующая,алк<15%,"магазин ""Элит"" г. Южно-Сахалинск пр.Мира,284б"
42,423-09алк/ЮС,11/26/2009,"ООО ""Минутка""","г. Южно-Сахалинск, ул.Милицейская, 13а",МЕ005200,11/26/2012,действующая,алк> 15%,"магазин ""Минутка"" г. Южно-Сахалинск ул.Милицейская,13а"
43,425-09алк/Угл,11/26/2009,"ООО ""Юлия""","Углегорский р-н, г. Шахтерск, ул.Октябрьская,7",МЕ005202,11/26/2012,действующая,алк> 15%,"магазин ""Юлия"" г. Шахтерск ул.Октябрьская,7"
44,427-09алк/Дол,11/26/2009,"ООО ""Стимул""","Долинский р-н, г. Долинск, ул.Хабаровская,14а",МЕ005204,11/26/2012,действующая,алк> 15%,"магазин ""Стимул"" г. Долинск ул.Хабаровская,14а"
45,426-09алк/Кор,11/26/2009,"ООО ""Сибирь""","Корсаковский р-н, с. Чапаево, ул.Школьная,7/2",МЕ005203,11/26/2012,действующая,алк> 15%,"магазин ""Любимый"" с. Чапаево ул.Центральная,4"
46,121-11алк/АС,12/28/2011,"ООО ""Успех""","Александровский р-н, г. Александровск-Сахалинский, ул. Советская, 23/В",МЕ006780,11/30/2012,действующая переоформленная,алк> 15%,"магазин ""Мария"" г. Александровск-Сахалинский ул. Советская, 23/В; магазин ""Мария - 2"" г. Александровск-Сахалинский ул. Дзержинского, 8/Б"
47,120-11алк/Пор,12/1/2011,"ООО ""Меридиан""","Поронайский р-н, г. Поронайск, ул. Восточная, 73",МЕ006720,11/30/2012,действующая,алк> 15%,"магазин ""Лада"" г. Поронайск ул. Восточная, 73"
48,119-11алк/Том,12/1/2011,"ООО ""Меркурий""","Томаринский р-н, с.Ильинское, ул. Советская, 30",МЕ006718,11/30/2012,действующая,алк> 15%,"магазин ""Саша"" с.Ильинское ул. Советская, 30"
49,439-09алк/ЮС,12/3/2009,"ООО ""АНТЭК""","г. Южно-Сахалинск, ул.Есенина,9",МЕ005220,12/3/2012,действующая,алк> 15%,"магазин ""Обжорка"" г. Южно-Сахалинск ул.Есенина,9"
50,441-09алк/ЮС,12/3/2009,"ООО ""Восток""","г. Южно-Сахалинск, пл./р-н Луговое, ул.Дружбы, 46а",МЕ005219,12/3/2012,действующая,алк> 15%,"магазин ""Мейсон"" г. Южно-Сахалинск пл.р/н Луговое, ул.Дружбы, 46а"
51,440-09алк/ЮС,12/3/2009,"ООО ""Регион сервис""","г. Южно-Сахалинск, ул.Пушкина, 150/62",МЕ005218,12/3/2012,действующая,алк> 15%,"магазин ""Регион сервис"" с. Рейдово ул.Советская"
52,434-09алк/Ан,12/3/2009,"ООО ""Симсам""","Анивский р-н, п. Высокое, ул.Центральная,1",МЕ005211,12/3/2012,действующая,алк> 15%,"магазин ""Огонёк"" п. Высокое ул.Центральная,1"
