РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
421,108-09алк/ЮС,5/13/2009,"ООО ""Зевс""","г. Южно-Сахалинск, пр.Победы,77",МЕ004844,5/13/2014,действующая,алк> 15%,"кафе ""Сура"" г. Южно-Сахалинск пр.Победы,77"
422,109-09алк/ЮК,5/13/2009,"ЗАО ""Рыбокомбинат Островной""","Южно-Курильский р-н, с. Малокурильское, ул.Советская,17",МЕ004836,5/13/2014,действующая,алк> 15%,"магазин ""Островной"" с. Малокурильское ул.Советская,17"
423,112-12алк/ЮС,5/18/2012,"ООО ""МИР-ТРЕЙД""","г. Южно-Сахалинск, ул. Сахалинская, 85/А",МЕ006970,5/17/2014,действующая,алк> 15%,"бар ""Караоке"" г. Южно-Сахалинск ул. Сахалинская, 95/А"
424,116-12алк/ЮС,5/18/2012,"ООО ""Аллегра""","г. Южно-Сахалинск, ул. Амурская, 187",МЕ006924,5/17/2014,действующая,алк> 15%,"магазин ""Калинка-Малинка"" г. Южно-Сахалинск ул. Ленина, 285"
425,110-09алк/Кор,5/21/2009,"ООО ""Меркурий""","Корсаковский р-н, г. Корсаков, ул.Нагорная,3/135",МЕ004854,5/21/2014,действующая,алк> 15%,"магазин ""Купец"" г. Корсаков ул.Невельская,18; магазин ""Элит"" г. Корсаков ул.Портовая, 13"
426,120-12алк/Дол,5/27/2012,"ООО ""Удача""","Долинский р-н, г. Долинск, ул. Горького, 2",МЕ006928,5/26/2014,действующая,алк> 15%,"магазин ""Удача"" г. Долинск ул. Горького, 2; магазин ""Айнур"" г. Долинск ул. Комсомольская, 38"
427,122-09алк/ЮС,5/26/2009,"ООО ""Гостиница ""Земляничные холмы""","г. Южно-Сахалинск, ул.Солнечного света, 2",МЕ004856,5/26/2014,действующая,алк> 15%,"ресторан ""Веницианский дворик"" г. Южно-Сахалинск ул.Солнечного света, 2; бар ""Анжело"" г. Южно-Сахалинск ул.Солнечного света, 2; бар ""Эвергрин"" г. Южно-Сахалинск ул.Солнечного света, 2"
428,119-09алк/Хол,5/26/2009,"ООО ""ХИУС""","Холмский р-н, г. Холмск, пл.Ленина,4а",МЕ004862,5/26/2014,действующая,алк> 15%,"магазин ""Семья"" г. Холмск ул.Молодёжная,6"
429,133-09алк/Ох,5/26/2009,"ООО ""Андрей и К""","Охинский р-н, г. Оха, ул.60 лет СССР,34а",МЕ004855,5/26/2014,действующая,алк> 15%,"магазин ""24 часа"" г. Оха ул.Ленина,12а; магазин ""№ 15"" г. Оха ул.Крупской, 53/2; магазин ""№ 34"" г. Оха ул.60 лет СССР,34а; магазин ""Второй"" г. Оха ул.60 лет СССР,13а; магазин ""Первый"" г. Оха ул.Дзержинского,26а; магазин ""Перекрёсток-2"" г. Оха ул.60 лет СССР,32б; магазин ""Перекрёсток-5"" г. Оха ул.Комсомольская,37/2; магазин ""Пионер"" г. Оха ул.Дзержинского, 23б; магазин ""Продтовары"" г. Оха ул.Цапко,28/2; магазин ""Продукты"" г. Оха ул.Советская,41; магазин ""Рублик"" г. Оха ул.Комсомольская,39а; магазин ""Татьяна"" г. Оха ул.Советская,22/1; магазин ""У Фёдоровича"" г. Оха ул.Ленина,44/1; магазин ""№ 16"" г. Оха ул.50 лет Октября,30; магазин ""Продукты"" п. Тунгор ул.Ленина,1б; магазин ""Продукты"" п. Тунгор ул.Нефтяников,16"
430,136-09алк/Кор,5/28/2009,"ООО ""ТАМЕРЛАН""","Корсаковский р-н, г. Корсаков, ул.Зелёная, 11/1",МЕ004875,5/28/2014,действующая,алк> 15%,"магазин ""Талисман"" г. Корсаков ул.Зелёная,11/1"
431,145-12алк/ЮС,6/1/2012,"ООО ""Риком""","г. Южно-Сахалинск, пл. р-он Хомутово, ул. 2-я Центральная, 1/Б",МЕ006954,5/31/2014,действующая,алк> 15%,"бар ""Галерея ХО"" г. Южно-Сахалинск пл. р-он Хомутово, ул. 2-я Центральная, 1/Б, 6 этаж"
432,157-09алк/Угл,6/5/2009,"ООО ""Чайка""","Углегорский р-н, г. Углегорск, ул.Победы,141",МЕ004899,6/5/2014,действующая,алк> 15%,"магазин ""Чайка"" г. Углегорск ул.Победы,141; ресторан ""Чайка"" г. Углегорск ул.Победы,141; бар ""Чайка"" г. Углегорск ул.Победы,141"
433,166-09алк/ЮС,6/10/2009,"ООО ""Паланка""","г. Южно-Сахалинск, ул.Пуркаева,80",МЕ004908,6/10/2014,действующая,алк> 15%,"магазин ""София"" г. Южно-Сахалинск ул.Пуркаева,80"
434,167-09алк/ЮК,6/10/2009,"ООО ""Парус-2006""","Южно-Курильский р-н, п.г.т. Южно-Курильск, ул.Ильичёва,3б",МЕ004909,6/10/2014,действующая,алк> 15%,"магазин ""Парус"" п.г.т. Южно-Курильск кв-л. Ильичёва,3б"
435,184-09алк/Кор,6/17/2009,"ООО ""Ивушка""","Корсаковский р-н, с. Чапаево, ул.Заречная,4",МЕ004928,6/17/2014,действующая,алк> 15%,"магазин      с. Чапаево ул.Заречная,4"
436,59-10алк/ЮС,6/24/2010,"ООО ""Восход""","г. Южно-Сахалинск, ул. Физкультурная, 12/А",МЕ005389,6/23/2014,действующая продленная,алк> 15%,"магазин ""Продуктовая лавка"" г. Южно-Сахалинск ул. Физкультурная, 12/А"
437,70-08алк/ЮС,6/2/2011,"ООО ""Компания АРГ-Сибстрой""","г. Южно-Сахалинск, ул.Амурская,155/Б",МЕ006604,6/25/2014,действующая продленная,алк> 15%,"магазин ""Дилайт"" г. Южно-Сахалинск ул. Амурская, 155/Б"
438,210-09алк/ЮС,6/26/2009,"ООО ""СТАЛКЕР""","г. Южно-Сахалинск, ул.Комсомольская,283 д",МЕ004960,6/26/2014,действующая,алк> 15%,"магазин ""Любимый"" г. Южно-Сахалинск ул.Комсомольская,283д"
439,204-12алк/ЮС,6/29/2012,"ООО ""Звезда Туризма""","г. Южно-Сахалинск, ул. Сахалинская, 2",МЕ007024,6/28/2014,действующая,алк> 15%,"бар    г. Южно-Сахалинск ул. Сахалинская, 2"
440,207-12алк/ЮК,6/29/2012,"ООО ""Лидер""","Южно-Курильский р-н, п.г.т. Южно-Курильск, с.Лагунное",МЕ007027,6/28/2014,действующая,алк> 15%,"магазин ""Лидер"" с. Лагунное    ; магазин ""Ольга"" с. Лагунное   "
441,221-09алк/Мак,11/11/2010,"ООО ""Яна""","Макаровский р-н, г. Макаров, ул. Милютина, 30",МЕ005447,6/30/2014,действующая переоформленная,алк> 15%,"магазин ""Яна"" г. Макаров ул. Милютина, 30; кафе ""Яна"" г. Макаров ул. Милютина, 30"
442,229-09Алк/Мак,6/30/2009,"ООО ""ОТДЫХ""","Макаровский р-н, г. Макаров, ул.Ленинградская,20а",МЕ004971,6/30/2014,действующая,алк> 15%,"магазин ""Орбита"" г. Макаров ул.Ленинградская,20а; магазин ""Россиянка"" г. Макаров ул.Школьная,23; магазин ""Дюна"" г. Макаров ул.Школьная,22а"
443,223-09алк/Угл,6/30/2009,"ООО ""МИРАЖ""","Углегорский р-н, с. Бошняково, ул.Шахтёрская,20",МЕ004961,6/30/2014,действующая,алк> 15%,"магазин ""Мираж"" с. Бошняково ул.Шахтёрская,20"
444,214-09алк/Кор,6/30/2009,"ООО ""Визит""","Корсаковский р-н, г. Корсаков, ул.Советская,34/1",МЕ004974,6/30/2014,действующая,алк> 15%,"магазин ""Визит"" г. Корсаков ул.Советская,34/1"
445,219-09алк/Кор,6/30/2009,"ООО ""Реал""","Корсаковский р-н, г. Корсаков, ул.Окружная, 126/1",МЕ004977,6/30/2014,действующая,алк> 15%,"магазин ""Реал"" г. Корсаков ул.Окружная,126/1"
446,73-08алк/ЮС,11/18/2010,"ООО ""Восторг""","г. Южно-Сахалинск, ул.Ленина,302а",МЕ005448,7/3/2014,действующая продленная,алк> 15%,"магазин ""Восторг"" г. Южно-Сахалинск ул. Ленина,302а; магазин ""Милана"" с. Синегорск ул. Коммунистическая,43; магазин ""Продукты"" с. Синегорск  ул. Коммунистическая, 53"
447,258-09алк/ЮС,7/3/2009,"ООО ""ИВАЛИС""","г. Южно-Сахалинск, ул.Комсомольская,157",МЕ005009,7/3/2014,действующая,алк> 15%,"магазин ""Неон"" г. Южно-Сахалинск ул.Комсомольская,157; кафе ""Неон"" г. Южно-Сахалинск ул.Комсомольская,157"
448,237-09алкЮС,7/3/2009,"ООО ""Шайтанова И.И.""","г. Южно-Сахалинск, пл.р/н Луговое, ул.Дружбы, 100а",МЕ004980,7/3/2014,действующая,алк> 15%,"магазин ""Дружба"" г. Южно-Сахалинск пл.р/н Луговое, ул.Дружбы,100а"
449,257-09алк/Нев,7/3/2009,"ООО ""Арбат""","Невельский р-н, г. Невельск, ул.Советская, 42",МЕ004976,7/3/2014,действующая,алк> 15%,"магазин ""Арбат"" г. Невельск ул.Советская,42; магазин ""Радуга"" с.Горнозаводск ул.Шахтовая,20"
450,239-09алк/Кор,7/3/2009,"ООО ""Анастасия""","Корсаковский р-н, г. Корсаков, с.Соловьёвка",МЕ004989,7/3/2014,действующая,алк> 15%,"магазин ""Линда"" г. Корсаков с.Соловьёвка"
451,245-09алк/Хол,7/3/2009,"ООО ""РЕГИОН-ТО""","Холмский р-н, г. Холмск, ул.Советская,71/207",МЕ004993,7/3/2014,действующая,алк> 15%,"бар ""Карамболь"" г. Холмск ул.Советская,71"
452,256-09алк/Ох,7/3/2009,"ООО ""НАТАША""","Охинский р-н, г. Оха, ул.Блюхера,20",МЕ005003,7/3/2014,действующая,алк> 15%,"магазин ""Наташа"" г. Оха ул.Блюхера,20"
453,219-12алк/Нев,7/4/2012,"ООО ""Черёмушки""","Невельский р-н, с.Горнозаводск, ул. Советская, 36",МЕ007040,7/3/2014,действующая,алк> 15%,"магазин ""Черемушки"" с.Горнозаводск ул. Советская, 36"
454,234-12алк/ЮС,7/6/2012,"ООО ""Империал Палас""","г. Южно-Сахалинск, пр. Мира, 422",МЕ007059,7/5/2014,действующая,алк> 15%,"кафе ""Империал"" г. Южно-Сахалинск пр. Мира, 422"
455,350-06алк/ЮС,7/6/2006,"ООО ""Динарионъ""","г. Южно-Сахалинск, пл.р/н Новоалександровск, ул. Науки, 6",МЕ003774,7/6/2014,действующая продленная,алк> 15%,"магазин ""Продукты"" г. Южно-Сахалинск ул. Науки, 6"
456,279-09алк/ЮС,7/7/2009,"ООО ""ВИКО""","г. Южно-Сахалинск, пл.р/н Луговое, ул.Дружбы,10а",МЕ005031,7/7/2014,действующая,алк> 15%,"магазин ""Вико"" г. Южно-Сахалинск пл.р/н Луговое, ул.Дружбы,10а; магазин ""Вико-2"" г. Южно-Сахалинск ул.Сахалинская,15а"
457,76-08алк/ЮС,7/8/2008,"ООО ""Полигранд""","г. Южно-Сахалинск, пер.Мебельный,1а",МЕ004565,7/8/2014,действующая продленная,алк> 15%,"магазин      г. Южно-Сахалинск ул.Украинская,68/4"
458,296-09алк/ЮС,7/17/2009,"ООО ""ЛЭКС КО.ЛТД""","г. Южно-Сахалинск, ул.Детская,4",МЕ005044,7/17/2014,действующая,алк> 15%,"ресторан ""Маркиз"" г. Южно-Сахалинск ул.Детская,4; бар ""Барон"" г. Южно-Сахалинск ул.Детская,4; бар ""Дюк"" г. Южно-Сахалинск ул.Детская,4; ресторан ""Бамбу"" г. Южно-Сахалинск ул.Детская,4"
459,286-09алк/Ан,7/17/2009,"ООО ""Феникс""","Анивский р-н, с. Таранай, ул. Центральная, 7/В",МЕ005030,7/17/2014,действующая,алк> 15%,"магазин ""Феникс"" с. Таранай ул. Центральная, 7/В"
460,62-11алк/Дол,7/21/2011,"ООО ""Кристалл""","Долинский р-н, г. Долинск, ул. Хабаровская, 34",МЕ006627,7/20/2014,действующая,алк> 15%,"павильон ""Ассорти"" г. Долинск ул. Хабаровская, 4"
461,89-08алк/АС,7/24/2008,"ООО ""Восток""","Александровский р-н, г. Александровск-Сахалинский, пер.Баночный, 8а",МЕ004575,7/24/2014,действующая продленная,алк> 15%,"магазин ""Восток"" г. Александровск-Сахалинский ул.Дзержинского, 14"
462,299-09алк/Угл,7/24/2009,"ООО ""Продукты""","Углегорский р-н, г. Шахтерск, ул.3 Сентября,49",МЕ005055,7/24/2014,действующая,алк> 15%,"магазин ""Продукты"" г. Шахтерск ул.3 Сентября, 49"
463,279-12алк/Угл,7/27/2012,"ООО ""Орион""","Углегорский р-н, г. Углегорск, ул. Приморская, 19",МЕ007105,7/26/2014,действующая,алк> 15%,"магазин ""Орион"" г. Углегорск ул. Приморская, 19"
464,274-12алк/СМ,7/27/2012,"ООО ""ИнтерСтройПроект""","Смирныховский р-н, п.г.т. Смирных, ул. Западная, 10 / 44",МЕ007099,7/26/2014,действующая,алк> 15%,"магазин ""Интерьер"" п.г.т. Смирных ул. Центральная, 25"
465,332-09алк/ЮС,7/31/2009,"ООО ""ВИКТОРИЯ""","г. Южно-Сахалинск, ул.Чехова,72",МЕ005074,7/31/2014,действующая,алк> 15%,"магазин ""Моя семья"" г. Южно-Сахалинск ул.Чехова,72"
466,333-09алк/ЮС,7/31/2009,"ООО ""Трайб""","г. Южно-Сахалинск, ул.Тихоокеанская,10 в",МЕ005076,7/31/2014,действующая,алк>15% алк <15%,"павильон ""Реноме-1"" г. Южно-Сахалинск ул.Украинская,15б; магазин ""Реноме-2"" г. Южно-Сахалинск ул.Украинская,26б; магазин ""Поле Чудес"" г. Южно-Сахалинск ул.Тихоокеанская,10в"
467,341-09алк/ЮС,8/6/2009,"ООО ""Болеро""","г. Южно-Сахалинск, ул.Пограничная,60а/23",МЕ005100,8/6/2014,действующая,алк> 15%,"магазин ""Болеро"" г. Южно-Сахалинск ул.Пограничная,60а"
468,338-09алк/ЮС,8/6/2009,"ООО ""Магазин ""Альфа""","г. Южно-Сахалинск, ул.Комсомольская,191",МЕ005096,8/6/2014,действующая,алк> 15%,"магазин ""Альфа"" г. Южно-Сахалинск ул.Комсомольская,191"
469,314-12алк/ЮС,8/17/2012,"СПООО ""Сахалин-Саппоро""","г. Южно-Сахалинск, ул.Ленина,181",МЕ007148,8/16/2014,действующая,алк> 15%,"ресторан   г. Южно-Сахалинск ул. Ленина, 181"
470,475-06алк/Кор,8/17/2006,"ООО ""Семь ветров""","Корсаковский р-н, г. Корсаков, ул. Лермонтова, 1/1",МЕ003906,8/17/2014,действующая продленная,алк> 15%,"магазин ""Семь ветров"" г. Корсаков ул. Лермонтова, 1/1"
471,315-12алк/АС,8/18/2012,"ООО ""Удача""","Александровский р-н, г. Александровск-Сахалинский, ул.Рабочая,14/1",МЕ007142,8/17/2014,действующая,алк<15%,"магазин ""Росток"" г. Александровск-Сахалинский ул. Рабочая, 14/1"
472,70-11алк/ЮС,9/7/2012,"ООО ""МиРе""","г. Южно-Сахалинск, пр. Коммунистический, 49/201",МЕ007183,8/18/2014,действующая переоформленная,алк> 15%,"магазин ""Грин Май"" г. Южно-Сахалинск пр. Мира, 454/Б"
473,318-12алк/Хол,8/21/2012,"ООО ""КВАРТА""","Холмский р-н, с.Чехов, ул.Аптекарская, 3",МЕ007146,8/20/2014,действующая,алк> 15%,"магазин ""Анна"" с.Чехов ул. Восточная, 4; магазин ""Темирлан"" с.Чехов ул. Аптекарская, 7"
474,320-12алк/Нев,8/21/2012,"ООО ""Юнона""","Невельский р-н, г. Невельск, ул.Советская,32",МЕ007149,8/20/2014,действующая,алк> 15%,"магазин ""Наталья 2"" г. Невельск ул. Советская, 32; магазин ""Наталья 3"" г. Невельск ул. Морская, 23; магазин ""Наталья"" с. Шебунино ул. Дачная, 11"
475,321-12алк/ЮС,8/24/2012,"ООО ""Тадж Махал""","г. Южно-Сахалинск, ул.Антона Буюклы,38",МЕ007152,8/23/2014,действующая,алк> 15%,"кафе ""Тадж Махал"" г. Южно-Сахалинск ул. А.Буюклы, 38"
476,101-08алк/Хол,8/29/2008,"ООО ""Колосок""","Холмский р-н, г. Холмск, ул.60 лет Октября, 5/а",МЕ004597,8/29/2014,действующая продленная,алк> 15%,"магазин ""Колосок"" г. Холмск ул. 60 лет Октября,5/а"
477,332-12алк/Ох,9/3/2012,"ООО ""Каспий""","Охинский р-н, г. Оха, ул.Блюхера,23",МЕ007164,9/2/2014,действующая,алк> 15%,"магазин ""Каспий"" г. Оха ул. Блюхера, 23"
478,336-12алк/ЮС,9/7/2012,"ООО ""Небо""","г. Южно-Сахалинск, ул. Милицейская, 9/А",МЕ007169,9/6/2014,действующая,алк> 15%,"магазин ""Мона"" г. Южно-Сахалинск ул. Милицейская, 9/А"
479,337-12алк/Том,9/7/2012,"ООО ""Симфония""","Томаринский р-н, г. Томари, ул. Ломоносова, 10",МЕ007170,9/6/2014,действующая,алк> 15%,"магазин ""Велес"" г. Томари ул. Ломоносова, 13"
480,340-12алк/АС,9/7/2012,"ООО ""Мираж""","Александровский р-н, г. Александровск-Сахалинский, ул. Рабочая, 29/2",МЕ007173,9/6/2014,действующая,алк> 15%,"магазин ""Саша"" г. Александровск-Сахалинский ул. Рабочая, 29/2"
481,72-11алк/Нев,9/22/2011,"ООО ""Колос""","Невельский р-н, с.Горнозаводск, ул. Шахтовая, 17",МЕ006646,9/21/2014,действующая,алк> 15%,"магазин ""Колос"" с.Горнозаводск ул. Шахтовая, 17"
482,71-11алк/Том,9/22/2011,"ООО ""Глобус""","Томаринский р-н, с. Красногорск, ул. Карла Маркса, 112",МЕ006649,9/21/2014,действующая,алк> 15%,"магазин ""Глобус"" с. Красногорск ул. Карла Маркса, 112"
483,382-09алк/ЮС,9/24/2009,"ООО ""Капитель""","г. Южно-Сахалинск, ул.Комсомольская, 280 В",МЕ005147,9/24/2014,действующая,алк> 15%,"кафе ""Сафари"" г. Южно-Сахалинск ул.Комсомольская,280в"
484,381-09алк/Мак,9/24/2009,"ООО ""Весна""","Макаровский р-н, г. Макаров, ул. 50 лет Октября,15а",МЕ005146,9/24/2014,действующая,алк> 15%,"магазин ""Спутник"" г. Макаров ул.50лет Октября,15а"
485,388-09алк/ЮС,10/1/2009,"ООО ""Ли и К""","г. Южно-Сахалинск, пл.р/н Новоалександровск, ул.2-я Красносельская,20",МЕ005158,10/1/2014,действующая,алк> 15%,"магазин ""Утёс"" г. Южно-Сахалинск пл.р/н Новоалександровск, ул.2-я Красносельская,20"
486,79-11алк/ЮС,10/6/2011,"ООО ""Клуб ""Чистая Аура""","г. Южно-Сахалинск, ул. Детская, 1",МЕ006662,10/5/2014,действующая,алк> 15%,"бар ""Чистая  Аура"" г. Южно-Сахалинск ул. Детская, 1, корп. Б"
487,81-11алк/ЮС,10/13/2011,"ООО ""РАВИ""","г. Южно-Сахалинск, пр. Коммунистический, 15/А",МЕ006666,10/12/2014,действующая,алк> 15%,"кафе ""Рандеву"" г. Южно-Сахалинск пр. Коммунистический, 15/А; магазин ""Виолетта"" г. Южно-Сахалинск ул. М.Горького, 12/Б"
488,82-11алк/Хол,10/13/2011,"ООО ""Магазин ""Смак""","Холмский р-н, г. Холмск, ул. Молодежная, 13",МЕ006667,10/12/2014,действующая,алк> 15%,"магазин ""Смак"" г. Холмск ул. Молодёжная, 13"
489,92-11алк/ЮС,10/27/2011,"ООО ""САХРОС""","г. Южно-Сахалинск, ул. Сахалинская, 68, оф. 203",МЕ006682,10/26/2014,действующая,алк> 15%,"магазин ""Экспресс"" г. Южно-Сахалинск ул. Поповича, 18 / Б"
490,94-11алк/Дол,10/27/2011,"ООО ""Румб""","Долинский р-н, с. Стародубское, ул. Флотская, 3/А-2",МЕ006684,10/26/2014,действующая,алк> 15%,"магазин ""Дары моря"" г. Долинск ул. Комсомольская, 31"
491,400-09алк/ЮС,10/30/2009,"ООО ""Игрос""","г. Южно-Сахалинск, ул.Бумажная,22",МЕ005172,10/30/2014,действующая,алк> 15%,"магазин ""Радуга"" г. Южно-Сахалинск ул.Бумажная,22"
492,401-09алк/ЮС,10/30/2009,"ООО ""Кусано""","г. Южно-Сахалинск, пл.р/н Луговое, ул.2-я Северная, 16в",МЕ005173,10/30/2014,действующая,алк> 15%,"магазин ""Кусано"" г. Южно-Сахалинск пл./рн Луговое, ул.2-я Северная,16в"
493,406-09алк/Кор,10/30/2009,"ООО ""Хозяюшка""","Корсаковский р-н, с.Озёрское, ул.Центральная,91а",МЕ005178,10/30/2014,действующая,алк> 15%,"магазин ""Хозяюшка"" с.Озёрское ул.Центральная,91а"
494,397-09алк/ЮС,10/30/2009,"ООО ""Вларен""","г. Южно-Сахалинск, пр.Победы,16/1",МЕ005169,10/30/2014,действующая,алк> 15%,"магазин ""Вларен"" г. Южно-Сахалинск пр.Победы,16/1"
495,102-11алк/Хол,11/17/2011,"ООО ""Седьмое небо""","Холмский р-н, г. Холмск, ул. Железнодорожная, 10",МЕ006698,11/16/2014,действующая,алк> 15%,"ресторан ""Седьмое небо"" г. Холмск ул. Ленина, 9"
496,414-09алк/ЮС,9/3/2012,"ООО ""ГИЛЬДИЯ""","г. Южно-Сахалинск, ул. Украинская, 68/5, лит. А, каб. 3, эт. 2 ",МЕ007168,11/16/2014,действующая переоформленная,алк> 15%,"магазин ""Погребок"" г. Корсаков ул. Гвардейская, 4; бар ""Гамбринус"" г. Холмск пл. Ленина, 9; магазин ""Столичный"" г. Холмск пл. Ленина, 9; магазин ""Столичный"" г. Долинск ул. Комсомольская, 41/А; магазин ""Погребок"" г. Южно-Сахалинск ул. Емельянова, 36; магазин №1 ""Погребок"" г. Южно-Сахалинск пр. Мира, 19 / 1; магазин ""Погребок"" г. Южно-Сахалинск ул. Ленина, 304/А; магазин ""Погребок"" г. Южно-Сахалинск пр. Мира, 106; магазин ""Погребок"" г. Южно-Сахалинск ул. Сахалинская, 71; магазин ""Столичный премиум"" г. Южно-Сахалинск ул. Поповича, 65; магазин ""Столичный"" г. Южно-Сахалинск ул. Сахалинская, 13/А; магазин ""Столичный"" г. Южно-Сахалинск пр. Победы,  29/А; магазин ""Столичный"" г. Южно-Сахалинск пр. Коммунистический, 23/А; магазин ""Погребок"" г. Южно-Сахалинск ул. Комсомольская, 239/А; магазин ""Гастрономъ"" г. Южно-Сахалинск ул. Пограничная, 60; магазин ""Погребок"" г. Южно-Сахалинск ул. Комсомольская, 306/А; магазин ""Гастрономъ"" г. Южно-Сахалинск ул. Ленина, 321/1; магазин ""Погребок"" г. Южно-Сахалинск проезд Еланский, 9; магазин ""Гастрономъ"" г. Южно-Сахалинск бульвар Анкудинова, 3"
497,415-09алк/ЮС,12/9/2011,"ООО ""СИТИ-МАРКЕТ""","г. Южно-Сахалинск, ул.Пушкина, 57/17",МЕ006734,11/19/2014,действующая переоформленная,алк> 15%,"магазин ""Сити-Маркет"" г. Южно-Сахалинск пл.р/н Хомутово, ул.2-я Центральная,1Б; ресторан ""Бухарин"" г. Южно-Сахалинск пл.р/н Хомутово, ул.2-я Центральная,1б; супермаркет ""Столичный"" г. Южно-Сахалинск ул. Комсомольская, 259/Б; ресторан ""Бир Ократ"" г. Южно-Сахалинск ул. Комсомольская, 259/Б; кафе ""Шоколад"" г. Южно-Сахалинск ул. Комсомольская, 259/Б"
498,108-11алк/,11/24/2011,"ООО ""Вита-С""","г. Южно-Сахалинск, ул. Пуркаева, 35  ",МЕ006706,11/23/2014,действующая,алк> 15%,"магазин ""Вита-С"" г. Южно-Сахалинск ул. Пуркаева, 35, пом. 3"
499,107-11алк/ЮС,11/24/2011,"ООО ""САХРЕГИОН""","г. Южно-Сахалинск, пр. Мира, 63",МЕ006705,11/23/2014,действующая,алк> 15%,"кафе ""Лук ин"" г. Южно-Сахалинск пр. Мира, 63"
500,111-11алк/Хол,11/24/2011,"ООО ""Нагваль""","Холмский р-н, г. Холмск, ул. Советская, 11",МЕ006710,11/23/2014,действующая,алк> 15%,"магазин ""Гастроном ""Южный"" г. Холмск ул. Советская, 11"
501,424-09алк/ЮС,11/26/2009,"ООО ""АрСер""","г. Южно-Сахалинск, б-р Анкудинова,7",МЕ005201,11/26/2014,действующая,алк> 15%,"магазин ""Избушка"" г. Южно-Сахалинск б-р Анкудинова,7"
502,420-09алк/ЮС,11/26/2009,"ООО ""Мария""","г. Южно-Сахалинск, пл.р/н Новоалександровск, пер.Железнодорожный, 15а",МЕ005208,11/26/2014,действующая,алк> 15%,"магазин ""Агат"" г. Южно-Сахалинск пл.р/н Новоалександровск, пер.Железнодорожный, 15а"
503,113-11алк/ЮК,11/29/2011,"МУП ""Южно-Курильский Докер""","Южно-Курильский р-н, п.г.т. Южно-Курильск, ул. Набережная, 24",МЕ006712,11/28/2014,действующая,алк> 15%,"магазин ""Докер"" п.г.т. Южно-Курильск ул. Набережная, 24"
504,115-11алк/Кор,12/1/2011,"ЗАО ""Новое Время""","Корсаковский р-н, г. Корсаков, ул. Советская, 42",МЕ006714,11/30/2014,действующая,алк> 15%,"бар ""Лавина"" г.Корсаков ул. Советская, 42"
505,435-09алк/Кор,12/3/2009,"ООО ""Омега-Сервис""","Корсаковский р-н, г. Корсаков, ул.Советская,13",МЕ005214,12/3/2014,действующая,алк> 15%,"кафе ""Чудесница"" г. Корсаков ул.Советская,13"
506,123-11алк/ЮС,12/8/2011,"ООО ""Верба""","г. Южно-Сахалинск, ул. Хабаровская, 81",МЕ006723,12/7/2014,действующая,алк> 15%,"магазин ""Верба"" г. Долинск ул. Ленина, 32"
507,132-11алк/ЮС,12/8/2011,"ООО ""Дива""","г. Южно-Сахалинск, ул. Пуркаева, 106",МЕ006732,12/7/2014,действующая,алк> 15%,"магазин ""Дуэт"" г. Южно-Сахалинск ул. Пуркаева, 106/1"
508,127-11алк/Том,12/8/2011,"ООО ""ЧОЕ""","Томаринский р-н, г. Томари, ул. Ломоносова, 10",МЕ006727,12/7/2014,действующая,алк> 15%,"магазин ""Привет"" г. Томари ул. Ломоносова, 10"
509,136-11алк/ЮС,12/15/2011,"ООО ""Ресторация""","г. Южно-Сахалинск, ул. Хабаровская, 60",МЕ006738,12/14/2014,действующая,алк> 15%,"кафе №1 г. Южно-Сахалинск ул. Ленина, 218"
510,453-09алк/Ан,12/17/2009,"ООО ""Стройрыбсервис""","Анивский р-н, г. Анива, ул.Калинина, 51",МЕ005240,12/17/2014,действующая,алк> 15%,"магазин ""Анивский"" г. Анива ул.Рабочая,16"
511,157-11алк/ЮС,12/22/2011,"ООО ""ДАКА""","г. Южно-Сахалинск, пр-кт Победы, 18",МЕ006760,12/21/2014,действующая,алк> 15%,"магазин ""ДАКА"" г. Южно-Сахалинск ул. Победы, 18"
512,148-11алк/Хол,12/22/2011,"ООО ""Светлана""","Холмский р-н, г. Холмск, ул. Молодёжная, 6",МЕ006751,12/21/2014,действующая,алк> 15%,"магазин № 24 г. Холмск ул. Молодёжная, 6"
513,150-11алк/Тым,12/22/2011,"ООО ""Феникс""","Тымовский р-н, с. Арги-Паги, ул. Тымовская, 14/1",МЕ006753,12/21/2014,действующая,алк> 15%,"магазин   с. Арги-Паги ул. Школьная, 24"
514,468-09алк/ЮС,12/24/2009,"ООО ""Комплекс Лужники""","г. Южно-Сахалинск, пр.Победы,10б",МЕ005254,12/24/2014,действующая,алк> 15%,"закусочная ""Лужники"" г. Южно-Сахалинск ул.Украинская, 57"
515,142-11алк/ЮС,12/28/2011,"ООО ""Сова""","г. Южно-Сахалинск, пл. р-он Ново-Александровск, ул. Советская, 109",МЕ006767,12/27/2014,действующая,алк> 15%,"бар ""Сова"" г. Южно-Сахалинск пл. р-он Ново-Александровск, ул. Советская, 109"
