,,,,,,,,,,,
,"Реестр лицензий, текущий статус которых ""действует"" по состоянию на 08 октября 2012 г.",,,,,,,,,,
,,,,,,,,,,,
,,Параметры отбора:,,,,,,,,,
,,Статус лицензий = Действует,,,,,,,,,
,№,Лицензиант,ИНН,КПП,Данные лицензии,,,,,,Юридический адрес
,,,,,Номер ,Серия,Дата выдачи,Дата начала,Дата окончания,Текущий статус,
,64,"Общество с ограниченной ответственностью  ""Кристалл-М""",2128016520,213001001,633,ЛГN,16.12.2011,17.12.2011,16.12.2012,Действует,"429438, Чувашская Респ, Козловский р-н, , Еметкино д, Братьев Шулаевых ул, 50а"
,65,"Общество с ограниченной ответственностью  ""Кузя""",2129060320,212901001,"1,140",ЛГN,17.08.2012,17.08.2012,16.08.2013,Действует,"428015, Чувашская Респ, , Чебоксары г, , А.Игнатьева ул, 5, 2,"
,66,"Общество с ограниченной ответственностью  ""Лидер""",2130087800,213001001,337,ЛГ N,07.07.2011,07.07.2011,06.07.2014,Действует,"428020, Чувашская Респ, , Чебоксары г, , Гладкова ул, 28 (помещение № 2), , "
,67,"Общество с ограниченной ответственностью  ""Лидия""",2124025643,212401001,425,ЛГN,16.08.2011,16.08.2011,15.08.2013,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , Винокурова ул, 22, ,"
,68,"Общество с ограниченной ответственностью  ""МАРИЯ""",2116496381,211601001,"1,075",ЛГN,26.07.2012,31.07.2012,30.07.2013,Действует,"429523, Чувашская Респ, Чебоксарский р-н, , Яныши д, Центральная ул, 15а, ,"
,69,"Общество с ограниченной ответственностью  ""Мария""",2104007244,210401001,933,ЛГN,21.05.2012,21.05.2012,20.05.2013,Действует,"429209, Чувашская Респ, Вурнарский р-н, , Одиково д, Советская ул, 45, ,"
,70,"Общество с ограниченной ответственностью  ""МарКонд""",2116496310,211601001,419,ЛГN,16.08.2011,16.08.2011,15.08.2014,Действует,"429513, Чувашская Респ, Чебоксарский р-н, , Шинерпоси д, Кооперативная ул, 5а, ,"
,71,"Общество с ограниченной ответственностью  ""МарЛен""",2124034743,212401001,"1,257",ЛГN,26.09.2012,26.09.2012,21.03.2013,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , Строителей ул, 52, , 121"
,72,"Общество с ограниченной ответственностью  ""МАРС""",2114902937,211401001,570,ЛГ,11.11.2011,11.11.2011,02.10.2012,Действует,"429400, Чувашская Респ, Урмарский р-н, , Урмары пгт, Молодежная ул, 5, ,"
,73,"Общество с ограниченной ответственностью  ""Межрегиональный Центр Оптово-розничной  Торговли""",2127323180,213001001,"831,536",Г,30.12.2008,30.12.2008,29.12.2013,Действует,"428022, Чувашская Респ, , Чебоксары г, , Марпосадское ш, 32, , "
,74,"Общество с ограниченной ответственностью  ""Мотылек""",2123003774,212301001,"1,205",ЛГN,07.09.2012,07.09.2012,06.09.2013,Действует,"429333, Чувашская Респ, , Канаш г, , Куйбышева ул, 22, ,"
,75,"Общество с ограниченной ответственностью  ""На сквере""",2130085337,213001001,200,ЛГ,06.06.2011,06.06.2011,05.06.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Ленина пр-кт, 59, , "
,76,"Общество с ограниченной ответственностью  ""Надежда""",2113000502,211301001,907,ЛГN,28.04.2012,28.04.2012,27.04.2015,Действует,"429020, Чувашская Респ, Порецкий р-н, , Порецкое с, Колхозная ул, 11 ""а"", , "
,77,"Общество с ограниченной ответственностью  ""Норма""",2130100602,213001001,"1,036",ЛГN,05.07.2012,05.07.2012,04.07.2015,Действует,"428000, Чувашская Респ, , Чебоксары г, , Ярославская ул, 29, , "
,78,"Общество с ограниченной ответственностью  ""Общепит Порецкого райпо""",2113003020,211301001,399,ЛГ N,03.08.2011,03.08.2011,02.08.2016,Действует,"429020, Чувашская Респ, Порецкий р-н, , Порецкое с, Кооперативная ул, 17, ,"
,79,"Общество с ограниченной ответственностью  ""Общепит""",2112004078,211201001,"1,134",ЛГN,14.08.2012,14.08.2012,13.08.2017,Действует,"429530, Чувашская Респ, Моргаушский р-н, , Моргауши с, 50 лет Октября ул, 6, , "
,80,"Общество с ограниченной ответственностью  ""Природа""",2123004369,212301001,377,ЛГ N,26.07.2011,26.07.2011,25.07.2014,Действует,"429332, Чувашская Респ, , Канаш г, , Трудовая ул, 4, ,"
,81,"Общество с ограниченной ответственностью  ""Продукты""",2123007190,212301001,350,ЛГN,13.07.2011,13.07.2011,12.07.2016,Действует,"429332, Чувашская Респ, , Канаш г, , Трудовая ул, 3, ,"
,82,"Общество с ограниченной ответственностью  ""Райцентр""",2130083428,213001001,884,ЛГN,20.04.2012,20.04.2012,11.09.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Гражданская ул, 32, , "
,83,"Общество с ограниченной ответственностью  ""Сахарок плюс""",2130061008,213001001,"831,664",Г,02.11.2009,02.11.2009,01.11.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Университетская ул, 10, помещение № 20, , "
,84,"Общество с ограниченной ответственностью  ""Сервис Н""",2124033250,212401001,330,ЛГ N,07.07.2011,07.07.2011,06.07.2013,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , 10 Пятилетки ул, 56, , "
,85,"Общество с ограниченной ответственностью  ""Союз-коопторг"" Чувашпотребсоюза",2130070235,213001001,659,ЛГ,09.12.2011,09.12.2011,05.12.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Московский пр-кт, 34/2, , "
,86,"Общество с ограниченной ответственностью  ""Сфера гостеприимства""",2130103554,213001001,"1,229",ЛГN,12.09.2012,12.09.2012,11.09.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , К.Маркса ул, 52, пом.10, , "
,87,"Общество с ограниченной ответственностью  ""Телей""",2115903637,211501001,"1,206",ЛГN,06.09.2012,06.09.2012,05.09.2013,Действует,"429901, Чувашская Респ, Цивильский р-н, Цивильск г, , Терешковой ул, 16а, ,"
,88,"Общество с ограниченной ответственностью  ""Торговая Компания ""Каскад""",2124029888,212401001,"831,690",Г,21.12.2009,21.12.2009,16.08.2014,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , Винокурова ул, 84 Б, , "
,89,"Общество с ограниченной ответственностью  ""Тройка""",2116491954,211601001,"1,032",ЛГN,06.07.2012,11.07.2012,10.07.2014,Действует,"429520, Чувашская Респ, Чебоксарский р-н, , Ишлеи с, Советская ул, 7, б,"
,90,"Общество с ограниченной ответственностью  ""ТРЭК""",2130036210,213001001,"831,484",Г,07.11.2008,07.11.2008,06.11.2013,Действует,"428008, Чувашская Респ, , Чебоксары г, , З.Яковлевой ул, 54 ""а"", , "
,91,"Общество с ограниченной ответственностью  ""У Галины""",2128022153,212801001,508,ЛГ N,05.10.2011,05.10.2011,04.10.2016,Действует,"428000, Чувашская Респ, , Чебоксары г, , Ленина пр-кт, 59, ,"
,92,"Общество с ограниченной ответственностью  ""Хлебокомбинат Марпосадский""",2111000680,211101001,587,ЛГ,22.11.2011,22.11.2011,31.07.2016,Действует,"429570, Чувашская Респ, Мариинско-Посадский р-н, Мариинский Посад г, , Народная ул, 4, ,"
,93,"Общество с ограниченной ответственностью  ""Центр ХХI""",2129038276,212901001,251,ЛГ,27.06.2011,27.06.2011,26.06.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Гагарина ул, 21, помещение № 1, , "
,94,"Общество с ограниченной ответственностью  ""Чебоксарская универбаза""",2128038682,212801001,"831,460",Г,01.09.2008,01.09.2008,31.08.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Ишлейский проезд, 11, ,"
,95,"Общество с ограниченной ответственностью  ""Шалунья""",2127027920,212701001,351,ЛГN,12.07.2011,12.07.2011,11.07.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Чернышевского ул, 36, , "
,96,"Общество с ограниченной ответственностью  ""Шарипов""",2124025499,212401001,381,ЛГ N,26.07.2011,26.07.2011,25.07.2016,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , Комсомольская ул, 12, ,"
,97,"Общество с ограниченной ответственностью  ""ЭВЕРЕСТ – питание""",2127306385,213001001,538,ЛГN,03.11.2011,07.11.2011,06.11.2013,Действует,"428022, Чувашская Респ, , Чебоксары г, , Марпосадское ш, 32, ,"
,98,"Общество с ограниченной ответственностью  ""Экватор""",2130082047,213001001,913,ЛГN,10.05.2012,10.05.2012,09.05.2017,Действует,"428022, Чувашская Респ, , Чебоксары г, , Кабельный проезд, 3, помещение № 2, , "
,99,"Общество с ограниченной ответственностью  ""Яхусан""",2130085376,213001001,464,ЛГ,30.08.2011,30.08.2011,29.08.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , М.Горького пр-кт, 5, 2, "
,100,"Общество с ограниченной ответственностью "" Корс""",2130093232,213001001,947,ЛГN,04.06.2012,04.06.2012,03.06.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Глеба Ильенко ул, 7/5, помещение 1, , "
,101,"Общество с ограниченной ответственностью ""_МАСТЕР-Ф""",2121002197,212101001,"831,668",Г,19.11.2009,19.11.2009,18.11.2014,Действует,"429282, Чувашская Респ, Янтиковский р-н, , Яншихово-Норваши с, Ленина ул, 4, , "
,102,"Общество с ограниченной ответственностью ""2 ЛИМОНА""",2130060082,213001001,790,ЛГ,15.02.2012,15.02.2012,22.12.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Энтузиастов ул, 23, , помещение 1"
