                  Государственный реестр выданных лицензий  за май 2012 г. по  Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы ,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
15,ООО,"""Олеся""","г.Хабаровск, ул.Тихоокеанская д.199, тел. 8-924-217-38-55",2725061886/272501001/1072722001879,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Тихоокеанская д.199",68.2,68.2,13.8,09-21,продление,ХБ 001074 № 1280 15.05.2012 - 15.05.2013,
16,ООО,"""Продмаркет-ДВ""","г.Хабаровск, ул.Кубяка д.10а, тел. 8-914-544-40-60",2723136906/272301001/1112723001600,розничная продажа АП 2 года,магазин,"г.Хабаровск, ул.Кубяка д.10а",516,516,82,круглосуточно,продление с 14.06.2012,ХБ 001075 № 2372 14.06.2012 - 14.06.2013,
17,ООО,"""Розница"""," Хабаровский р-н., с.Ильинка, ул.Совхозная д.47, тел. 54-24-32",2720026084/272001001/1032700245027,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Флегонтова д.4",102.7,102.7,85,8-23,отложенное с комиссии от 17.04.2012,ХБ 000006 № 160 15.03.2011 - 15.03.2016,
18,ООО,"""СаКат""","г.Хабаровск, ул.Санитарная д.16, 30, тел. 8-914-153-01-58",2724149915/272401001/1112724001334,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Краснореченская д.60",50,50,42,9-22,продление,ХБ 001089 № 2356 15.05.2012 - 15.05.2013,
19,ООО,"""Сигизмунд ДВ"""," г.Хабаровск, ул.Индустриальная д.1в, тел. 20-10-44",2724130495/272301001/1092724003415,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Индустриальная д.1в",113,113,60,8-23,продление,ХБ 001062 № 2168 15.05.2012 - 15.05.2013,
20,ООО,"Торговый дом ""Новоторг""","г.Хабаровск, ул.Почтовая д.51, тел. 8-914-544-35-22",2724105675/272401001/1072724003197,"розничная продажа АП, розничная продажа АП в розлив 5 лет",кафе,"г.Хабаровск, ул.Муравьева-Амурского д.23",50,50,25,10-23,продление с 19.06.2012,ХБ 001084 № 1360 19.06.2012 - 19.06.2017,
,,,,,,магазин,"г.Хабаровск, ул.Карла Маркса, ост. ""Павленко"" переход",57.6,57.6,40,8-23,,,
,,,,,,магазин,"г.Хабаровск, пер.Байкальский д.4",213.3,213.3,121.6,8-22,,,
,,,,,,магазин,"г.Хабаровск, тер.Батуевская ветка д.20А",366.4,366.4,138.9,9-22,,,
,,,,,,магазин,"г.Хабаровск, ул.Истомина д.39",141.5,141.5,107.8,8-22,,,
,,,,,,магазин,"г.Хабаровск, ул.Некрасова д.70",263,263,149,8-22,,,
,,,,,,магазин,"г.Хабаровск, ул.Муравьева-Амурского д.3",307.1,307.1,148.3,8-22,,,
,,,,,,магазин,"г.Хабаровск, пр-кт.60 лет Октября д.186",89,89,73.8,9-17,,,
,,,,,,магазин,"г.Хабаровск, пер.Гаражный д.7",115,115,103.3,9-17,,,
,,,,,,магазин,"г.Хабаровск, ул.Почтовая д.51",305.1,305.1,138.9,9-22,,,
,,,,,,магазин,"г.Хабаровск, ул.Московская д.4",236.4,236.4,143.5,8-22,,,
,,,,,,павильон,"г.Хабаровск, пер.Производственный д.1-лит.1Г",79.7,79.7,60.1,8-23,,,
21,ПО,"""Фортуна""","г.Хабаровск, ул.Запарина д.82, тел. 8 (4212) 32-68-22",2721181050/272135001/1112721001931,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Запарина д.82",350,350,32,12-01,продление,ХБ 001097 № 2357 15.05.2012 - 15.05.2013,
22,ООО,"""Фортуна-Гранд""","г.Хабаровск, ул.Карла Маркса д.115, тел. 8 (4212) 22-61-34",2724069674/272401001/1022701290776,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Профессора Даниловского д.17",158,158,56,09-22,продление,ХБ 001077 № 1295 15.05.2012 - 15.05.2013,
23,ООО," ""СДФ""","г.Хабаровск, ш.Матвеевское д.26, тел. 649-066",3811052083/272402001/1023801536483,розничная продажа АП 1 год,Магазин беспошлинной торговли,"г.Хабаровск, ш.Матвеевское д.26, Международный терминал Аэропорта",122.8,122.8,100.5,круглосуточно,продление,ХБ 001053 № 1290 15.05.2012 - 15.05.2013,
24,ООО,"""Х-555""","г.Хабаровск, ул.Дикопольцева д.8, тел. 21-97-66",2721135209/272101001/1062721023826,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Дикопольцева д.8",186.9,186.9,90.7,8-22,отложенное с комиссии от 17.04.2012,ХБ 001052 № 238 15.05.2012 - 15.05.2013,
25,ООО,"""Шоннер""","г.Хабаровск, ш.Восточное д.46, тел. 610-614",2724054205/272401001/1022701290402,розничная продажа АП 1 год,магазин ,"г.Хабаровск, ш.Восточное д.46",229.6,229.6,123,9-22,продление,ХБ 001064 № 1288 15.05.2012 - 15.05.2013,
26,ООО," Фирма ""Мостсоюз""","г.Хабаровск, ул.Сидоренко д.1А, тел. 22-73-16",2723037038/272301001/1022701194878,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Льва Толстого д.19",50,50,25,8-19,отложенное с 17.04.2012,ХБ 001022 № 171 17.04.2012 - 17.04.2013,
27,ООО,"""Два Ивана"""," г.Хабаровск, ул.Калараша д.3а, тел. ( 4212) 36-09-16",2723075629/272301001/1062723003639,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Блюхера д.1б",463.6,463.6,145.2,8-23,впервые,ХБ 001100 № 2569 15.05.2012 - 15.05.2017,
28,ООО,"""Ирбис""","г.Хабаровск, ул.Вахова А.А. д.7, 46, тел. 8-924-205-05-35",2723145058/272301001/1112723007704,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Лейтенанта Шмидта д.38",187.4,187.4,148,9-22,впервые,ХБ 001104 № 2570 15.05.2012 - 15.05.2017,
29,ООО,"""Тарон""","г.Хабаровск, ул.Ленинградская д.15а, 2, тел. (4212) 42-50-32",2721130708/272101001/1052701300211,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Ленинградская д.15а",63,63,36,8-22,продление с 24.05.2012,ХБ 001095 № 322 24.05.2012 - 24.05.2013,
30,ООО,"ТД ""Прибрежный""","г.Хабаровск, ул.Шевчука д.29, тел. (4212) 45-56-90",2723904989/272301001/1022701198816,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Краснореченская д.163",136.2,136.2,17,9-21,продление с 14.06.2012,ХБ 001094 № 317 14.06.2012 - 14.06.2013,
г. Комсомольск-на-Амуре,,,,,,,,,,,,,,
31,ООО," ""Купава""","г.Комсомольск-на-Амуре, ул.Пирогова д.32, тел. 28-43-54",2727022378/270301001/1022700522459,розничная продажа АП 5 лет,магазин ,"г.Комсомольск-на-Амуре, ул.Пирогова д.32",163.8,163.8,110.6,08-23,продление,ХБ 001048 № 1250 15.05.2012 - 15.05.2017,
,,,,,,магазин ,"г.Комсомольск-на-Амуре, пр-кт.Московский д.104",115.4,115.4,30.5,08-20,,,
