Рузаевский район,,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ции,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
,,,,,"магазин ""Продукты"", г. Рузаевка, ул. Морозова, ",,,,,,
1,10,13 МЕ,"ООО ""АЗС Маркет"" г. Саранск, п. Николаевка,",1328908116,"м-н а/д Саранск-Рузаевка, 23 км",1,30/01/12,29-45-57,,,
,,001931,ул. Ленина. 90,,,,21/07/16,23-20-29,,,
1,63,13 МЕ,"ООО ""Дуслык"" с. Тат. Пишля, ул. Советская, 52а,",1324135627,"м-н с. Тат. Пишля, ул. Южная, 23",2,01/03/10,2-03-37,,Овчинников Ильдар Сеграчевич,
,,001174,Рузаевский район   ,1091324000844,"м-н Тат. Пишля, ул. Советская, 52а",,28/01/13,,,,
1,21,13 МЕ,"ООО ""Континент-Сервис"" г. Рузаевка, ул.",1324133933,"кафе г. Рузаевка, Привокзальная пл. 5",1,28/01/10,3-48-47,,Родькин Игорь Прокофьевич,
,,001127,"Ленина, 27",1071324000120,,,28/01/15,,,,
1,103,13 МЕ,"ООО ТД ""Левженский"" п. Левженский,",1324135754,"м-н п. Левженский, ул. Центральная, 25, Рузаевский р-н",1,28/04/11,5-15-35,,Федорова Ирина Васильевна,
,,001552,"ул. Центральная, 25, Рузаевский ",1101324000128,,,28/04/13,,,Сетин Владимир Иванович,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"кафе ""Руно"", г. Рузаевка, ул. Менделева, 6",4,29/06/12,29-18-62,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н г. Рузаевка, ул. Космодемьяновской, 104",,15/07/14,89375123822,,,
,,,,,"магазин ""Чистое поле"", г. Рузаевка, ул. Пионерская, 119",,,,,,
,,,,,"магазин ""Милан"", г. Рузаевка, ул. Космодемьянской, 8 б",,,,,,
1,157,13 МЕ,"ООО ""Универсал-С"", г. Саранск, пр. 60 лет",1327004260,"м-н ""Русь-2"", г. Рузаевка, Новобазарная пл., 1",1,30/05/11,89272760726,,,
,,001611,"Октября, 81",,,,30/09/12,,,,
1,407,13 МЕ,"ООО ""Королева"", г. Рузаевка, ул. Луначарского, 4",1324136317,"м-н г. Рузаевка, ул. Луначарского, 4",1,15/12/11,89510536369,,Осленкова Наталья Александровна,
,,001884,,1101324000678,,,15/12/12,,,,
1,156,13 РМ,"ООО ""ДКС"" г. Саранск, ул. Пролетарская, 130",1327000603,"магазин ""VIP-DUET"", г. Рузаевка, ул. Ленина, 33",1,15/06/12,89271763331,,Анисимов Александр Васильевич,
,,000049,,1051327037420,,,15/04/13,47-63-79,,,
1,4,13 МЕ,"ООО ""Империя вкуса"" г. Саранск, ул.",1326205809,"магазин, г. Рузаевка, ул. Толстого, 9",1,20/01/12,23-13-23,,Болдина Марина Викторовна,
,,001560,"Титова, 23а",1081326001382,,,01/10/13,,,Колесников Павел Борисович,
1,114,13 МЕ,"ООО ""Зарина"", г. Рузаевка, ул. Ленина, 31а",1324135659,"магазин ""Кумир"", г. Рузаевка, ул. Ленина, 31а",1,15/05/12,6-37-77,,Архипова Кадрия Владимировна,
,,002049,,1091324000866,,,15/05/15,,,,
1,150,13 РМ,"ООО ""Семья"", г. Саранск, ул. Зелинского, 19",1328003011,"магазин ""Рыба"", г. Рузаевка, ул. Менделеева, 4",1,15/06/12,89279790220,,Балныкина Н.Д.,
,,000033,,110132800119,,,15/06/13,,,,
1,204,13 РМ,"ООО ""Феникс-Н"" г. Саранск, ул. Семашко, 8, 1",1327010954,"закусочная ""Восход"", г. Рузаевка, ул. Калинина-ул. Луговая",4,29/06/12,,,,
,,000095,,1101327001258,"закусочная ""Вояж"", г. Рузаевка, ул. Юрасова, 17",,29/06/13,,,,
,,,,,"магазин ""Продукты"", г. Рузаевка, ул. Космодемьянской, 104",,,,,,
,,,,,"магазин ""Продукты"", г. Рузаевка, ул. Космодемьянской, 57а",,,,,,
1,314,13 МЕ,"ООО ""Атлант"", г. Рузаевка, ул. Ленина, 62",1324133274,"кафе ""Калибри"", г. Рузаевка, ул. Ленина, 62",1,15/09/11,6-17-66,,Салькаев Руслан Гаясович,
,,001781,,1061324009900,,,15/09/12,,,,
1,434,13 МЕ,"ООО ""Энерготехносервис"", г. Рузаевка,",1324136483,"магазин ""Продукты"", г. Рузаевка, ул. Маяковского, 173",4,27/12/11,2-50-29,,Белин Александр Геннадьевич,
,,001913,"ул. Полежаева, 36",1111324000050,"магазин ""Апельсинчик"", г. Рузаевка, ул. Байкузова, 142а",,30/11/14,2-22-72,,,
,,,,,"магазин ""Планета"", г. Рузаевка, ул. Маяковского, 173",,,,,,
,,,,,"магазин ""Продукты"", г. Рузаевка, бульвар Горошкова, 11",,,,,,
1,55,13 МЕ,"СХПК ""Ключ-Сузгарьевский"", с. Ключарево,",1317029882,"магазин, г. Рузаевка, ул. Петрова, 25",2,30/03/12,5-22-16,,Баротели Муртаз Варламович,
,,001982,"ул. Центральная, Рузаевский район",1021300928714,"магазин, с. Ключарево, ул. Центральная, 23, Рузаевский район",,30/11/14,,,,
1,109,13 МЕ,"ООО ""Премьер"", г. Рузаевка, ул. Ленина, 69",1324000299,"магазин, г. Саранск, ул. Полежаева, 53, пом. 6",,27/04/12,89297479757,,Томилин Дмитрий Владимирович,
,,002037,,1121324000159,,,27/04/13,,,,
1,165,13 РМ,"ООО ""Спорт-бар"", г. Рузаевка, бульвар Горшкова, 14",1324000348,"бар, г. Рузаевка, бул. Горшкова, 14",1,15/06/12,89276406871,,Сидоров Максим Иванович,
,,000043,,1121324000236,,,15/06/13,,,,
