,Реестр действующих лицензий на право розничной продажи алкогольной продукции,,,,,,
,по состоянию на 02.10.2012г.,,,,,,
,,,,,,,
,№ п/п,Наименование организации (предприятия),"Адрес, директор, телефон","Торговые точки, адрес",Номер лицензии,Срок действия лицензии,Вид лицензируемой алкогольной продукции
,5,"Общество с ограниченной ответственностью Торговый дом ""Развитие плюс М"", ИНН 7327044697, КПП 732701001","Директор Арифуллин Роман Миркасимович,  г.Ульяновск, ул.Западный бульвар, 28 А                                                                                                                , Тел. 46-69-05, 46-73-35","6 436,Кафе, г.Ульяновск, ул.К.Маркса, 21-23",73 МЕ 001486  №51,с 22.04.2011 по 22.04.2014,Розничная продажа алкогольной продукции в том числе в розлив
,,,,"6 437,Магазин, г.Ульяновск, ул.Радищева, 25/30",,,
,,,,"6 438,Магазин, г.Ульяновск, с.Отрада, ул.Гая, 1 Б",,,
,,,,"6 406,Магазин, Ульяновский район, р.п.Ишеевка, ул.Гагарина, 4 А",,,
,,,,"6 405,Магазин, Ульяновский район, с.Тетюшское, ул.Юбилейная, 28 Б",,,
,,,,"6 404,Магазин, Кузоватовский район, р.п.Кузоватово, ул.Октябрьская, 17",,,
,,,,"6 403,Магазин, Кузоватовский район, р.п.Кузоватово, ул.К.Маркса, 6",,,
,,,,"6 402,Магазин, Карсунский район, р.п.Карсун, ул.Тельмана, 5 А",,,
,,,,"6 401,Магазин, Инзенский район,г.Инза, ул.Чапаева, 22 Б",,,
,,,,"1 158,Закусочная, Ульяновский район, с.Большие Ключищи, ул.Полевая, 32 а",,,
,,,,"6 435,Магазин, г.Ульяновск, ул.Радищева, 66",,,
,,,,"2 061,Магазин, Тереньгульский район, с Зеленец, ул.Советская, 21",,,
,,,,"2 062,Магазин, Тереньгульский район, с.Красноборск, ул.Школьная, 6 а",,,
,,,,"5 922,Магазин, Старомайнский район, р.п.Старая Майна, ул.Революционная, 22",,,
,,,,"5 923,Магазин, Ульяновский район, с.Большие Ключищи, ул.Ульянова, 64 а",,,
,,,,"2 134,Магазин, Карсунский р-н, р.п.Карсун, ул.Куйбышева, 55/1",,,
,,,,"6 550,Магазин, г.Ульяновск,ул.Звёздная, 14 А",,,
,,,,"6 553,Магазин, Чердаклинский район, р.п..Чердаклы, ул.Советская, 7",,,
,,,,"6 554,Магазин, Чердаклинский район, с.Старый Белый Яр, ул.Центральная, 92",,,
,,,,"6 555,Магазин, Чердаклинский район, с.Старое Еремкино, ул.Центральная, 2",,,
,,,,"6 556,Магазин, Старомайнский район, с.Новиковка, ул.Придорожная, 13",,,
,,,,"2 135,Магазин, Карсунский р-н, р.п.Карсун, ул.Гусева, 1",,,
,,,,"6 162,Магазин, Инзенский р-н, г.Инза, ул.Пирогова, 2",,,
,,,,"6 163,Магазин, Инзенский р-н, с.Оськино, пл.Труда, 13",,,
,,,,"2 136,Магазин, г.Новоульяновск, с.Криуши, ул.Затон, 21",,,
,,,,"2 146,Магазин, г.Ульяновск, пр-т Нариманова, 51",,,
,,,,"2 137,Магазин, Цильнинский р-н, с.Большое Нагаткино, ул.Советская, 1 г",,,
,,,,"6 663,Магазин, Чердаклинский район, р.п.Чердаклы, ул.50 лет ВЛКСМ, 78",,,
,,,,"2 138,Магазин, Цильнинский р-н, с.Верхние Тимерсяны, ул.Советская, 30 а",,,
