41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Вина  Кахети""",7017251630,,г. Томск,"Кузовлевский тракт, 6/3",Томский район,"с. Моряковский Затон, пер. Ремесленный, 4А\1.",ТОМ,005268АЛ03,70МЕ,1480,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Томский район,"д.Подломск, ул.Молодежная, д.9",ТОМ,005286АЛ12,70МЕ,1502,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО""Альянс""",7014053012,,Томский район,"п. Зональная станция, ул.Рабочая,82, кв.1",Томский район,,ТОМ,005325АЛ00,70МЕ,1543,7/6/2012,7/6/2013,
Общество с ограниченной ответственностью,"ООО ""АЛКО""",7017269147,,г. Томск,"Иркутский проезд, д.1",Томский район,"634514, д. Поросино, ул. Колодникова, 2",ТОМ,005477АЛ02,70МЕ,2062,7/6/2012,7/6/2013,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",Томский район,"п. Заречный, ул. Светлая, д. 9 б",ТОМ,005375АЛ31,70МЕ,1624,7/6/2012,7/6/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Томский район,"д. Большое Протопопово, мкр-н ""Животновод-1"", 46 (магазин)",ТОМ,005583АЛ34,70МЕ,2196,7/6/2012,7/6/2013,
Общество с ограниченной ответственностью,"ООО ""Сибирский фермер""",7014052097,,"Томский район,с.Кафтанчиково","Коммунистическая,д.88б",Томский район,,ТОМ,005665АЛ00,70МЕ,2290,7/10/2012,7/10/2013,
Общество с ограниченной ответственностью,"ООО ""Камелот-А""",7017187800,,г. Томск,"ул. Пушкина, 71",Томский район,"п. Зональная Станция, ул. 40 лет Победы, 3б",ТОМ,005409АЛ10,70МЕ,1794,7/10/2012,7/10/2013,
Общество с ограниченной ответственностью,"ООО ""Сварог""",7017285244,,г. Томск,"ул. Матросова, 10",Томский район,"п. Зональная Станция, ул. Солнечная, 19/1 (магазин)",ТОМ,005715АЛ04,70МЕ,2352,7/10/2012,7/10/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 7""",7017285854,,г. Томск,"ул. Мокрушина, 24-116",Томский район,"д. Кисловка, пер. Подгорный, 1а",ТОМ,005742АЛ20,70МЕ,2384,9/28/2012,9/28/2013,
Общество с ограниченной ответственностью," ООО ""Черемушка""",7017284152,,г. Томск,"ул. Мокрушина, 9, стр. 16",Томский район,"634583 с.Октябрьское, ул. Заводская, 5а",ТОМ,005817АЛ02,70МЕ,2481,9/28/2012,9/28/2013,
Общество с ограниченной ответственностью,"ООО ""Розница К-1""",2225074005,,"Алтайский край, г. Барнаул","ул. Мерзликина, 5",Томский район,"д. Кисловка, ул. Мира, 18",ТОМ,005500АЛ18,70МЕ,2095,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО ""Абсолют-А""",7017292555,,г. Томск,"ул. Бердская, 27, строение 1",Томский район,"д. Петрово, ул. Гагарина, 19",ТОМ,005505АЛ24,70МЕ,2102,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО ""Лоза""",7017287989,,г. Томск,"ул. Белинского, 58 А",Томский район,"с. Корнилово, ул. Голикова, 5-2А (магазин).",ТОМ,005515АЛ03,70МЕ,2112,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО ""К-плюс 8""",7017299529,,г. Томск,"ул. Мокрушина, 24-116",Томский район,"с. Зоркальцево, ул. Трактовая, 71а  (магазин);",ТОМ,005582АЛ16,70МЕ,2195,8/19/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО ""Позднякова""",7014055700,,Томский район,"с. Богашево, ул. Мичурина. 122, корп. А",Томский район,,ТОМ,005604АЛ00,70МЕ,2219,1/12/2012,1/12/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНа 1""",7024032558,,г. Томск,"ул. Шпальная, 1",Томский район,"с. Рыбалово, ул. Пионерская, 1",ТОМ,005336АЛ09,70МЕ,2304,1/12/2012,1/12/2013,
Общество с ограниченной ответственностью,"ООО ""Альвис""",7014055235,,Томский район,"д. Борики, ул. Школьная, 96, кв. 2",Томский район,,ТОМ,005744АЛ00,70МЕ,2386,2/22/2012,2/22/2013,
,,,,,,,,,,,,2/22/2012,2/22/2013,
,,,,,,,,,,,,10/24/2007,10/24/2012,
,,,,,,,,,,,,10/24/2007,10/24/2012,
,,,,,,,,,,,,10/24/2007,10/24/2012,
,,,,,,,,,,,,11/9/2007,11/9/2012,
,,,,,,,,,,,,8/21/2012,8/21/2017,
,,,,,,,,,,,,8/21/2012,8/21/2017,
,,,,,,,,,,,,8/21/2012,8/21/2017,
,,,,,,,,,,,,9/20/2012,8/21/2017,
,,,,,,,,,,,,12/23/2007,12/23/2012,
,,,,,,,,,,,,12/23/2007,12/23/2012,
,,,,,,,,,,,,6/10/2010,3/18/2013,
,,,,,,,,,,,,6/10/2010,3/18/2013,
,,,,,,,,,,,,5/26/2008,3/18/2013,
,,,,,,,,,,,,4/1/2009,3/18/2013,
,,,,,,,,,,,,11/10/2009,3/18/2013,
,,,,,,,,,,,,11/10/2009,3/18/2013,
,,,,,,,,,,,,11/10/2009,3/18/2013,
,,,,,,,,,,,,11/18/2009,3/18/2013,
,,,,,,,,,,,,10/3/2011,3/18/2013,
,,,,,,,,,,,,9/15/2010,3/18/2013,
,,,,,,,,,,,,12/3/2010,3/18/2013,
,,,,,,,,,,,,2/11/2011,3/18/2013,
,,,,,,,,,,,,9/6/2011,3/18/2013,
,,,,,,,,,,,,6/3/2011,3/18/2013,
,,,,,,,,,,,,6/3/2011,3/18/2013,
,,,,,,,,,,,,6/3/2011,3/18/2013,
,,,,,,,,,,,,6/3/2011,3/18/2013,
,,,,,,,,,,,,7/13/2011,3/18/2013,
,,,,,,,,,,,,7/13/2011,3/18/2013,
,,,,,,,,,,,,1/19/2012,3/18/2013,
,,,,,,,,,,,,1/19/2012,3/18/2013,
,,,,,,,,,,,,3/20/2008,3/20/2013,
,,,,,,,,,,,,3/20/2008,3/20/2013,
,,,,,,,,,,,,3/25/2008,3/25/2013,
,,,,,,,,,,,,3/25/2008,3/25/2013,
,,,,,,,,,,,,4/17/2008,4/17/2013,
,,,,,,,,,,,,4/17/2008,4/17/2013,
,,,,,,,,,,,,4/17/2008,4/17/2013,
,,,,,,,,,,,,5/21/2008,5/21/2013,
,,,,,,,,,,,,5/21/2008,5/21/2013,
,,,,,,,,,,,,9/18/2008,9/18/2013,
,,,,,,,,,,,,9/18/2008,9/18/2013,
,,,,,,,,,,,,11/22/2010,9/18/2013,
,,,,,,,,,,,,10/7/2008,10/7/2013,
,,,,,,,,,,,,10/7/2008,10/7/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,11/20/2008,11/20/2013,
,,,,,,,,,,,,12/18/2008,11/20/2013,
,,,,,,,,,,,,12/1/2008,12/1/2013,
,,,,,,,,,,,,12/1/2008,12/1/2013,
,,,,,,,,,,,,12/26/2008,12/26/2013,
,,,,,,,,,,,,12/26/2008,12/26/2013,
,,,,,,,,,,,,12/30/2008,12/30/2013,
,,,,,,,,,,,,12/30/2008,12/30/2013,
,,,,,,,,,,,,12/30/2008,12/30/2013,
,,,,,,,,,,,,1/19/2009,1/19/2014,
,,,,,,,,,,,,8/1/2012,1/19/2014,
,,,,,,,,,,,,8/1/2012,1/19/2014,
,,,,,,,,,,,,8/1/2012,1/19/2014,
,,,,,,,,,,,,1/23/2009,1/23/2014,
,,,,,,,,,,,,1/23/2009,1/23/2014,
,,,,,,,,,,,,1/19/2012,2/2/2014,
,,,,,,,,,,,,3/5/2012,2/2/2014,
,,,,,,,,,,,,7/9/2012,2/2/2014,
,,,,,,,,,,,,2/6/2009,2/6/2014,
,,,,,,,,,,,,2/6/2009,2/6/2014,
,,,,,,,,,,,,2/6/2009,2/6/2014,
,,,,,,,,,,,,2/6/2009,2/6/2014,
,,,,,,,,,,,,3/19/2009,3/19/2014,
,,,,,,,,,,,,3/19/2009,3/19/2014,
