                                                      Атяшевский район,,,,,,,,,,
К-во,Ре,Серия,"Наименование организации,",,Адреса,Ко-тво,Срок,№ ,Дата,Ф.И.О.
орга,ги,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя
низа,ст,,,,,объектов,лицензии,факс,новки и,
ции,ра,,,ИНН,,,,,возобнов-,
,ци,,,ОГРН,,,,,ления,
,он,,,,,,,,лицензии,
,№,,,,,,,,,
,,,,,"магазин ""Продукты"", с. Атяшево, ул. Октябрьская, 86, Атяшевский",,,,,
,,,,,"магазин ""Продукты"", с. Атяшево, пер. Советский, 9а, Атяшевский",,,,,
,,,,,"м-н ""Продукты"" с. Тарасово, ул. Красная, 11, Атяшевский",,,,,
,,,,,"м-н ""У Петровича"" с. Копасово, ул. Центральная, 77, Атяшевс",,,,,
,,,,,"м-н ""Продукты"" п. Атяшево, ул. Гражданская, 2в",,,,,
,,,,,"м-н ""Ирина-2"", с. Б.Манадыши, ул. Молодежная, 35а, Атяшевский",,,,,
,,,,,"м-н ""Ирина-3"" с. Б.Манадыши, ул. Первомайская, 1в, Атяшевский",,,,,
,,,,,"м-н ""Надежда"", с. Атяшево, ул. Советская, 1а, Атяшевский",,,,,
,,,,,"м-н ""Максим"", с. Покровское, ул. Центральная, 3, Атяшевский р-н",,,,,
,,,,,"магазин ""Катюша 4"", с. Батушево, ул. Терешковой, 13, Атяшевский район",,,,,
,,,,,"магазин ""Продукты"", с. Лобаски, ул. Ленина, 1а, Атяшевский район",,,,,
,,,,,"магазин ""Продукты"", с. Алово, ул. 25 лет Октября, 6, Атяшевский район",,,,,
,,,,,"магазин ""Елена"", п. Атяшево, ул. Центральная, 38",,,,,
,,,,,"магазин ""Продукты"", п. Атяшево, мкр., 2, 11а",,,,,
1,28,13 МЕ,"ООО ""Люкс"" п. Атяшево, ул. Горюнова, 5",1303069162,"м-н ""Люкс"" п. Атяшево, ул. Горюнова, 5",3,28/01/10,2-24-27,,Мукнаева Светлана Валентиновна
,,001135,,,"м-н ""Валентина"" п. Атяшево, ул. Первомайская, 34б",,28/01/13,2-30-92,,
,,,,,"м-н ""Поле чудес"" п. Атяшево, ул. С.Разина, 1а",,,,,
1,187,13 МЕ,"ООО ""Спутник"" с. Алашеевка, ул. Чапаева,",1303069959,"м-н с. Алашеевка, ул. Чапаева, 107а, Атяшевский",1,15/10/07,89271734464,,
,,000354,"107а, Атяшевский р-н",,,,15/10/12,,,
1,260,13 МЕ,"ПО ""Универмаг"" п. Атяшево, ул. Центральная, 18",1303070305,"м-н ""Продукты"" п. Атяшево, ул. Центральная, 18",1,15/10/09,2-21-08,,Седайкина Надежда Васильевна
,,001019,,,,,15/10/12,2-22-04,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" п. Атяшево, ул. Первомайская, 37",1,15/05/12,,,
,,000004,"185, филиал г. Саранск, б-р Эрзи, 12",,,,15/03/16,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-н п. Атяшево, ул. Центральная, 24",27,29/06/12,29-18-62,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"магазин ""Милена"", п. Атяшево, ул. Большевистская, 59",,15/07/14,,,
,,,,,"м-н п. Атяшево, мкр., 1, 104",,,,,
,,,,,"магазин ""Макс"", птс ""Сараст"", ул. Советская, 13а, Атяшевский район",,,,,
,,,,,"магазин ""Продукты"", с. Лобаски, ул. Ленина, 1а, Атяшевский район",,,,,
,,,,,"магазин ""Продукты"", с. Алово, ул. 25 лет Октября, 6, Атяшевский район",,,,,
,,,,,"магазин ""Уют-1"", п. Атяшево, ул. Ленина, 27а",,,,,
,,,,,"магазин ""Уют-2"", с. Тетюши, ул. Ленина, 86, Атяшевский район",,,,,
,,,,,"магазин ""Восток"", с. Морд. Дубровки, ул. Новая, 1а, Атяшевский район",,,,,
,,,,,"магазин ""Восток"", с. Сабанчеево, ул. Советская, 49, Атяшевский район",,,,,
,,,,,"магазин ""Восток"", с. Тарасово, ул. Красная, 89, Атяшевский район",,,,,
,,,,,"магазин ""Восток"", п. Атяшево, мкр., 1, 10",,,,,
,,,,,"магазин ""Юлия"", п. Атяшево, пер. Транспортный, 10",,,,,
,,,,,"магазин ""Юлия 2"", п. Атяшево, ул. Первомайская, 93",,,,,
,,,,,"магазин ""Яшин и К"", п. Атяшево, ул. Центральная, 25",,,,,
,,,,,"магазин ""Яшин и К"", п. птицесавхоз ""Сараст"", ул. Советская, 22, Атяшевский район",,,,,
,,,,,"магазин ""Яшин и К"", с. Атяшево, ул. Октябрьская, 40, Атяшевский район",,,,,
,,,,,"магазин ""Яшин и К"", с. Вечерлей, ул. Горького, 26, Атяшевский район",,,,,
,,,,,"магазин ""Яшин и К"", с. Селищи, ул. Ленина, 47а, Атяшевский район",,,,,
,,,,,"магазин ""Яшин и К"", с. Дюрки, ул. Советская, 36, Атяшевский район",,,,,
12,,,,,"магазин ""Яшин и К"", п. Атяшево, мкр., 2, д. 16",,,,,
,,,,,"магазин ""Людмила"", п. Атяшево, ул. Гражданская, 20",,,,,
,,,,,"магазин ""Продукты"", п. Атяшево, мкр., 2, 12 а",,,,,
,,,,,"магазин ""Любимый"", совхоз ""Сараст"", ул. Михеева, 2а, Атяшевский район",,,,,
,,,,,"магазин ""Продукты"", п. Атяшево, ул. Гражданская, 2г",,,,,
,,,,,"магазин ""Продукты"", с. Атяшево, ул. Набережная, 18а, Атяшевский район",,,,,
,,,,,"магазин ""Продукты"", с. Батушево, ул. Ленина, 54а, Атяшевский район",,,,,
1,32,13 МЕ,"ООО ""Промтэкс"" г. Саранск, ул. Рабочая, 95а",1327033574,"магазин ""ГородОк"", п. Атяшево, ул. Горюнова, 8",1,29/02/12,,,
,,001956,Всего 4,1021301063398,,,31/05/15,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,136,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
