"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
51,"ООО,Кумир,Петрозаводск,Малая,4,",16/12/04,23/12/04,Б393046,37,23/12/04,22/05/07,22/05/12,вся АП
52,"ООО,Квант,Петрозаводск,Ленина,27,",08/04/08,16/04/09,Б393161,107,16/04/08,16/04/13,,вся АП
53,"ООО,НС Капиталъ,Петрозаводск,Ленина,10,",02/07/07,05/07/07,Б393062,50,05/07/07,05/07/12,,вся АП
54,"ООО,КарелияОпен,Петрозаводск,Володарского,24,",23/10/07,20/10/07,Б393105,73,30/10/07,30/10/12,,вся АП
55,"ООО,Карельское общество пчеловодов,Петрозаводск,Кооперативная,6, ",24/07/08,11/08/08,Б393283,121,11/08/08,11/08/13,,"до 15 % -в городах, общая S < 50 кв.м"
56,"ООО,Корпорация Карелпрод,Петрозаводск,Ровио,48, ",03/12/08,09/12/08,Б393254,141,09/12/08,09/12/13,,"вся АП, более 15 % - с 8 до 23"
57,"ООО,Корица,Петрозаводск,бр.Интернационалистов,2б,",08/12/08,08/12/08,Б393258,144,11/12/08,11/12/13,,"вся АП, более 15 % - с 8 до 23"
58,"ООО,Ланта,Петрозаводск,Анохина,35",29/06/04,07/07/04,Б393064,52,07/07/04,07/07/07,07/07/12,вся АП
59,"ООО,Лев,Петрозаводск,Попова,3",15/12/05,23/12/05,Б393280,157,24/12/05,24/12/08,24/12/13,вся АП
60,"ООО,Летучая мышь,Петрозаводск,Герцена,35,",09/12/05,16/12/05,Б393268,148,16/12/05,16/12/08,16/12/13,вся АП
61,"ООО,Лизард,Петрозаводск,пр.А.Невского,41-",13/04/04,12/05/04,Б393044,35,18/05/04,18/05/07,18/05/12,вся АП
62,"ООО,Лорд,Петрозаводск,Дзержинского,39,",25/12/03,30/12/03,432,1108,31/12/03,31/12/06,31/12/11,вся АП
63,"ООО,Линкор,Петрозаводск,Медвежьегорская,3,",17/08/07,06/09/07,Б393088,67,06/09/07,06/09/12,,вся АП
64,"ООО,Луизиана,Петрозаводск,Боровая,11",25/10/07,01/11/07,Б393162,74,01/11/07,31/10/12,,вся АП
65,"ООО,Лента,Санкт-Петербург,Савушкина,112,",15/09/08,16/09/08,Б393218,128,16/09/08,16/09/13,,"вся АП, более 15 % - с 8 до 23"
66,"ООО,Лига,Ленинградская обл,Лодейное поле,Володарского,48,",06/11/08,10/11/08,Б393397,136,10/11/08,10/11/13,,вся АП
67,"ООО,ЛВС,Петрозаводск, пр.Первомайский,5.",11/01/09,14/01/09,Б393291,165,14/01/09,14/01/14,,вся АП
68,"ООО,Лакки,Петрозаводск.Репникова,25,",06/04/10,27/04/10,Б393392,202,27/04/10,27/04/12,,вся АП
