№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
8,"ООО ""ДАВИД""",6727018121,1076727000866,"215850, Смоленская область, Кардымовский район, д. Смогири","215850, Смоленская область, Кардымовский район, д. Смогири, 356 км а/д Москва-Минск (кафе-бар)",№ 1565                Г 679574,28 сентября 2007,по 28 сентября 2012,,,,,,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Восточная, д. 1 (кафе-бар)",,,,,,,,,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, ул. Энтузиастов, д. 35 (магазин)",,,,,,,,,,,,,,,,,,
9,"ООО ""Нефтегазсервис""",6708004980,1026700975278,"215850, Смоленская область, пос. Кардымово, ул. Пристанционная","215850, Смоленская область, Кардымовский район, в районе 361 км.  а/д Москва-Минск (правая сторона) (кафе)",№ 1262                 Г 254899,14 августа 2006, по 14 августа 2011,,,,,,,,,,,,,,,
10,"ООО ""БИБ""",6708005649,1066727015057,"215850, Смоленская область, Кардымовский район, пос. Кардымово, ул. Ленина, 8","215850, Смоленская область, пос. Кардымово, ул. Ленина, д. 21 (магазин), без ограничений",№ 1252                       Г 254885,11 августа 2006,по 11 августа 2011не,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, пос. Кардымово, ул. Ленина, д. 58 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, пос. Кардымово, ул. Ленина, д. 8 (магазин), без ограничений ",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, пос. Кардымово, ул. Ленина, д. 41-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215852, Смоленская область, Кардымовский район, ст. Духовская (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, Кардымовский район, дер. Шутовка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, Кардымовский район, дер. Пнево (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, Кардымовский район, дер. Вачково (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215835, Смоленская область, Кардымовский район, д. Шокино, ул. 2-я Лесная, д. 2 (магазин ""Продукты""), без ограничений ",,,,,,,,,,,,,,,,,,
