"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеилимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,"""Меркурий Плюс""",выдано МИ ФНС России №11 по ,с 27.04.2009 г.,"2 квартал, общ. №2 отдел в магазине ""Меркурий"" ",,,,,,
,ИНН 3834014020,Иркутской области от 7.11.2008 г.,по 27.04.2014 г.,,,,,,,
24,ООО,Св-во сер.38 №002838628,А 245211,"г.Железногорск-Илимский, 2 кв-л, д.71, отдел в ",,,,,,
,"""Эдем""",выдано МИ ФНС России №11 по,с 30.07.2012 г.,"торгово-административном комплексе ""Дебют"";",,,,,,
,ИНН 3834014670,Иркутской области от 14.12.2009 г.,по 26.01.2015 г.,"10 кв-л, д.6 ""б"", отдел в магазине прод.товаров ""Ермак""",,,,,,
,,,,,,,,,,
25,ООО,Св-во сер.38 №002838608,А 245167,"г.Железногорск-Илимский, 2 квартал, д.69, ",,,,,,
,"""Сибирь""",выдано МИ ФНС России №11 по,с 01.03.2012 г.,"отдел в магазине ""Народный""; 1 квартал, д.87, отдел ",,,,,,
,ИНН 3834014648,Иркутской области от 03.12.2009 г.,по 01.03.2013 г.,"в магазине продовольственных  товаров ""Сибиряк""",,,,,,
26,ООО,Св-во сер. 38 №000194954,А 245207,"г.Железногорск-Илимский,",,,,,,
,"""Пивной Мир""",выдано МИ ФНС России №11 по ,с 18.07.2012 г.,"ул.Янгеля, д.16, отдел ООО ""Пивной Мир""",,,,,,
,ИНН 3834010280,Ирк. обл  и УО БАО от 13.04.05 г,по 01.11.2015 г.,"в ОАО магазин № 4 ""Торговый центр""",,,,,,
,,,переоф. А 245165,,,,,,,
27,ООО,Св-во сер 38 №003130532,А 245172,"г.Железногорск-Илимский, ",,,,,,
,"""МясКо""",выдано МИ ФНС России №11 по,с 27.05.2012 г.,"6 квартал, д.2 ""а"", отдел в салоне-магазине ""МясКо""",,,,,,
,ИНН 3834015338,Иркутской области от 03.02.2011 г.,по 27.05.2013 г.,,,,,,,
28,ООО,Св-во сер 38 №003130152,А 245195,"г.Железногорск-Илимский,",,,,,,
,"""ВЕСТА""",выдано МИ ФНС России №11 по,с 25.04.2012 г.,"1 квартал, д.27""а"", магазин продовольственных товаров;",,,,,,
,ИНН 3834014944,Иркутской области от 20.09.2010 г.,по 25.04.2015 г.,"1 квартал, д.51,  магазин продовольственных товаров.",,,,,,
29,ООО,Св-во сер.38 №003069858,А 245194,"г.Железногорск-Илимский,",,,,,,
,"""Алекс""",выдано МИ ФНС России №15 по,с 25.04.2012 г.,"2 квартал, д.57, бар ресторана ""Магнетит"".",,,,,,
,ИНН 3834015715,Иркутской области от 10.02.2012 г.,по 25.04.2013 г.,,,,,,,
30,ООО,Св-во сер 38 №002763595,А 245170,"п.Новая Игирма,",,,,,,
,"""ИлимТрейд""",выдано МИ ФНС России №11 по,с 25.03.2011 г.,"м/р ""Химки"", д.29, магазин продовольственных товаров",,,06.07.2012 г.,,,
,ИНН 3834014278,Иркутской области от 26.02.2009 г.,по 25.03.2013 г.,,,,,,,
31,ООО,Св-во сер. 38 №002398832,А 157941,п.Новая Игирма,,,,,,
,"""МиГ""",выдано МИ ФНС России №11 по ,с 16.08.2009 г.,"м/р ""Киевский"", общежитие №5, магазин ""Миг"";",,,,,,
,ИНН 3834008362,Иркутской обл  и УО БАО от 11.04.06 г,по 16.08.2014 г.,"ул.Целинная, д.2 ""а"", магазин ""Маячок"".",,,,,,
32,ЗАО,Св-во сер.38 №002399560,А 245159,"п.Новая Игирма, м/р ""Химки"", д.34/2, маг. ""Кулинария"";",,,,,,
,"""Северное""",выдано МИ ФНС России №11 по,с 16.08.2011 г.,"м/р ""Химки"", д.34/3, супермаркет ""Центральный"" в ",,,,,,
,ИНН 3834010121,Иркутской обл. и УО БАО от 11.07.06 г.,по16.08.2012 г.,"магазине №2 ""Торговый центр""",,,,,,
33,ООО,Св-во сер.38 №000195369,А 245052,п.Новая Игирма,,,,,,
,"""Заря""",выдано МИ ФНС России №11 по,с 18.07.2011 г.,"ул.Железногорская, 12 ""а"", магазин ""Восточный"";",,,18.07.2012 г.,,,
,ИНН 3834010594,Ирк. обл. и УО БАО от 11.10.05 г.,по 18.07.2012 г.,"ул.Солнечная, д.15""а"", магазин ""Супермаркет""",,,,,,
