тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о продлении,ООО,Желаем удачи,"Забайкальский край, п.г.т. Агинское, ул. Заречная, 65",1068080020975,8001012758,800101001,отдел в магазине,Агинский район,пгт. Агинское,"ул. Заречная, 65",387,,30-Jun-11,29-Jul-11,29-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,БЭТ,"Читинская область, г. Чита, мкр. Северный, 6 кв. 37",,7536075089,753601001,отдел в павильоне,г. Чита,Центральный район,"ул. Красной Звезды, остановка ""Троллейбусное депо""",806,,30-Jul-07,30-Jul-07,29-Jul-12,75МЕ,000918,В,000957,,Прекращена,,,
о продлении,ООО,Казар,"Забайкальский край, Читинский район, с. Верх-Чита, ул. Центральная, 8а",1067524006428,7524013391,752401001,отдел в магазине,Читинский район,с. Верх-Чита,"ул. Центральная, 53",0441,,13-Jul-11,29-Jul-11,29-Jul-12,75МЕ,002386,ВВ,001255,,Прекращена,,,
о выдаче,ООО,Байлык,"Забайкальский край, Агинский район, с. Урда-Ага, ул. Чапаева, 20",,8001016819,800101001,магазин,Агинский район,с. Урда-Ага,"ул. Чапаева, 20",0481,,21-Jul-11,29-Jul-11,29-Jul-12,75МЕ,002425,ВВ,001300,,прекращена,,,
о переоформлении,ООО,Гранат,"Забайкальский край, Читинский район, с. Смоленка, д. 57, кв. 1",1117536000966,7536116514,753601001,магазин,г. Чита,г. Чита,"ул. Инструментальная, 6, пом. 1",0487,27-Sep-11,21-Jul-11,30-Jul-11,30-Jul-12,75МЕ,002575,,,,Прекращена,,89145204315,
о переоформлении,ООО,ОРИЛ,"г. Чита, ул. Иркутская, 16",,7536080480,753601001,отдел в магазине,г. Чита,г. Чита,"Ингодинский район, ул. Иркутская, 16",115,03-Mar-09,31-Jul-07,31-Jul-07,30-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО,Удача,"Забайкальский край, г. Чита, ул. Металлистов, д.19, кв.1",1077536004490,7536079076,753601001,отдел в магазине,г. Чита,Центральный район,"ул. Амурская, 48",134,,21-Dec-10,31-Jul-07,30-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО,МИГ,"Забайкальский край, г. Борзя, ул. Карла Маркса, д. 117",1027501005795,7529007264,752901001,отдел в магазине,Борзинский район,г. Борзя,"пер. Машиностроителей, 5, пом.1",0476,23-Mar-12,01-Aug-11,01-Aug-11,01-Aug-12,75МЕ,002952,,,,прекращена,,89245095911,Гладнева Алла Александровна
о переоформлении,ООО,ВЛАДИС,"Читинская область, г.Чита, ул. Бабушкина, 32-б, пом.1",,7536080642,753601001,магазин,г. Чита,г. Чита,"ул. Бабушкина, 32-б, пом. 1 (не осущ. Деят.)",811,31-Mar-08,02-Aug-07,02-Aug-07,01-Aug-12,75МЕ,000936,ВВ,000084,,Прекращена,,,
о продлении,ООО,Новатор,"Забайкальский край, г. Могоча, ул. Клубная, д. 2-а",,7512004392,751201001,магазин,Могочинский район,г. Могоча,"ул. Восточная, 17",0426,,11-Jul-11,01-Aug-11,01-Aug-12,75МЕ,002368,ВВ,001238,,Прекращена,,,
