ИНН из файла,Тип найденного клиента из КС,Название из КС,ИНН из КС,КПП из КС,СЦ по продукту Контур-Экстерн,СЦ по РАР,Статус,Регион СЦ,Горе,,,,
7702682170,Есть в КС,ООО «СтройБизнес»,7702682170,770201001,"0558 ООО ""ПрестижСофт""","0558 ООО ""ПрестижСофт""",оплачен,77,не обработан,7702682170770201001,,,
7702704554,Есть в КС,ООО «Авеню Групп»,7702704554,770201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7702704554770201001,,,
7702711015,Есть в КС,ООО «Мелисса»,7702711015,770201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7702711015770201001,,,
7702758493,Есть в КС,"ООО ""ЭЛОРЭ""",7702758493,771001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7702758493771001001,,,
7703006619,Есть в КС,ООО «Горизонт-МК»,7703006619,772601001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7703006619772601001,,,
7703020405,Есть в КС,"ООО ""Колбасы-20""",7703020405,770301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7703020405770301001,,,
7703057878,Есть в КС,"ООО ""Улыбка М""",7703057878,770301001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7703057878770301001,,,
7703081091,Есть в КС,"ООО ""СОЛЬ-О""",7703081091,771001001,"0558 ООО ""ПрестижСофт""","0558 ООО ""ПрестижСофт""",оплачен,77,не обработан,7703081091771001001,,,
7703217560,Есть в КС,"ООО ""ТАЛИСМАН СТ""",7703217560,770301001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7703217560770301001,,,
7703278108,Есть в КС,"ООО ""Азара Торг""",7703278108,770301001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7703278108770301001,,,
7703294332,Есть в КС,ЗАО “Компания ИнтерРусь-М”,7703294332,770201001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7703294332770201001,,,
7703341127,Есть в КС,"ООО ""М.К.Зеленый дол""",7703341127,770101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7703341127770101001,,,
7703366650,Есть в КС,"ООО ""АльфаСтиль""",7703366650,771501001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,выставлен,77,не обработан,7703366650771501001,,,
7703551886,Есть в КС,"ООО ""Бенедикт""",7703551886,770301001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7703551886770301001,,,
7703616727,Есть в КС,"ООО ""О-Де-Ви Рансьё""",7703616727,770301001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7703616727770301001,,,
7703629998,Есть в КС,"Общество с ограниченной ответственностью ""Патрики""",7703629998,770301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7703629998770301001,,,
7703696747,Есть в КС,ООО «ЛОРД»,7703696747,770301001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7703696747770301001,,,
7703717676,Есть в КС,ООО «АКУЛА»,7703717676,770301001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7703717676770301001,,,
7703725081,Есть в КС,"Общество с ограниченной ответственностью ""Глобал ресторантс менеджмент""",7703725081,770301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7703725081770301001,,,
7703748071,Есть в КС,"Общество с ограниченной ответственностью ""СервисГрупп""",7703748071,770301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7703748071770301001,,,
7704022211,Есть в КС,"Общество с ограниченной ответственностью ""РЕВОЛ""",7704022211,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704022211770501001,,,
7704031449,Есть в КС,"ООО ""МЕТЕЛИЦА-КЛУБ""",7704031449,774901001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7704031449774901001,,,
7704055217,Есть в КС,"Общество с ограниченной  ответственностью ""Вавилон-91""",7704055217,771001001,0221 ООО «КМЦ Баланс-Информ»,0221 ООО «КМЦ Баланс-Информ»,оплачен,50,не обработан,7704055217771001001,,,
7704056845,Есть в КС,"ООО ""Виктория""",7704056845,770401001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7704056845770401001,,,
7704135127,Есть в КС,ООО «АЛЬФА-ГАРАНТ»,7704135127,771901001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7704135127771901001,,,
7704251268,Есть в КС,"ООО ""ТРЕЙД МАКСИМА""",7704251268,770401001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7704251268770401001,,,
7704261026,Есть в КС,"ООО ""Стайл""",7704261026,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704261026770401001,,,
7704526836,Есть в КС,"ООО ""Пирот Вин Интернэженел""",7704526836,770401001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,выставлен,77,не обработан,7704526836770401001,,,
7704552191,Есть в КС,ООО «Валио»,7704552191,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704552191770401001,,,
7704575865,Есть в КС,"Закрытое акционерное общество ""Био-Маркет""",7704575865,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704575865770401001,,,
7704579228,Есть в КС,"ООО ""БАЛярика""",7704579228,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704579228770401001,,,
7704644798,Есть в КС,ООО «Стандарт»,7704644798,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704644798770401001,,,
7704659498,Есть в КС,ЗАО «Гелиопарк Горизонт»,7704659498,771001001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,выставлен,77,не обработан,7704659498771001001,,,
7704720047,Есть в КС,ООО «Шадо»,7704720047,770401001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7704720047770401001,,,
7704729956,Есть в КС,"ООО ""ГУРИЯ""",7704729956,770401001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7704729956770401001,,,
7704749832,Есть в КС,ООО «Сапфир»,7704749832,770401001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7704749832770401001,,,
7704752592,Есть в КС,"ООО ""БЛЮЗ ОТЕЛЬ""",7704752592,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704752592770401001,,,
7704752850,Есть в КС,"ООО ""МосКабинет""",7704752850,770401001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,оплачен,77,не обработан,7704752850770401001,,,
7704760762,Есть в КС,"Общество с ограниченной ответственностью ""Био-Мир""",7704760762,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704760762770401001,,,
7704761519,Есть в КС,"ООО""БАР СИМПЛ""",7704761519,770401001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7704761519770401001,,,
7704764823,Есть в КС,"Общество с ограниченной ответственностью ""ИНТЕГРАЛ""",7704764823,770401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7704764823770401001,,,
7705019532,Есть в КС,"Фонд социальной защиты населения ""Замоскворечье""",7705019532,770501001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7705019532770501001,,,
7705031970,Есть в КС,"ООО КПП ""БОАНД""",7705031970,770501001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7705031970770501001,,,
7705037637,Есть в КС,"Общество с ограниченной ответственностью ""Кармел""",7705037637,770901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705037637770901001,,,
7705078640,Есть в КС,"Общество с ограниченной ответственностью ""Анжела+""",7705078640,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705078640770501001,,,
7705090831,Есть в КС,"ООО ""ВАНАДА""",7705090831,770501001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7705090831770501001,,,
7705133612,Есть в КС,"ООО ""ПОЛИСТИЛЬ""",7705133612,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705133612770501001,,,
7705134951,Есть в КС,ООО «Чаран-Интернейшнл»,7705134951,770501001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7705134951770501001,,,
7705156867,Есть в КС,"ЗАО "" Постоялый двор на Ходынке""",7705156867,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705156867770501001,,,
7705385578,Есть в КС,"ООО ""ЮКОНТ-АЛЬЯНС""",7705385578,773601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705385578773601001,,,
7705408000,Есть в КС,"ООО ""РЕМКОМСЕРВИС""",7705408000,770501001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7705408000770501001,,,
7705451492,Есть в КС,"ООО ""Содбизнес-Лайн""",7705451492,770501001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,выставлен,77,не обработан,7705451492770501001,,,
7705513364,Есть в КС,"ООО фирма ""Котельники""",7705513364,770501001,"0906 ООО ""БК ОМП""","0906 ООО ""БК ОМП""",выставлен,77,не обработан,7705513364770501001,,,
7705691293,Есть в КС,ООО «Форум Трейдинг»,7705691293,770501001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7705691293770501001,,,
7705791266,Есть в КС,"Общество с ограниченной ответственностью ""Маленькая планета""",7705791266,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705791266770501001,,,
7705826582,Есть в КС,"ООО ""Орион""",7705826582,770501001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7705826582770501001,,,
7705832265,Есть в КС,"ООО ""Сус""",7705832265,772401001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7705832265772401001,,,
7705857358,Есть в КС,"ООО ""БизнесГрупп""",7705857358,772101001,"0277 ООО ""Белый Бизнес""","0277 ООО ""Белый Бизнес""",выставлен,77,не обработан,7705857358772101001,,,
7705891951,Есть в КС,"ООО ""Овация""",7705891951,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705891951770501001,,,
7705901600,Есть в КС,"Общество с ограниченной ответственностью ""Патагония""",7705901600,770501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7705901600770501001,,,
7705917374,Есть в КС,"ООО ""МВЛ""",7705917374,770501001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7705917374770501001,,,
7705927132,Есть в КС,ООО Помидор,7705927132,770501001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7705927132770501001,,,
7706009583,Есть в КС,"ЗАО ""Эльф-1""",7706009583,770601001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7706009583770601001,,,
7706090633,Есть в КС,"Общество с ограниченной ответственностью ""АКТИС""",7706090633,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706090633770601001,,,
7706108658,Есть в КС,"ООО ""Компания ""Русская Корона",7706108658,770801001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7706108658770801001,,,
7706177242,Есть в КС,"ООО ""МАХАРАДЖА-2""",7706177242,770601001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7706177242770601001,,,
7706231620,Есть в КС,ООО «Нарцисс 21»,7706231620,770601001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7706231620770601001,,,
7706283459,Есть в КС,ООО «Чип Маркет»,7706283459,770601001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7706283459770601001,,,
7706292100,Есть в КС,"ООО ""ТоргГрупп""",7706292100,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706292100770601001,,,
7706294073,Есть в КС,"ООО""Арт Марина""",7706294073,770801001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7706294073770801001,,,
7706297469,Есть в КС,ООО «КОМПАНИЯ «ЭДИАЛ»,7706297469,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706297469770601001,,,
7706298568,Есть в КС,ООО «ТРЕЙД – БИЗНЕС»,7706298568,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706298568770601001,,,
7706658725,Есть в КС,ООО «ВЕРИТАС»,7706658725,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706658725770601001,,,
7706684034,Есть в КС,"ООО ""Фонарный переулок""",7706684034,770601001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7706684034770601001,,,
7706720557,Есть в КС,ООО «ДЕЙЛ МАРКЕТ»,7706720557,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706720557770601001,,,
7706728612,Есть в КС,ООО «КиноБар»,7706728612,770601001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7706728612770601001,,,
7706730900,Есть в КС,"ООО ""Аз Энтерпрайз""",7706730900,770601001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7706730900770601001,,,
7706733933,Есть в КС,"ООО ""РЕСТОРАНСЕРВИС""",7706733933,770601001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7706733933770601001,,,
7706734817,Есть в КС,"ООО ""Эф-Эй-Кью Кафе""",7706734817,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706734817770601001,,,
7706736204,Есть в КС,"ООО ""Гудбар""",7706736204,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706736204770601001,,,
7706756698,Есть в КС,"ООО ""ПАНЧО""",7706756698,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7706756698770601001,,,
7707123659,Есть в КС,"Общество с ограниченной ответственностью ""Сатурн-92""",7707123659,771501001,0159 ООО «Рилл-Софт»,0159 ООО «Рилл-Софт»,оплачен,77,не обработан,7707123659771501001,,,
7707292784,Есть в КС,"Общество с ограниченной ответственностью ""Далоникс""",7707292784,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707292784770701001,,,
7707310144,Есть в КС,"ООО ""АДАНА""",7707310144,770701001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7707310144770701001,,,
7707316435,Есть в КС,НП «МДК»,7707316435,770701001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,оплачен,77,не обработан,7707316435770701001,,,
7707321026,Есть в КС,"Общество с ограниченной ответственностью ""ВАРИАНТ""",7707321026,770701001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7707321026770701001,,,
7707326264,Есть в КС,"ЗАО ""Премьер-Спорт""",7707326264,772901001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7707326264772901001,,,
7707502897,Есть в КС,ООО «Лайт»,7707502897,770701001,"0811 ООО ""Контур-Эксперт""","0811 ООО ""Контур-Эксперт""",оплачен,77,не обработан,7707502897770701001,,,
7707503996,Есть в КС,"Общество с ограниченной ответственностью ""БАМБУК-ТРЭВЭЛ""",7707503996,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707503996770701001,,,
7707538646,Есть в КС,ООО «Селезневская слобода»,7707538646,770701001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7707538646770701001,,,
7707546171,Есть в КС,"ООО ""Прэго""",7707546171,771701001,0599 ООО “Бизнес ТелеСистемы”,0599 ООО “Бизнес ТелеСистемы”,выставлен,77,не обработан,7707546171771701001,,,
7707586449,Есть в КС,ООО «Карузо и Компания»,7707586449,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707586449770701001,,,
7707597264,Есть в КС,"ООО ""Юпорт""",7707597264,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707597264770701001,,,
7707632825,Есть в КС,ООО «Болеро»,7707632825,770701001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,7707632825770701001,,,
7707639073,Есть в КС,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕНВЕНУТО-2""",7707639073,772401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707639073772401001,,,
7707648448,Есть в КС,ООО «Флоренция»,7707648448,772301001,"0811 ООО ""Контур-Эксперт""","0811 ООО ""Контур-Эксперт""",оплачен,77,не обработан,7707648448772301001,,,
7707657435,Есть в КС,ООО «Римини»,7707657435,772301001,"0811 ООО ""Контур-Эксперт""","0811 ООО ""Контур-Эксперт""",оплачен,77,не обработан,7707657435772301001,,,
7707704967,Есть в КС,"ООО ""ГрандПрестиж""",7707704967,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707704967770701001,,,
7707708104,Есть в КС,"ООО ""Голдмайн""",7707708104,771001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707708104771001001,,,
7707708390,Есть в КС,"Закрытое акционерное общество ""СИРИУС""",7707708390,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707708390770701001,,,
7707710801,Есть в КС,"OOO ""Ваниль""",7707710801,770701001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7707710801770701001,,,
7707711883,Есть в КС,"ЗАО ""БАСТИОН""",7707711883,773301001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7707711883773301001,,,
7707716296,Есть в КС,"ООО ""Интер Фуд""",7707716296,770701001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,выставлен,77,не обработан,7707716296770701001,,,
7707718141,Есть в КС,"ООО ""Ресторатор""",7707718141,770601001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7707718141770601001,,,
7708057085,Есть в КС,"Общество с ограниченной ответственностью ""НИКАНДР""",7708057085,770801001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7708057085770801001,,,
7708110243,Есть в КС,ООО «Конфуций»,7708110243,770801001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7708110243770801001,,,
7708115234,Есть в КС,ООО «Станция П»,7708115234,770801001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7708115234770801001,,,
7708125521,Есть в КС,"ООО "" Бисмарк ХХ1""",7708125521,772801001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",выставлен,77,не обработан,7708125521772801001,,,
7708170316,Есть в КС,"Общество с ограниченной ответственностью ""Бега 2001""",7708170316,770801001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7708170316770801001,,,
7708170796,Есть в КС,"ООО ""Техгарант ХХ1""",7708170796,770801001,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы","0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",оплачен,77,не обработан,7708170796770801001,,,
7708205632,Есть в КС,"ООО ""Группа КАМУС""",7708205632,772901001,"0811 ООО ""Контур-Эксперт""","0811 ООО ""Контур-Эксперт""",оплачен,77,не обработан,7708205632772901001,,,
7708205657,Есть в КС,"ООО ""Смолл Паб""",7708205657,770801001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",оплачен,77,не обработан,7708205657770801001,,,
7708665679,Есть в КС,"ООО ""20 Марта""",7708665679,770801001,0810 ООО Аспект,0810 ООО Аспект,оплачен,77,не обработан,7708665679770801001,,,
7708711318,Есть в КС,"ООО ""Лукафе""",7708711318,770801001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,7708711318770801001,,,
7708735460,Есть в КС,"ООО ""Вектор""",7708735460,770801001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7708735460770801001,,,
7708741351,Есть в КС,"ООО ""ПРАЙМ""",7708741351,770801001,"0811 ООО ""Контур-Эксперт""","0811 ООО ""Контур-Эксперт""",оплачен,77,не обработан,7708741351770801001,,,
7708744031,Есть в КС,"ООО ""ОКСМА""",7708744031,770801001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",оплачен,77,не обработан,7708744031770801001,,,
7709264609,Есть в КС,ООО «ТЭМП ТАИНГ»,7709264609,770901001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7709264609770901001,,,
7709392600,Есть в КС,"ООО ""Эллиот""",7709392600,770401001,"0558 ООО ""ПрестижСофт""","0558 ООО ""ПрестижСофт""",оплачен,77,не обработан,7709392600770401001,,,
7709413970,Есть в КС,"Общество с ограниченной ответственностью ""Династия""",7709413970,772801001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,7709413970772801001,,,
7709542334,Есть в КС,"ООО ""Сиргрупп""",7709542334,770901001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""","0354 ЗАО ""ОВИОНТ ИНФОРМ""",оплачен,77,не обработан,7709542334770901001,,,
