"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Киренский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,,,,"ул.Октябрьская, 17.",,,,,,
12.,Общество с,"666703,",Г 117078,"маг. ""Для Вас"", г.Киренск,",,,01.12.2011г.,,,
,ограниченной,"Иркутская область,",№13,"ул.Коммунистическая, 26;",,,,,,
,ответственностью,"г.Киренск,",от 01.12.2006г.,"маг. ""Шатэ"",",,,,,,
,"""Данко""",ул.Коммунистичес-,до 01.12.2011г.,"г.Киренск, кв.Водников;",,,,,,
,,"кая, 26",,"маг. ""Апрель"", ",,,,,,
,ИНН 3831004352,,,"г.Киренск, ул.Советская;",,,,,,
,,,,"маг. ""Скарлет"", ",,,,,,
,,,,"г.Киренск, ул.Косыгина, 19;",,,,,,
,,,,"маг. ""Каравай"", г.Киренск,",,,,,,
,,,,"ул.Красноштанова, 2в.",,,,,,
13,Общество с,"666703,",Г 117151,"маг.""Для Вас"", г.Киренск, ",,,,,,
,ограниченной,"Иркутская область,",№ 70,"ул.Коммунистическая, 26;",,,,,,
,ответственностью,"г.Киренск,",от 23.04.2012г.,,,,,,,
,"""Данко""",ул.Коммунистичес-,до 23.04.2017,,,,,,,
,,"кая, 26",,,,,,,,
,ИНН 3831004352,,,,,,,,,
14,Петропавловское ,"666720,",Г 117110,Киренский район:,,,26.12.2011г.,,,
,сельское,"Иркутская область,",№36,"маг №1, пос.Юбилейный;",,,,,,
,потребительское ,"Киренский район, ",от 22.09.2008г.,"маг. №2, пос.Юбилейный;",,,,,,
,общество,с.Петропавловское,до 26.12.2011г.,"маг. №3, д.Вишняково;",,,,,,
,,,взамен,"маг. №4, с.Петропавловск;",,,,,,
,ИНН 3831000679,,Г 117077,"маг. №5, с.Петропавловск;",,,,,,
,,,№14,"маг. №6, д.Орлово;",,,,,,
,,,от 26.12.2006г.,"маг. №7, д.Сполошино;",,,,,,
,,,,"маг. №9, д.Мироново;",,,,,,
,,,,"маг №8, пос.Золотой,",,,,,,
,,,,"ул.Таежная, 3.",,,,,,
15,Общество с,"666520,",Г 117079,"маг. ""Родничок"", ",,,2/1/2012,,,
,ограниченной,"Иркутская область,",№15,"Киренсий район, ",,,,,,
,ответственностью,"Киренский район, ",от 01.02.2007г.,"пос.Небель, ул.Дружбы.",,,,,,
,"""Родничок""",п.Небель,до 01.02.2012г.,,,,,,,
,,,,,,,,,,
,ИНН 3831004433,,,,,,,,,
16,Потребительское ,"666703,",Г 117081,"маг. ""Кедр"", ",,,4/24/2012,,,
,общество ,"Иркутская область,",№17,"г.Киренск, ул.Ленрабочих, 33; ",,,,,,
,"""Единство""","г.Киренск,",от 24.04.2007г.,"маг. ""Кедр-2"",",,,,,,
,,"ул.Соснина, 3",до 24.04.2012г.,"Киренский район, ",,,,,,
,ИНН 3831004440,,,"пос.Бубновка, ",,,,,,
,,,,"пер.Юбилейный, 4.",,,,,,
17,Потребительское ,"666713,",Г 117089,Киренский район:,,,18.06.2012г.,,,
,общество ,"Иркутская область,",№21,"маг. №3, д.Салтыкова,",,,,,,
,"""Диалог""","Киренский район,",от 23.08.2007г.,"ул.Клубная, 11;",,,,,,
,,"с.Алымовка,",до 18.06.2012г.,"маг. №4, с.Алымовка,",,,,,,
,ИНН 3831003454,"ул.Центральная, 8",взамен,"ул.Центральная, 8;",,,,,,
,,,Г 117086,"маг. №6, д.Никулино,",,,,,,
,,,№18,"ул.Набережная, 2;",,,,,,
,,,от 18.06.2007г.,"маг. №7, д.Банщикова,",,,,,,
,,,,"ул.Центральная, 4;",,,,,,
,,,,"маг. №8, д.Чечуйск,",,,,,,
,,,,"ул.Зарукина, 7;",,,,,,
,,,,"маг. №2, пос.Воронежский,",,,,,,
,,,,"ул.Лесная, 1;",,,,,,
,,,,"магазин-кафе ""Вечерок"", ",,,,,,
,,,,"с.Алымовка,",,,,,,
,,,,"ул.Центральная, 15.",,,,,,
18,Коршуновское,"666743,",Г 117087,Киренский район:,,,,,,
,сельское,"Иркутская область,",№19,"маг. ТПС, с.Коршуново,",,,,,,
,потребительское,"Киренский район,",от 12.07.2007г.,"ул.Советская, 15;",,,,,,
,общество,"с.Коршуново,",до 12.07.2012г.,"маг. ТПС, пос.Визирный,",,,,,,
,,"ул.Советская, 15",,"ул.Ленина, 11.",,,,,,
,ИНН 3831000510,,,,,,,,,
19,Общество с,"666703,",Г 117123,"маг. ""Галеон"",",,,,,,
,ограниченной,"Иркутская область,",№44,"г.Киренск, ул.П.Осипенко, 16;",,,,,,
,ответственностью,"г.Киренск,",от 02.07.2009г.,"маг. ""Бриг"", г.Киренск,",,,,,,
,"""Эскадра""","ул.Ленрабочих, 33а",до 23.08.2012г.,"ул.Каландаришвили, 8;",,,,,,
,,,взамен,"маг. ""Фрегат"", г.Киренск,",,,,,,
,ИНН 3831004560,,Г 117122,"ул.Комсомольская, 11;",,,,,,
,,,№41,"маг. ""Линкор"", ",,,,,,
,,,от 22.04.2009г.,"г.Киренск, ул.Косыгина, 41;",,,,,,
,,,взамен,"маг. ""Корвет"",",,,,,,
,,,Г 117092,"г.Киренск, ул.Портовая, 1;.",,,,,,
,,,№24,"маг. ""Каравелла"",",,,,,,
,,,от 19.12.2007г.,"г.Киренск, ул.Советская.",,,,,,
,,,взамен,,,,,,,
,,,Г 117088,,,,,,,
,,,№20,,,,,,,
,,,от 23.08.2007г.,,,,,,,
20,Общество с,"666703,",Г 117093,"маг. ""Вита"",",,,,,,
,ограниченной,"Иркутская область,",№25,"г.Киренск, ул.Косыгина, 40.",,,,,,
,ответственностью,"г.Киренск,",от 26.12.2007г.,,,,,,,
,"""Вита""","ул.Косыгина, 40",до 26.12.2012г.,,,,,,,
,,,,,,,,,,
,ИНН 3831003599,,,,,,,,,
21,Общество с,"666703,",Г 117132,"маг. ""Росинка"",",,,,,,
,ограниченной,"Иркутская область,",№52,"Киренский район,",,,,,,
,ответственностью,"г.Киренск,",от 04.10.2010г.,"с.Кривошапкино,",,,,,,
,"""Сокол""","ул.Соснина, 32, ",до 24.01.2013г.,"ул.Молодежная, 17.",,,,,,
,,кв.10,взамен,,,,,,,
,ИНН 3831004419,,Г 117094,,,,,,,
,,,№26,,,,,,,
,,,от 24.01.2008г.,,,,,,,
22,Общество с,"666703,",Г 117095,"маг. ""Кузьмич"",",,,,,,
,ограниченной,"Иркутская область,",№27,"г.Киренск, ул.Комарова, 29.",,,,,,
,ответственностью,"г.Киренск,",от 18.02.2008г.,,,,,,,
,"""Олимп""","ул.Комарова, 29 ",до 18.02.2013г.,,,,,,,
,,,,,,,,,,
,ИНН 3831004659,,,,,,,,,
23,Общество с,"666702,",Г 117133,"маг. №2, Киренский район,",,,,,,
,ограниченной,"Иркутская область,",№53,"п.Алексеевск, ул.Чапаева, 45/1;",,,,,,
,ответственностью,"г.Киренск,",от 07.12.2010г.,"маг. №8, Киренский район,",,,,,,
,"""Трейдагро""","ул.Партизанская, 4 ",до 21.02.2013г.,"п.Бубновка, ул.Ленина, 7;",,,,,,
,,,взамен,"маг. №3,",,,,,,
,ИНН 3831000710,,Г 117096,"г.Киренск, ул.Сибирская, 13;",,,,,,
,,,№28,"маг. №5, ",,,,,,
,,,от 22.02.2008г.,"г.Киренск, ул.Чехова, 2;",,,,,,
,,,,"маг. №4,",,,,,,
,,,,"г.Киренск, ул.Зайцева, 20;.",,,,,,
,,,,"маг. №6,",,,,,,
,,,,"г.Киренск, ул.Комарова, 18;",,,,,,
,,,,"маг. №7,",,,,,,
,,,,"г.Киренск, ул.Профсоюзная, 7;",,,,,,
,,,,"маг. №9, г.Иркутск,",,,,,,
,,,,"ул.Верхняя Набережная,167/11",,,,,,
24,Киренское,"666703,",Г 117097,"маг. №13, ",,,,,,
,городское,"Иркутская область,",№29,"г.Киренск, ул.Профсоюзная, 11;",,,,,,
,потребительское,"г.Киренск,",от 26.02.2008г.,"маг. №14, г.Киренск,",,,,,,
,общество,"ул.Соснина, 2 ",до 26.02.2013г.,"ул.Полины Осипенко, 4;",,,,,,
,,,,"маг. №20,",,,,,,
,ИНН 3831000661,,,"г.Киренск, ул.Островского, 2;",,,,,,
,,,,торговое место в,,,,,,
,,,,"маг. №21, ",,,,,,
,,,,"г.Киренск, ул.Ленрабочих, 39;",,,,,,
,,,,"маг. №24, Киренский район,",,,,,,
,,,,"д.Повороты, ул.Полевая,6;",,,,,,
,,,,"маг. №26, Киренский район,",,,,,,
,,,,"д.Кривошапкино,",,,,,,
,,,,"ул.Молодежная, 1;",,,,,,
,,,,"маг. №28,",,,,,,
,,,,"д.Воронино, ул.Калинина, 7;",,,,,,
,,,,"маг. №31, Киренский район,",,,,,,
,,,,"д.Никольск, ул.Береговая, 16;",,,,,,
,,,,"маг. №32, Киренский район,",,,,,,
,,,,"д.Змеиново, ул.Советская, 7;",,,,,,
,,,,"маг. №36, Киренский район,",,,,,,
,,,,"д.Сидорово, ул.Клубная, 6.",,,,,,
25,Общество с,"666703,",Г 117113,"маг. ""Гастроном-14"",",,,,,,
,ограниченной,"Иркутская область,",№38,"г.Киренск, ул.Советская, 14;",,,,,,
,ответственностью,"г.Киренск,",от 14.11.2008г.,"маг. ""Сударушка"",",,,,,,
,"""Премиум""","ул.Ленрабочих, 42 ",до 04.05.2013г.,"г.Киренск, ул.Колхозная, 8а.",,,,,,
,,,взамен,,,,,,,
,ИНН 3831004602,,Г 117104,,,,,,,
,,,№32,,,,,,,
,,,от 04.05.2008г.,,,,,,,
26,Потребительское,"666703,",Г 117106,"кафе ""Ивушка"",",,,,,,
,общество,"Иркутская область,",№33,"г.Киренск, ул.Ленрабочих, 35.",,,,,,
,"""Пищевик""","г.Киренск,",от 20.05.2008г.,,,,,,,
