"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ангарскому МО",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
124,ООО «Сервис-эконом»                      ИНН 3801107897," 665830, г. Ангарск, квартал 123, дом 10",13.08.2011 продлен срок действия лицензии на 1 год с 13.08.2011 до 13.08.2012 А 176684 № 153 от 13.08.2011 (взамен:  А 167402 № 62 от 13.08.2010 г. с 13.08.2010 г. до 13.08.2011 г.),"г. Ангарск, микрорайон 19, дом 8, Универсам «Эконом-8» ",,,,,
125,ООО «Наша фирма»                  ИНН 3801107640," 665830, г. Ангарск, квартал 55, дом 6, помещение 19",13.08.2011 продлен срок действия лицензии на 1 год с 13.08.2011 до 13.08.2012 А 176685 № 154 от 13.08.2011 (взамен:      А 167405 № 65 от 13.08.2010 г.) с 13.08.2010 г. до 13.08.2011 г.,"г. Ангарск, квартал 55, дом 6, помещение 19, универсам «Эконом-2» ",,,,,
126,ООО «ВЕРБОГ» ИНН 3801083460," 665825, г. Ангарск, квартал 85, дом 16",15.08.2011 продлен срок действия лицензии на 1 год с 15.08.2011 до 15.08.2012 А 176686 № 155 от 15.08.2011 (взамен:            А 232907 № 130 от 15.08.2006 г. 5 лет с 15.08.2006 г. до 15.08.2011),"1) г. Ангарск, квартал 85, общежитие 16, магазин «Ольга» 2) г. Ангарск, квартал 92/93, общежитие 20, магазин «Василек» 3) г. Ангарск, квартал 78, дом15, общежитие 22, магазин «Жасмин»",,,,,
127,ООО «СЕВЕР» ИНН 3801082956," 665806, г. Ангарск, микрорайон Северный, улица Нахимовская, 1 «а»",21.08.2011 продлен срок действия лицензии на 3 года с 21.08.2011 до 21.08.2014 А 176687 № 156 от 21.08.2011 (взамен:             А 232910 № 135 от 21.08.2006 г. 5 лет с 21.08.2006 г. до 21.08.2011),"г. Ангарск, микрорайон Северный, улица Нахимовская, 1 «а», магазин «Авоська»",,,,,
128,ООО «Ирбис плюс» ИНН 3812067452,"664043, г. Иркутск, бульвар Рябикова, 33",зарегистрирована в Реестре на территории АМО № 157 от 22.08.2011 АН00852 от 25.07.2011   38 МЕ 003758 с 25.07.2011 до 24.07.2012,"г. Ангарск, микрорайон 29, дом 19, ТЦ ""Каскад"", павильон",,,,,Администрацией г. Иркутска
129,ООО «Фортуна+»      ИНН 3801102955," 665806, г. Ангарск, квартал 8, дом 14, помещение 23",А 176688 № 163 от 02.09.2011  с 15.07.2009 г. до 15.07.2014 г. (взамен: А 176556  № 17 от 16.02.2011),"1) г. Ангарск, квартал 8, дом 14, отдел «Вино-водка» в магазине «Фортуна» 2)  г. Ангарск, квартал 30, дом 3 ""а"", павильон № 6 в ТЦ ""Вечерний""  ",,,,,
130,ООО «Алиот» ИНН 3801059403," 665816, г. Ангарск, квартал 177, дом 15",А 176689 № 164 от 12.09.2011 (взамен: А 167397 № 56 от 11.08.2010 г. с 14.10.2009 до 14.10.2014 г. 14.10.2009) продлен срок действия лицензии до 14.10.2014 ,"1) г. Ангарск, квартал 177, дом 15, помещение 120, магазин «Монополия» 2) г. Ангарск, микрорайон 15, дом 12, магазин  «Монополия» 3) г. Анграск, микрорайон 12 «а», дом 13, магазин «Монополия» 4) г. Ангарск, квартал 59, дом 2, магазин «Монополия» 5) г. Ангарск, квартал 84, дом 24, магазин ""Монополия""",,,,,
131,ООО «Партнер» ИНН 3801078188," 665827, г. Ангарск, микрорайон 11, дом 12",А 176690 № 165 от 12.09.2011 продлен срок действия на 1 год с 28.08.2011 до 28.08.2012 (взамен: А 232919 № 142 от 28.08.2006 г. 5 лет с 28.08.2006 г. до 28.08.2011),"г. Ангарск, микрорайон 11, дом 12, магазин «Туесок» ",,,,,
132,ООО «Лазурит» ИНН 3801083477," 665835, г. Ангарск, микрорайон 29, дом 8, помещение 544",А 176693 № 166 от 14.09.2011 продлен срок действия лицензии на 2 года с 28.08.2011 до 28.08.2013 (взамен: А 232916 № 139 от 28.08.2006 г. 5 лет с 28.08.2006 г. до 28.08.2011),"1) г. Ангарск, микрорайон 29, дом 8, магазин «Прибрежный», отдел «Вино-водка» 2) г. Анагрск, квартал 92/93, дом 11, магазин «Лазурный» ",,,,,
133,ООО «ПродМаркет» ИНН 3801102881," 665806, г. Ангарск, квартал 19, дом 7, помещение 21",А 176694 № 167 от 16.09.2011  с 18.06.2009 г. до 18.06.2014  (взамен: А 176656 № 133 от 22.07.2011; А 167415 № 73 от 24.08.2010) ,"1) г. Ангарск, квартал 93, дом 100, универсам «Эконом-3» 2) г. Ангарск, квартал 94, дом 17, универсам «Эконом-6» 3) г. Ангарск, квартал 19, дом 7, помещение 21, универсам ""Эконом-4"" 4) г. Ангарск, микрорайон 15, дом 38, помещение 70, универсам ""Эконом-17"" 5) г. Ангарск, микрорайон 7, дом 36, универсам ""Эконом-9"" 6) г. Ангарск, микрорайон 12, дом 11 ""а"", помещение 79 универсам ""Эконом-1""  7) г. Ангарск, квартал 177, дом 17, помещение 34, универсам ""Норма-2""",,,,,
134,ООО «Золотой дракон» ИНН 3801108820," 665829, г. Ангарск, микрорайон 10, дом 51, квартира 1",А 176691 № 168 от 22.09.2011 срок действия лицензии продлен на 2 года с 24.08.2011 до 24.08.2013 (взамен: А 167442 № 106 от 24.11.2010  с 24.08.2010 до 24.08.2011),"1) г. Ангарск, микрорайон 19, дом 23, кафе «Панда» 2) г. Ангарск, микрорайон 12 ""а"", дом 6, помещение 186, кафе ""Пекин""",,,,,
135,ЗАО «ОЛИМПИЙСКИЙ»                                      ИНН 3801046404," 665829, г. Ангарск, микрорайон 10, дом 51, кв. 1",А 176692 № 168 от 22.09.2011 срок действия лицензии продлен на 1 год с 01.09.2011 до 01.09.2012 (взамен: А 167421 № 87 от 01.09.2010  01.09.2010 г. продлен срок действия до 01.09.2011),"г. Ангарск, квартал 207/210, дом 1, помещение 77, кафе «Харбин» ",,,,,
136,"ООО ""Рада""                ИНН 3801114414","665824, г. Ангарск, квартал 215, строение 21",А 176695 № 170 от  26.09.2011          1 год с 26.09.2011 до 26.09.2012,"г. Ангарск, квартал 215, строение 21, бар ""Сова""",,,,,
137,ООО «Райн»                  ИНН 3801059315 ," 665815, г. Ангарск, п. Байкальск, улица Московская, 8",А 176698 № 172 от 22.09.2011 1 год с 22.09.2011 до 22.09.2012   не более чем 16.5 % ,"г. Ангарск, микрорайон 10, дом 61, рынок «Сказка», кафе-бутербродная                                                       ",,,,,
138,ООО «Белые кораблики»           ИНН 3801083325," 666034, Ангарский район, р.п. Мегет, улица Садовая, 9",А 176699 № 173 от 22.09.2011 1 год с 22.09.2011 до 22.09.2012 ,"Ангарский район, р.п. Мегет, улица Садовая, 9, магазин «Сказка»",,,,,
139,ООО  «Байкальская торговля»            ИНН 3801081127," 665825, г. Ангарск, квартал 84, дом 8, помещение 158",А 176700 № 174 от 1 год с 26.09.2011 до 26.09.2012,"г. Ангарск, квартал 84, дом 8, магазин «Полярный-2» ",,,,,
140,"ООО ""ЕвроАзия""         ИНН 3801113354","665832, г. Ангарск, квартал 94, дом 33, квартира 29",А 176701 № 175 от  29.09.2011   1 год с 29.09.2011 до 29.09.2012,"1) г. Ангарск, квартал 81, дом 3, торговый комплекс ""Центр"", буфет 2) г. Ангарск, квартал 81, дом 3, торговый комплекс ""Центр"", кафе ""Евроазия""",,,,,
141,"ООО ""Магазин ""Виктория""                 ИНН 3801108058","665825, г. Ангарск, квартал 93, дом 100",А 176703 № 176 от  04.10.2011   1 год с 04.10.2011 до 04.10.2012,"г. Ангарск, квартал 85, дом 9, помещение 1, универсам «Норма-1» ",,,,,
142,"ООО ""Дольче Вита""                 ИНН 3801114703"," 665835, г. Ангарск, микрорайон 29, дом 19, помещение 221, офис 39",А 176704 № 177 от  04.10.2011   2 года с 04.10.2011 до 04.10.2013," г. Ангарск, микрорайон 29, дом 19, помещение 221, офис 39, бар ""Дольче Вита""",,,,,
143,ООО «Старт» ИНН 3812120956,"664004, г. Иркутск, улица Ракитная, 14",Зарегистрирована в Реестре на территории АМО № 178 от 05.10.2011 АН 00636Пр23 от 15.09.2011 38 МЕ 003790 с 30.04.2009 г. по 29.04.2014  ,"г. Ангарск, микрорайон 10, улица Декабристов, у дома № 33, отдел «Вино-водка» в павильоне «Улочка»",,,,,Администрацией г. Иркутска
144,ООО «КРАЙС ТЕРМИНАЛ» ИНН 3801081720," 665813, г. Ангарск, улица Чайковского, 2 «а»",А 176705 № 179 от 07.10.2011 срок действия продлен на 1 год с 20.10.2011 до 20.10.2012 (взамен: А 167432 № 92 от 20.10.2010 г. 1 год с 20.10.2010 г. до 20.10.2011),"г. Ангарск, микрорайон 15, дом 17, магазин «КУПЕЦ» ",,,,,
145,ООО «Торговый дом «Стройкомплекс» ИНН 3801070140," 665806, г. Ангарск, квартал 19, дом 6, помещение 2",А 176706 № 180 от 07.10.2011 (взамен: А 167320 № 60 от 26.08.2009 г. 5 лет с 20.10.2008 г. до 20.10.2013,"г. Ангарск, квартал 19, дом 6, помещение 2, магазин «Продукты», отдел «Вино-водка»   ",,,,,
146,ООО «Иволга»          ИНН 3801083090," 665829, г. Ангарск, микрорайон 10, дом 40, магазин ""Шафран""",А 176707 №181от 10.10.2011 срок действия продлен на 1 год с 22.09.2011 до 22.09.2012 (взамен: А 167248 № 52 от 23.10.2008 г. 5 лет с 22.09.2006 г. ,"г. Ангарск, микрорайон 10, дом 40, магазин «Шафран""   ",,,,,
147,"ООО ""Француз""                 ИНН 3801083597"," 665838, г. Ангарск, микрорайон 22, дом 12, помещение 63",А 176708 № 182 от  11.10.2011   1 год с 11.10.2011 до 11.10.2012," г. Ангарск, микрорайон 22, дом 12, помещение 63,  караоке-бар ""Моя история""",,,,,
148,ООО «Спектр» ИНН 3801082071," 665831, г. Ангарск, микрорайон 8-94",А 176709 № 183 от 14.10.2011срок действия продлен на 1 год с 06.10.2011 до 06.10.2012 (взамен: А 232930 № 155 от 06.10.2006  5 лет  с 06.10.2006 до 06.10.2011,"г. Ангарск, микрорайон 8, дом 94, магазин «Радость» ",,,,,
149,ООО «Управление торговли»                                       ИНН 3801100041," 665813, г. Ангарск, квартал 108, строение 1",А 176713 № 185 от 24.10.2011        1 год     с 24.10.2011                до 24.10.2012,"г. Ангарск, квартал 75, дом 1, помещение 32, магазин «У Миленькой» ",,,,,
150,ООО «Фаворит» ИНН 3801082709," 665816, г. Ангарск, квартал 177, дом 14",А 176711 № 186 от 24.10.2011  1 год с 24.10.2011                    до 24.10.2012,"г. Ангарск, квартал 182, дом 1, магазин «Угол дома»                                                                                                ",,,,,
151,"ООО ""Талер"" ИНН 3801102546","665830, г. Ангарск, квартал 75, дом 21",А 176714 № 188 от 10.11.2011 2 года с 10.11.2011 до 10.11.2013,"г. Ангарск, микрорайон 29, дом 15 ""а"", пивной бар ""HARAT'S PAB""",,,,,
152,"ООО ""Лига""                        ИНН 3801111237"," 665831, г. Ангарск, микрорайон 8, дом 4, помещение 158",А 176715 № 189 от 10.11.2011 (взамен: А 176571 № 35 от 30.03.2011; А 176626 № 103 от 21.06.2011) 2 года с 30.03.2011 до 30.03.2013,"1) г. Ангарск, микрорайон 8, дом 4, помещение 158, магазин «Восьмой» 2) г. Ангарск, микрорайон  32, дом 2, помещение 173, магазин «32» 3) г. Ангарск, квартал 93, дом 15, помещение 1, магазин «На Байкальской»    4) г. Ангарск, квартал 76, дом 21, отдел ""Вино-водка"" в магазине «Продукты» 5) г. Ангарск, квартал Б, дом 3, магазин ""Привольный"" 6) г. Ангарск, микрорайон 29, дом 27, помещение 1, магазин ""Арбуз"" ",,,,,
153,ООО «Домашний очаг» ИНН 3801109982," 665816, г. Ангарск, микрорайон 30, дом 1, помещение 84/85",25.11.2011 продлен срок действия лицензии на 1 год с 18.11.2011 до 18.11.2012 (взамен: А 167452 № 116 от 10.12.2010  с 18.11.2010 г. до 18.11.2011),"г. Ангарск, микрорайон 30, дом 1, помещение 84/85, кафе «Домашний очаг»",,,,,
154,ООО «Эконом–продукт»         ИНН 3801102899," 665831, г. Ангарск, микрорайон  6 «а», дом 39",25.11.2011 продлен срок действия лицензии на 1 год с 26.11.2011 до 26.11.2012 (взамен: А 167445 № 109 от 26.11.2010 с 26.11.2010 г. до 26.11.2011),"г. Ангарск, микрорайон 18, дом 26, универсам «Эконом»",,,,,
155,ООО «ОРХИДЕЯ» ИНН 3801104166," 665832, г. Ангарск, микрорайон 6, дом 2/2 «а», квартира 5",А 176718 № 192 от 07.12.2011 с 07.12.2011 до 07.12.2012,"г. Ангарск, микрорайон 12, дом 32, закусочная «Разгуляй»",,,,,
156,ООО «Баргузит»      ИНН 3808215228,"664007, г. Иркутск, ул. Урицкого, 16",А 176719 № 193 от 07.12.2011 до 07.12.2012,"1) г. Ангарск, ул. Фестивальная, 6, магазин ""Багира""     2) г. Ангарск, м-н 15, дом 31, магазин ""Багира""              3) г. Ангарск, м-н 22, дом 12, помещение 61, магазин ""Виноград""                                                                             4) г. Ангарск, ул. Ленина, торговый центр ОАО ""АУС"", торговый зал № 2, павильон № 63                           (запрет более 15 % с 22.00 до 08.00 п.п. 1, 2, 3)",,,,,Администрацией г. Иркутска
157,ООО «Супермаркет «Алекс-9» ИНН 3801068158," 665816, г. Ангарск, квартал 188, дом 4",А 176721 № 194 12.12.2011 продлен срок действия лицензии на 1 год с 25.11.2011 до 25.11.2012 (взамен  А 167444 № 107 от 25.11.2010;А 232742 № 109 от 25.11.2005 г. 5 лет с 25.11.2005 г.)," г. Ангарск, квартал 188, дом 4, супермаркет «Алекс-9» ",,,,,
158,"ООО «Созвездие""                ИНН 3801108019"," 665834, г. Ангарск, микрорайон  15, дом 38, помещение 70",А 167722 № 195 от 07.12.2011  1 год с 07.12.2011 г. до 07.12.2012," г. Ангарск, улица Карла Маркса, 75, магазин «Эконом-18 » ",,,,,
159,ООО «Фо Дзинь» ИНН 3801090763," 665806, г. Ангарск, микрорайон Северный, улица Трудовых резервов, 32",А 176724 № 197 от 13.12.2011  (взамен: А 167196 № 82 от 29.12.2007 г. 5 лет с 29.12.2007 г. до 29.12.2012,"1) г. Ангарск, микрорайон Северный, улица Трудовых резервов, 32, кафе «Фо Дзинь»; 2) г. Ангарск, квартал 2, дом 7, магазин «Талер» ",,,,,
160,ООО «Сомелье» ИНН 3801104938," 665825, г. Ангарск, квартал 94, дом 8, помещение 3",А 176726 № 198 от 14.12.2011 продлен срок действия лицензии на 1 год до 24.11.2012 (взамен: А 167443 № 108 от 24.11.2010  с 24.11.2010 г. до 24.11.2011,"г. Ангарск, квартал 94, дом 8, помещение 3, магазин «Сомелье»",,,,,
161,ООО «Ветер»              ИНН 3812122167,"664004, г. Иркутск, улица Ракитная, 14, офис 1",Зарегистрирована в Реестре на территории АМО № 199 от 12.12.2011 Г 888852 № 68 от 14.11.2011(взамен: № 162 от 05.09.2011  Г 888840   № 53 от 19.08.2011 с 13.10.2009 до 13.10.2014 ,"г. Ангарск, микрорайон Цементный, улица Баумана, дом 1, помещение 12, магазин «Горячий хлеб», отдел «Вино-водка» ",,,,,Администрацией Шелеховского муниципального района
162,ООО «Саша»                ИНН 3801085629," 665830, г. Ангарск, квартал 107, дом 1",А 176727 № 200 от 14.12.2011 продлен срок действия лицензии на 1 год до 08.12.2012 (взамен: А 167363 № 21 от 31.03.2010 г. 5 лет с 08.12.2006 г. до 08.12.2011),"г. Ангарск, микрорайон 29, дом 10, помещение 240/241, магазин «Еда+»  ",,,,,
163,ООО «ФАВОРИТ»                ИНН 3801109037," 665834, г. Ангарск, микрорайон 17 ""а"", дом 27, квартира 22",А 176728 № 201 от 27.12.2011  1 год до 27.12.2012,"г. Ангарск, микрорайон 9, дом 25, помещение 157, магазин «Калейдоскоп Вкусов»  ",,,,,
164,ООО «Премиум-Алко»      ИНН 3808220860,"664007, г. Иркутск, ул. Степана Разина, 9",А 051 от 21.12.2011                38 МЕ 003867  с 22.12.2011по 21.12.2013,"г. Ангарск, квартал 60, дом 5/6, помещение 20 магазин ",,,,,Администрацией г. Иркутска
165,ООО «Восточный»                ИНН 3801085428," 665814, г. Ангарск, микрорайон Юго-Восточный, квартал 8, дом 7",А 176732 № 204 от 30.12.2011  1 год  с 30.12.2011 до 30.12.2012,"Ангарск, микрорайон Юго-Восточный, квартал 8, дом 7, магазин ""Восточный""",,,,,
166,ООО «Виктория»                ИНН 3801085499," 665830, г. Ангарск,  квартал 72, дом 3",А 176731 № 205 от 30.12.2011  1 год  с 30.12.2011 до 30.12.2012,"г. Ангарск, квартал 72, дом 3, помещение 43, магазин «Виктория»  ",,,,,
167,ООО «Авто-Лига» ИНН 3801096772," 665835 г. Ангарск, микрорайон 29, дом 29, дом 7 ""а"", офис 1",А 176730 № 206 от 30.12.2011(взамен: А 167225 № 29 от 04.07.2008 г. 5 лет с 04.07.2008 г.) до 04.07.2013," 4 километр автодороги Байкал на участке Подъезд к г. Ангарску, строение 2/1,  кафе «Авто-Стоп» ",,,,,
168,ООО «Каюр»                           ИНН 3801057251," 665830, г. Ангарск, улица Рыночная, 5–46",А 167424 № 81 от 17.09.2010 г. с 17.09.2010 г. до 17.09.2012 г.," 1) г. Ангарск, квартал 102, дом 2, помещение 77, магазин «Белореченский»; 2) г. Ангарск, квартал 207/210, дом 16, магазин «Белореченский-3» 3) г. Ангарск, квартал 207/210, дом 1, магазин «Белореченский-4» 4) г. Ангарск, микрорайон 6 «а», дом 5, помещение 79, магазин «Белореченский-6» 5) г. Ангарск, микрорайон 7, дом 4, помещение 138, магазин «Белореченкский-7» 6) г. Ангарск, квартал 8, дом 14, магазин «Белореченский-8» 7) г. Ангарск, квартал 211, дом 7, магазин «Белореченский-11» ",,,,,
169,ООО «Пальма» ИНН 3801082642," 665832, г. Ангарск, микрорайон 7, дом 35, помещение 1",А 176735 № 5 от 24.01.2012  с 24.01.2012 г. до 24.01.2013,"г. Ангарск, микрорайон 7, дом 35, помещение 1, кафе «Бамбучо»",,,,,
170,ООО «Ника»                        ИНН 3801091421," 665835, г. Ангарск, микрорайон 35, дом 1",А 176736 № 6 от 03.02.2012 с 28.12.2007 до 28.12.2012 (взамен: А 167395 № 58 от 11.08.2010 г. с 28.12.2007 г. до 28.12.2012 г.),"1) г. Ангарск, микрорайон 35, дом 1, магазин-кафетерий 2) г. Ангарск, квартал 206, дом 5, магазин ""Пеликан""",,,,,
171,ООО «АРТ-Магазин»             ИНН 3801084022," 665822, г. Ангарск, микрорайон Китой, улица Партизанская, 48, 33",А 176737 № 7 от 06.02.2012   3 года с 06.02.2012 до 06.02.2015,"г. Ангарск, микрорайон Китой, улица Партизанская, 48, помещение 33, магазин «АРТ» ",,,,,
172,"ООО ""Стимул""                   ИНН 3801110667"," 665837, г. Ангарск, кв-л 212, дом 15, квартира 76","А 176738 № 8 от 07.02.2012 с 22.02.2011 до 22.02.2016 (взамен: А 176729 № 202 от 27.12.2011А 176559, № 20 от 22.02.2011)","г. Ангарск, микрорайон 22 около дома № 12 в 50 метрах от АТС, закусочная ""Остров свободы""                                      ",30.01.2012     30 дней;          12.04.2012 6 месяцев,2/13/2012,,,
173,ООО «Мрия» ИНН 3801019560," 665824, г. Ангарск, квартал 225-1-27",А 176739 № 9 от 10.02.2012 с 10.02.2012 до 10.02.2013,"г. Ангарск, квартал 211, дом 5, магазин «Меридиан», отдел «Вино-водка»",,,,,
174,ООО «НАДЕЖДА» ИНН 3801083491," 665830, г. Ангарск, квартал 73, дом 21, помещение 3",А 176740 № 10 от 07.02.2012 с 21.07.2011 до 21.07.2012 (взамен: А 176661 № 136 от 21.07.2011),"Ангарский район, 1850 км. автодороги Красноярск-Иркутск, закусочная «Таежная»",24.01.2012        6 месяцев,2/13/2012,7/21/2012,,
175,ООО «Торговый дом «Приангарье» ИНН 3801082770," 665813, г. Ангарск, улица Чайковского, 24", А 176741 № 11 от 13.02.2012 с 30.06.2011 до 30.06.2012 (взамен: А 176641 № 117 от 30.06.2011) ,"г. Ангарск, улица Чайковского, 24, универсальный магазин, отдел «Вино-водка»                                                        ",,,6/30/2012,,
176,ООО «Форум» ИНН 3801080660," 665824, г. Ангарск, улица Пойменная, 10",А 176742 № 12 от 14.02.2012 с 14.02.2012 до 14.02.2013 ,"1) г. Ангарск, квартал 189, дом 1, помещение 173, магазин «Продукты» 2) г. Ангарск, квартал 205, дом 8, магазин продовольственных товаров «Зебра» павильон № 22 ",,,,,
177,"ООО ""Натур-Продукт"" ИНН 3801098956","665800, г. Ангарск, первый промышленный массив промзона, 63 квартал, строение 6",А 176743 № 13 от 14.02.2012 1 год с 14.02.2012 до 14.02.2013,"г. Ангарск, первый промышленный массив промзона, 63 квартал, строение 6, буфет",,,,,
178,ООО «Заряд»                      ИНН 3812102153,"664004, г. Иркутск, улица Ракитная, 14",Зарегистрирована в Реестре на территрии АМО № 16 от 24.02.2012  АН 00494Пр27 от 21.12.2011 38 МЕ 003907 срок действия с 08.07.2008 по 07.07.2013,"1) г. Ангарск, микрорайон Китой, улица Трактовая, 75, отдел в магазине «Паром» 2) г. Ангарск, микрорайон Цементный, улица Клубная, 2, отдел в магазине «Надежда»",,,,,Администрацией г. Иркутска
179,ООО «РосБайк» ИНН 3801090040," 665816, г. Ангарск, улица Социалистическая, 12",А 176744 № 17 от 29.02.2012 с 04.03.2009  до 04.03.2014 (взамен: А 176673 № 144 от 27.07.2011; А 167466 № 7 от 25.01.2011) ,"1) г. Ангарск, улица Социалистическая, 12, кафе «Берлога» 2) г. Ангарск, улица Социалистическая, 12, кафе «СушиЛка» 3) г. Иркутск, ул. Партизанская, 36, кафе   4) г. Ангарск, квартал 59, дом 20 кафе ""СушиЛка""  5) г. Иркутск, ул. Советская, 33, бар ""СушиЛка""",,,,,
180,ООО «Бриг»      ИНН 3801083082," 665838, г. Ангарск, микрорайон 19, дом 3, 230",А 176746 № 19 от 07.03.2012 (взамен: А 176712 № 187 от 31.10.2011; А 176697 № 171 от 26.09.2011; А 232922 № 146 от 12.09.2006) с 12.09.2011 до 12.09.2012,"1) г. Ангарск, квартал 92/93, дом 17, магазин «Продукты» 2) г. Ангарск, квартал 88, дом 2, магазин «Продукты»  3) г. Ангарск, кварал 18, дом 23, магазин ""Изюм""",,,,,
181,ООО «Океан» ИНН 3801075250," 665819, г. Ангарск, квартал 84, дом 25, помещение 77",А 176748 № 20 от 07.03.2012 1 год с 07.03.2012 до 07.03.2013,"1) г. Ангарск, квартал 84, дом 25, помещение 77, кафе «Позная» 2) г. Ангарск, микрорайон 10, дом 33, помещение 156, кафе «Дежа-Вю» ",,,,,
182,"ООО ""Инна""              ИНН 3801117447","665835, г. Ангарск, микрорайон 29, дом 28, помещение 202",А 176749  № 21 от 23.03.2012 1 год с 23.03.2012 до 23.03.2013,"г. Ангарск, микрорайон 29, дом 28, помещение 202, магазин ""Домашний очаг""",,,,,
183,ООО «Алко Трейд» ИНН 3810314988,"г. Иркутск, улица Генерала Доватора, 21 «а»",Зарегистрирована в Реестре на территории АМО № 22 от 19.03.2012  А 195025  №  7 от 07.03.2012  срок действия  до 28.06.2013,"Ангарский район, р.п. Мегет, улица Юбилейная, 22, магазин",,,,,Муниципальное образование «Боханский район»
184,ООО «Парадиз» ИНН 3812095869,"664004, г. Иркутск, улица Ракитная, 4",Зарегистрирована в Реестре на территории АМО № 24 от 22.03.2012 АН00588Пр5 от 28.02.2012  38МЕ 003935 с 26.12.2008 г. по 25.12.2013 ,"г. Ангарск, квартал 125, строение 1/13, ТЦ «Ангарский», зал 2, павильон № 4",,,,,Администрацией г. Иркутска
185,"ООО ""Радуга"" ИНН 3801116193","665800, г. Ангарск, квартал 215, стр. 17, помещение 2",А 176755 № 25 от 04.04.2012 1 год с 04.04.2012 до 04.04.2013,"г. Ангарск, микрорайон 12 ""а"", дом 2, помещение 491, кафе ""Трактир""",,,,,
186,Потребительское общество Мегетское ПОСПО                       ИНН 3801007780," 665854, Ангарский район, р.п. Мегет, пер. Школьный, 3 «а»",А 176751 № 26 от 04.04.2012  1 год до 04.04.2013 ,"1) р.п. Мегет, ул. Майская, 1, магазин № 19 «Центральный» 2) р.п. Мегет, улица Калинина, 74 ""а"", магазин № 7 «Продукты» 3) р.п. Мегет, улица Нагорная, 2, магазин № 6 «Продукты» 4) Иркутский район, с. Максимовщина, улица Комсомольская, 2 ""а"", магазин № 2 ""Продукты"" 6) Иркутский район, д. Малая Еланка, улица Пролетарская, 18 ""а"", магазин № 8 ""Продукты""",,,,,
187,ООО «Гранд Байкал»               ИНН 3808079832,"664050, г. Иркутск, улица Байкальская, 279",А 176752 № 27 от 06.04.2012 2 года с 06.04.2012 до 06.04.2014,"Ангарский район, 2 км. автодороги г. Ангарск-с. Савватеевка, база отдыха «Звездный», дом 3/7, бар",,,,,
188,"ООО ""Робин Гуд"" ИНН 3801084456 ","665808, г. Ангарск, квартал 84, дом 23",А 176754 № 29 от 13.04.2012 1 год с 13.04.2012 до 13.04.2013,"г. Ангарск, квартал 211, дом 5, бар ""Холстен""",,,,,
189,ООО «Камелия»         ИНН 3801080500," 665813, г. Ангарск, квартал 125, строение 1/13, офис 6",А 176808 № 87 от 12.07.2012 5 лет с 10.04.2012 до 10.04.2017 (взамен: А 176753 № 28 от 10.04.2012; А 176756 № 30 от 20.04.2012; А 176779 № 56 от 09.06.2012),"1) г. Ангарск, микрорайон 19, дом 4, магазин ""Продукты"", отдел ""Вино-водка"" 2) г. Усолье-Сибирское, проспект Красных Партизан, дом 45, Торговый комплекс ""Хамелеон"", отдел ""Вино-водка"" № 41 3) г. Усолье-Сибирское, проспект  Красных Партизан, дом 16, Торговый центр ""Снежинка"", отдел ""Вино-Водка"" № 2",,,,,
190,ООО «АлкоСтиль» ИНН 3801104078," 665813, г. Ангарск, квартал 125, строение 1/13, офис 3",А 176757 № 31 от 20.04.2012 (взамен: А 167420 № 78 от 08.09.2010) с 02.10.2009 до 02.10.2014 ,"1) г. Саянск, микрорайон «Центральный», 14/1, Торговый комплекс «Центральный», отдел «Вино-водка», 2) г. Иркутск, улица Украинская, 10, магазин «Продукты» 3) г. Иркутск, улица Трактовая, 35 «Б», отдел в магазине  4) г. Ангарск, квартал 92, дом 30, торговый дом ""Север"", отдел ""Вино-водка""", ,,,,
191,"ООО ""МАКС""            ИНН 3801108361"," 665830, г. Ангарск, квартал 55, дом 33, квартира 14",А 176758 № 32 от 24.04.2012      1 год с 24.04.2012 до 24.04.2013,"г. Ангарск, микрорайон 17, дом 3, помещение 247, магазин ""Продукты""",,,,,
192,"ООО ""РОСПАК-БАЙКАЛ""","664001, г. Иркутск, ул. Рабочего Штаба, 27",Зарегистрирована в Реестре на территрии АМО № 33 от 23.04.2012 38МЕ003062 № 24 от 13.04.2012 срок действия до 12.04.2013 ,"г. Ангарск, квартал 215, строение 15, помещение 2, вино-водочный отдел ",,,,,Муниципальное образование Нукутский район
