"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ангарскому МО",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
50,ОАО «Ангарская нефтехимическая компания» УСКС       ИНН 3801009466," 665830, г. Ангарск, квартал 78, дом 5/6","А 176555 № 18 от 16.02.2011 г., с 08.04.2009 г. до 08.04.2014                            ","1) улица Мира, 81 «а», ресторан «ГИС» 2) 18 км. Савватеевского тракта, бар о/к «Юбилейный»                                                             3) Ангарский район, район развилки автодорог Ангарск-Савватеевка-Тальяны, буфет базы отдыха «Здоровье»                                                                     4) Слюдянский район, поселок Утулик, столовая на базе отдыха «Утулик» 5) Иркутский район, 48 км. Байкальского тракта, столовая базы отдыха ""Ангара""",,,,,
51,ООО «ПАРИТЕТ-А»                       ИНН 3801092954," 665838, г. Ангарск, микрорайон 19, дом 12, помещение 179","А 176557, № 21 от 28.02.2011 г., с 27.02.2008 г. до 27.02.2013 г.","г. Ангарск, микрорайон 19, дом 12, помещение 180, ресторан «Пивбар Невский» ",,,,,
52,ООО «Чез-мен паб»                  ИНН 3801103606," 665825, г. Ангарск, квартал 92/93, дом 19, помещение 83",А 176569 № 33 от 30.03.2011 г. с 12.10.2009 г. до 12.10.2014 г.,"г. Ангарск, микрорайон 6 «а», дом 28, помещение 115, кафе «Чез-мен паб» ",,,,,
53,ООО «Восточный Альянс»                       ИНН 3849008559,"ИФНС России по г. Иркутску 664007, г. Иркутск, улица Ямская, 51, офис 1",А 176570 № 34 от 30.03.2011 г. с 18.11.2010 до 18.11.2012 ,"1) г. Ангарск, квартал 72, дом 20, магазин «Гипермаркет ОК» 2) г. Ангарск, квартал 215, дом 12, магазин «Гипермакет ОК» 3) г. Ангарск, улица Ворошилова, 12, магазин «Гипермакет ОК» 4) г. Ангарск, улица Коминтерна, 7, ТЦ ""Березка"", магазин ""Гипермаркет ОК"" (запрет более 15 % п. 1)",,,,,
54,ООО «Шоколадный рай» ИНН 3801097663," 665838, г. Ангарск, микрорайон 19, дом 10, кв. 47",А 176573  № 37 от 30.03.2011  с 27.08.2009 г. до 27.08.2013 г.,"1) г. Ангарск, квартал 81, дом 3, торговый комплекс ""Центр"", буфет 2) г. Ангарск, квартал 81, дом 3, торговый комплекс ""Центр"", кафе ""Евроазия""",,,,,
55,ООО «Виктан-Алко» ИНН 3808168514,"664025, г. Иркутск, улица Степана Разина, 27",Зарегистрирована в реестре № 43 от 11.04.2011  АН 00417Пр10 от 25.02.2011 г. 38 МЕ 003650 срок действия с 17.12.2007 по 16.12.2012 ,"1) г. Ангарск, микрорайон Новый-4, дом 8, магазин «Продпромтовары», отдел «Вино-водка» 2) г. Ангарск, квартал 205, дом 8, отдел в ТД «Зебра» 3) Ангарский район, пгт Мегет, улица Калинина, 75 «Б» отдел «Вино-водка» в магазине «Сибирь» 4) г. Ангарск, квартал 125, территория ОАО «Сатурн», павильон  5) г. Ангарск, микрорайон 9, дом 25, помещение 157, отдел «Вино-водка» в магазине 6) г. Ангарск, улица К. Маркса, 34, отдел «Вино-водка» в супермаркете «Пальмира» 7) г. Ангарск, квартал 94, дом 8, помещение 5, отдел в магазине ""Селенга""  ",,,,,Администрацией г. Иркутска
56,ООО «ЗОЛОТАЯ ПОДКОВА»               ИНН 3801054677," 665826, г. Ангарск, микрорайон 13, дом 26",15.04.2011 продлен срок действия лицензии А 176578 № 42 от 12.04.2011 на 2 года до 17.04.2013,"1) г. Ангарск, микрорайон 13, дом 26, закусочная «Золотая подкова» 2) г. Ангарск, микрорайон 13, дом 26, бар «Золотая подкова» 3) г. Ангарск, квартал 205, дом 27 «а», бар в бильярдном клубе «Золотой шар»  ",,,,,
57,"ООО ""Пульсар""                 ИНН 3801112537","    665821, г. Ангарск, кв-л 102, дом 2, помещение 78",А 176583 № 51 от 25.04.2011 на 2 года с 25.04.2011 до 25.04.2013,"1) квартал 102, дом 2, помещение 78, магазин  «Венера» 2) улица Московская, 23, магазин «Продукты»3) квартал 23, дом 14, магазин «Солнечный»  4) квартал 212, дом 7, магазин «Новый вкус»  ",,,,,
58,ООО «РитейлПродукт» ИНН 3801103067," 665841, г. Ангарск, микрорайон 17, дом 24",А 176588 № 56 от 29.04.2011 с 29.06.2009 до 29.06.2014,"Микрорайон 17 «а», дом 24 «а», универсам «Эконом-13»",,,,,
59,ООО «Азбука вкуса»                            ИНН 3801080250," 665840, г. Ангарск, квартал 93, дом 30",16.05.2011 продлен срок действия лицензии А 176562  № 26 от 11.03.2011 г. на 2 года с 16.05.2011 до 16.05.2013 ,"1) г. Ангарск,  квартал 93, дом 30, магазин  «Фортуна» 2) г. Ангарск, квартал 95, дом 25, магазин «Джин» 3) г. Ангарск, квартал 84, дом 23, помещение 116, кафе 4) г. Ангарск, микрорайон 12 «а», дом 8, помещение 54 «Б», кафе «Шангрила» 5) г. Ангарск, микрорайон 33, дом 1, помещение 159 «а», кафе «Инь-Янь» 6) г. Ангарск, микрорайон 22, дом 12, помещение 62, кафе ""Чин-чин""                    ",,,,,
