"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Эхирит-Булагатский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
40,"Общество с ограниченной ответственностью ""Исполин"",  8506010431",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176023 от 01.12.2010г продлена до 05.07.2012 г.,"магазин ""Исполин""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Каландарашвили № 12",,,7/5/2012,,,
41,"Общество с ограниченной ответственностью ""Солнышко"", ИНН 8506009764",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176266 от 06.07.2011г. До 05.07.2012г.,"магазин ""Солнышко""-Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. Балтахинова, № 27",,,7/5/2012,,,
42,"Общество с ограниченной ответственностью ""Багульник"", ИНН 8506010311",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176267 от 07.07.2011г. До 06.07.2012г.,"магазин ""Багульник""- , п. Усть-Ордынский, ул. Бардаханова, № 26",,,7/6/2012,,,
43,"Общество с ограниченной ответственностью ""Маркова"",  8506010270",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176270 от 11.07.2011г. До 10.07.2012 г.,"магазин ООО ""Маркова"" - Эхирит-Булагатский район, с. Алужино",,,7/10/2012,,,
44,"Общество с ограниченной ответственностью ""Кедр"", ИНН 8506010294",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176272 от 11.07.2011г. До 10.07.2012г.,"Иркутская область, Эхирит-Булагатский район: отдел в магазине ""Кедр-2""- п. Усть-Ордынский, ул. Буденного, № 8;отдел в магазине ""Кедр-3""-п. Усть-Ордынский, ул. Хангалова, № 22;отдел в магазине ""Марс -2""- п. Усть-Ордынский, ул. Кирова, № 56; магазин ""Марс-4""- п. Усть-Ордынский, микрорайон, № 4 ""а""",,,7/10/2012,,,
45,"Общество с ограниченной ответственностью ""Березка"",  8506010304",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176273 от 15.07.2011 г. До 14.07.2012 г.,"отдел магазина ""Березка"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Мира, № 54",,,7/14/2012,,,
46,"Общество с ограниченной ответственностью ""Восток"",  8506006587",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176274 от 25.07.2011 г. До 24.07.2012 г.,"магазин ""Восток"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, № 50 ""б""; кафе ""Восток""- п. Усть-Ордынский, ул. Ленина, № 50 ""б""",,,,,,
47,"Общество с ограниченной ответственностью ""Венера"",  8506010167",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176275 от 27.07.2011 г. До 26.07.2012 г.,"магазин  - Эхирит-Булагатский район, с. Олой",,,7/26/2012,,,
48,"Общество с ограниченной ответственностью ""У Петьки"",  8506010985",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176255 от 11.04.2011г. до 31.07.2012г. вместо лицензии 38 МЕ 000832,"магазин ""У Петьки""- Иркутская область, Эхирит-Булагатский район, с. Байтог, ул. Молодежная, № 3-2а.",,,7/31/2012,,,
49,"Общество с ограниченной ответственностью ""Митам"",  8506010150",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176276 от 08.08.2011г. До 07.08.2012г.,"отдел магазина ""Митам""- Иркутская область, Эхирит-Булагатский район, с. Харат, ул.Школьная, № 45 а; отдел в кафе ""Ладога""- с. Харат, ул. Школьная, б/н",,,,,,
