№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
,"(ООО ""Новое дело"")",,,,магазин,,"21.07.2011 г., ",,,,,
501,"Общество с ограниченной ответственностью ""Новый проект""",1.0576E+12,7627028600,"150502 Российская Федерация, Ярославская область, Ярославский район, Туношна-городок 26 п, д.1","1. Ярославская область, Ярославский район, Туношна-городок 26, д. 1",с 04.06.2012 г. по 04.06.2013 г.,"76202712/Л0245,",,,,,
,"(ООО ""Новый проект"")",,,,ресторан,,"04.06.2012 г., ",,,,,
502,"Потребительское общество ""Новый Север""",1.0276E+12,7627000813,"Россия, Ярославская область, п/о Красные Ткачи, с.Карабиха ","1. Ярославская область, Ярославский район, с.Карабиха, №1-",с 15.12.2004 г. по 15.12.2014 г.,"76182704/Л0014,",,Предыдущее переоформление 24.04.2012 г.,,,
,"(ПО ""Новый Север"")",,,,магазин,,"08.12.2004 г., ",,(5)- код 11,,,
,,,,,"2. Ярославская область Ярославский район, д.Ананьино, №4-",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Ярославский район, п.Речной, №5-",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Ярославский район, п.Щедрино, №6-",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Ярославский район, п. Козьмодемьянск, №7-",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, Ярославский район, п.Дубки, №8-",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область, Ярославский район, д. Селифонтово, №10-",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"8. Ярославская область, Ярославский район, п.Дубки",,,,,,,
,,,,,торговый павильон,,,,,,,
,,,,,"9. Ярославская область, Ярославский район, п.Козьмодемьянск",,,,,,,
,,,,,торговый павильон,,,,,,,
,,,,,"10. Ярославская область, Ярославский район, д. Климовское",,,,,,,
,,,,,торговый павильон,,,,,,,
503,"Потребительское общество ""Новый Север""",1.0276E+12,7627000813,"Ярославская область, Ярославский район, д.Карабиха, ул.Школьная, д.7","1. г. Ярославль, ул. Новоселковская, д.9",с 07.02.2008 г. по 07.02.2013 г.,"76202708/Л0024,",,,,,
,"(ПО ""Новый Север"")",,,,магазин,,"07.02.2008 г., ",,,,,
504,"Общество с ограниченной ответственностью ""НОРМА""",1.0576E+12,7603031770,"150029, Россия, г.Ярославль, Ул.Закгейма,д.12,кв.10","1. г. Ярославль, ул.Свободы, у дома 63",с 30.12.2008 г. по 30.12.2013 г.,"76202708/Л0439,",,,,,
,"(ООО ""Норма"")",,,,магазин,,"29.12.2008 г., ",,,,,
,,,,,"2. г. Ярославль, проспект Машиностроителей, напротив д.34",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г. Ярославль, проспект Машиностроителей, у дома 11",,,,,,,
,,,,,павильон,,,,,,,
,,,,,"4. г.Ярославль. ул.Титова, д.14",,,,,,,
,,,,,магазин,,,,,,,
505,"Общество с ограниченной ответственностью ""Национальная Пивная Ресторация ""ПИВОВАРЪ""",1.1176E+12,7604209167,"Российская Федерация, город Ярославль, Революционный проезд, дом 14. ","1. г.Ярославль, Революционный проезд, д.14",с 05.10.2011 г. по 05.10.2016 г.,"76202711/Л0591,",,Предыдущее переоформление 05.06.2012 г.,,,
,"(ООО ""НПР ""ПИВОВАРЪ"")",,,,ресторан,,"05.10.2011 г., ",,(4) код 2,,,
,,,,,"2. г.Ярославль, ул.Нахимсона, д.23/55",,,,,,,
,,,,,ресторан,,,,,,,
506,"Общество с ограниченной ответственностью ""ОАЗИС""",1.0576E+12,7608011785,"Российская Федерация, Ярославская область, г. Переславль-Залесский, ул. Московская, д.158","1. Ярославская область, г. Переславль-Залесский, ул. Московская,д.158",с 31.12.2008 г. по 31.12.2013 г.,"76202708/Л0466,",,Предыдущее переоформление 19.03.2012 г.,,,
,"(ООО ""Оазис"")",,,,бар,,"29.12.2008 г., ",,(4) - код 2,,,
,,,,,"2. Ярославская область, Переславский район, с. Глебовское, ул. Московская, д. 100",,,,,,,
,,,,,бар,,,,,,,
507,"Общество с ограниченной ответственностью ""ОАЗИС""",1.0776E+12,7602062938,"гор.Ярославль, Ленинградский пр-т, д. 68, корп. 2, кв. 143","1. г. Ярославль, ул. Большая Октябрьская, д. 39/2",с 23.11.2007 г. по 23.11.2012 г.,"76202707/Л0125,",,Предыдущее переоформление 30.09.2010 г.,,,
,"(ООО ""ОАЗИС"")",,,,закусочная,,"23.11.2007 г., ",,-2,,,
508,"Муниципальное предприятие ""Общепит"" Гаврилов-Ямского муниципального района",1.0276E+12,7616000138,"Ярославская обл., г.Гаврилов-Ям, ул. Чапаева, д.21","1. г.Гаврилов-Ям, ул. Чапаева, д.21",с 08.04.2003 г. по 08.04.2028 г.,"76042703/Л0007,",,,,,
,"(Гаврилов-Ямское МП ""Общепит"")",,,,не определено,,"08.04.2003 г., ",,,,,
,,,,,"2. г.Гаврилов-Ям, ул.Седова, д.31",,,,,,,
,,,,,не определено,,,,,,,
509,"Общество с ограниченной ответственностью ""ОДЛАР ЮРДУ""",1.07761E+12,7610076363,"Ярославская область, г.Рыбинск, Ярославский тракт, д.52","1. Ярославская область, г.Рыбинск, Ярославский тракт, д.52",с 25.12.2007 г. по 25.12.2012 г.,"76202707/Л0179,",,,,,
,"(ООО ""ОДЛАР ЮРДУ"")",,,,магазин,,"25.12.2007 г., ",,,,,
510,"Муниципальное унитарное предприятие ""Оздоровительный центр ""Мечта"" Гаврилов-Ямского муниципального района",1.0376E+12,7616006700,"РФ, Ярославская обл., г.Гаврилов-Ям, ул.Шишкина, д.2","1. Ярославская обл., г.Гаврилов-Ям, ул.Шишкина, д.2",с 10.06.2005 г. по 10.06.2025 г.,"76042705/Л0013,",,,,,
,"(Гаврилов-Ямское МУП ""Оздоровительный центр ""Мечта"")",,,,буфет,,"10.06.2005 г., ",,,,,
511,"Общество с ограниченной ответственностью ""Озерный край""",1.06775E+12,7707593277,"Российская Федерация, Ярославская область, Рыбинский район, Погорельский сельский округ, в районе д. Ясенево, дом 103.","1. Рыбинское водохранилище (река Волга), на расстоянии 2765 км от устья реки, правый берег, на входе в Петраковский ручей, 380 км с.х.",с 27.09.2010 г. по 27.09.2015 г.,"76202710/Л0270,",,Предыдущее переоформление 25.06.2012 г.,,,
,"(ООО ""Озерный край"")",,,,ресторан,,"27.09.2010 г., ",,(4) - код 4,,,
,,,,,"2. Ярославская область, Рыбинский район, в районе д. Ясенево, д. 103",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"3. Ярославская область, Рыбинский район, в районе д. Ясенево, д. 103- лобби-",,,,,,,
,,,,,бар,,,,,,,
,,,,,"4. Ярославская область, Рыбинский район, в районе деревни Ясенево, д. 103, ""Калита""-",,,,,,,
,,,,,кафе,,,,,,,
512,"Общество с ограниченной ответственностью ""ОКЕАН ПЛЮС""",1.0876E+12,7603039459,"Россия, 150051,г.Ярославль, ул. Сахарова, д.19.","1. г.Ярославль, ул. Сахарова, д.19",с 01.08.2008 г. по 01.08.2013 г.,"76202708/Л0208,",,,,,
,"(ООО ""Океан плюс"")",,,,магазин,,"01.08.2008 г., ",,,,,
513,"Общество с ограниченной ответственностью ""Окси""",1.0476E+12,7627027572,"Ярославская обл.. Ярославский р-н, Туношна, в/ч 26, д.17, кв.15","1. Гаврилов-Ямский р-н. с. Шопша, ул.Центральная, д.31",с 21.03.2005 г. по 21.03.2025 г.,"76042705/Л0009,",,,,,
,"(ООО ""Окси"")",,,,не определено,,"21.03.2005 г., ",,,,,
514,"Общество с ограниченной ответственностью ""Октябрьский""",1.0276E+12,7610044682,"Россия, 152961, Ярославская область, Рыбинский район, пос. Октябрьский, 73-1","1. Ярославская область, Рыбинский район, п. Октябрьский",с 30.12.2008 г. по 30.12.2013 г.,"76202708/Л0464,",,Предыдущее переоформление 22.10.2010 г.,,,
,"(ООО ""Октябрьский"")",,,,магазин,,"26.12.2008 г., ",,(4) - код 4,,,
,,,,,"2. Ярославская область, Рыбинский район, д. Дюдьково",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Рыбинский район,п.Ермаково",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Рыбинский район, пос. Октябрьский, д. 20",,,,,,,
,,,,,магазин,,,,,,,
515,"Общество с ограниченной ответственностью ""ОКТЯБРЬСКИЙ-ЭРТГРО""",1.0276E+12,7610052429,"152961,Россия, Ярославская область, Рыбинский р-н, пос. Октябрьский, д.73, кв.1","1. Ярославская область, Рыбинский район, д. Букриново",с 10.12.2008 г. по 10.12.2013 г.,"76202708/Л0393,",,,,,
,"(ООО ""Октябрьский-ЭРТГРО"")",,,,закусочная,,"10.12.2008 г., ",,,,,
516,"Общество с ограниченной ответственностью ""Олис""",1.06761E+12,7606058234,"г.Ярославль, ул.Жукова, д.28","1. г.Ярославль, ул.Жукова, д.28",с 20.07.2012 г. по 20.07.2013 г.,"76202712/Л0358,",,,,,
,"(ООО ""Олис"")",,,,магазин,,"20.07.2012 г., ",,,,,
517,"Общество с ограниченной ответственностью ""ОМАР""",1.0676E+12,7604089290,"г.Ярославль, ул. Павлова, д.3 ,кв.45","1. г.Ярославль, ул. Панина, д. 44",с 25.04.2012 г. по 25.04.2013 г.,"76202712/Л0192,",,Предыдущее переоформление 11.09.2012 г.,,,
,"(ООО ""ОМАР"")",,,,магазин (отдел),,"25.04.2012 г., ",,(4) код 6,,,
,,,,,"2. г.Ярославль, просп.Машиностроителей, д.11, корп.2",,,,,,,
,,,,,магазин (отдел),,,,,,,
518,"Общество с ограниченной ответственностью ""Онис""",1.11761E+12,7616009331,"Российская Федерация, Ярославская область, г.Гаврилов-Ям, ул. Декабристов, д. 18а. ","1. Ярославская область, г.Гаврилов-Ям, ул. Декабристов, д. 18а",с 08.07.2011 г. по 08.07.2013 г.,"76202711/Л0361,",,,,,
,"(ООО ""Онис"")",,,,магазин (отдел),,"08.07.2011 г., ",,,,,
519,Общество с ограниченной ответственностью Русский дар,1.1276E+12,7604226363,"Ярославская область, город Ярославль, проспект Толбухина, 19/74, квартира 27, к. 2,3","1. г.Ярославль, просп. Октября, д. 29",с 25.07.2012 г. по 25.07.2015 г.,"76202712/Л0363,",,,,,
,(ООО Русский дар),,,,магазин,,"25.07.2012 г., ",,,,,
520,"Общество с ограниченной ответственностью ""Орбита""",1.1176E+12,7604205966,"Ярославская область, г.Ярославль, ул.Республиканская, д.7а ","1. г.Ярославль, ул.Республиканская, д.7а",с 03.04.2012 г. по 03.04.2013 г.,"76202712/Л0146,",,,,,
,"(ООО ""Орбита"")",,,,кофейня,,"03.04.2012 г., ",,,,,
521,"Общество с ограниченной ответственностью ""Орион""",1.0276E+12,7622011949,"Россия, 152155, Ярославская область, г.Переславль-Залесский, ул.Магистральная, д.28","1. Ярославская область, Переславский р-н, в районе с.Ям",с 25.01.2008 г. по 25.01.2013 г.,"76202708/Л0013,",,,,,
,"(ООО ""Орион"")",,,,кафе,,"25.01.2008 г., ",,,,,
522,"Общество с ограниченной ответственностью ""ОРС Ярдорстрой""",1.0276E+12,7605005494,"Россия, г.Ярославль, ул.Речная, д.16","1. г. Ярославль, ул.Клубная, д.9",с 01.04.2011 г. по 01.04.2014 г.,"76202711/Л0110,",,,,,
,"(ООО ""ОРС Ярдорстрой"")",,,,магазин,,"01.04.2011 г., ",,,,,
523,"Общество с ограниченной ответственностью ""Орск""",1.0276E+12,7608007563,"Ярославская область, город Переславль-Залесский, улица Ростовская, д.23, кв.6","1. Ярославская область, г.Переславль-Залесский, ул. Кооперативная, д.70",с 21.07.2011 г. по 21.07.2016 г.,"76202711/Л0439,",,Предыдущее переоформление 08.02.2012 г.,,,
,"(ООО ""Орск"")",,,,магазин (отдел),,"21.07.2011 г., ",,(5) код 4,,,
,,,,,"2. Ярославская область, г.Переславль-Залесский, ул. Ростовская, д. 27",,,,,,,
,,,,,бар,,,,,,,
,,,,,"3. Ярославская область, г.Переславль-Залесский, ул. Ростовская, д. 27",,,,,,,
,,,,,магазин (отдел),,,,,,,
524,"Общество с ограниченной ответственностью ""Орхей""",1.06761E+12,7616007574,"Российская Федерация, Ярославская область, г.Гаврилов-Ям, ул. Седова, д.2","1. Ярославская область, г.Гаврилов-Ям, ул.Седова, д.2",с 10.07.2011 г. по 10.07.2016 г.,"76202711/0366,",,Предыдущее переоформление 07.11.2011 г.,,,
,"(ООО ""Орхей"")",,,,магазин,,"08.07.2011 г., ",,(4) - код 3,,,
,,,,,"2. Ярославская область, г.Гаврилов-Ям, ул. Менжинского, д. 61",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, г.Гаврилов-Ям, проезд Машиностроителей, д.4",,,,,,,
,,,,,магазин,,,,,,,
525,"Общество с ограниченной ответственностью ""Остров""",1.06761E+12,7610068482,"Российская Федерация, Ярославская область, г.Рыбинск, ул. Толбухина, д.14","1. Ярославская область, г. Рыбинск, ул. Толбухина, д.14/ул. Качалова, д. 10",с 08.07.2011 г. по 08.07.2016 г.,"76202711/Л0367,",,Предыдущее переоформление 03.07.2012 г.,,,
,"(ООО ""Остров"")",,,,магазин,,"08.07.2011 г., ",,(4)-код 5,,,
,,,,,"2. Ярославская область, г. Рыбинск, ул. Толбухина, д.14/ул. Качалова, д. 10",,,,,,,
,,,,,закусочная,,,,,,,
,,,,,"3. Ярославская область, г. Рыбинск, ул. Набережная Космонавтов, возле д.31",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"4. Ярославская область, г.Рыбинск, ул.Черняховского, д.17",,,,,,,
,,,,,закусочная,,,,,,,
,,,,,"5. Ярославская область, г.Рыбинск, ул.Рокоссовского, д.2а",,,,,,,
,,,,,закусочная,,,,,,,
526,"Общество с ограниченной ответственностью ""ОЧАГ""",1.0376E+12,7604061947,"Россия, г.Ярославль, ул.Республиканская, д.7","1. г. Ярославль, ул.Республиканская, д.7",с 30.12.2011 г. по 30.12.2016 г.,"76202711/Л0758,",,,,,
,"(ООО ""ОЧАГ"")",,,,кафе,,"22.12.2011 г., ",,,,,
527,"Общество с ограниченной ответственностью ""ПАБ""",1.0276E+12,7604044525,"г.Ярославль, ул. Свободы, д.46","1. г.Ярославль, ул.Свободы, д.46",с 13.06.2012 г. по 13.06.2015 г.,"76202712/Л0254,",,,,,
,"(ООО ""ПАБ"")",,,,кафе,,"08.06.2012 г., ",,,,,
528,"Общество с ограниченной ответственностью ""Палермо""",1.0676E+12,7604085779,"Российская Федерация, г.Ярославль, ул.Свободы, д.34 б","1. г.Ярославль, ул. Свободы, д.34 б",с 01.07.2011 г. по 01.07.2013 г.,"76202711/Л0297,",,,,,
,"(ООО ""Палермо"")",,,,кафе,,"30.06.2011 г., ",,,,,
529,"Общество с ограниченной ответственностью ""Папарацци""",1.0776E+12,7602063265,"Россия, г. Ярославль, ул. В.К.Блюхера, д.29/18, кв.68","1. г.Ярославль, ул.Ушинского,д.38/2",с 12.12.2007 г. по 12.12.2012 г.,"76202707/Л0158,",,,,,
,"(ООО ""Папарацци"")",,,,бар,,"12.12.2007 г., ",,,,,
530,"Общество с ограниченной ответственностью ""Парис""",1.06761E+12,7609019272,"Ярославская область, Ростовский район, с.Шурскол, квартал В, д. 6а.","1. Ярославская область, Ростовский район, с.Шурскол, квартал В, д.6а",с 02.08.2012 г. по 02.08.2013 г.,"76202712/Л0377,",,,,,
,"(ООО ""Парис"")",,,,магазин,,"02.08.2012 г., ",,,,,
,,,,,"2. Ярославская область, Ростовский район, с.Шурскол, квартал В, д.6а",,,,,,,
,,,,,кафе,,,,,,,
531,"Общество с ограниченной ответственностью ""Паритек""",1.07761E+12,7606063019,"Россия, г. Ярославль, пр. Ленина, д.7","1. г. Ярославль, пр. Ленина, д.7",с 03.10.2007 г. по 03.10.2012 г.,"76202707/Л0073,",,,,,
,"(ООО ""Паритек"")",,,,кафе,,"03.10.2007 г., ",,,,,
532,"Общество с ограниченной ответственностью ""Паритет""",1.0476E+12,7604067057,"г.Ярославль, Волжская набережная, д.47/2, кв.5а","1. г.Ярославль, ул.Павлова, у д.41",с 21.12.2007 г. по 21.12.2012 г.,"76202707/Л0151,",,,,,
,"(ООО ""Паритет"")",,,,магазин,,"10.12.2007 г., ",,,,,
533,ПЕРВОМАЙСКОЕ РАЙОННОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО,1.0276E+12,7623003517,"Ярославская область, Первомайский район, п. Пречистое, ул. Кооперативная, дом 1.","1. Ярославская область, Первомайский район, п. Пречистое, ул. Ярославская, д. 42",с 28.12.2008 г. по 28.12.2013 г.,"76202708/Л0433,",,Предыдущее переоформление 20.04.2011 г.,,,
,(ПЕРВОМАЙСКОЕ РАЙПО),,,,магазин,,"26.12.2008 г., ",,"(4) код 26, (5) код 20",,,
,,,,,"2. Ярославская область, Первомайский район, п. Пречистое, ул. Кооперативная, д. 1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Первомайский район, п. Пречистое, ул. Железнодорожная, д. 1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Первомайский район, д. Шильпухово, д. 93",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Первомайский район, п. Пречистое, ул. Ярославская, д. 79",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, Первомайский район, д. Левинское, д. 32а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область, Первомайский район, п. Пречистое, ул. Кооперативная, д. 3б",,,,,,,
,,,,,магазин,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"8. Ярославская обл., Первомайский район, п. Пречистое, ул. Кооперативная, д. 2",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"9. Ярославская обл., Первомайский район, с. Коза, ул. Центральная, д. 22",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"10. Ярославская обл., Первомайский район, п. Пречистое, ул. Ярославская, д. 79",,,,,,,
,,,,,столовая,,,,,,,
,,,,,"11. Ярославская обл., Первомайский район, с. Кукобой, ул. Советская, д. 26",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"12. Ярославская обл., Первомайский район, с. Кукобой, ул. Советская, д. 24",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"13. Ярославская обл., Первомайский район, с. Кукобой, ул. Советская, д. 45",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"14. Ярославская обл., Первомайский район, д. Малино, ул. Центральная, д. 9",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"15. Ярославская обл., Первомайский район, д. Всехсвятское, ул. Центральная, д. 26",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"16. Ярославская обл., Первомайский район, с. Кукобой, ул. Советская, д. 47",,,,,,,
,,,,,столовая,,,,,,,
,,,,,"17. Ярославская обл., Первомайский район, с. Семеновское, ул. Центральная, д. 48",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"18. Ярославская обл., Первомайский район, д. Игнатцево, ул. Центральная, д. 1а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"19. Ярославская обл., Первомайский район, п. Ухтомский, ул. Льнозаводская, д. 23",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"20. Ярославская обл., Первомайский район, с. Николо-Ухтома, ул. Набережная, д. 1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"21. Ярославская обл., Первомайский район, д. Костромка, ул. Полевая, д.1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"22. Ярославская обл., Первомайский район, д. Менчаково, ул. Парковая, д.1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"23. Ярославская обл., Первомайский район, д. Паршино, ул. Молодежная, д. 27",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"24. Ярославская обл., Первомайский район, д. Оносово, ул. Центральная, д.8",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"25. Ярославская обл., Первомайский район, с.Николо-Гора, д.40",,,,,,,
,,,,,магазин,,,,,,,
534,"Общество с ограниченной ответственностью ""ПЕРЕБОРЫ ПЛЮС""",1.0576E+12,7610066326,"152916, Россия, Ярославская область, г.Рыбинск, проспект 50 лет Октября, д.21.","1. Ярославская область, г. Рыбинск, пр. 50 лет Октября,д.21",с 30.12.2008 г. по 30.12.2013 г.,"76202708/Л0447,",,,,,
,"(ООО ""Переборы Плюс"")",,,,магазин,,"29.12.2008 г., ",,,,,
535,"Общество с ограниченной ответственностью ""Перекресток""",1.0576E+12,7610066703,"Ярославская область, Рыбинский район, село Глебово, ул. Рыбинская, д.54","1. Ярославская область, Рыбинский район, село Погорелка",с 27.04.2011 г. по 27.04.2016 г.,"76202711/Л0151,",,,,,
,"(ООО ""Перекресток"")",,,,магазин,,"26.04.2011 г., ",,,,,
,,,,,"2. Ярославская область, Рыбинский район, село Ларионово",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Рыбинский район, село Глебово, ул. Рыбинская, д. 54",,,,,,,
,,,,,магазин,,,,,,,
536,"Общество с ограниченной ответственностью ""ПЕРЕКРЕСТОК""",1.06761E+12,7609019240,"Россия, Ярославская область, г. Ростов, ул. Октябрьская, д. 47.","1. Ярославская область, г. Ростов, ул. Московская, д. 30",с 26.07.2011 г. по 26.07.2016 г.,"76202711/Л0460,",,,,,
,"(ООО ""Перекресток"")",,,,магазин,,"21.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, г. Ростов, 2 МКР, д.3 б.",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, г. Ростов, 1 МКР, д.1б",,,,,,,
,,,,,магазин,,,,,,,
537,"Общество с ограниченной ответственностью ""Пересвет""",1.0476E+12,7614004401,"Российская Федерация, Ярославская область, Борисоглебский р-н, пос. Борисоглебский, ул. Кооперативная, строение 5, корпус 1","1. Ярославская область, Борисоглебский р-н, пос. Борисоглебский, ул. Кооперативная, строение 5, корп. 1",с 23.08.2012 г. по 23.08.2015 г.,"76202712/Л0404,",,,,,
,"(ООО ""Пересвет"")",,,,магазин,,"23.08.2012 г., ",,,,,
538,"Общество с ограниченной ответственностью Торговый Дом ""Переславльхлеб""",1.0376E+12,7608010460,"Ярославская область, г.Переславль-Залесский, ул. Свободы, 97.","1. Ярославская область, г.Переславль-Залесский, ул. Свободы, д.97",с 28.11.2011 г. по 28.11.2014 г.,"76202711/Л0695,",,,,,
,"(ООО ТД ""Переславльхлеб"")",,,,магазин,,"22.11.2011 г., ",,,,,
,,,,,"2. Ярославская область, г. Переславль-Залесский, ул. Ростовская, д. 11",,,,,,,
,,,,,магазин,,,,,,,
539,ПЕРЕСЛАВСКОЕ ГОРОДСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО,1.07761E+12,7608013895,"Ярославская область, г. Переславль-Залесский, ул.Свободы, д.94","1. Ярославская область, г. Переславль-Залесский, пер. Ветеринарный, д.18",с 12.12.2008 г. по 12.12.2013 г.,"76202708/Л0401,",,Предыдущее переоформление 24.04.2012 г.,,,
,(ПЕРЕСЛАВСКОЕ ГОРПО),,,,магазин,,"12.12.2008 г., ",,(5)-код 2,,,
,,,,,"2. Ярославская область, г. Переславль-Залесский, ул. Свободы, д.94",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Переславский район, с.Глебовское, ул.Московская, д.105",,,,,,,
,,,,,магазин,,,,,,,
540,Петровское поселковое потребительское общество,1.0276E+12,7609004702,"Ярославская область, Ростовский район, рп Петровское, ул. Советская, д. 26.","1. Ярославская область, Ростовский район,Рп.Петровское, ул.Советская/Подгорная, д.26/26а",с 05.01.2010 г. по 05.01.2015 г.,"76202709/Л0260,",,Предыдущее переоформление 12.03.2010 г.,,,
,(Петровское ПОСПО),,,,магазин,,"29.12.2009 г., ",,(4) - код 35,,,
,,,,,"2. Ярославская область, Ростовский район,с.Марково, д.26а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область,Ростовский район, д.Дертники, д.64",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область,Ростовский район,д.Филимоново, д.30а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область,Ростовский район, Рп.Петровское, ул.Советская, д.26/Подгорная, д.26/26а",,,,,,,
,,,,,"магазин ""сельхозпродукты""",,,,,,,
,,,,,"6. Ярославская область,Ростовский район, с.Дмитриановское, ул.Кузьмина, д.14",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область,Ростовский район,д.Дуброво, д.13",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"8. Ярославская область,Ростовский район,с.Никольское, д.155",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"9. Ярославская область,Ростовский район, д.Лазарево, д.73",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"10. Ярославская область,Ростовский район, д.Чепорово, д.34",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"11. Ярославская область,Ростовский район, д.Заозерье, д.20",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"12. Ярославская область,Ростовский район,с.Караш, ул.Святославская, д.35",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"13. Ярославская область,Ростовский район, с.Еремейцево, ул.Центральная, д.20",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"14. Ярославская область,Ростовский район,д.Итларь, ул.Центральная, д.14",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"15. Ярославская область,Ростовский район,д.Перово, д.14",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"16. Ярославская область,Ростовский район,с.Караш, ул.Святославская, д.71",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"17. Ярославская область,Ростовский район,д.Захарово, д.54",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"18. Ярославская область,Ростовский район,пос.Хмельники, ул.Садовая, д.57",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"19. Ярославская область,Ростовский район,с.Павловское, д.24",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"20. Ярославская область,Ростовский район, Рп.Петровск, ул.Советская, д.26",,,,,,,
,,,,,бар,,,,,,,
,,,,,"21. Ярославская область,Ростовский район, с.Марково, д.26а",,,,,,,
,,,,,бар,,,,,,,
,,,,,"22. Ярославская область,Ростовский район,с.Дмитриановское, ул.Кузьмина, д.14",,,,,,,
,,,,,бар,,,,,,,
,,,,,"23. Ярославская область,Ростовский район,с.Никольское, д.155",,,,,,,
,,,,,бар,,,,,,,
,,,,,"24. Ярославская область,Ростовский район,пос.Лесной, д.12",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"25. Ярославская область, Ростовский район, Рп.Петровское, ул.Советская, д.96а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"26. Ярославская область,Ростовский район, Рп.Петровское, ул.Железнодорожная, д.3",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"27. Ярославская область, Ростовский район, пос. Горный, д. 39",,,,,,,
,,,,,магазин,,,,,,,
541,"Общество с ограниченной ответственностью ""Петушок""",1.0276E+12,7610039587,"Россия, Ярославская область, г.Рыбинск, ул.Фурманова, д. 17.","1. Ярославская область, г. Рыбинск, ул.Фурманова,д.17",с 30.12.2008 г. по 30.12.2013 г.,"76202708/Л0442,",,Предыдущее переоформление 15.04.2010 г.,,,
