"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Заларинский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности",,"Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
12,"ООО ""Пламя""  ИНН 3814012314",МИ ФНС №14    по Ирк.обл. и   УОБАО от 24.09.2007г.,рег.№ 00028 сер. 38 МЕ 000007 от 30.11.2007г. До 30.11.2012г.,"1.Ирк.обл. п.Залари, ул. Ленина,37                                   2.Ирк. обл.,п.Залари, ул. Буденного,29                    3.Ирк.обл.Залар.р-он п.Тыреть,Солерудник ","1. магазин "" Амур""                                                    2. магазин "" Виктория""                                        3. магазин ""Надежда""                       ",с 19.03.12г. по 28.03.12г. Сроком на 10 дней,22.03.12г.,,,
13,"ООО ""Севан""  ИНН 3814012554",Ми ФНС № 14  по Ирк.обл. и УОБАО от 06.12.2007г.,рег. № 00035  38 МЕ 000015                   от 24.06.2008г. По 29.12.2012г,"1. Ирк.обл., Заларинский р-он,                 п.Тыреть,ул.Советская,14                                2. Ирк.обл. Заларинский р-он,          с.Веренка,ул.Молодежная,1","1. магазин  ""Рита""                                                    2. магазин ""Ташир""                         ",,,,,
14,"ООО ""АГАТ""   ИНН 3814010846",МИ ФНС №14     по Ирк.обл. и  УОБАО от 24.05.2006г. ,   А 242656   рег. № 00083 от 30.07.2012г. по 24.10.2013г.             Взамен:  А 242652   рег. № 00077 от 29.06.2012г. по 24.10.2013г.   ,"1. Ирк. обл., Заларинский р-он   с. Веренка, ул. Комсомольская, 9-2,  отдел ""АГАТ""в магазине ""АГАТ""                                                                                                       ",,,,,,
15,"ООО ""Арарат"" ИНН 3814012508",МИ ФНС №14 по Ирк.обл. и УОБАО от 28.11.2007г. ,рег.№ 00044 сер.38 МЕ 000024 от 29.12.2008г. по 29.12.2013г.,"1. Ирк. обл., Заларинский р-он                                  с. Ханжиново,  ул. Школьная, 2","1. отдел ""Арарат"" в магазине                      ""Рябинушка""",,,,,
16,"ООО ""Универсал"" ИНН 3806005987",МИ ФНС №14 по Ирк.обл. и УОБАО от 01.12.2008г. ,А 214985 рег № 00062                                    от 9.02.2011г. по 21.01.2014г.                                          взамен: рег.№ 00046 сер.38 МЕ 000026 от 21.01.2009г.по 21.01.2014г.,"1. Ирк. обл., Заларинский р-он п. Тыреть 1-ая, Солерудник мкр., 12  ","1. отдел ООО ""Универсал"" в магазине ""Катюша 2""",,,,,
17,"ООО ""Рада""     ИНН 3801101091",МИ ФНС  России по Ангарску Ирк.обл.            от  30.01.2009г.,А 167323   рег.№ 63  от 17.09.2009г.по 17.09.2014г.,"1. Ирк. обл., Заларинский р-он                            с. Бабагай, ул. Вятская, 4""А""","1. отдел ООО ""Рада"" в магазине ""Жасмин""",,,,,лицензия выдана  Администрацией               г. Ангарска
18,"ООО ""Шаи""              ИНН 3814014880",МИ ФНС №14                 по Ирк.обл. и УОБАО от  19.10.2009г.,А 244926   рег.№ 13 от 16.05.2012г.по 31.12.2014г.                                         взамен: А 244924   рег.№ 8 от 23.04.2012г.по 31.12.2014г.   ,"1. Ирк. обл., Заларинский р-он                        с. Холмогой, ул. Сибирская, 1;                                            2. Ирк. обл., Заларинский р-он                                  с. Троицк, пер. Советский, 3;                                  3. Ирк. обл., Заларинский р-он д. Тагна,  ул. Дорожная, 22-А;                                                             4. Ирк. обл., Заларинский р-он                                               д. Березкино, ул. Нагорная, 2;                                   5. Ирк. обл., Заларинский р-он                                             д. Большая Заимка, ул. Первомайская, 34;                      6. Ирк. обл., Заларинский р-он                                                                            с. Хор-Тагна, ул. Леспромхозовская, 7А;                        7. Ирк. обл., Заларинский р-он                                                                         р.п. Залари, ул. Рокоссовского, 10 А.","1. отдел ООО ""Шаи"" в магазине ""Маяк""                                                                                 2. отдел ООО ""Шаи"" в магазине ""Продукты""                                                                                       3. отдел ООО ""Шаи"" в магазине ""Алтын""                                                                                                          4. отдел ООО ""Шаи"" в магазине ""Надежда""                                                                                                    5. отдел ООО ""Шаи"" в магазине ""Надежда""                                                             6. отдел ООО ""Шаи"" в магазине ""Сибирь""                                                                       7. отдел ООО ""Шаи"" в магазине ""Севиль""      ",,,,,лицензия выдана Администрацией МО Куйтунский район
19,"ООО ""Старт"" ИНН 3812120956",МИ ФНС №17 по Ирк.обл.  св-во 38 № 002932198,38 МЕ 003790 рег. № АН 00636 Пр23  от 15.09.2011г  по 29.04.2014г.  Взамен: рег. № АН 00636 Пр21  от 02.06.2011г  по 29.04.2014г.  ,"1. Ирк. обл., Заларинский р-он                              п. Залари, ул. Механизаторов, 3.","1.отдел ООО ""Старт""                                                                      ",,,,,лицензия выдана Администрацией                 г. Иркутска
20,"ООО ""Ветер""   ИНН 3812122167",МИ ФНС №17  по Ирк.обл.  св-во 38 № 001445013,рег. № 33  Г 888805                                  от 25.11.2010г по 13.10.2014г.,"1. Ирк. обл., Заларинский р-он                              с. Троицк, ул. Новая, 6;                                                      2. Ирк. обл., Заларинский р-он                                         с. Мойган, ул. Центральная, 29;                                  3. Ирк. обл., Заларинский р-он                             д. Романенкино, ул. Центральная, 30.                     4. Ирк. обл., Заларинский р-он                                  п. Тыреть, мкр. Солерудник, отдел                         в магазине ""Любаша""                                                           5. Ирк. обл., Заларинский р-он                                          п. Тыреть, ул. Шейна, 7 ","1. отдел ООО ""Ветер""                                       2. отдел ООО ""Ветер""                                                3. отдел ООО ""Ветер""                                               4. отдел ООО ""Ветер""                                                       5. отдел ООО ""Ветер""                               ",,,,,лицензия выдана  Администрацией   Шелеховского  муниципального района
21,"ООО ""Авангард"" ИНН 3814012233",МИ ФНС № 14 по Ирк.обл.                           св-во 38 № 002512565, 38 МЕ 005361 рег. № 20-07 Пр11 от 4.07.2012г. по 16.12.2012г.       взамен:  38 МЕ 005353 рег. № 20-07 Пр10 от 1.04.2012г. по 16.12.2012г.  ,"1. п. Залари, ул. Апрельская, 2  отдел ООО ""Авангард""  в магазине ""Дорожный""                                                    2. п.Залари,ул.Ленина,76А  отдел ООО ""Авангард""  в магазине ""Фиалка""                                                       3. п.Залари,ул.Победы, 36Б   отдел ООО ""Авангард""  в магазине ""Людмила""                                          ",,,,,,"лицензия выдана   Администрацией    городского округа МО ""город Саянск"""
