                  Государственный реестр выданных лицензий  за март 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
19,ООО,"""Самир""","г.Хабаровск, ул.Энтузиастов д.1, тел. 61-90-72",2724092095/272401001/1062724022855,розничная продажа АП 3 года,магазин,"г.Хабаровск, ул.Энтузиастов д.1",86.4,86.4,32,8-24,продление,ХБ 000926 № 1218 13.03.2012 - 13.03.2015,,,
20,ООО,"""Светлый-3""","Хабаровский р-н., городок Хабаровск-43, ул.Интернациональная д.15, 51, тел. 40-82-43",2720043178/272001001/1102720005585,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Автобусная д.12",474.6,474.6,210,9-24,продление,ХБ 000943 № 2324 13.03.2012 - 13.03.2013,,,
,,,,,,магазин,"г.Хабаровск, пер.Фабричный д.23а",250,250,141.4,9-24,,,,,
21,ООО,"""Софт-Сервис""","г.Хабаровск, ул.Владивостокская д.61а, тел. 54-24-32",2722069252/272401001/1082722000184,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Лермонтова д.5",306.2,306.2,214,8-23,доп. объект,ХБ 000010 № 1937 13.03.2009 - 13.03.2014,,,
22,ООО,"""Старс найт""","г.Хабаровск, ул.Тихоокеанская д.180б, тел. 73-40-40",2722037420/272501001/1022701114312,розничная продажа АП в розлив 5 лет,кафе,"г.Хабаровск, ул.Тихоокеанская д.180б",225,,80,10-02,продление,ХБ 000923 № 1270 13.03.2012 - 13.03.2017,,,
23,ООО,"""Тэсти""","г.Хабаровск, ул.Клубная д.36, тел. 77-58-15",2724147450/272401001/1102724007913,розничная продажа АП 5 лет,магазин,"г.Хабаровск, пр-кт.60 лет Октября д.104",175.2,175.2,88,9-22,впервые,ХБ 000945 № 2540 13.03.2012 - 13.03.2017,,,
,,,,,,магазин,"г.Хабаровск, ул.Клубная д.36",88.5,88.5,58,8-23,,,,,
24,ООО,"""Флагман""","г.Хабаровск, ул.Шкотова д.15, тел. 23-42-90",2724154288/272401001/1112724007285,розничная продажа АП 3 года,магазин,"г.Хабаровск, ул.Шкотова д.15, лит. А",68.5,68.5,50,9-18,впервые,ХБ 000938 № 2538 13.03.2012 - 13 03 2015,,,
25,ООО,Хабаровский учебно-производственный центр торговли и общественного питания,"г.Хабаровск, пер.Молдавский, тел. 60-91-92",2721049310/272301001/1022700927270,розничная продажа АП в розлив 1 год,закусочная," г.Хабаровск, пер.Молдавский д.5",420.3,420.3,50,12-24,впервые,ХБ 000952 № 2541 13.03.2012 - 13.03.2013,,,
26,ООО,"""ХабМаркет""","г.Хабаровск, ул.Трехгорная д.71, 3, тел. 79-37-41",2725109009/272501001/1112722011710,розничная продажа АП 1 год,магазин,"г.Хабаровск, б-р.Амурский д.16",140,140,110.9,8-22,впервые,ХБ 000953 № 2542 13.03.2012 - 13.03.2013,,,
27,ООО,"""Хотей""","г.Хабаровск, ул.Демьяна Бедного д.29а, тел. 73-42-65",2724101159/272401001/1062724064611,розничная продажа АП в розлив 5 лет,кафе ,"г.Хабаровск, ул.Демьяна Бедного д.29а",671.8,671.8,140,12-02,продление,ХБ 000942 № 1255 13.03.2012 - 13.03.2017,,,
28,ООО,"""Шердор""","г.Хабаровск, ул.Чкалова д.1, тел. 57-40-56",2722107532/272201001/1112722010510,розничная продажа АП в розлив 1 год,ресторан,"г.Хабаровск, ул.Чкалова д.1",487.6,487.6,120,12-02,впервые ,ХБ 000917 № 2535 13.03.2012 - 13.03.2013,,,
29,ООО,"""Агроснаб-Хабаровск""","г.Хабаровск, ш.Матвеевское д.40а, тел. 457-500",2724068021/272401001/1022701282053,розничная продажа АП в розлив 1 год,кафе," г.Хабаровск, ул.Карла Маркса д.91",959,959,48,12-02,продление,ХБ 000972 № 2336 13.03.2012 - 13.03.2013,,,
30,ООО,"""Рассвет""","г.Хабаровск, ул.Балашовская, тел. 635-285",2723143389/272301001/1112723006307,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Балашовская д.35",208.7,208.7,37,10-23,впервые,ХБ 000976 № 2546 13.03.2012 - 13.03.2013,,,
31,ООО,"""Студия Пульс"""," г.Хабаровск, ул.Карла Маркса д.96а, тел. 8-962-678-43-31",2721168356/272101001/1092721003770,розничная продажа АП в розлив 1 год,бар,"г.Хабаровск, ул.Карла Маркса д.96а, пом. 1 (22-28)",323.7,323.7,40,22-06,продление,ХБ 000969 № 2146 13.03.2012 - 13.03.2013,,,
32,ООО,"""Эгида-сервис""","г.Хабаровск, ул.Краснореченская д.53, тел. 54-85-04",2723081527/272301001/1062723029830,розничная продажа АП в розлив 1 год,закусочная,"г.Хабаровск, ул.Краснореченская д.53",126,126,38,10-23,продление,ХБ 000971 № 2322 13.03.2012 - 13.03.2013,,,
33,ООО,"""Олимпик""","г.Хабаровск, ул.Фрунзе, тел. 60-33-37",2721159714/272101001/1082721005663,розничная продажа АП в розлив 5 лет,бар,"г.Хабаровск, ул.Дикопольцева д.26а",60.2,60.2,30,круглосуточно,впервые,ХБ 000980 № 2547 20.03.2012 - 20.03.2017,,,
,,,,,,бар караоке клуба,"г.Хабаровск, ул.Дикопольцева д.26а",290.8,290.8,70,19-07,,,,,
,,,,,,спорт-бар,"г.Хабаровск, ул.Дикопольцева д.26а",185.4,185.4,100,07-24,,,,,
Амурский р-н,,,,,,,,,,,,,,,,
34,ООО,"""Аспект""","п.г.т.Эльбан, ул.Фортыгина д.9, 2, тел. 8 (42-141) 42-0-95",2706014979/270601001/1112728000472,розничная продажа АП 1 год,магазин,"п.г.т.Эльбан, 2-й мкр. д.9",33.7,33.7,13.3,8-21,впервые ,ХБ 000914 № 2531 13.03.2012 - 13.03.2013,,,
35,ООО,"""Шамкир""","г.Амурск, пр-кт.Строителей д.12, тел. 8(42142) 91-4-74",2706027939/270601001/1062706008221,розничная продажа АП 5 лет,магазин,"г.Амурск, пр-кт.Строителей д.72",1425.3,1425.3,64.9,8-22,доп. объект,ХБ 000440 № 766 12.07.2011 - 12.07.2016,,,
Ванинский р-н,,,,,,,,,,,,,,,,
36,ООО,"""Седьмое небо""","Ванинский р-н., 39 км автодороги Советская Гавань - Монгохто д.6а, тел. 7-50-55",2709011366/270901001/1062709002620,розничная продажа АП в розлив 1 год,кафе,"Ванинский р-н., 39 км автодороги Советская Гавань - Монгохто д.6а",134,134,86,11-24,впервые ,ХБ 000915 № 2533 13.03.2012 - 13.03.2013,,,
Верхнебуреинский р-н,,,,,,,,,,,,,,,,
37,ООО,"""Восток-торг""","п.с.т.Этыркэн, ул.40 лет Победы д.1а, тел. 461-87",2710013142/271001001/1062710005930,розничная продажа АП 5 лет,павильон,"п.с.т.Этыркэн, ул.40 лет Победы д.1а",28.7,28.7,19.8,10-23,продление,ХБ 000933 № 1208 13.03.2012 - 13.03.2017,,,
38,ООО,"""Магнит""","п.г.т.Новый Ургал, ул.Киевская д.4, тел. 8-914-168-61-09",2710015380/271001001/1102710000205,розничная продажа АП 3 года,магазин," п.г.т.Новый Ургал, ул.Киевская д.4",25,25,11.2,9-23,впервые ,ХБ 000916 № 2534 13.03.2012 - 13.03.2015,,,
39,ООО,"""Небо""","п.г.т.Чегдомын,ул.Пионерская д.2а, тел. 8-914-379-18-17",2710012558/271001001/1062710000484,розничная продажа АП 5 лет,магазин,"п.г.т.Чегдомын, ул.Пионерская д.2а",88.1,88.1,60,круглосуточно,продление,ХБ 000950 № 136 13.03.2012 - 13.03.2017,,,
40,ООО,"""Фаворит""","п.г.т.Чегдомын, ул.Заводская д.2, тел. 8-914-174-65-59",2710015887/272100100/1112710001249,розничная продажа АП 1 год,магазин,"п.г.т.Чегдомын, ул.Заводская д.2",318.8,318.8,248.8,8-23,впервые,ХБ 000967 № 2545 13.03.2012 - 13.03.2013,,,
Вяземский р-н,,,,,,,,,,,,,,,,
41,ПО,"""Заря"""," г.Вяземский, ул.Коммунистическая, 3, тел. 3-15-75",2711003059/271101001/1022700745924,розничная продажа АП 1 год,магазин,"с.Видное, ул.Центральная д.14",55.1,55.1,31.6,10-17,продление,ХБ 000932 № 227 12.04.2012 12.04.2013,,,
,,,,,,магазин,"с.Кедрово, ул.Уссурийская д.19",52.8,,42.3,9-18,,,,,
,,,,,,магазин," г.Вяземский, ул.Коммунистическая д.3",262.4,,54,8-20,,,,,
