,11780,26/04/11,14/10/08,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д.36, пристройка к дому №36",  
,11780,26/04/11,09/07/08,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,Бульвар Пищевиков, д.18",  
,11780,26/04/11,02/08/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Матвеева, д.9""а""",  
,11780,26/04/11,02/08/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Бульвар Шерстнева, д.10""а""",  
,11780,26/04/11,02/08/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Тиманская, 6""б""",  
,11780,26/04/11,02/08/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Дорожная, д.5",  
,11780,26/04/11,02/08/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Димитрова, д.5""а""",  
,11780,26/04/11,02/08/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Некрасова, д.55\3",  
,11780,26/04/11,14/09/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","торговый павильон «Дионис» г. Воркута,ул. Ленина, д. 49",  
,11780,26/04/11,22/11/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Дончука, д. 8",  
,11780,26/04/11,27/03/07,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Тиманская, д.8",  
,11780,26/04/11,01/03/07,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Димитрова, д.11",  
,11780,26/04/11,28/12/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин ""Дионис"" г. Воркута,п. Комсомольский, кв. Заполярный, д.34",  
,11780,26/04/11,14/09/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,пер. Привокзальный, д.2",  
,11780,26/04/11,22/11/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Пирогова, д. 7",  
,11780,26/04/11,14/09/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис+» г. Воркута,ул. Тиманская, д. 6Б",  
,11780,26/04/11,14/09/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Северный, ул. Крупской, д. 17а",  
,11780,26/04/11,12/05/09,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленинградская, д.47а",  
,11780,26/04/11,15/07/09,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Чернова, д. 5а",  
,11780,26/04/11,11/03/11,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д.60-б",  
,11780,26/04/11,23/09/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Комарова, д.2",  
,11780,26/04/11,03/06/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Чернова,  д. 10а",  
,11780,26/04/11,03/06/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д. 24",  
,11780,26/04/11,06/05/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","кафе «Титан» г. Воркута,ул. Ленина, 68 «б»",  
,11780,26/04/11,06/05/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Парковая, 48",  
,11780,26/04/11,10/02/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,пос. Северный, ул. Народная,  д.10",  
,11780,26/04/11,10/02/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д.66 «а»",  
,11780,26/04/11,02/12/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,бульвар Пищевиков, д.5",  
,11780,26/04/11,23/12/09,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Лермонтова, д. 24",  
,11780,26/04/11,06/05/10,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Димитрова, 13 «б»",  
,11780,26/04/11,27/03/07,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Лермонтова, д.23",  
,11780,26/04/11,15/04/11,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д.68",  
,11780,26/04/11,26/04/11,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Яновского, д. 3",  
,11780,26/04/11,26/04/11,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","кафе «Дионис» г. Воркута,ул. Яновского, д. 3",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ломоносова, д. 13",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Димитрова, д. 15/4",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","торговый павильон «Дионис» торгового центра «Содружество» г. Воркута,ул. Ленина, д. 53Б",  
,11780,26/04/11,22/06/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Воргашор, ул. Катаева, д.35",  
,11780,26/04/11,22/06/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Шахтерская Набережная, д.12",  
,11780,26/04/11,22/06/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Яновского, д.4А",  
,11780,26/04/11,22/06/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Заполярный, ул. Фрунзе, д.27/2",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Воргашор, пер. Юбилейный, д. 7",  
,11780,26/04/11,22/06/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,пл. Привокзальная, д.2",  
,11780,26/04/11,22/06/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» в ТЦ «Бастион» г. Воркута,ул. Ломоносова, д.18",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","торговый павильон «Дионис» г. Воркута,ул. Энтузиастов, д. 15/4",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Свободная, д. 3а",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","торговый павильон «Дионис» г. Воркута,п. Воргашор, ул. Воргашорская, д. 7",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Воргашор, ул. Энтузиастов, д. 13/2",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Советский, ул. Строительная, д. 15",  
,11780,26/04/11,21/04/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п. Северный, ул. Народная, д. 6",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д. 68 ""б""",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Луч» г. Воркута,ул. Ленина, д.28",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ленина, д.61",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ломоносова, д.13",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Суворова, д.19",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Комарова, д.15",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,бульвар Пищевиков, д.7",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Ломоносова, д.12",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Димитрова, д. 11 ""б""",  
,11785,27/03/12,01/03/06,28/02/13,11МЕ004108осн,"ООО ""Сапфир-В"", по адресу:  г. Воркута,ул. Ленина, д. 64 ""б"". ОГРН 1051100696085,в лице Бийчук Валентин Иванович. Тел.6-26-85. ИНН : 1103036138/110301001", ,  
,11785,27/03/12,01/03/06,28/02/13,11МЕ004108коп,"ООО ""Сапфир-В"", по адресу:  г. Воркута,ул. Ленина, д. 64 ""б"". ОГРН 1051100696085,в лице Бийчук Валентин Иванович. Тел.6-26-85. ИНН : 1103036138/110301001","закусочная «Ажур» г. Воркута,ул. Ленина, д.5",  
,11785,27/03/12,01/03/06,28/02/13,11МЕ004108коп,"ООО ""Сапфир-В"", по адресу:  г. Воркута,ул. Ленина, д. 64 ""б"". ОГРН 1051100696085,в лице Бийчук Валентин Иванович. Тел.6-26-85. ИНН : 1103036138/110301001","закусочная «Чебуречная» г. Воркута,ул. Ленина, д.64 «б»",  
,11786,01/03/12,01/03/06,28/02/13,11МЕ004064коп,"ООО «ВЕЛЕС», по адресу:  г. Воркута,ул. Мира, д.17. ОГРН 1051100670895,в лице Трегубенко Валентина Алексеевна. Тел.3-19-79, 3-70-01. ИНН : 1103029959/110301001","магазин «Велес» г. Воркута,ул. Мира, д.17",  
,11786,01/03/12,01/03/06,28/02/13,11МЕ004064коп,"ООО «ВЕЛЕС», по адресу:  г. Воркута,ул. Мира, д.17. ОГРН 1051100670895,в лице Трегубенко Валентина Алексеевна. Тел.3-19-79, 3-70-01. ИНН : 1103029959/110301001","магазин «Велес» г. Воркута,ул. Ленина, д.5",  
,11786,01/03/12,01/03/06,28/02/13,11МЕ004064осн,"ООО «ВЕЛЕС», по адресу:  г. Воркута,ул. Мира, д.17. ОГРН 1051100670895,в лице Трегубенко Валентина Алексеевна. Тел.3-19-79, 3-70-01. ИНН : 1103029959/110301001", ,  
,11788,16/02/12,01/03/06,28/02/15,11МЕ004040коп,"ООО ""Робин-Бобин"", по адресу:  г. Воркута,пос. Воргашор, пер. Юбилейный, д.6. ОГРН 1021100806275,в лице Бездольная Надежда Сергеевна. Тел.6-07-78, 6-08-18. ИНН : 1103028112/110301001","кафе ""Арена"" г. Воркута,пос. Воргашор, пер. Юбилейный, д.6",  
,11788,16/02/12,01/03/06,28/02/15,11МЕ004040осн,"ООО ""Робин-Бобин"", по адресу:  г. Воркута,пос. Воргашор, пер. Юбилейный, д.6. ОГРН 1021100806275,в лице Бездольная Надежда Сергеевна. Тел.6-07-78, 6-08-18. ИНН : 1103028112/110301001", ,  
,11788,16/02/12,01/03/06,28/02/15,11МЕ004040коп,"ООО ""Робин-Бобин"", по адресу:  г. Воркута,пос. Воргашор, пер. Юбилейный, д.6. ОГРН 1021100806275,в лице Бездольная Надежда Сергеевна. Тел.6-07-78, 6-08-18. ИНН : 1103028112/110301001","магазин ""Империя"" г. Воркута,пос. Воргашор, пер. Юбилейный, д.6",  
,11788,16/02/12,01/03/06,28/02/15,11МЕ004040коп,"ООО ""Робин-Бобин"", по адресу:  г. Воркута,пос. Воргашор, пер. Юбилейный, д.6. ОГРН 1021100806275,в лице Бездольная Надежда Сергеевна. Тел.6-07-78, 6-08-18. ИНН : 1103028112/110301001","магазин ""Перекресток"" г. Воркута,пос. Воргашор, ул. Энтузиастов, д.1-А",  
