"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Качугский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
25,Общество с ограниченной ответственностью «СибРозлив»  3830090782 ,Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области.,38 МЕ 002195 26.04.2010. По 05.12.2014 Взамен:   38 МЕ   002182 05.12.2009г 05.12.2014г,"П.Качуг, ул.Юбилейная № 7 «А» магазин",,,,,,
26,Общество с ограниченной ответственностью»Качугское» 3830090750 ,Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области.,38 МЕ 002194 10.02.2010 30.12.2014,"П.Качуг, ул.Красноармейска №  19  отдел в магазине «Совхозный -2» ИП Копыловой А.А. П.Качуг,ул.Подгорная № 4, отдел в магазине «Совхозный-1» ИП Копыловой А.А.",,,,,,
27,Общество с ограниченной ответственностью СибнефтьТранзит Байкал   3811097133,Инспекция Федеральной налоговой службы по Октябрьскому округу г.Иркутска,А  167583 15.03.2010г  30.11.2011г,"П.Качуг, ул.Седова д 11   магазин",,,31.11.2011,,Администрацией МО «Баяндаевский район»,
28,"Общество с ограниченной ответственностью ""Айсберг""        ИНН 3827035655",Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области., АН 00784 Пр 7 38 МЕ 003955  02.04.2012 09.12.2015   АН 00784 Пр 6 38 МЕ 003933  24.02.2012 по 09.12.2015    вместо             АН 00784 Пр 5 38 МЕ 003732 от 07.07.2011 по 09.12.2015  ,"1.п.Качуг, ул.Фрунзе № 1 отдел.в магазине ИП Кудрявцева Г.А.     2.Д.Косогол, ул.Центральная № 16 отдел в магазине ИП Осиповой М.В.                                                3.п.Качуг, ул.Каландарашвили № 156""а"" отдел в магазине ИП Черкашина О.Н.                          4.п.Качуг, ул.Фрунзе № 2 ""А""отдел в магазине ИП Черкашина О.Н.    5.п.Качуг, ул.Каландаришвили № 94,отдел в магазине ""Лидер"" ИП Сокольникова А.                     6.п.Качуг, ул.Берёзовая № 2 ""А"" отдел в магазине ""Загляни""  ИП Данильчик О.Н.                                  7.п.Качуг, ул.Красноармейская 62а отдел в магазине ИП Пайлян М.С.   8.п.Качуг, ул.Красноармейская 31-1-отдел в баре ИП Алаевой Э.С.    9.п.Качуг, ул.Седова 6 отдел в магазине ИП Ивановой Г.П.            10.п.Качуг, ул.Профсоюзная 2, отдел в магазине ИП Слесарёва С.Г.                                           11.Качугский район, с.Бутаково, ул. Черепанова 7 отдел в магазине ИП Кожевникова.   12.Качугский район, с.Б-Тарель, пер Школьный 3, отдел в магазине                       ", ,,,,Администрацией г.Иркутска,
29,"Общество с ограниченной ответственностью ""КИСТЕНЁВА""3827037348",Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области.,38 МЕ            002206        01.11.2011  01.11.2012,"1.Иркутская обл, Качугский район,п.Качуг, ул.Победы № 7-3, отдел в магазине ИП Кистенёвой Г.М.  .2.Иркутская обл, Качугский район,п.Качуг, пер.Больничный 2 А, отдел в магазине ИП Кистенёвой Г.М.",,,,,,
30,"Общество с ограниченной ответственностью «МЯСОПРОДУКТЫ» 3812089216 Г.Иркутск, ул Профсоюзная  № 64-4 Переоформлено",Инспекция Федеральной налоговой службы по Свердловскому округу г.Иркутска,38 МЕ № 002207 08.12.2011г 08.12.2012г,"1.Иркутская  область, п. Качуг, Каландарашвили №  99, отдел в магазине ИП Деевой Ю.Ю.",,,,,,
31,Общество с ограниченной ответственностью «Элит» 3830905812 П.Качуг Ул.Полевая № 22-2,Межрайонная инспекция  Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому национальному округу,38 МЕ      002209  30.12.2011 по 30.12.2012,"1.Иркутская область ,п.Качуг,  ул.Каландарашвили  99-3 магазин.
2. Иркутская область, Качугский район, д.Шеметово, ул.Трактовая № 11 магазин.
",,,,,,
32,Общество с ограниченной ответственностью «Альянс» 3830905851,Межрайонная инспекция федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,38  МЕ   002211 06.02.2012  по 06.02.2013      вместо              МЕ 38 № 002156 24.01.2007г 24.01.2012г,"1.Иркутская область, .п.Качуг, Каландарашквили, 155, магазин «Алеша»                                        2.Иркутская обл, Жигаловский район, с.Петрово, ул.Ленская 51, отдел в баре ИП Тетериной Е.В.                           3.Иркутская обл, Жигаловский район, с.Петрово, ул.Ленская 51, отдел в магазине ИП Тетериной Е.В.   ",,,,,,
33,Качугское районное потребительское общество 3830000041 ,Межрайонная инспекция МНС России № 1 по Иркутской области,38 МЕ   № 002214         от 23.05.2012г по 17.02.2013 г    вместо          МЕ 38 № 002212 17.02.2012г 17.02.2013г,"1.Иркутская обл., п.Качуг, улЛесная 62, магазин  № 6                                         2.Иркутская обл, Качугский район,  с.Анга, ул.Трактовая 12, магазин № 6  3.Иркутская обл.д.Копылова, ул.Лесная 25, магазин № 12              4.Иркутская область,  с.Заречное , ул.Центральная 41, магазин № 10 ",,,,,,
34,"ООО ""Арктика"" 3812133641",МИ ФНС России № 17,А 221997        05 мая 2012г по 07.02.2014 г    вместо            А 221986   06.03.2012 по 07.02.2014,"1.Качугский район, с.Большая Тарель, пер.Школьный 3, отдел в магазине.                                      2.Качугский район, с.Бирюлька, ул.Каландарашвили 5, отдел в магазине",,,,,Администрацией МО   г.Усолье- Сибирское,
