№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
21,"ООО ""ВИВАТ""",6723007778,1026700883329,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 9","215010, Смоленская область, г. Гагарин, ул. Ленина, д. 9 (магазин ""Виват""),без ограничений",№ 690                      Г 245960,14 апреля 2006,по 14 апреля 2011,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 27 (магазин ""Продукты""), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 13 (магазин ""Дэпса"") без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. 50 лет ВЛКСМ, Д. 10 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. 50 лет ВЛКСМ, д. 12/2 (магазин эГжатскъ""), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 167-а (магазин ""Надежда""), без ограничений",,,,,,,,,,,
22,"ООО ""ГАГАРИНСКИЙ ХЛЕБОЗАВОД""",6723000613,1026700882878,"215010, Смоленская область, г. Гагарин, переулок Хлебный, д. 10","215010, Смоленская область, г. Гагарин, ул. 50 лет ВЛКСМ, д. 10 (магазин №8), без ограничений",№ 659                 Г 679262,14 апреля 2006,по 14 апреля 2011,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Петра Алексеева, д. 10 (магазин № 11), без ограничений",,,,,,,,,,,
23,"ООО ""АТЛАНТ""",6723006615,1026700882537,"215010, Смоленская область, Гагаринский район, п. Сверчково","215027, Смоленская область, Гагаринский район, 174 км. Автодороги Москва-Беларусь (кафе),  без ограничений",№ 674                   Г 679288,18 апреля 2006,по 18 апреля 2011,,,,,,,,
24,"ООО ""Все для Вас""",6723019646,1066723005149,"215047, Смоленская область, Гагаринский район, с. Карманово, ул. Советская, д. 26-а","215047, Смоленская область, гагаринский район, с. Карманово, ул. Советская, д. 26-а (магазин), без ограничений",№ 739                 В 317896,16 мая 2006,по 16 мая 20118,,,,,,,,
25,"ООО ""Древо""",6723020000,1066723005810,"215035, Смоленская область, Гагаринский район, д. Родоманово","215035, Смоленская область, Гагаринский район, д. Родоманово, ул. Советская, д. 10 (магазин), без ограничений",№ 971                 Б 005732,29 июня 2006,по 29 июня 2011,до 30 июня 2012,,,,,,,
26,"ООО ""Вавилон""",6723009408,1026700883384,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 9","215039, Смоленская область, Гагаринский район, д. Поличня (магазин), без ограничений",№ 1198                 Б 005982,27 июля 2006,по 27 июля 2011,до 28 июля 2012,,,,,,,
27,"ООО ""Леспромторг""",6723009912,1026700884242,"215010, Смоленская область, г. Гагарин, п. Лесной, ул. Профсоюзная, д. 1","215010, Смоленская область, Гагаринский район, пос. Лесной, ул. Профсоюзная, д. 4 (магази), без ограничений",№ 1205                 Г 254844,27 июля 2006,по 27 июля 2011,до 28 июля 2012,,,,,,,
28,"ООО ""ТУСТАНЬ""",6723023280,1116722000460,"215002, Смоленская область, Гагаринский район, д. Акатово, ул. Административная, д. 16","215002, Смоленская область, Гагаринский район, д. Акатово, ул. Набаражная, д. 4 (ресторан), без ограничений",№ 2013              Б 004914,15 июня 2011,до 15 июня 2012,,,,,,,,
29,"ООО ""Городок""",6723019967,1066723005788,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 10-а","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 10-а (магазин), без ограничений",№ 964                    Б 005712,29 июня 2006,по 29 июня 2011,до 30 июня 2013,,,,,,,
30,"ООО ""НИНА""",6723019854,1066723005667,"215010, Смоленская область, г. Гагарин, переулок Хлебный, д. 17 ","215010, Смоленская область, Гагаринский район, д. Акатово, д. 17 (магазин), без ограничений",№ 837                  Б 005614,19 июня 2006,по 19 июня 2011,до 20 июня 2012,,,,,,,
31,"ООО ""ГАВАНЬ""",6723019734,1066723005480,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 30","215010, Смоленская область, г. Гагарин, ул. Строителей, д. 30 (магазин), без ограничений",№ 733                      В 317891,01 июля 2006,по 01 июля 2011,до 02 июля 2016,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. 50 лет ВЛКСМ, д. 12/2 (магазин), без ограничений",,,,,,,,,,,
32,"ООО ""Восток-С""",6723010724,1036724301426,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 58, кв. 422","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 58 (кафе), без ограничений", № 988                Б 004929,01 июля 2011,по 01 июля 2016,,,,,,,,
33,"ООО ""ЛиК""",6723019759,1066723005513,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 50","215010, Смоленская область, г. Гагарин, ул. Ленина, д. 50 (магазин), без ограничений",№ 756                    Б 005518,06 июня 2006,по 06 июня 2011,до 07 июня 2014,,,,,,,
34,"ООО ""Эврика""",6723022790,1106723000141,"215010, Смоленская область, г. Гагарин, ул. Молодежная, д. 4","215010, Смоленская область, г. Гагарин, ул. Молодежная, д. 4 (магазин), без ограничений",№ 2000               Б 005464,10 мая 2011,до 10 мая 2012,,,,,,,,
35,"ООО ""ДИНАСТИЯ""",6723019830,1066723005623,"215010, Смоленская область, г. Гагарин, Ленинградская набережная, 11, 2","215010, Смоленская область, г. Гагарин, Ленинградская набережная, 11, кв. 2 (магазин), без ограничений",№ 1156               Б 005940,19 июля 2006,по 19 июля 2011,до 20 июля 2012,,,,,,,
36,"ООО ""Шанс""",6723019893,1066723005689,"215010, Смоленская область, г. Гагарин, ул. Солнцева, д. 16","215010, Смоленская область, г. Гагарин, ул. Солнцева, д. 16 (магазин), без ограничений",№ 861                 Б 005639,22 июня 2006,по 22 июня 2011,до 23 июня 2014,,,,,,,
37,"ООО ""Юнона""",6723010137,1066723005953,"215010, Смоленская область, г. Гагарин, ул. Красноармейская, 50","215010, Смоленская область, г. Гагарин, ул. Красноармейская, д. 50 (магазин), без ограничений",№ 1230                    Г 254867,02 августа 2006,по 02 августа 2011,до 03 августа 2016,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 46 (магазин), без ограничений",,,,,,,,,,,
38,"ООО ""Клеопатра""",6723023160,1106722002111,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 74, кв. 95","215037, Смоленская область, Гагаринский район, д. Мальцево (кафе), без ограничений",№ 1953                 Б 004789,20 июля 2011,по 20 января 2016,,,,,,,,
,,,,,"215037, Смоленская область, Гагаринский район, АЗС №2, 181 км а/д Москва-Минск, левая сторона (кафе), без ограничений",,,,,,,,,,,
,,,,,"215037, Смоленская область, Гагаринский район, АЗС №2, 181 км а/д Москва-Минск, правая сторона (кафе), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. П. Алексеева, д. 12А (магазин), без ограничений",,,,,,,,,,,
39,"ООО ""Лада""",6723020024,1066723005832,"215010, Смоленская область, г. Гагарин, пер. Пенсионерский, 12","215010, Смоленская область, г. Гагарин, ул. Молодежная, д. 4 (магазин), без ограничений",№ 1222                 Г 254851,31 июля 2006,по 31 июля 2011,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, пер. Пионерский, д. 12 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, пер. Пионерский, д. 12 (магазин), без ограничений",,,,,,,,,,,
40,"ООО ""ТРИУМФ""",6723019780,1066723005568,"215047, Смоленская область, Гагаринский район, с. Карманово, микрорайон Западный","215047, Смоленская область, Гагаринский район, с. Карманово, микрорайон Западный (магазин), без ограничений",№ 839                  Б 005622,19 июня 2006,по 19 июня 2011,до 20 июня 2016,,,,,,,
,,,,,"215047, Смоленская область, Гагаринский район, д. Карманово, ул. Советская, д. 26-а (магазин ""Все для Вас""), без ограничений",,31 мая 2007,по 19 июня 2011,,исключение объекта,,,,,,
41,"ООО ""Ирма""",6723020095,1066723005909,"215004, Смоленская область, Гагаринский район, д. Стахово","215004, Смоленская область, Гагаринский район, д. Фстахово (магазин), без огарничений",№ 1159                 Б 005954,19 июля 2006,по 19 июля 2011,до 20 июля 2012,,,,,,,
42,"ООО ""ЯУЗА""",6723020105,1066723005920,"215047, Смоленская область, Гагаринский район, с. Карманово, ул. Советская, 28","215047, Смоленская область, Гагаринский район, с. Карманово, ул. Советская, д. 28 (магазин), без ограничений", № 1264                  Г 254901,14 августа 2006,по 14 августа 2011,до 15 августа 2013,,,,,,,
43,"ООО ""Валете""",6723006326,1026700888400,"215010, Смоленская область, г. Гагарин, ул. Танкистов, д. 44","215010, Смоленская область, г. Гагарин, ул. Танкистов, д. 29-а (магазин), без ограничений",№ 967                  Б 004820,03 июня 2011,по 29 июня 2011,до 30 июня 2016,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, пер. Пионерский, д. 5 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 29 (магазин), без ограничений",,,,,,,,,,,
44,"ООО ""Русский размер""",6723019815,1066723005601,"215010, Смоленская область, г. Гагарин, ул. Матросова, д. 17","215010, Смоленская область, г. Гагарин, ул. Матросова, д. 17 (магазин), без ограничений",№ 905                    Б 005660,26 июня 2006,по 26 июня 2011,до 27 июня 2016,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 3 (магазин), без ограничений",,,,,,,,,,,
45,"ООО ""Общепит""",6723000081,1026700886277,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 48","215010, Смоленская область, г. Гагарин, ул. Строителей, д. 42 (буфет), без ограничений",№ 2045                 Б 004753,03 августа 2011,до 03 августа 2016,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, Колхозная площадь, д. 4 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, проезд Сельхозтехники, д. 6 (столовая), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 48 (столовая), без ограничений",,,,,,,,,,,
46,"ООО ""Марс""",6723019935,1066723005733,"215010, Смоленская область, г. Гагарин, пер. Пионерский, д. 3","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 27-а (магазин), без ограничений",№ 1010              Б 005466,10 мая 2011,по 30 июня 2011,до 01 июля 2012,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, пер. Пионерский, д. 3 (магазин), без ограничений",№ 1010               Б 005789,30 июня 2006,по 30 июня 2011,,исключение объекта,,,,,,
47,"ООО ""Камаз-сервис""",6723010668,1036724301316,"215010, Смоленская область, г. Гагарин, Промышленный проезд, д. 1","215010, Смоленская область, Гагаринский район, д. Дорожно-ремонтный пункт, д. 26 (магазин)",№ 1834                 Б 005100,18 февраля 2009,по 18 февраля 2014,,,,,,,,
48,"ООО ""ИнтерЭльвинг""",6723006936,1026700884517,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 3","215010, Смоленская область, г. Гагарин, торговая площадь ""Тишинка"" (торговый павильон), без ограничений",№ 1852                  Б 005133,01 июля 2009,по 01 июля 2014,,,,,,,,
49,"ООО ""Закрома""",6723019861,1066723005656,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 31/1, 2","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 33/1 (магазин), без ограничений",№ 1259                 Г 254888,11 августа 2006,по 11 августа 2011,,,,,,,,
50,"ООО ""УЮТ""",6723020088,1066723005865,"215004, Смоленская область, Гагаринский район, д. Старое (Потаповское с/п)","215004, Смоленская область, Гагаринский район, д. Старое (закусочная), без ограничений",№ 1206                  Б 005981,27 июля 2006,по 27 июля 2011,,,,,,,,
51,"ООО ""У реки Гжать""",6723019974,1066723005777,"215034, Смоленская область, Гагаринский район, с. Пречистое","215034, Смоленская область, Гагаринский район, с. Пречистое (магазин), без ограничений",№ 996                Б 005803,30 июня 2006,по 30 июня 2011,,,,,,,,
52,"ООО ""Удача""",6723020730,1076723000342,"215047, Смоленская область, Гагаринский район, с. Карманово, ул. Пролетарская, д. 1-а","215047, Смоленская область, Гагаринский район, с. Карманово, ул. Советская, д. 22 (магазин), без ограничений",№ 1723                   Г 679776,23 октября 2008,по 23 октября ,,,,,,,,
53,"ООО ""Лигга""",6723006686,1026700887344,"215010, Смоленская область, г. Гагарин, ул. Советская, д. 9","215010, Смоленская область, г. Гагарин, ул. Советская, д. 9 (магазин), без ограничений",№ 1645                  Г 679666,31 марта 2008,по 31 марта 2013,,,,,,,,
54,"ООО ""Вдохновение""",6723020747,1076723020747,"215017, Смоленская область, Гагаринский район, д. Пышково","215017, Смоленская область, Гагаринский район, д. Пышково (магазин ""Продукты"")",№ 1508                 Г 679508,22 июня 2007,по 22 июня 2012,,,,,,,,
55,"ООО ""МИРАЖ""",6723020673,1076723000276,"215010, Смоленская область, г. Гагарин, ул. Красноармейская, д. 75","215010, Смоленская область, г. Гагарин, ул. Красноармейская, д. 75 (магазин ""Универсам""), без ограничений",№ 1480                 Г 679471,27 апреля 2007,по 27 апреля 2012,,,,,,,,
