№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
,,,,,"216400, Смоленская область, Рославльский район, пересечение а/д Москва-Бобруйск и ж/д на АЭС (кафе), без ограничений",,,,,,,,,,,,,,,,,,
9,"ООО ""Химвест""",6724006329,1026700928462,"216400, Смоленская область, г. Десногорск, 1 микрорайон, д. 16, кв. 127","216000, Смоленская область, г. Десногорск, 3 микрорайон, пристройка к дому № 11 (магазин ""Ростислав"")",№ 1663                  Г 679688,08 мая 2008,по 08 мая 2013,,,,,,,,,,,,,,,
10,"ООО ""НАДЕЖДА""",6724007393,1066725011517,"216400, Смоленская область, г. Десногорск, 1 микрорайон, д. 4, кв. 156","216400, Смоленская область, г. Десногорск, 2 микрорайон (магазин №10), без ограничений",№ 849                  Б 005498,27 мая 2011,по 19 июня 2011,до 20 июня 2016,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 3 микрорайон (магазин №13), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 1 микрорайон (торговый павильон № 184) , без ограничений",№ 849                     Б 005601,19 июня 2006,по 19 июня 2011,,исключение объекта,,,,,,,,,,,,,
11,"ООО ""МАРС""",6724007442,1066725011870,"216400, Смоленская область, г. Десногорск, 3 микрорайон, д. 5, кв. 202","216400, Смоленская область, г. Десногорск, 1-й микрорайон (магазин № 138 ""Марс""), без ограничений",№ 817                   Б 005582,01 июля 2006,по 01 июля 2011,до 02 июля 2013,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область. Г. Десногорск, 1 микрорайон, д. 12-а (магазин), без ограничений",,01 июля 2006,по 01 июля 2011,,смена торг. Объекта,,,,,,,,,,,,,
12,"ООО ""СЕРЕЖКА""",6724007499,1066725012012,"214000, Смоленская область, г. Десногорск, 6 микрорайон, д. 179, кв. 21","216400, Смоленская область, г. Десногорск, 1-й микрорайон, около ж/д № 13(магазин), без ограничений",№ 909                 Б 005662,26 июня 2006,по 26 июня 2011,до 27 июня 2016,,,,,,,,,,,,,,
13,"ООО ""Кристалл""",6724007604,1066725012310,"216400, Смоленская область, г. Десногорск, 3 микрорайон, д. 3, кв. 4","216400, Смоленская область, г. Десногорск, 3-й микрорайон (магазин), без ограничений",№ 868                 Б 005632,22 июня 2006,по 22 июня 2011,до 23 июня 2012,,,,,,,,,,,,,,
14,"ООО ""Маяк""",6724007749,1066725012750,"216400, Смоленская область, г. Десногорск, 4-й микрорайон, д. 1, кв. 29","216400, Смоленская область, г. Десногорск, 6-й микрорайон (магазин № 186), до 15%",№ 1354                Б 004987,07 июля 2011,по 08 ноября 2011,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 4-й микрорайон (торговый павильон № 147), без ограничений",,,,,,,,,,,,,,,,,,
15,"ООО ""ГАЛС""",6724007700,1066725012716,"216400, Смоленская область, г. Десногорск, 2-й микрорайон, 12, 84","216400, Смоленская область, г. Десногорск, 6-й микрорайон (магазин № 192), без ограничений",№ 1270                Г 254912 ,17 августа 2006,по 17 августа 2011,до 18 августа 2016,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 6-й микрорайон (магазин ""Валерия""), без ограничений",,,,,,,,,,,,,,,,,,
16,"ООО ""Ильяс""",6724007548,1066725012133,"216400, Смоленская область, г. Десногорск, 3 микрорайон, д. 15, кв. 16","216400, Смоленская область, г. Десногорск, 2 микрорайон, д. № 4, 5",№ 982                  Б 004776,13 июля 2011,до 01 июля 2016,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 3 микрорайон, район дома № 16 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
17,"ООО ""ТК ""Десногорский рынок""",6724007354,1066725008305,"216400, Смоленская область, г. Десногорск, микрорайон 3, здание Десногорского рынка","216400, Смоленская область, г. Десногорск, микрорайон3 ,здание крытого рынка (магазин)",№ 760                   Б 005496,26 мая 2011,по 01 июня 2011,до 02 июня 2014,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, микрорайон 3, здание крытого рынка (закусочная ""Весна"")",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, микрорайон 2 (закусочная ""Дворик"")",,,,,,,,,,,,,,,,,,
18,"ООО ""Антонина""",6724007516,1066725012045,"216400, Смоленская область, г. Десногорск, 4 микрорайон, д. 6, кв. 23","216400, Смоленская область, г. Десногорск, 3-й микрорайон, д. 13-а (магазин), без ограничений",№ 870                 Б 005627,22 июня 2006,по 22 июня 2011,до 23 июня 2014,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 3-й микрорайон, д. 20 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
19,"ООО ""Белый орел""",6724008809,1096725001273,"216400, Смоленская область, г. Десногорск, 2-ой микрорайон, Дом быта","216400, Смоленская область, г. Десногорск, 2-ой микрорайон, Дом быта (магазин), без ограничений",№ 2028                     Б 004957,30 июня 2011,до 30 июня 2012,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 2-ой микрорайон, Дом быта (кафе), без ограничений",,,,,,,,,,,,,,,,,,
20,"ООО ""ИРИНА""",6724007570,1066725012200,"216400, Смоленская область, г. Десногорск, 4 микрорайон, д. 12, кв. 29","216400, Смоленская область, г. Десногорск, 3 микрорайон (магазин № 162), без ограничений",№ 790                  Б 005549,09 июня 2006,по 09 июня 2011,до 10 июня 2013,,,,,,,,,,,,,,
21,"ООО ""ВилАН""",6724007555,1066725012188,"216400, Смоленская область, г. Десногорск, 3 микрорайон, д. 4, кв. 17","216400, Смоленская область, г. Десногорск, 3 микрорайон (закусочная ""Хмелита"" № 179), до 15%",№ 2022                  Б 004964,30 июня 2011,до 30 июня 2016,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 4 микрорайон (закусочная ""Хмелита"" № 173), до 15%",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск,3 микрорайон (закусочная ""Хмелита"" № 156/1),до 15 %",,,,,,,,,,,,,,,,,,
22,"ООО ""Пальмира""",6724007611,1066725012320,"216400, Смоленская область, г. Десногорск, 6 микрорайон, д. 34","216400, Смоленская область, г. Десногорск, 3 микрорайон (магазин), без ограничений",№ 867                  Б 005645,22 июня 2006,по 22 июня 2011,,,,,,,,,,,,,,,
23,"ООО ""МИНУТКА""",6724007467,1066725011913,"216400, Смоленская область, г. Десногорск, 1 микрорайон, д. 9, кв. 83","216400, Смоленская область, г. Десногорск, 3 микрорайон, д. 1-а (закусочная), без ограничений",№ 771                  Б 005537,11 июня 2006,по 11 июня 2011,,,,,,,,,,,,,,,
24,"ООО ""КОРОЛЕВСТВО ЭЛИТНЫХ ВИН""",6724007361,1066725008283,"216537, Смоленская область, г. Десногорск, микрорайон,4, д. 10, кв. 92","216537, Смоленская область, г. Десногорск, микрорайон 3 (магазин), без ограничений",№ 752                   Б 005510,26 мая 2006,по 26 мая 2011,,,,,,,,,,,,,,,
25,"ООО ""Элегия""",6724007330,1066725004697,"216400, Смоленская область, г. Десногорск, 4-й микрорайон, ДК ""Нейтрино""","216400, Смоленская область, г. Десногорск, 4-й микрорайон, ДК ""Нейтрино"" (кафе), без ограничений", № 2054                        Г 301774,23 сентября 2011,23 сентября 2015,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 1-ый микрорайон (кафе), без ограничений",,,,,,,,,,,,,,,,,,
26,"ООО ""Олеся""",6724007650,1066725012496,"216400, Смоленская область, г. Десногорск, 4-й микрорайон, 3, 57","216400, Смоленская область0 г. Десногорск, микрорайон № 2 (магазин), без ограничений",№ 1129                    Б 005908,14 июля 2006,по 14 июля 2011,,,,,,,,,,,,,,,
27,"ООО ""Водолей""",6724007629,1066725012364,"216400, Смоленская область, г. Десногорск, 2-й микрорайон, 18, 25","216400, Смоленская область, г. Десногорск, 2-й микрорайон (павильон № 82), без ограничений",№ 2073                       Г 301913,25 ноября 2011,25 ноября 2016,,,,,,,,,,,,,,,
28,"ООО ""АРЗУ""",6724007562,1066725012199,"216400, Смоленская область, г. Десногорск, 3-й микрорайон, д. 16-а, кв. 19","216400, Смоленская область, г. Десногорск, 3-й микрорайон (магазин), без ограничений",№ 894                  Б 005691,29 июня 2006,по 29 июня 2011,,,,,,,,,,,,,,,
29,"ООО ""Флора""",6724007643,1066725012452,"216400, Смоленская область, г. Десногорск, 3-й микрорайон, 16-а, 35","216400, Смоленская область, г. Десногорск, 3-й микрорайон (кафе), без ограничений",№ 1247                  Г 254876,08 августа 2006,по 08 августа 2011,,,,,,,,,,,,,,,
30,"ООО ""ТИМ""",6724007587,1066725012254,"216400, Смоленская область, г. Десногорск, 2-й микрорайон, 19","216400, Смоленская область, г. Десногорск, 2-й микрорайон, пристройка к д. 19 (магазин), без ограничений",№ 1236                 Г 254870,02 августа 2006,по 02 августа 2011,,,,,,,,,,,,,,,
31,"ООО ""Вита""",6724007682,1066725012683,"216401, Смоленская область, г. Десногорск, коммунально-складская зона","216401, Смоленская область, г. Десногорск, коммунально-складская зона (закусочная), без ограничений",№ 1225                Г 254860,31 июля 2006,по 31 июля 2011,,,,,,,,,,,,,,,
32,"МУП ""ККП"" МО ""город Десногорск""",6724002162,1026700924744,"216400, Смоленская область, г. Десногорск, 3-й микрорайон, пристройка к д. 1-б","216400, Смоленская область, г. Десногорск, микрорайон №2 (магазин), без ограничений",№ 1299                        Г 254936,05 сентября 2006,по 05 сентября 2011,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, микрорайон №3 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 1-й микрорайон, здание ГЦД (кафе), без ограничений",,,,,,,,,,,,,,,,,,
33,"ООО ""ГОЛД""",6725015767,1106725000690,"216400, Смоленская область, г. Десногорск общественно-производственная зона, торговый комплекс ""Флора""","216400, Смоленская область, г. Десногорск, производственно-общественная зона (кафе), без ограничений",№ 1954                   Б 005343,27 января 2011,по 27 января 2012,,,,,,,,,,,,,,,
34,"ООО ""Десстрой""",6724005237,1026700925844,"216532, Смоленская область, г. Десногорск, 2, 19, 245","216500, Смоленская область, г. Рославль, 34 микрорайон, д. 5 (магазин), без ограничений",№ 1776               Б 005035,10 декабря 2008,по 10 декабря 2013,,,,,,,,,,,,,,,
35,"ООО ""Капель""",6724008301,1086725000163,"216400, Смоленская область, г. Десногорск, 4 микрорайон, д. 10, кв. 103","216546, Смоленская область, Рославльский район, Савеевское с/п, д. Савеево (торговый павильон) ",№ 1660                       Г 679683,30 апреля 2008,по 30 апреля 2013,,,,,,,,,,,,,,,
36,"ООО ""Гелиос""",6724005558,1026700924580,"216400, Смоленская область, г. Десногорск, 1 микрорайон, д. 13, пристройка","216400, Смоленская область, г. Десногорск, 1 микрорайон, д. 13, пристройка (бар ""Гелиос""), без ограничений",№ 1635                  Г 673654,12 февраля 2008,по 12 февраля 2013,,,,,,,,,,,,,,,
37,"ООО ""Авангард""",6724005660,1026700926955,"216400, Смоленская область, г. Десногорск, 4-ый микрорайон, д. 17","216400, Смоленская область, г. Десногорск, 4-ый микрорайон (магазин ""Капан""), без ограничений",№ 1542               Г 679542,16 августа 2007,по 16 августа 2012,,,,,,,,,,,,,,,
38,"ООО ""Орхидея""",6724002719,1076725000857,"216400, Смоленская область, г. Десногорск, 1 микрорайон, д. 4, кв. 21","216400, Смоленская область, Рославльский район, с. Екимовичи, ул. Б. Советская (закусочная), без ограничений",№ 1528               Г 679525,20 июля 2007,по 20 июля 2012,,,,,,,,,,,,,,,
39,"ООО ""Лагуна""",6724007795,1066725013618,"216400, Смоленская область, г. Десногорск, 1-ый микрорайон, магазин ""№174"" ""У Клена""","216400, Смоленская область, г. Десногорск, 3-ий, у дома № 8, 3 (кафе), без ограничений",№ 1385                        Г 679782,08 июня 2009,по 05 декабря 2011,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 1-ый микрорайон (кафе-бар ""Экспресс""), без ограничений",,,,,,,,,,,,,,,,,,
40,"ООО ""Ностальжи""",6724007690,1066725012672,"216400, Смоленская область, г. Десногорск, 2-й мкр., д. 2","216400, Смоленская область, г. Десногорск, 2-й мкр., д. 2 (закусочная), без ограничений",№ 1180                  Б 005958                   ( Г 301889),19 июля 2006,по 19 илля 2011,до 20 июня 2012,,,,,,,,,,,,,,
