№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продление   лицензии ,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
21,"ООО ""Арзан""",6714026090,1056735018713,"214541, РФ, Смоленская область, Смоленский район, с. Каспля-2, ул. Студенческая, 4, 20 ","214545, Смоленская область, Смоленский район, д. Бабны, ул. Молодежная, д. 22 (магазин)",№ 1784               Б 005049,15 декабря 2008,по 15 декабря 2013,,,,,,,,
,,,,,"214546, Смоленская область, Смоленский район, д. Лоино, ул. Центральная, д.11 (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, п. Каспля-2, ул. Студенческая (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская областная, Смоленский район, п. Каспля, ул. Советская, д. 2 (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, п. Каспля, ул. Молодежная, д. 2-а (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, д. Волоковая, ул. Центральная, д. 2 (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, д. Верховье, ул. Школьная (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, д. Новосельское, д. 41-а (магазин)",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, д. Агапоново, д. 97 (магазин)",,,,,,,,,,,
22,"ООО ""Имидж""",6714027979,1076714001022,"214514, Смоленская область, Смоленский район, д. Русилово, ул. Центральная, д. 9","214036, Смоленская область, г. Смоленск, ул. Попоиа, д. 119 (кафе-бар), без ограничений.",№ 1634               Б 004821                       ( Г 301973),30 мая 2011,по 12 февраля 2013,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, пер. Юннатов, д. 12, пом. 3 (кафе), без ограничений",,,,,18 января 2012                    включение объекта,,,,,,
23,"ООО ""ПОДСОЛНУХ""",6714031735,1116714000292,"214010, Смоленская область, Смоленский район, д. Магалищина, ул. Заречная, д. 3-а ","214010, Смоленская область, смоленский рфйон, д. Магалинщина (ьагазин), без ограничений",№ 2008               Б 004826,01 июня 2011,01 июня 2016,,,,,,,,
24,"ООО ""ЦЕНТР""",6714026654,1066714004895,"214550, Смоленская область, Смоленский район, дер. Жуково, ул. Придорожная, д. 5","214530, Смоленская область, смоленский район, п. Печерск, ул. Минская, д. 18 (кафе-бар)",№ 747                 Б 005508,24 мая 2006,по 24 мая 2011,,,,,,,,
25,"ООО "" Ольга""",6714026887,1066714005522,"214550, Смоленская область, Смоленский район, д. Жуково, ул.Мира, 25-а","214550, Смоленская область, Смоленский район, д. Жуково, ул. Мира, 25-а (отдел в магазине)",№ 1519               Г 679518,27 июня 2007,по 27 июня 2012,,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район, д. Жукова, ул. Мира, д. 20 (магазин), без ограничений.",,,,,,,,,,,
26,"ООО ""ТАТЬЯНА""",6714026580,1066714003245,"214505, Смоленская область, Смоленский район, дер. Лубня, ул. Краснинская","214505, Смоленская область, Смоленский район, д. Лубня, ул. Краснинская (магазин), без ограничений.",№ 668                 Г 679274,05 апреля 2006,06 апреля 2012,,,,,,,,
27,"ООО ""Шоссе""",6714003128,1026700671249,"214530, Смоленская область, Смоленский район, п. АЗС","214004, Смоленская область, г.Смоленск, ул. Багратиона, д, 21 (пиццерия), без ограничений",№ 1973              Б 005403,25 марта 2011,по 25 марта 2012,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. АЗС, д. 1А (кафе), без ограничений",,,,,,,,,,,
28,"ООО ""СОЛНЕЧНЫЙ""",6714026069,1056735018328,"214513, Смоленская область, Смоленский район, д. Кощино, ул. Калинина, д.38","214513, Смоленская область, Смоленский район, д. Кощино, ул.Калинина, д. 38 (кафе), без ограничий",№ 1165               Б 004924,20 июня 2011,по 19 июля 2011,до 20 июля 2016,,,,,,,
,,,,,"214513, смоленская область, Смоленский район, д.Кощино, ул. Калинина, д. 38, (магазин), без ограничений.",,,,,,,,,,,
29,"ООО ""ВЕРА""",6714026608,1066714004444,"214550, Смоленская область, Смоленский район, дер. Жуково, ул. Мира, д. 46-А","214550, Смоленская область, Смоленский район, дер. Жуково, ул. Мира, д. 46-а (магазин), без ограничений.",№ 689                 Г 245968,14 апреля 2006,по 14 апреля 2011,до 15 апреля 2012,,,,,,,
30,"ООО ""Ирина""",6714031615,1116714000160,"214020, Смоленская область,Смоленский район, д. Зубовшина, пер. Лесной, д. 4-а","214000, Смоленская область, г.Смоленск, ул. Большая Советская, д. 17/1 (кафе), без ограничений",№ 2004              Г 005481,16 мая 2011,до 16 мая 2012,,,,,,,,
31,"ООО ""АНТОНЧЕНКОВ""",6714027055,1066714006259,"214518, Смоленская область, Смоленский район, п.Пригорское, ул. Молодежная,  1, А","214518, Смоленская область, Смоленский район, с. Пригорское, ул. Молодежнок, д. 1-а (магазин), без ограничений.",№ 1124                Б 005902,14 июля 2006,по 14 июля 2011,до 15 июля 2013,,,,,,,
32,"ООО ""Маяк""",6714026703,1066714004961,"214523, Смоленская область, Смоленский район, д. Архиповка, ул. Центральная, д. 2-б ","214523, Смоленская область, Смоленский район, д. Архиповка, ул. Центральная , д. 2-б (кафе)",№ 997                 Б 005791,30 июня 2006,по 30 июня 2011,,,,,,,,
,,,,,"216760, Смоленская область, г. Рудня, ул. Киреева, д. 81 (кафе-бар)",,,,,,,,,,,
,,,,,"216100, Смоленская область, Краснинский район, д. Красная горка, 453 км. ф/д М-1 Беларусь (кафе)",,,,,,,,,,,
33,"ООО ""Магнат""",6714021825,1026700670149,"216025, Смоленская область, Смоленский район, дер. Ермаки, а/д Москва-Беларусь, 408 км","214525, Смоленская область, Смоленский район, дер. Ермаки, ф/д Москва-Беларусь, 408 км",№ 900                Б 005688,29 июня 2006,по 29 июня 2011,,,,,,,,
34,"ООО ""А.В.А.""",6714011873,1026700668477,"216010, Смоленская область, Смоленский район, дер. Туринщина","214034, Смоленская область, г. Смоленск, ул. Щорса, д. 1 (магазин)",№ 784                 Б 005547,09 июня 2006,по 09 июня 2011,,,,,,,,
,,,,,"214034, Смоленская область, г. Смоленск, ул. Щорса, д. 4 (кафе-бар)",,,,,,,,,,,
35,"ООО ""ФРЕЯ""",6714026510,1066714001320,"214522, Смоленская область, Смоленский район, пос. Авторемзавод, д. 1-А","214522, Смоленская область, Смоленский район, п. Катынь, ул. Витебское шоссе, д. 15-а (магазин), без ограничений",№ 649                 Г 679250,15 марта 2006,по 15 марта 2011,до 16 марта 2016,,,,,,,
