"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Куйтунский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,,,,"с. Кундуй, ул.Ленина,79 А",,,,,,
17.,ООО «Старт»                         ИНН 3814011046      переоформление,"Иркутская обл.,      Куйтунский р-он,   р.п.Куйтун, ул.Луговая, 7                    МИФНС №14",А 244868  №9 от 08.08.2008 г. до 28.07.2011г. Продлена 21.07.2011 до 28.07.2016,"р.п.Куйтун ул.Красного Октября, 35 – кафе «Жемчужина»",7/31/2012,,,,,
18.,ООО «Конкурент» ИНН 3814012466  переоформление,"Иркутская обл.,      Куйтунский р-он,  с.Карымск, ул.Рабочая, 35-3                       МИФНС №14",А244870 №12  от 08.10.2008г. до 28.02.2013г.,"с.Карымск, ул.Советская, 9а – отдел",,,,,,
,,,,"с.Большой Кашелак, ул.Социалистическая, 54а – отдел                       ",,,,,,
19.,ООО «Вертикаль»        ИНН  3814011818             переоформление,"Иркутская область,      Куйтунский район, п. Панагино ул.Лесная, 11-1 МИНФНС №14",А 244872 №16 от 26.12.2009г. до 31.08.2012г.,"п.Панагино, ул.Лесная, 11-2 - магазин",,,,,,
,,,,"с.Усть-Када, ул.Победы, 2-1 - магазин",,,,,,
20.,ООО «Эконом»                  ИНН 3832003658           переоформление,"Иркутская область, р.п.Куйтун, ул.Карла Маркса, 20а                                        МИФНС №14",А 244885  №19 от  28.12.2009г. до 22.10.2012г. Взамен:                  А 244928 от 31.05.2012г. до 22.10.2012г.,"р.п. Куйтун, ул. Карла Маркса, 20 «а» - магазин",,,,,,
,,,,"с.Барлук, ул.Ленина, 12б – магазин",,,,,,
,,,,"р.п.Куйтун, ул.Фрунзе, 2в – отдел",,,,,,
,,,,,,,,,,
21.,ООО «Абсолют»    ИНН 3814013854      переоформление,"Иркутская область, г.Зима, ул. Проминского, 11-80",№25 А244932 от 19.07.2012  взамен А 244892 №40 от 22.10.2010г. до 25.12.2013г.                  Взамен: А 244890  №27 от 05.04.2010г.  до 25.12.2013г  Взамен А 244897 №50 от 24.12.2010 до 25.12.2013   Взамен: А 244908 № 70 от 22.04.2011 до 25.12.2013 Взамен: А 244916 № 96 от 14.11.2011 до 25.12.2013 Взамен: А 244925 №9 от 25.04.2012г. до25.12.2013г.,"Иркутская область,Куйтунский район,р.п.Куйтун, ул.Красного Октября,66",,,,,,
,,,,"Иркутская область,Нукутский район,п.Новонукутский,пер.Школьный,5-1",,,,,,
,,,,"Иркутская область,Зиминский район,с.Кимильтей,ул.Чкалова,53",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Чеботариха,Мира ул.,63",,,,,,
,,,,"Иркутская область,Куйтунский район,ст.Тулюшка,ул.Ворошилова,20",,,,,,
,,,,"Иркутская область,Черемховский район,д.Паршевникова,Северная ул.,16",,,,,,
,,,,"Иркутская область,Нукутский район,с.Ункурлик,ул.Трактовая,17",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Карымск,Советская ул.,2 п 3",,,,,,
,,,,"д.Апраксина, ул.Советская, 31 – отдел",,,,,,
,,,,"Иркутская область,Куйтунский район,п.Уховский,Гагарина ул.,37а",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"Иркутская область,Куйтунский район,п.Куйтун, ул.,22 Годовщина Октября,1",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Уян,ул.1-я Советская,6а",,,,,,
,,,,"Иркутская область,г.Черемхово,пер.4 Заводской,2а",,,,,,
,,,,,,,,,,
,,,,"Иркутская область,Куйтунский район,с.Анднрюшино,Заречная ул.,2-1",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Большой Кошелак,Социалистическая ул.,51",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Андрюшино, ул.,Советская,68б",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Усть-Када,ул.Набережная,3а",,,,,,
,,,,"Иркутская область,Зиминский район,с.Ухтуй,ул.Московский тракт,1",,,,,,
,,,,"Иркутская область,Куйтунский район,с.Анднрюшино,Заречная ул.,2-1",,,,,,
,,,,"Иркутская область,Куйтунский район,п.Харик,Кирова ул.",,,,,,
,,,,"Иркутская область,Куйтунский район,п.Игнино,Больничная,14",,,,,,
,,,,"Иркутская область,Куйтунский район,р.п.Куйтун,ул.Красного Октября,15а",,,,,,
,,,,"Иркутская область,г.Зима,ул.Калинина,102",,,,,,
,,,,"Иркутская область,Зиминский район,с.Самара,Черемушки ул.,5",,,,,,
,,,,"Иркутская область,г.Зима,Космонавтов,51",,,,,,
,,,,"Иркутская область,Нукутский район,с.Хадахан,ул.Школьная,12",,,,,,
,,,,"Иркутская область,ст.Тулюшка,ул.Свердлова,1а",,,,,,
,,,,"Иркутская область,Куйтунский район,р.п.Куйтун,31-я Годовщина ул.,61А",,,,,,
22.,ООО «Дружба»              ИНН  3814014953,"Иркутская область, Куйтунский район, с.Тулюшка, ул.Ленина,24 а",А 244884 № 20 от 29.12.09 до 29.12.2014 г," с.Тулюшка, ул.Ленина,24 а -  кафе «Дружба»",7/31/2012,,,,,
,,,,"п.жд.ст. Тулюшка, ул. Советская, 1-3",,,,,,
23.,ООО «Орион Лес»   ИНН  3814015019 переоформление,"Иркутская область, Куйтунский район, ст.Мингатуй, ул.Вокзальная, 2",№24 А244931 от 11.07.2012  взамен А 244886 № 24 от 18.01.2010г. до до18.01.2010г. Взамен: А 244902 №56 от 09.02.2011г. до 18.01.2015г. Взамен: А244922 № 6 от 17.04.2012г. до 18.01.2015г.,"Иркутская область,Куйтунский район,р.п.Куйтун,ул.Фрунзе,2,строение Е",,,,,,
,,,,,,,,,,
24.,ООО «Шаи»                    ИНН 3814014880    переоформление,"Иркутская область, г.Зима, ул.Чкалова,7",А 244889 № 27 от 05.03.10 до 31.12.2014 г.                        Взамен: А 244891 №36 от 03.09.2010г. до 31.12.2014г.                             Взамен А 244893 №41 от 22.10.2010г.  до 31.12.2014г.  Взамен А 244894 №46 от 14.12.2010г. до 31.12.2014г.  Взамен: А 244912 № 86 от 18.07.2011 до 31.12.2014 Взамен: А 244924 № 8 от 23.04.2012г.до 31.12.2014г.  Взамен: А 244926 №13 от 16.05.2012г. до 31.12.2014г.,"п.Уховский, ул.Мичурина, 2а – отдел",,,,,,
,,,,"с.Уян, ул.Бурлова, 27А - отдел",,,,,,
,,,,,,,,,,
,,,,"с.Усть-Када, ул.Победы, 15 - отдел",,,,,,
,,,,"р.п. Куйтун, ул. К.Маркса, 1 - отдел",,,,,,
,,,,"с.Усть-Када, ул.Молодёжная, 13А - отдел",,,,,,
,,,,"р.п. Куйтун, ул. Коммунальная, 38 - отдел",,,,,,
25.,"ООО ""Высота""  ИНН 3814015107   переоформление","Иркутская область, г. Зима, ул. Проминского, 11-80",А 244903 №61 от 05.03.2011г. до 05.03.2016г.   Взамен А 244905 №64 от 31.03.2011г. до 05.03.2016г. Взамен А 244909 №75 от 19.05.2011 г.  До 05.03.2016 г.    Взамен А 244 913 № 84 от 07.07.2011 до 05.03.2016 Взамен:А 244923 № 7 от 23.04.2012 до 05.03.2016г.,"р.п. Куйтун, ул. Кр. Октября, 23-1 - отдел",,,,,,
,,,,"с.Чеботариха, ул. Мира, 141 - отдел",,,,,,
,,,,"п.жд.ст. Тулюшка, ул. Мира, 20А - отдел",,,,,,
,,,,,,,,,,
,,,,"р.п. Куйтун, ул. Гоголя, 8, а - отдел",,,,,,
,,,,,,,,,,
,,,,,,,,,,
