"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Осинский район"" ",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
27,"ООО ""Абсолют"" 8505006506",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"А167622, 03.02.2010г.- 28.02.2012г. Взамен 38 МЕ 000790 №006-РАП от 28.02.2007 г.","с.Оса , ул.Некрасова 39а , м-н ""Лимон"",с.Оса , ул.Свердлова,8 м-н ""Для Вас""",,,2/28/2012,,,
28,"ООО ""Белка"" 8505006552",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000801, №012-РАП, 23.03.2007г.- 23.03.2012г.","с.Ново-Ленино, ул.Ленина, м-н ""Белка",,,3/23/2012,,,
29,"ООО ""Усть-Оса"" 8505006591",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000 815            №023-РАП, 04.05.2007г.- 04.05.2012г.","с.Рассвет, ул.Сергея-Лазо, м-н ""Луч""",,,5/4/2012,,,
30,"ООО ""Восторг"" 8505006545",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000878 №024-РАП, 25.05.2007г.- 25.05.2012г.","с. Ирхидей, м-н ""Восторг"" ; п.Усть-Ордынский,  пер. Первый Октябрьский, №11   м-н ""Зеленый""",,,5/25/2012,,,
31,"ООО ""Мария"" 8505006626",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 857735 №11 от 20.05.11 до 21.06.2012г.," с.Оса , ул.40 Победы м-н ""Одон""",,,21.06.2012г.,,,
32,"ООО""Делиз"" 8505006785",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38МЕ 000976 №054-РАП, 27.12.2007г.-27.12.2012г.","п.Приморский, ул. Набережная 9а, м-н ""Анна""",,,,,,
33,"ООО""Луч"" 8505006834",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 167611 26.06.2008г. 26.06.2013г.,"п.Приморский ул.Гагарина,47а м-н ""Сибирь""; п.Приморский, трасса Иркутск-Усть-Уда, 165 км. м-н ""Продукты""",,,,,,
34,"ООО ""Агат"" 8505006859",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 167613           23 июля 2008г  23июля 2013г.,"сОнгой, ул.Махутова,1  м-н ""Агат"", с.Хокта, ул.Центральная,7, магазин ""Агат"" ",,,,,,
35,"ООО ""Енисей"" 8505006432",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 167615 1.12.2008г. 1.12.2013г.,"с.Енисей, ул.60 лет Октября 14,  м-н ""Енисей""",,,,,,
36,"ООО ""Пяткин"" 3845000044",Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,А 167616 30.01.2009г.          30.01.2014,"п.Приморский, ул.Лесная,4               м-н ""Ирина""",,,,,,
37,"ООО ""Вероника"" 3845000125",Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,А167623 18.06.2010г. 18.06.2011г.,"д.Онгой,ул.Лесная,4",,,6/18/2011,,,
38,"ООО ""Скорпион""",Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,А167627 №6 24.11.2010г. 24.11.2011г.,"Осинский район, 143-км.трассы Иркутск-Усть-Уда,кафе ""Экспресс""",,,24.11.2011г.,,,
39,"ООО ""Саяны""",Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,А 167629 №7 29.11.2010г. 29.11.2011г.,"с.Обуса,ул.Обусинская,22 м-н ""Селенга""; с.Ново-Ленино, ул.Ленина,7, м-н ""Саяны"";с.Унгин, ул.Кинзеева,4, м-н""Престиж""",,,29.11.2011г.,,,
40,"ООО ""Елена"" 3849010822",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 857741 №17 26.07.2011 до 09.06.2012," с.Бильчир м-н ""У Ксюши""; с.Бильчир, м-н ""Орбита"" с.Майск ул.Трактовая м-н ""Татьяна"";с.Оса ул.Милиораторов м-н ""Спутник"";с.Оса, ул.Свердлова,55, магазин ""Янта"";д.Харай, ул.Матросова,4, м-н ""Спутник"" с.Оса, с.Майск, ул.трактовая 1""б""-2 ""Спутник"", с.Усть-Алтан м-н ""Березка"", с.Оса, ул.Солнечная,26 м-н""Спутник""",,,09.06.2012г.,,,
41,"ОО ""Вега"" 8505005774",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 857742 №21 от 23.08.2011г.- 23.08.2012г.,"п.Приморский, 169км.трассы Иркутск-Оса-Усть-Уда кафе ""Вега""",2/24/2012,,,,,
42,"ООО ""Мария"" 8505006626",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 857779 №4 от 10.07.2012-10.07.2013,"с.Оса, ул.40 лет Победв, м-н ""Одон""",,,,,,
43,"ПО ""Осинское"" 8505003551",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 857780 №5 от 10.07.2012-07.04.2013г.,"с.Оса, ул.Свердлова, 92, с.Оса, ул.Набережная, 46, д.Харай, ул.Школьная, 26, с.Обуса, с.Оса, ул.Котовского, 16, д.Шотой, ул.Шотойская, 8, с.Русские Янгуты, мкр.Юбилейный, 29, с.Ирхидей",,,,,,
44,"ООО ""Звезда"" 8505006111 ",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"А 857782 №6, 10.07.2012-10.07.2013","с.Бильчир, ул.Трактовая, 3 м-н ""Звезда""",,,,,,
