"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Слюдянский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
50,"ООО ""Алко-трейд""",,А 195015 № 43 с 05.09.2011 года взамен А 195007 № 18 с 28.06.2011 года по28.06.2013 года,"Слюдянский район, п. Солзан, ул. Привокзальная, 8, отдел в магазине",,,,,Администрация г. Иркутска,
,,,,"Слюдянский район, р.п. Култук, ул. Кирова,46, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Горняцкая, 4, отдел в магазине",,,,,,
,,,,"Слюдянский район, р.п. Култук, остановка ""Роща"", отдел в магазине",,,,,,
51,"ООО ""Стайер""   ИНН 3837003468",Межрайонная  ИФНС России № 1 по Иркутской области и УОБАО,№ 81 бланк А 200506  с 01.08.2011 года по 01.08.2012 года,"г. Слюдянка, ул. Ленина, 99 ""Б"", павильон ""Централь-1""",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 130 ""А"", павильон ""Централь-2""",,,,,,
52,"ООО ""Двойка"" ИНН 3837003362",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 84 бланк А 200509   с 12.08.2011 года по 12.08.2012 года,"р.п. Култук, ул. Кирова, 170 ""А"", магазин ""Двойка""",,,,,,
,,,,"Слюдянский район, 97 км автодороги М-55 ""Иркутск-Чита"", кафе ""Байкальский серпантин""",,,,,,
53,"ООО ""Алмаз-Слюдянка""  ИНН 3848004738",Межрайонная ИФНС России № 17 по Иркутской области,№ 94 бланк А 200519 с 28.11.2011 года по 28.11.2012 года,"Слюдянский район, с. Тибельти, ул. Подгорная, 1 ""А"", магазин",,,,,,
54,"ООО ""Эдванс""    3837001446",Межрайонная России № 1 по Иркутской области и УОБАО,переоформление А 200510 рег. № 85 взамен А 200359 рег. № 359 с 18.11.2011 года по 30.06.2012 года,"г. Слюдянка, ул. Ленина, район автостанции",,,с 27.03.2012,,,
55,"ООО ""Версаль""  ИНН 3848005234",МРИФНС № 17 по Иркутской области,№ 92 бланк А 200517 с 13.02.2012 по 13.02.2013,"г.Слюдянка, ул. Ленина, 136, магазин",,,,,,
,,,,"г. Слюдянка, ул. Советская, 46А, кафе ""Спутник""",,,,,,
56,"ООО ""Гюмри"" ИНН 3837003299",МРИФНС России № 1 по Иркутской области и УОБАО,№ 90 бланк А 200515 с 20.01.2012 по 20.01.2013,"г. Слюдянка, ул. Школьная, 9, магазин",,,,,,
57,"ООО ""Резерв"" ИНН 3848004470",МРИФНС № 1 по Иркутской области,№ 95 бланк А 200520 с 06.04.2012 по 06.04.2014,"г. Байкальск, мкн. Красный ключ, 95, бар",,,,,,
58,"ООО ""Капитал-М"" ИНН 3837003531",МРИФНС России № 1 по Иркутской области и УОБАО,№ 91 бланк А 200516 с 26.01.2012 по 26.01.2013,"г. Байкальск, мкн. Гагарина, 220, кафе",,,,,,
59,"ООО ""Смакфуд"" ИНН 3848005361 ",МРИФНС № 1 по Иркутской области,№ 89 бланк А 200514 с 13.01.2012 по 13.01.2013,"г. Слюдянка, ул. Ленина, 99К, кафе-бар",,,,,,
60,"ООО ""ЕКО""                   3837003323",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 97 серия А 200522 с 1207.2012 по 12.07.2013,"665910, Иркутская область, Слюдянский район, рабочий поселок Култук, улица Кирова, 44, магазин",,,,,,
,,,,,,,,,,
61,"ООО ""Олимп""          3837003073",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 99 серия А 200524 с 18.07.2012 по 18.07.2013,"г. Слюдянка, ул. Советская, 39, магазин ""Копеечка-3""",,,,,,
,,,,"г. Слюдянка, ул. Пролетарская, 38а, магазин ""Копеечка-5""",,,,,,
,,,,"г. Слюдянка, ул. Советская, в районе автостанции, магазин ""копеечка-4""",,,,,,
62,"ООО ""Елена""                        3837003203",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 100 серия А 200525 с 19.07.2012 по 19.07.2013,"Иркутская область, Слюдянский район, город Байкальск, улица Гагарина, 215, магазин ""Дом торговли"", 1 этаж, отдел",,,,,,
,,,,,,,,,,
,,,,,,,,,,
63,"ООО ""Альянс""            3837003309",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО, № 98 серия А 200523 18.07.2012 по 18.07.2013,"г. Слюдянка, ул. Парижской Коммуны, 75, магазин ""Альянс-1""",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 54А, магазин ""Альянс-2""",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Фрунзе, 5, магазин ""Альянс-6""",,,,,,
,,,,,,,,,,
64,"ООО ""Меркурий""    3837004119",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 101 серия А 200526 с 20.07.2012г  по 20.07.2013 ,"г. Байкальск, ул. Гагарина, 202 ""А"", магазин ""Ягодка""",,,,,,
,,,,"г. Байкальск, мкн. Южный, квартал 3, д.24, магазин № 2 ""Южный""",,,,,,
,,,,,,,,,,
,,,,,,,,,,
