"СВЕДЕНИЯ ИЗ РЕЕСТРА ДЕЙСТВУЮЩИХ ЛИЦЕНЗИЙ на розничную продажу алкогольной продукции от 3 июля 2012 г., необходимые для регистрации личных кабинетов организациями, осуществляющими розничную продажу алкогольной продукции в региональной системе приема деклараций.",,,,,,,
,,,,,,,
ОРЛ-01,/,56,4/3/2006,4/2/2012,4/2/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская область, Орловский район, д. Жилина, шоссе ",,,,,
,"Болховское, д.53 б",,,,,,
,"магазин ""Экстра""","г. Орел, ул. Максима Горького, д.82",,,,,
,Предприятие :,ООО,"""Виктория""",Руководитель,Арбузова Ирина Павловна,,
,"РФ, 302026, Орловская область, г. Орёл, площадь Щепная, д.1",Телефон:,43-93-23,Зав,ИНН,5752039170,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,61,4/6/2006,4/5/2012,4/5/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"кафе ""Аут""","г. Орел, площадь Маршала Жукова, д.1",,,,,
,Предприятие :,ООО,"""Визит""",Руководитель,Гарбузова Татьяна Николаевна,,
,"Орловская обл., Урицкий р-н, пгт Нарышкино, ул. Ленина, д.159",Телефон:,  2-01-23,Уриц,ИНН,5725001561,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,81,4/14/2006,4/13/2009,4/14/2014,Кол-во объектов,6
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Визит""","Орловская обл.,Урицкий р-н, пгт Нарышкино, ул. Ленина, д.159",,,,,
,"магазин ""Снежана""","Орловская область, Урицкий район, пгт Нарышкино, ул. Садовая, ",,,,,
,д. 3-б,,,,,,
,"магазин ""Визит""","Орловская область, Урицкий район, пгт Нарышкино, ул. Чапаева, ",,,,,
,д. 18-а,,,,,,
,"магазин ""Визит""","Орловская обл., Урицкий р-н, пгт. Нарышкино, ул. 129 Стрелковая ",,,,,
,"дивизия, д.8-а",,,,,,
,"магазин ""Визит""","Орловская обл., Урицкий р-н, пгт Нарышкино, ул. Ленина, д.11",,,,,
,"магазин ""Визит""","Орловская обл., Урицкий р-н, пгт Нарышкино, ул. Чапаева",,,,,
,Предприятие :,ООО,"""Яблочко""",Руководитель,Хачатрян Асмик Леваевна,,
,"302001,Орловская область,г.Орел, ул.1-ая Посадская, д.15, пом.85",Телефон:,76-30-64,Зав,ИНН,5752039275,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,89,4/25/2006,4/24/2011,4/24/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""В яблочко""","Орловская область,г.Орел,ул.1-ая  Посадская,д.15,пом.85",,,,,
,Предприятие :,ООО,"""Шанс""",Руководитель,Матюшов Дмитрий Васильевич,,
,"303211, Орловская область, Кромской район, с. Вожово, ул. Строителей,  д.23 ",Телефон:,Кром,ИНН,5714005035,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,75,4/27/2006,4/26/2012,4/26/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская область, Кромской район, Стрелецкий с/с, д. ",,,,,
,"Стрелецкая, д.107",,,,,,
,"магазин ""Продукты""","Орловская обл., Кромской р-н, Большеколчевский с/с, с. Вожово, ул.",,,,,
," Строителей, д.23 ""а""",,,,,,
,Предприятие :,ООО,"""Альфа""",Руководитель,Кривошеева Татьяна Ивановна,,
,"г. Орел, ул. Паровозная, д.5 ""а""",Телефон:,47-38-03,Жел,ИНН,5751030431,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,83,4/28/2006,4/27/2012,4/27/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Все к обеду""","Орловская обл., г. Орел, ул. Паровозная, д.5 ""а""",,,,,
,Предприятие :,ЗАО,"""Артель""",Руководитель,Степкина Надежда Михайловна,,
,"302520, Орловская обл.,Орловский район, пгт Знаменка, ул.Гагарина,д.3 ""а""",Телефон:,76-59-39,Орло,ИНН,5720007714,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,98,5/19/2006,5/18/2012,5/18/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская обл.,Орловский р-н, пгт.Знаменка ул Гагарина д.3 ""а""",,,,,
,Страница,2,,,,,
,Предприятие :,",","ПОСПО ""Гермес""",Руководитель,Гущина Татьяна Николаевна,,
,"303930, РФ,Орловская обл.,пгт.Хотынец,ул.Ленина, д.17",Телефон:,  2-10-62,Хоты,ИНН,5726003152,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,112,5/25/2006,5/24/2009,5/25/2014,Кол-во объектов,16
,Наименование объекта,Адрес объекта,,,,,
,Магазин,"Орловская обл.,Хотынецкий р-н,с.Мощеное",,,,,
,Магазин,"Орловская обл.,Хотынецкий р-н,с.Большое Юрьево",,,,,
,Магазин,"Орловская обл.,Хотынецкий р-н,с.Льгов",,,,,
,"магазин ""Кооператор №2""","Орловская обл.,пгт.Хотынец,ул.Батова,46",,,,,
,Магазин,"Орловская область, Хотынецкий район, пос. Жудерский",,,,,
,столовая,"Орловская обл.,пгт.Хотынец, ул.Ленина,16",,,,,
,Магазин,"Орловская обл.,Хотынецкий р-н,д.Алехино",,,,,
,"магазин ""Кооператор №1""","Орловская обл., пгт.Хотынец, ул. Ленина,17",,,,,
,"магазин ""Кооператор №3""","Орловская обл.,пгт.Хотынец, ул. Ленина,30",,,,,
,магазин,"Орловская обл.,Хотынецкий р-н, с.Горки",,,,,
,магазин,"Орловская обл.,Хотынецкий р-н, пос.Красная Поляна",,,,,
,магазин,"Орловская обл.,,Хотынецкий р-н, д.Булатово 1",,,,,
,Магазин,"Орловская обл.,Хотынецкий р-н,пос.,Звезда",,,,,
,Магазин,"Орловская обл.,,Хотынецкий р-н,с.Никольское",,,,,
,магазин,"Орловская обл.,пгт.Хотынец, ул. Поматилова",,,,,
,Предприятие :,ООО,"""Панская""",Руководитель,Панская Людмила Викторовна,,
,"Орловская обл., Орловский р-н, д. Овсянниково, ул. Садовая, д.2",Телефон:,Орло,ИНН,5720012834,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,107,5/26/2006,5/25/2009,5/26/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Авоська""","Орловская обл., Орловский р-н, д. Овсянниково, ул. Садовая, д.2",,,,,
,Предприятие :,ООО,"""Восторг""",Руководитель,Селютина Елена Александровна,,
,"Россия, 302043, г.Орел, ул. Автовокзальная, д.59-А",Телефон:,55-30-16,Зав,ИНН,5752026854,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,115,6/1/2006,6/1/2012,6/1/2015,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"кафе ""Сказка""","г.Орел, ул.Московская, д.30",,,,,
,Предприятие :,ООО,"""Витязь""",Руководитель,Грудева Ольга Васильевна,,
,"303857, Орловская область, Ливенский район, слобода Беломестное, ",Телефон:,  7-39-96,Ливе,ИНН,5715004651,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,120,6/2/2006,6/1/2012,6/1/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Витязь""","Орловская область, Ливенский район, слобода Беломестное, ул. ",,,,,
,"Курская, 315-б",,,,,,
,Предприятие :,ООО,"""ВЛАТА""",Руководитель,Ходунова Татьяна Анатольевна,,
,"Орловская область,г.Ливны, ул.Рабочая, д.9",Телефон:,  7-50-42,ЛивГ,ИНН,5715002365,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,150,6/8/2006,6/7/2011,6/7/2014,Кол-во объектов,3
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Влата""","Орловская область,г.Ливны, ул. М.Горького, д. 2 -г,стр.1",,,,,
,"магазин ""Влата""","Орловская область,г.Ливны ,ул.Рабочая, д.9",,,,,
,"магазин ""Влата""","Орловская область, Ливенский район, с. Норовка, ул Центральная,",,,,,
," д. 17 ""а""",,,,,,
,Предприятие :,ООО,"""Любава""",Руководитель,Нелюдимова Любовь Николаевна,,
,"Орловская область, Хотынецкий район, пос.Жудерский",Телефон:,  2-52-51,Хоты,ИНН,5726003836,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,159,6/8/2006,6/7/2012,6/7/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Любава""","Орловская область, ,Хотынецкий район, п. Жудерский",,,,,
,Страница,3,,,,,
,Предприятие :,ООО,"""Наташа""",Руководитель,Черникова Наталья Васильевна,,
,"Россия,302030,г.Орел,ул.Московская, д.36",Телефон:,54-49-31,Жел,ИНН,5751030914,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,184,6/29/2006,6/28/2011,6/28/2014,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"ресторан ""Ривьера""","Орловская область, г. Орел, наб. Дубровинского, д.86",,,,,
,"магазин ""Наташа""","Орловская область,г.Орел,ул.Московская, д.36, пом.40,41,43",,,,,
,Предприятие :,ООО,"""Автокемп""",Руководитель,Авдеев Сергей Сергеевич,,
,"Россия г. Орел, ул.Черкасская, д.2",Телефон:,Зав,ИНН,5752030593,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,215,6/30/2006,6/29/2011,6/29/2014,Кол-во объектов,4
,Наименование объекта,Адрес объекта,,,,,
,"Ресторан ""Чикаго""","Орловская область, г.Орел, наб.Дубровинского, д.60, пом.8",,,,,
,"Бар ""Русские блины""","Орловская обл., г. Орел, ул. Пролетарская гора, д.3, пом. №69",,,,,
,Предприятие :,ООО,"""Меркурий""",Руководитель,Усатюк Елена Яковлевна,,
,"Российская Федерация, 302030,  г. Орёл, ул. Московская, д. 60",Телефон:,77-84-05,Жел,ИНН,5751030713,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,260,6/30/2006,6/30/2001,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","г. Орел, ул. Московская, д.60, пом. 80",,,,,
,Предприятие :,ООО,"""Авторитет""",Руководитель,Козьяков Алексей Алексеевич,,
,"Р Ф,Орловская область,г.Ливны,ул.Октябрьская, д.94",Телефон:,ЛивГ,ИНН,5702007768,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,194,7/1/2006,6/30/2011,6/30/2014,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Зайди""","Орловская область,г.Ливны,ул.Октябрьская, д.41,стр.1",,,,,
,"магазин ""Хороший""","Орловская область,г.Ливны,ул.Октябрьская,д.94",,,,,
,Предприятие :,ООО,"""Алиса""",Руководитель,Евлампиев Вячеслав Васильевич,,
,"Орловская область, Малоархангельский район, г. Малоархангельск, ул. ",Телефон:,  2-43-43,МАрх,ИНН,5716002640,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,145,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Алиса""","Орловская обл., г. Малоархангельск, ул. Советская, д.9 ""а""",,,,,
,Предприятие :,ООО,"""Аппетит""",Руководитель,Журман Наталия Владимировна,,
,"г.Орел,пер.Ягодный, д. 8б",Телефон:,42-95-65,Сов,ИНН,5753039119,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,122,7/1/2006,6/30/2011,6/30/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Арнад""","Орловская область,г.Орел,ул.1-я Посадская, д.26",,,,,
,"магазин ""Аппетит""","Орловская область,г.Орел,пер.Ягодный,д.8б",,,,,
,Предприятие :,ООО,"""БАРС""",Руководитель,Фарафонов Леонид Михайлович,,
,"г. Орел, ул. Пушкина, д.37 ""а""",Телефон:,55-39-24,Жел,ИНН,5751030512,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,140,7/1/2006,6/30/2009,6/30/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,Закусочная,"г. Орел, ул. Пушкина, д.37 ""а""",,,,,
,Предприятие :,ООО,"""Визит""",Руководитель,Зубов Владимир Иванович,,
,"РФ, 303980, Орловская область, Сосковский район, с. Сосково, ул. Ленина, д. 6",Телефон:,Соск,ИНН,5723002023,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,127,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Визит""","Орловская область,Сосковский район,с.Сосково,ул.Ленина, д.6",,,,,
,Страница,4,,,,,
,Предприятие :,ООО,"""Виконт""",Руководитель,Коныжев Виктор Иванович,,
,"Россия, Орловская область, г. Мценск, ул. Привокзальная,  д. 5",Телефон:,  2-14-21,МцеГ,ИНН,5703011125,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,204,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская область,г.Мценск,ул.Привокзальная, д.5",,,,,
,Предприятие :,ООО,"""Виола""",Руководитель,Богатых Виктор Дмитриевич,,
,"303857, Орловская область,г. Ливны, ул. Курская, д. 1-а",Телефон:,  2-33-28,ЛивГ,ИНН,5702008031,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,141,7/1/2006,6/30/2012,6/30/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Виола""","Орловская область,г.Ливны, ул.Курская, д. 1-а",,,,,
,Предприятие :,ООО,"""Гермес плюс""",Руководитель,Чечеткина Валентина Павловна,,
,"г. Орел, Московское шоссе, д. 113 ""д""",Телефон:,75-70-13,Сев,ИНН,5754004976,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,176,7/1/2006,6/30/2011,6/30/2016,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская обл., г. Орел, шоссе Московское, д.113 ""д""",,,,,
,"магазин ""На Электровозной""","Орловская обл., г. Орел, шоссе Московское, д. 29 ""а""",,,,,
,Предприятие :,ООО,"""Дионис""",Руководитель,Сергеев Александр Сергеевич,,
,"302025, Орловская область, г. Орёл, ул. Маринченко, д.20 ""а""",Телефон:,36-41-07,Сев,ИНН,5754005377,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,170,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская обл., г. Орел, ул. Маринченко, д.20 ""а""",,,,,
,Предприятие :,ООО,"""Заря""",Руководитель,Будагова Надежда Ивановна,,
,"РФ,Орловская обл.,Должанский район,пгт.Долгое,ул.Орджоникидзе, 1а",Телефон:,  2-17-80,Долж,ИНН,5708003329,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,133,7/1/2006,6/30/2011,6/30/2014,Кол-во объектов,4
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Финский""","Орловская область,пгт.Долгое,ул.Газопроводская",,,,,
,"Магазин ""Для Вас""","Орловская область, Должанский район, с. Вышнее Ольшаное",,,,,
,"магазин ""Юбилейный""","Орловская область,Должанский район,пгт.Долгое, ул. ",,,,,
,Молодежная,,,,,,
,"магазин ""Татьяна""","Орловская область,Должанский район,пгт.Долгое, ул. ",,,,,
,"Привокзальная, д.38",,,,,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,168,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Ирина""","Орловская обл., г. Дмитровск, ул. Советская, д.143 ""а""",,,,,
,Предприятие :,ООО,"""ЗУБР""",Руководитель,Голубь Виктория Михайловна,,
,"г.Орел ул. Комсомольская д.78 ""б"", пом. 1",Телефон:,77-17-19,Зав,ИНН,5753007981,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,193,7/1/2006,6/30/2011,6/30/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Минимаркет""","г.Орел ул. Комсомольская д.78 ""б"", пом. 1",,,,,
,Предприятие :,ООО,"""Лик""",Руководитель,Паничкина Валентина Петровна,,
,"303240, Орловская область, Дмитровский район, г. Дмитровск, ул. Рабоче-",Телефон:,  2-18-22,Дмит,ИНН,5707003608,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,274,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Лик""","Орловская область,Дмитровский район,г.Дмитровск, ул.Рабоче-",,,,,
,"Крестьянская, д. 5А",,,,,,
,Страница,5,,,,,
,Предприятие :,ООО,"""Люкс""",Руководитель,Жарикова Валентина Викторовна,,
,"Орл. обл., Глазуновский р-н, пгт. Глазуновка, ул. Ленина, д. 186",Телефон:,Глаз,ИНН,5706004849,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,264,7/1/2006,6/30/2009,6/30/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"Магазин ""Татьяна""","Орловская обл., Глазуновский р-н, пгт Глазуновка, ул. Ленина, ",,,,,
,д.186,,,,,,
,Предприятие :,ООО,"""М.А.Г.""",Руководитель,Киселев Алексей Евгеньевич,,
,"Россия, 302006, г.Орел, ул. Пушкина, д. 154",Телефон:,48-56-16,Жел,ИНН,5751030858,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,245,7/1/2006,6/30/2011,6/30/2013,Кол-во объектов,3
,Наименование объекта,Адрес объекта,,,,,
,"закусочная ""М.А.Г.""","Орловская область, г. Орел, ул. Пушкина, д. 154",,,,,
,"магазин ""М.А.Г.""","Орловская обл., г. Орел, ул. Пушкина, д. 81",,,,,
,"магазин ""М.А.Г.""","Орловская обл., г. Орел, ул. Пушкина, д. 154",,,,,
,Предприятие :,ООО,"""Мария""",Руководитель,Местечкин Владимир Леонидович,,
,"Орловская обл., Мценский р-н, с. Отрадинское, д. 14 ""а""",Телефон:,Мцен,ИНН,5717002410,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,162,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская обл., Мценский р-н, Отрадинский с/с, Отрадинское, ",,,,,
,"ул.Призаводская, д.10 ""б""",,,,,,
,"магазин ""Мария""","Орловская область,Мценский район,Отрадинский ",,,,,
,"с/с,с.Отрадинское",,,,,,
,Предприятие :,ООО,"""Мила""",Руководитель,Хрипкова Людмила Михайловна,,
,"Россия,г.Орел, ул.Циолковского, д. 51-б",Телефон:,74-16-20,Зав,ИНН,5752039074,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,124,7/1/2006,6/30/2011,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Удачный""","Орловская область,г.Орел, ул.Циолковского, д. 51-б",,,,,
,Предприятие :,ООО,"""Милера""",Руководитель,Золотухина Ольга Николаевна,,
,"Орловская область, г. Ливны, ул. Кобринская, 14",Телефон:,ЛивГ,ИНН,5702008063,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,211,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Дорожный""","Орловская область,г.Ливны,ул.Кобринская, 14",,,,,
,"магазин ""Продукты""","Орловская область,Ливенский район, д. ",,,,,
,"Горностаевка,пл.Центральная,д.5",,,,,,
,Предприятие :,ООО,"""Ник.А""",Руководитель,Никитин Александр Николаевич,,
,"РФ, 303850, Орловская обл.., г. Ливны, ул. Железнодорожная, д.4 ""а""",Телефон:,  2-28-29,ЛивГ,ИНН,5702007920,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,228,7/1/2006,6/30/2011,6/30/2014,Кол-во объектов,6
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты"" №5","Орловская обл, г. Ливны, ул. Железнодорожная, д.4 ""а""",,,,,
,"Кафе ""Тополек""","Орловская область, г. Ливны, ул. Селищева, д.23",,,,,
,"магазин ""Продукты"" №7","Орловская обл., г. Ливны, ул. Мира, д.154 ""а""",,,,,
,"магазин ""Продукты"" №1","Орловская обл., г. Ливны, ул. М.Горького, д.20 ""а""",,,,,
,"магазин ""Продукты"" №9","Орловская обл., г. Ливны, ул. Свердлова, д.52",,,,,
,Предприятие :,ООО,"""Олимпия""",Руководитель,Жидова Татьяна Николаевна,,
,"Россия, Орловская обл., Дмитровский р-н, г. Дмитровск, ул. Советская, д. 69а",Телефон:,  2-16-56,Дмит,ИНН,5707003541,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,151,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Экстра""","Орловская область,г.Дмитровск,ул.Советская,д.69а",,,,,
,Страница,6,,,,,
,Предприятие :,ООО,"""Оптима""",Руководитель,Парневич Галина Алексеевна,,
,"Россия,Орловская область,г.Орел,ул. Раздольная, д. 45а",Телефон:,33-64-97,Жел,ИНН,5754005240,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,177,7/1/2006,6/30/2011,6/30/2016,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская область, г. Орел, ул.Раздольная, д.45 а",,,,,
,Предприятие :,ООО,"""Продукты 24 часа""",Руководитель,Абдул Азиз Вахидулла,,
,"г. Орел, ул. Комсомольская, д.384 ""а""",Телефон:,72-63-63,Зав,ИНН,5752039613,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,207,7/1/2006,6/30/2011,6/30/2016,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты 24 часа""","г. Орел, ул. Комсомольская, д.384 ""а""",,,,,
,Предприятие :,ООО,"""Продукты""",Руководитель,Барикова Елена Алексеевна,,
,"Российская Федерация, 302005, г. Орёл, ул. Солнцевская, д.12",Телефон:,74-47-69,Зав,ИНН,5752039966,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,148,7/1/2006,6/30/2012,6/30/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Большое спасибо""","Орловская область, г. Орел, ул. Комсомольская, д, 189, пом. 25, 26",,,,,
,"магазин ""Мини-маркет 24 часа""","Орловская область, г. Орел, ул. Приборостроительная, д. 21 ""а""",,,,,
,Предприятие :,ООО,"""Салтыки""",Руководитель,Маркелова Вера Павловна,,
,"Орловская область,Орловский район, п.Добрый",Телефон:,Орло,ИНН,5720012873,,
,Лицензия:,Срок действия,Дата переоформления,,,,
