"Реестр действующих, приостановленных лицензий на 01.10.2012",,,,,,,,,,,,
вид деятельности: розничная продажа алкогольной продукции,,,,,,,,,,,,
,,,,,,,,,,,,
,Название/ФИО,Адрес,ИНН,ОГРН,Дата регистрации,Номер бланка,Рег. номер,Дата выдачи,Срок действия,Орган выдавший лицензию,Действующая приостановка,Объекты
19,Козельское районное потребительское общество,"Козельский район, г. Козельск, ул. Дзержинского д.1",4009000066,1024000668471,09.09.2002,М000544,233,17.09.2008,18.09.2008 - 17.09.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Козельский район, д. Потросово"
,,,,,,,,,,,,"магазин - Козельский район, с. Покровск"
,,,,,,,,,,,,"магазин - Козельский район, д. Ерлыково"
,,,,,,,,,,,,"магазин - Козельский район, д. Стенино"
,,,,,,,,,,,,"магазин - Козельский район, д. Киреевское-первое"
,,,,,,,,,,,,"магазин - Козельский район, д. Алешня"
,,,,,,,,,,,,"магазин - Козельский район, д. Подборки"
,,,,,,,,,,,,"магазин - Козельский район, с. Чернышено"
,,,,,,,,,,,,"магазин - Козельский район, д. Гришинск"
,,,,,,,,,,,,"магазин - Козельский район, д. Новое Казачье"
,,,,,,,,,,,,"магазин - Козельский район, д. Каменка"
,,,,,,,,,,,,"магазин - Козельский район, с. Березичи"
,,,,,,,,,,,,"магазин - Козельский район, д. Богдановка"
,,,,,,,,,,,,"магазин - Козельский район, д. Клюксы"
,,,,,,,,,,,,"магазин - Козельский район, д. Слаговищи"
,,,,,,,,,,,,"магазин - Козельский район, д. Плюсково"
,,,,,,,,,,,,"магазин - Козельский район, с. Нижние Прыски"
,,,,,,,,,,,,"магазин - Козельский район, с. Фроловское"
,,,,,,,,,,,,"магазин - Козельский район, с. Попелево"
,,,,,,,,,,,,"магазин - Козельский район, с. Березичский стеклозавод, ул. Куйбышева д.5"
,,,,,,,,,,,,"магазин - Козельский район, д. Полошково"
,,,,,,,,,,,,"магазин - Козельский район, с. Волконское"
,,,,,,,,,,,,"магазин - Козельский район, с. Булатово"
,,,,,,,,,,,,"магазин - Козельский район, д. Сенино-первое"
,,,,,,,,,,,,"магазин - Козельский район, с. Березичский стеклозавод, ул. Куйбышева д.12"
,,,,,,,,,,,,"магазин - Козельский район, д. Дешовки"
,,,,,,,,,,,,"магазин - Козельский район, г. Козельск, ул. Чкалова д.16"
,,,,,,,,,,,,"магазин - Козельский район, с. Матчино"
,,,,,,,,,,,,"магазин - Козельский район, г. Козельск, ул. Садовая д.18"
,,,,,,,,,,,,"магазин - Козельский район, г. Козельск, ул. Садовая д.37"
,,,,,,,,,,,,"магазин - Козельский район, х. Дмитровский д.30"
,,,,,,,,,,,,"магазин - Козельский район, г. Сосенский, ул. Микрорайон Победы д.38"
,,,,,,,,,,,,"магазин - Козельский район, д. Бильдино"
20,"Общество с ограниченной ответсвенностью ""ЛОККО""","Бабынинский район, п. Воротынск, ул. Березовая д.7",4001000794,1024000514670,09.09.2002,М000495,196,15.08.2008,16.08.2008 - 15.08.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Бабынинский район, п. Воротынск, ул. Березовая д.7"
21,"Общество с ограниченной ответственностью ""М Клуб""","г. Обнинск, пр-кт Маркса д.61",4025060337,1024000944230,10.09.2002,М000828,134,27.05.2009,28.05.2009 - 27.05.2014,Министерство конкурентной политики и тарифов Калужской области, ,"кафе ""Дом для Дома"" - г. Обнинск, пр-кт Маркса д.61"
22,"Общество с ограниченной ответственностью ""Альбатрос""","г. Обнинск, шоссе Киевское д.33,  оф.13",4025052304,1024000950027,10.09.2002,М000631,316,03.12.2008,04.12.2008 - 03.12.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Обнинск, ул. Ленина д.104"
23,"Сельскохозяйственный производственный кооператив ""Сельскохозяйственная артель (колхоз) ""Москва""","Боровский район, д. Асеньевское",4003006230,1024000537417,12.09.2002,М001123,130,22.09.2010,23.09.2010 - 19.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Боровский район, д. Асеньевское"
24,"Общество с ограниченной ответственностью ""Родничок""","г. Калуга, ул. Зерновая д.1",4029012574,1024001428989,16.09.2002,М001329,104,31.05.2011,22.05.2011 - 21.06.2016,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Калуга, ул. Зерновая д.1"
25,"Производственный кооператив ""Книжная находка""","г. Обнинск, ул. Аксенова д.10а",4025004822,1024000953888,17.09.2002,М001618,366,23.11.2011,24.11.2011 - 14.12.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Скала"" - г. Обнинск, ул. Аксенова д.10а"
,,,,,,,,,,,,"магазин ""Элен"" - г. Обнинск, пр-кт Ленина д.70"
,,,,,,,,,,,,"магазин ""Ладога"" - г. Обнинск, ул. Ляшенко д.8а"
,,,,,,,,,,,,"магазин ""Вираж"" - г. Обнинск, пр-кт Ленина д.13/1"
26,"Потребительское общество ""Северное""","г. Калуга, ул. Московская д.315",4029010182,1024001432575,18.09.2002,М000579,264,22.10.2008,23.10.2008 - 01.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты"" № 2 - г. Калуга, ул. Московская д.331"
,,,,,,,,,,,,"магазин ""Продукты"" № 3 - г. Калуга, ул. Московская д.313"
,,,,,,,,,,,,"магазин ""Продукты"" № 1 - г. Калуга, ул. Московская д.348"
27,"Общество с ограниченной ответственностью ""Алиса""","Кировский район, г. Киров, ул. Л.Толстого д.9",4023001760,1024000896523,24.09.2002,М000538,229,17.09.2008,05.10.2008 - 04.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Алиса"" - Кировский район, г. Киров, ул. Л.Толстого д.9"
28,"Общество с ограниченной ответственностью ""Кафе-бар ""Молодёжное""","г. Калуга, ул. Ленина д.108",4027034413,1024001182556,24.09.2002,М000514,210,22.08.2008,23.08.2008 - 22.08.2013,Министерство конкурентной политики и тарифов Калужской области, ,"кафе - г. Калуга, ул. Ленина д.108"
29,"Общество с ограниченной ответственностью ""Надежда""","Козельский район, г. Козельск, ул. Б.Советская д.70",4009000080,1024000670528,25.09.2002,М000556,238,01.10.2008,06.10.2008 - 05.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Козельский район, г. Козельск, ул. Б.Советская д.70"
30,Бабынинское районное потребительское общество,"Бабынинский район, п. Бабынино, ул. Ленина д.10",4001000233,1024000514823,26.09.2002,М000565,254,08.10.2008,09.10.2008 - 08.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты"" - Бабынинский район, с. Никольское"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Бабынино, ул. Центральная"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Сабуровщино"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Утешево"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Пятницкое д.77"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Антопьево"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, д. Рассудово"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Тырново д.75"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, д. Лапино"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, п. Газопровод"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, д. Воронино"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Акулово"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, д. Вязовна"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Кумовское"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, д. Поповские Хутора"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, с. Муромцево д.23"
,,,,,,,,,,,,"магазин ""Продукты"" - Бабынинский район, п. Бабынинское отделение (ОПХ)"
,,,,,,,,,,,,"магазин ""Продукты"" №7 - Бабынинский район, п. Бабынино, перекр ул.Ленина и ул.Озерная"
,,,,,,,,,,,,"магазин ""Продукты"" №1 - Бабынинский район, п. Бабынино, ул. Кооперативная д.5а"
,,,,,,,,,,,,"закусочная ""Пивная"" - Бабынинский район, п. Бабынино, ул. Центральная д.4"
,,,,,,,,,,,,"кафе ""Молодежное"" - Бабынинский район, п. Бабынино, ул. Центральная д.4"
,,,,,,,,,,,,"магазин ""Продукты"" № 4 - Бабынинский район, п. Бабынино, ул. Трубникова д.2"
,,,,,,,,,,,,"магазин ""Хлеб"" - Бабынинский район, п. Бабынино, ул. Советская д.8"
,,,,,,,,,,,,"магазин ""Продукты"" №6 - Бабынинский район, п. Бабынино, ул. Ленина д.3"
31,"Общество с ограниченной ответственностью ""Эльф-97""","г. Калуга, ул. Хрустальная д.18",4027030610,1024001181423,26.09.2002,М000537,228,17.09.2008,29.09.2008 - 28.09.2013,Министерство конкурентной политики и тарифов Калужской области, ,"кафе - г. Калуга, ул. Хрустальная д.18"
32,Юхновское районное потребительское общество,"Юхновский район, г. Юхнов, ул. Революции д.19",4022000509,1024000719600,27.09.2002,М000425,127,06.05.2008,07.05.2008 - 06.05.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты"" № 2 - Юхновский район, г. Юхнов, ул. Энгельса д.26"
,,,,,,,,,,,,"магазин ""Продукты"" № 3 - Юхновский район, г. Юхнов, ул. Ленина д.69"
,,,,,,,,,,,,"магазин ""Сластена"" - Юхновский район, г. Юхнов, ул. К.Маркса д.12"
,,,,,,,,,,,,"магазин ""Хлеб"" - Юхновский район, г. Юхнов, ул. Урицкого д.67"
,,,,,,,,,,,,"столовая ""Угра"" - Юхновский район, г. Юхнов, ул. К.Маркса д.12"
,,,,,,,,,,,,"бар пивной - Юхновский район, г. Юхнов, ул. К.Маркса д.12"
,,,,,,,,,,,,"магазин ТПС ""Упрямово"" - Юхновский район, д. Упрямово, ул. Садовая д.14"
,,,,,,,,,,,,"магазин ТПС ""Чемоданово"" - Юхновский район, д. Чемоданово, ул. Центральная д.19"
,,,,,,,,,,,,"магазин ТПС ""Колыхманово"" - Юхновский район, д. Колыхманово, ул. Варшавская д.3"
33,"Общество с ограниченной ответственностью ""Вероника""","Дзержинский район, г. Кондрово, ул. Южная д.10",4004000802,1024000566347,27.09.2002,М000879,183,22.07.2009,23.07.2009 - 10.12.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Дзержинский район, г. Кондрово, ул. Южная д.10"
34,Мещовское районное потребительское общество,"Мещовский район, г. Мещовск, ул. Герцена д.7",4013001055,1024000806928,27.09.2002,М001714,15,18.01.2012,19.01.2012 - 19.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты"" - Мещовский район, г. Мещовск, пр-кт Революции д.43"
,,,,,,,,,,,,"магазин ""Ветеран"" - Мещовский район, г. Мещовск, пр-кт Революции д.10а"
,,,,,,,,,,,,"магазин ""Сельхозпродукты"" - Мещовский район, г. Мещовск, пр-кт Революции д.39"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, с. Растворово, ул. Садовая д.7"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, д. Карцево, ул. Колхозная д.3"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, д. Алёшино, ул. Ветеранов д.1"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, д. Торкотино, ул. Центральная д.1а"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, д. Нестеровка, ул. Центральная д.1а"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, с. Покров, ул. Заречная д.13"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, с. Гаврики, ул. Молодёжная д.13"
