Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
,,,,,,,,"660028, г. Красноярск, ул.С.Ковалевской, 2Г-37  (20101228)",,
,,,,,,,,"Магазин Казачинский район, с.Казачинское, ул.Советская, 142 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Казачинский район, с.Казачинское, ул.Советская, 1 Л (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Казачинский район, с.Казачинское, ул.Советская, 87 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Казачинский район, с.Мокрушинское, ул.Куйбышева, 65 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Казачинский район, с.Вороковка, ул.Советская, 26А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
1274,"ООО ""ПродБизнес-50""",2465210460,24.01.11,26.08.13,8023-АР,110216,"660073, г.Красноярск, просп.Металлургов, 39 А","Магазин Емельяновский район, с.Дрокино, ул.Московская, 2 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Павильон г. Красноярск, ул.Бограда, 144 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
1275,"ООО ""Зодиак""",2412005940,18.01.11,26.06.14,8027-АР,110220,"663170, Енисейский район, с.Ярцево, ул.Зеленая, 5 -2","Магазин Енисейский район, с.Ярцево, ул.Кирова, 84 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Магазин Енисейский район, п.Новоназимово, ул.Центральная, 61 Б (продажа всей алкогольной продукции.)",,
1276,"ООО ""Светлана""",2470000771,30.12.10,30.12.13,03-ЭМР,105749,"648490, Эвенкийский муниципальный район, с.Ванавара, ул.Пайгинская, 2А","Магазин Эвенкийский муниципальный район, с.Ванавара, ул.Пайгинская, 2А (продажа всей алкогольной продукции.)", , 
1277,"ООО ""Алко-Маркет""",2455028518,26.01.11,13.04.14,8035-АР,110226,"662601, г. Минусинск, ул. Пристанская, д. 1","Магазин г.Минусинск, ул.Народная, 5 В (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Краснотуранский район, с. Лебяжье, ул.Ленина, 19 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с.Краснотуранск, ул.Космонавтов, 31 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с. Новая Сыда, ул.Щетинкина, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с.Краснотуранск, ул.Карла-Маркса, 24, пом.15 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с.Краснотуранск, ул.Ленина, 35 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с.Краснотуранск, ул.Крестьянская, 19 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Большая Ирба, ул.Ленина, 21 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Кошурниково, ул.Саянская, 30 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Кошурниково, ул.Высоцкого, 2 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Большая Ирба, ул.Ленина, 13-1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Кошурниково, ул.Свободная, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, г.Артемовск, ул.Ольховская, 176 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Кошурниково, ул.Кошурникова, 2 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Партизанская, 333 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, с. Имисское, ул.Совхозная, 8 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Лесная, 9 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Комсомольская, 39 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, пос.Ойский, ул.Гагарина, 11 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Карла Маркса, 43 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Ленина, 160 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Октябрьская, 100 А, пом. 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Рабочая, 59 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Демьяна Бедного, 17 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Пролетарская, 45 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Октябрьская, 48 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Салба, ул.Центральная, 49 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Новополтавка, ул.Степная, 6 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, пос.Ойский, ул.Мира, 42 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, п. Танзыбей, ул.Кедровая, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Семенниково, ул.Трактовая, 41-2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Идринский район, с.Идринское, ул.Октябрьская, 215 В (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Идринский район, с.Идринское, ул.Советская, 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, п. Танзыбей, ул.Саянская, 5 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Крупской, 9 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Жеблахты, ул.Ойская, 61 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Рабочая, 61 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Карла Маркса, 36 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ермаковский район, с.Григорьевка, ул.Трактовая, 8, пом. 1 (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Вокзальная, 11 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ужурский район, ЗАТО пос.Солнечный, ул.Гагарина, 15, пом. 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ужурский район, ЗАТО пос.Солнечный, ул.Карбышева, 34 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Кретова, 1 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Красных Партизан, 179 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Ботаническая, 49 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, г.Артемовск, ул.Ольховская, 84 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, г.Артемовск, ул.Ленина, 6 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с. Тигрицкое, ул.Советская, 21 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с. Тигрицкое, ул.Ленина, 47 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с. Лебяжье, ул.Свердлова, 2 Г, пом. 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, с.Кордово, ул.Гагарина, 143 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, с.Кордово, ул.Геологическая, 11 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Центральная, 25 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Ленина, 58 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Набережная, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Чапаева, 1Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с.Селиваниха, ул.Геологическая, 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Канская, 16, пом. 108 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Ново-Кузнечная, 37 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, , ул.Кызыльская, 58-А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Манская, 88 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Сотниченко, 21 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с. Тесь, ул.Завенягина, 36 - 2  А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с. Тесь, ул.Ленина, 9-1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с. Тесь, ул.Завенягина, 8 - 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, д.Малая Иня, ул.Чапаева, 2 А, стр. 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, пер.Поперечный, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, с.Шалаболино, ул.Советская, 13 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, с.Кочергино, ул.Гагарина, 17 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Ойха, ул.Подгорная, 1 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, пос.Зеленый Бор, ул.Вокзальная, 11 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Кретова, 13 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с.Краснотуранск, ул.Ленина, 35 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Февральская, 22 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Октябрьская, 66 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с.Большая Иня, ул.Мира, 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, ул.Береговая, 43 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Островского, 38 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Таскино, ул.Советская, 51 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Советская, 36 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Уджей, ул.Советская, 70 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Юбилейная, 10 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Советская, 19 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Ленина, 3 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Моторское, ул.Ленина, 37 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Рогозинского, 38 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Краснокаменск, ул.Центральная, 16 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Партизанская, 98 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, с.Даурское, ул.Гагарина, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, пос.Приморск, ул.Ленина, 4 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, с.Новоселово, ул.Октябрьская, 52 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, п. Кома, ул.Анашкина, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, п.Балахта, ул.Советской Армии, 25 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, д.Марьясово, ул.Центральная, 12 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, п.Балахта, ул.Энгельса, 57 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, пос.Приморск, ул.Пролетарская, 18, стр.1, пом. 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Балахтинский район, п.Балахта, ул.Ленина, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, п.Зарничный, ул.Ленина, 2 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, с.Сизая, ул.Ленина, 42 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, с.Сизая, ул.Ленина, 69 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, дер.Карелино, ул.Партизанская, 8 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, пос.Чулым, ул.Кравченко, 19 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, с.Светлолобово, ул.Комсомольская, 27 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, с.Светлолобово, ул.Целинная, 6 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Новоселовский район, дер.Николаевка, ул.Рабочая, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Школьная, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, г.Артемовск, ул.Ольховская, 76 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Ужур, ул.Строителей, 15, пом. 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, ул.Партизанская, 341 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.60 лет Октября, 42 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Большая Ирба, ул.Ленина, 8 А-1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Идринский район, с.Идринское, ул.Октябрьская, 80 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Каратузский район, с.Ширыштык, ул.Октябрьская, 57 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, ул.Партизанская, 23 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с.Большая Иня, ул.Мира, 2 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с.Большая Иня, ул.Щетинкина, 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, пос.Шушенское, 3 микрорайон, зд. 5, сек. 4 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснотуранский район, с. Лебяжье, ул.Свердлова, 2, пом. 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, Курагинский район, пос. Краснокаменск, ул. Центральная, 39-П (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Краснояский край, Шарыповский район, с. Холмогорское, ул. Молодежная, 14-А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, Краснотуранский район, с. Краснотуранск, ул. Юбилейная, 11-А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, г. Минусинск, ул. Ботаническая, 35, пом. 54 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, г. Минусинск, ул. Красных партизан, 120-Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, Ермаковский раойн, с. Нижний Суэтук, ул. Советская, 11 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, Каратузский район, с. Качулька, ул. Мира, 84-А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, Каратузский район, с. Каратузское, ул. Пушкина, 22-В (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Красноярский край, Каратузский район, с. Таскино, ул. Советская, 91 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Ужур, ул.Вокзальная, 101 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Минусинск, , ул.Мартьянова, 13-А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, ул.Партизанская, 58 П (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, пос.Шушенское, 3 микрорайон, зд.5,часть здания сек. №1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Минусинский район, с. Тесь, ул.Комсомольская, 5, пом. 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, с. Курское, ул.Октябрьская, 161-А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Большая Ирба, ул.Ленина, 3 В (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Краснокаменск, микр-он ""Южный"", 25 П (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Большая Ирба, ул.Ленина, 1/1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Большая Ирба, ул.Бочкарева, 20 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Кошурниково, ул.Кирова, 68 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, с.Кочергино, ул.Ленина, 90 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Шушенский район, п.Синеборск, ул.Октябрьская, б/н (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Кошурниково, ул.Центральная, 4 В (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Кошурниково, ул.Свободная, 5 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Курагино, ул.Марийская, 51 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Курагино, ул.Новостройка, 34-П (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Краснокаменск, ул.Центральная, 36-П (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, д.Курганчики, ул.Комсомольская, 25 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, пос.Краснокаменск, ул.Центральная, 41 П (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Балахтинский район, п.Балахта, 45 м. южнее земельного участка по ул.Молодогвардейцев, 6 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Балахтинский район, п.Балахта, ул.Комсомольская, 28 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Балахтинский район, с. Кожаны, 150 метров восточнее пожарного депо, . (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Новоселовский район, с.Новоселово, ул.Советская, 12 Д (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания Минусинский район, Автосервис, 439 км автодороги М-54, Енисей-1, строение 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания Курагинский район, пос.Курагино, ул.Рогозинского, 38 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
1278,"ООО ""РИМ""",2443027982,11.02.11,06.07.14,8039-АР,110233,"662153, г.Ачинск, ул.Гагарина, 8 А","Магазин г.Ачинск, ул.Гагарина, 8 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Ачинск, микрорайон ""Авиатор"",  26, пом.102 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Ачинск, ул.Смены, 87А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г.Ачинск,  3-й Привокзальный р-он, въезд в гаражное общ. №29 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
1279,"ООО ""Ассамблея""",2457070963,24.01.11,24.01.13,8040-АР,110236,"663300, г.Норильск, район Центральный, ул.Бегичева, д. 21 кв. 61","Предприятие общественного питания г.Норильск, район Центральный, ул.Михайличенко, д. 1, строение 2 (продажа всей алкогольной продукции.)", , 
1280,"ООО ""Скиф""",2457070931,24.01.11,24.01.16,8043-АР,110268,"663333, г.Норильск, район Талнах, ул.Рудная, д. 27","Магазин г.Норильск, район Талнах, в районе ул.Рудная, 27 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Павильон г.Норильск, район Талнах, в районе ул.Первопроходцев, 10 (продажа всей алкогольной продукции.)",,
1281,"ООО ""Фарт""",2457056983,24.01.11,24.01.16,8044-АР,110240,"663330, г.Норильск, район Талнах, ул.Космонавтов, 3-22","Магазин г.Норильск, район Талнах, в районе ул.Енисейская, 8 Б (продажа всей алкогольной продукции.)", 24.01.11, 
,,,,,,,,"Магазин г.Норильск, район Талнах, ул.Игарская, 8 (продажа всей алкогольной продукции.)",,
,,,,,,,,"Магазин г.Норильск, район Талнах, ул.Игарская, 46 А (продажа всей алкогольной продукции.)",,
,,,,,,,,"Павильон г.Норильск, район Талнах, в районе ул.Новая, 10 (продажа всей алкогольной продукции.)",,
1282,"ООО ""Азия""",2457059134,24.01.11,24.01.16,8045-АР,110239,"г.Норильск, район Талнах, ул.Енисейская, 1 - 41","Магазин г.Норильск, район Талнах, в районе ул.Маслова, 11 (продажа всей алкогольной продукции.)", 24.01.11, 
,,,,,,,,"Павильон г.Норильск, район Талнах, в районе ул.Енисейская, 2 (продажа всей алкогольной продукции.)",,
,,,,,,,,"Павильон г.Норильск, район Талнах, в районе ул.Космонавтов, 37 (продажа всей алкогольной продукции.)",,
,,,,,,,,"Павильон г.Норильск, район Талнах, район ул.Бауманская, 31 (продажа всей алкогольной продукции.)",,
1283,"ООО ""Мир продовольствия""",2443026467,28.01.11,27.10.13,8047-АР,110244,"662150, г.Ачинск, шоссе ""Байкал"", стр.3","Магазин г.Ачинск, ул.Красного Октября, 18 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Ачинск, шоссе ""Байкал"", стр.3 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Ачинск, 1 микрорайон, 30 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Ачинск, 5 микрорайон,  35, пом.69 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Ачинск, 9 микрорайон, 13 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Ачинск,  ул.Манкевича, 16, пом.68 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Ачинск,  ул.Фрунзе, 9, пом.105 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г.Ачинск, 3 микрорайон Привокзального р-на,  14 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
