Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
42,"ЗАО ""Большеулуйский Агроснаб""",2409001416,21.11.07,21.11.12,4921-АР,105343,"662110, Большеулуйский район, с.Большой Улуй, ул.Просвещения, 72 А","Магазин Большеулуйский район, д.Александровка, ул.Центральная, 51 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Большеулуйский район, пос.Сосновый Бор, ул.Центральная, 2 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Большеулуйский район, с.Большой Улуй, ул.Просвещения, 72 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
43,"ООО ""ВИНЕЦ""",2407062420,23.11.07,23.11.12,4922-АР,105347,"663430, Богучанский район, с.Богучаны, ул.Автодорожная, 1 М","Магазин Богучанский район, с.Богучаны, ул.Взлетная, 1 (продажа всей алкогольной продукции.)", , 
44,"ООО ""Производственно-коммерческая фирма ""ПАРА""",2465004379,29.11.07,29.11.12,4926-АР,105352,"660119, г.Красноярск, бульв.Солнечный, 6","Магазин г.Красноярск, бульв.Солнечный, 6 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
45,"ООО ""Сармат""",2457063740,22.11.07,22.11.12,4928-АР,105348,"663333, г.Норильск, район Талнах, ул.Кравца, 2-36","Павильон г.Норильск, район Талнах, ул.Игарская, 22-28 (продажа всей алкогольной продукции.)", , 
46,"ООО ""Кемчуг""",2411015399,29.11.07,29.11.12,4929-АР,105349,"663013, Емельяновский район, д.Малый Кемчуг, ул.Московская, 1","Предприятие общественного питания Емельяновский район, д.Малый Кемчуг, ул.Московская, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
47,"ООО ""Ольга""",2407000079,30.11.07,30.11.12,4933-АР,105358,"663460, Богучанский район, пос.Октябрьский, ул.Ленина, 37-1","Магазин Богучанский район, пос.Октябрьский, ул.Победы, 2 А (продажа всей алкогольной продукции.)", , 
48,"ООО ""МЕТРО Кэш энд Керри""",7704218694,27.11.07,27.11.12,4935-АР,105361,"125445, г.Москва, Ленинградское шоссе, 71 Г","Магазин Емельяновский район, п.Солонцы, просп.Котельникова, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",  01.02.08, 01.08.08
49,"ООО ""Мангазея""",2465005069,28.11.07,28.11.12,4936-АР,105362,"660112, г.Красноярск, просп.Металлургов, 16","Магазин г.Красноярск, просп.Металлургов, 16 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
50,"ООО ""Былина""",2464111931,29.11.07,29.11.12,4940-АР,105367,"660012, г.Красноярск, ул.Судостроительная, 52 А","Предприятие общественного питания г.Красноярск, ул.Судостроительная, 52 А, пом.76 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
51,"ООО ""Корвет-2002""",2464043230,30.11.07,30.11.12,4943-АР,105363,"660012, г.Красноярск, ул.Гладкова, 6","Предприятие общественного питания г.Красноярск, просп.Мира, 86 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
52,"ООО ""Ивушка""",2448003840,07.12.07,07.12.12,4950-АР,105376,"663960, г.Заозерный, ул.Юности, 9","Магазин г.Заозерный, ул.Юности, 9 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
53,"ООО ""Алголь""",2466125979,05.12.07,05.12.12,4952-АР,105375,"660020, г.Красноярск, ул.Степана Разина, 15 Г","Магазин г.Красноярск, ул.Степана Разина, 15 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
54,"ООО ""Арго плюс""",2458009802,07.12.07,07.12.12,4953-АР,105377,"662501, г.Сосновоборск, ул.Ленинского Комсомола, 4-121","Магазин г.Сосновоборск, ул.9 Пятилетки, 8 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Предприятие общественного питания г.Сосновоборск, ул.9 Пятилетки, 8 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
55,"ООО ""Абсолют""",2407061480,10.12.07,10.12.12,4959-АР,105378,"663430, Богучанский район, с.Богучаны, ул.Чернышевского, 7","Магазин Богучанский район, пос.Красногорьевский, ул.Ленина, 6 Б (продажа всей алкогольной продукции.)", 07.05.09, 13.11.09
,,,,,,,,"Магазин Богучанский район, с.Богучаны, ул.Чернышевского, 7 (продажа всей алкогольной продукции.)",,
,,,,,,,,"Магазин Богучанский район, с.Богучаны, ул.Ленина, 28 М (продажа всей алкогольной продукции.)",,
,,,,,,,,"Магазин Богучанский район, пос.Шиверский, пер.Центральный, 3 (продажа всей алкогольной продукции.)",,
56,"ООО ""Институт питания""",2462060720,05.12.07,05.12.12,4960-АР,105379,"660037, г.Красноярск, просп.Красноярский рабочий, 33","Предприятие общественного питания г.Красноярск, просп.Красноярский рабочий, 33, пом.73 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
57,"ООО ""Союз-К""",2462034375,12.12.07,12.12.12,4963-АР,105386,"660037, г.Красноярск, ул.Волгоградская, 15","Магазин г.Красноярск, ул.Волгоградская, 15 (продажа всей алкогольной продукции, кроме спирта питьевого.)", 04.12.09, 14.12.09
58,"ООО ""Визит""",2419002994,11.12.07,11.12.12,4966-АР,105387,"662850, Каратузский район, с.Каратузское, ул.Ленина, 14 А","Магазин Каратузский район, с.Каратузское, ул.Ленина, 14 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
59,"ООО ТПК ""Вихрь""",2465017642,12.12.07,12.12.12,4969-АР,105389,"660032, г.Красноярск, ул.Белинского, 1","Магазин г.Красноярск,  ул.Белинского, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Красноярск, просп.Металлургов, 34 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания г.Красноярск,  просп.Металлургов, 34 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
60,"ООО ""Рассвет""",2430002081,13.12.07,13.12.12,4971-АР,105390,"663544, Партизанский район, п.Запасной Имбеж, ул.Партизанская, 23 А","Магазин Партизанский район, п.Запасной Имбеж, ул.Партизанская, 23 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
61,"ООО ""ФОРУМ-М""",2465066914,13.12.07,13.12.12,4974-АР,105400,"660020, г.Красноярск, ул.Шахтеров, 10","Павильон г.Красноярск, ул.Рязанская, 6 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", 26.03.08, 04.04.08
62,"ООО ""Монолит""",2444302543,11.12.07,11.12.12,4975-АР,105401,"662081, Боготольский район, с. Красный завод, ул.Центральная, 5","Магазин Боготольский район, с. Красный завод, ул.Центральная, 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
63,"ООО ""БНВ""",2465099613,10.12.07,10.12.12,4978-АР,105402,"660032, г.Красноярск, ул.Дубенского, 4","Магазин Эвенкийский А.О., с.Байкит, ул.Новая, 1 А (продажа всей алкогольной продукции.)", , 
