Дубенский район,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ции,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
,,000013,"ул. Жадейкина, 4",1111322000360,"магази ""Дубрава"", с. Ардатово, ул. Сосновая, 2а, Дубенский район",,29/05/15,,,Климкина Раиса Ивановна
,,,,,"магази ""Дубрава"", с. Кочкурово, ул. Ленина, 28, Дубенский район",,,,,
,,,,,"магази ""Дубрава"", п. Свиносовхоз, ул. Центральная, 15, Дуб",,,,,
,,,,,"магазин ""Весна"", с. Поводимово, ул. Комсомольская, 1а, Дубенский район",,,,,
,,,,,"магазин ""Весна"",  с. Поводимово, ул. Советская, 50, Дубенский район",,,,,
,,,,,"магазин ""Чилисема"", с. Дубенки, мкр., 2, 14а",,,,,
,,,,,"магазин ""Лиза"", с. Чиндяново, ул. Кооперативная, 29а, Дубенский район",,,,,
,,,,,"павильон ""Татьяна"", с. Красино, ул. Центральная, 159а, Дубенский район",,,,,
,,,,,"магазин ""Елена"", с. Кабаево, ул. Московская, 98, Дубенский район",,,,,
,,,,,"магазин ""Сура"", с. Пуркаево, ул. Жадейкина, Дубенский район",,,,,
,,,,,"магазин ""Сура"", с. Пуркаево, ул. Горького, 146, Дубенский район",,,,,
,,,,,"магазин ""Лесная поляна"", с. Турдаково, ул. Куйбышева, 58, Дубенский район",,,,,
,,,,,"магазин ""Удача"", с. Ардатово, ул. Кооперативная, 114, Дубенский район",,,,,
,,,,,"магазин ""Восток"", с. Николаевка, ул. Большая, 122, Дубенский район",,,,,
1,204,13 РМ,"ООО ""Феникс-Н"" г. Саранск, ул. Семашко, 8, 1",1327010954,"магазин №1, с. Поводимово, ул. Ленина, 24, Дубенский район",3,29/06/12,75-65-69,,
,,000095,,1101327001258,"магазин №2, с. Дубенки, ул. Луговая, 3а",,29/06/13,,,
,,,,,"бар ""Малибу"", с. Поводимово, ул. Ленина, 24, дубенский район",,,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"магазин ""Максим"", с. Красино, ул. Центральная, 116, Дубенский район",2,29/06/12,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",1101327000851,"магазин ""Максим 2"", с. Петровка, ул. К.Маркса, 130, Дубенский район",,15/07/14,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,06/03/00,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
14,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
