"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Черемховскому РМО",,,,,,,,,,
по состоянию на 1 августа  2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
33,"ООО «Эгида»
Инн 3820007489
от 05.09.08
","Свидетельство
1023802213995
от 05.09.08г
Межрайонная
ИФНС №10
","А 170146
от 11.08.08г
до 11.08.13г
","с.Парфеново
ул.Долгих,22
магазин «Ромашка»
",,,,,,
34,"ООО «У Оксаны»
Инн 3820013250
От 14.04.08г





","Свидетельство
1083820000472
от 07.08.08г
Межрайонная  ИФНС №10
","А 170452
от 27.10.08
до 25.08.13г
ВЗАМЕН                   А 170148 ОТ 25.08.08Г ДО 25.08.13Г","д.Бажей ул,Луговая,37а
магазин
с.Нижняя Иреть
ул.Советская,14 А
павильон
",,,11/10/2011,,,
35,"ООО «Виктория»
Инн 3820013394
от 25.08.08г
","Свидетельство
1083820000593
от 25.08.08г
Межрайонная
ИФНС №10
","А 170149
от 19.09.08г
до 19.09.13г
","с.Лохово, ул.Степная,1а
магазин
«Виктория»
",,,,,,
36,"ООО «Надежда»
Инн 3843002568
от 05.05.04г
","Свидетельство
1023802216811
от 05.05.04г
Межрайонная
ИФНС №10
","А 170451
от 03.10.08г
до 03.10.13г
","п.Михайловка квартал 1 дом 5 магазин №3 «Продукты»,
п.Михайловка, кв-1 д 17 магазин №5 «Продукты»,
п.Михайловка, кв-1, строение 3 «В» магазин «Кондитерская»
",,,,,,
37,"ООО «Надежда»
Инн 3820013034
от 18.03.08г
","Свидетельство
1083820000241
от 18.03.08г
Межрайонная ИФНС №10
","А 170453
от 17.11.08г
до 17.11.13г
","с.Новостройка
ул.Школьная, 36
магазин
",,,,,,
38,"ООО «Ростовский»
Инн 3820013771
от 31.10.08г
","Свидетельство
1083820000990
от 31.10.08г
межрайонная ИФНС №10
","А 170454
от 09.12.08г
до 09.12.13г
","п.Михайловка, ул.Горького, дом 2
магазин 
«Ростовский»
",,,19.03.2012г,,,
39,"ООО «Орхидея»
Инн 3820013588
от 20.08.08г
","Свидетельство
1083820000770
от 20.08.08г
Межрайонная
ИФНС №10
","А 170455
от 24.12.08г
до 24.12.13г
","с.Новогромово, ул.Советская,19
магазин
«Орхидея»
",,,,,,
40,"ООО «Меркурий»
Инн 382013500
от 08.07.08г


","Свидетельство
1083820000703
от 08.07.08г
межрайонная
ИФНС №10
","
А 167653 от 02.12.10г до   26.12.13г      ВЗАМЕН                  А 170456 ОТ 26.12.08Г ДО 26.12.13Г","с.В-Булай
ул.Булайская,22 а
магазин
«Лидер»
С.Лохово ул.Степная,2 магазин
г.Черемхово ул.Дзержинского,19  магазин ""Успех""",,,,,,
41,"ООО «Бахус»
Инн 3820012560
от 28.09.07г
","Свидетельство
1073820000902
от 28.09.07г
",38МЕ002886 от 29.12.08г до 29.12.13г,"п.Михайловка кв1 д. 17-2
магазин
",,,,,"Администрация муниципального образования
г.Черемхово
",
42,"ООО «Байк»
инн 3820013997
от 18.02.09г
","Свидетельство
1093820000141
от 18.02.09г
","А 170458
от 07.03.09
до 07.03.14г
","п.Михайловка, квартал 2,4
магазин
«Снежный Барс»
",,,,,,
