"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,"Отдел в магазине
""Сибирский""
г. Братск, ж.р. Энергетик ул. Наймушина, 24","
",,,,
,,,,"Отдел в магазине
""Погребок""
г. Братск, ж.р. Центральный, ул. Муханова, 1","
",,,,
,,,,"Отдел в магазине
сезонном ""Сигма""
23 квартал ,урочище ЧенЧен, СНТ""Заозёрное"", ул. Набережная, 1","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р Центральный, бульвар Космонавтов, 2","
",,,,
,,,,"Торговый отдел
в закусочной
г. Братск, ж.р. Центральный, ул.Муханова, 1","
",,,,
15,"ООО ""Атлантик""
ИНН: 3805710792","МИФНС  по Иркутской области
Постановление(св-во) от 16.11.2009","38 МЕ 006251 683 от 17.12.2010
 срок действия с 17.12.2010 по 09.02.2015;     ","Бар
бар боулинга
ж.р. Центральный, ул. Депутатская, 32","
",,,,
,,,,"Бар
""Медвежья лапа""
ж.р. Центральный, ул. Депутатская, 32","
",,,,
,,,,"Бар
№ 1
ул. Депутатская, 32","
",,,,
,,,,"Бар
№ 2
ул. Депутатская, 32","
",,,,
,,,,"Бар
№ 3
ул. Депутатская, 32","
",,,,
,,,,"Бар
бар ресторана
ж.р. Центральный, ул. Депутатская, 32","
",,,,
16,"ООО ""БАВАРИЯ""
ИНН: 3804011463","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 27.08.2010","38МЕ006442 868 от 16.02.2012
 срок действия с 16.02.2012 по 15.02.2013;     ","Магазин
""Бавария""
г. Братск, ж.р. Центральный, ул. Мира, 42/20, пом. 1002","
",,,,
17,"ООО ""Байкал""
ИНН: 3804032840","ИФНС по Центральному округу г. Братска Иркутск. Об
Постановление(св-во) от 01.11.2005","38МЕ006036 474 от 31.12.2008
 срок действия с 31.12.2008 по 30.12.2013;     ","Магазин

ж.р. Центральный, ул. Советская, 11а","
",,,,
18,"ООО ""Байкалторг""
ИНН: 3804034679","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 18.04.2006","38МЕ005918 363 от 19.03.2008
 срок действия с 19.03.2008 по 11.01.2012","Магазин

бульвар Космонавтов, 10","
",,11.01.2012,,
,,,,"Отдел в магазине

ул. Ленина, 29","
",,,,
19,"ООО ""Барс плюс""
ИНН: 3804037020","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 14.12.2006","38МЕ006137 572 от 25.11.2009
 срок действия с 25.11.2009 по 27.11.2013;     ","Закусочная

ул. Южная, 25","
",,,,
20,"ООО ""БАРСА""
ИНН: 3805112425","МИМНС по Иркутской области
Постановление(св-во) от 15.01.2003","38МЕ006370 795 от 26.07.2011
 срок действия с 26.07.2011 по 07.02.2015;     взамен: 38МЕ006156  рег. № 592 от 08.02.2010 с 08.02.2010 до 25.07.2011","Бар

г. Братск, ж.р. Центральный, ул. Южная, 8","
",,,,
21,"ООО ""Белый Корабль""
ИНН: 3804032689","ИФНС по Центральному округу г.Братска Ирк. обл.
Постановление(св-во) от 11.10.2005","38МЕ006170 603 от 26.03.2010
 срок действия с 26.03.2010 по 16.11.2013;     ","Магазин

ул. Обручева, 35","
",,,,
,,,,"Магазин

ж р Центр-ный юго-вост ж д №17/16 по улПодбельског","
",,,,
