"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
149,"ООО ""СОВторг""
ИНН: 3804034478","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.03.2006","38МЕ005801 251 от 27.04.2007
 срок действия с 27.04.2007 по 27.04.2012","Магазин
""Волна""
г. Братск, ж.р. Центральный, ул. Курчатова, 40, пом. 1001","
",,27.04.2012,,
150,"ООО ""Солнечный""
ИНН: 3804037912","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.04.2007","38МЕ005850 299 от 13.09.2007
 срок действия с 13.09.2007 по 13.09.2012;     ","Бар

г.Братск, ул. Северный Артек, 10","
",,,,
151,"ООО ""Солнышко""
ИНН: 3804009584","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 01.12.2009","38МЕ006383 810 от 11.08.2011
 срок действия с 11.08.2011 по 10.08.2012;     ","Кафе

г. Братск, ж.р. Центральный, ул. Советская, 7","
",,,,
,,,,"Бар

г. Братск, ж.р. Центральный, ул. Комсомольская, 54","
",,,,
152,"ООО ""СОЮЗ""
ИНН: 3804046850","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 14.12.2011","38МЕ006466 889 от 02.04.2012
 срок действия с 02.04.2012 по 01.04.2017;     ","Магазин

г. Братск, ж.р. Центральный, ул. Советская, 34","
",,,,
,,,,"Бар

г. Братск, ж.р. Центральный, ул. Советская, 34","
",,,,
153,"ООО ""Союз""
ИНН: 3805201241","МИМНС № 15 по Иркутской области
Постановление(св-во) от 20.12.2002","38МЕ006143 578 от 16.12.2009
 срок действия с 16.12.2009 по 29.11.2012;     ","Магазин

г.Братск, ж.р.Центральный, ул.Возрождения, 14 А","
",,,,
,,,,"Павильон

г.Братск, ул. Юбилейная, 14/4","
",,,,
154,"ООО ""Спринт""
ИНН: 3804045141","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.04.2011","38МЕ006439 865 от 10.02.2012
 срок действия с 10.02.2012 по 09.02.2013;     ","Бар

г. Братск, Р 03 19 05 01","
",,,,
155,"ООО ""Спутник""
ИНН: 3804038909","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 26.07.2007","38МЕ006004 446 от 24.11.2008
 срок действия с 24.11.2008 по 23.04.2013;     ","Отдел по продаже продовольственных товаров

ул. Южная, 91","
",,,,
,,,,"Магазин

ул. Южная, 109, пом. 1002","
",,,,
156,"ООО ""Спутник-М""
ИНН: 3804035200","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.05.2006","38МЕ006378 805 от 11.08.2011
 срок действия с 11.08.2011 по 10.08.2012;     ","Магазин

г. Братск, проезд Индустриальный, 1","
",,,,
157,"ООО ""Сталкер""
ИНН: 3804046586","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 08.11.2011","38МЕ006490 915 от 29.05.2012
 срок действия с 29.05.2012 по 05.02.2013;     взамен: 38МЕ006444 рег. № 871 от 20.02.2012 с 20.02.2012 до 28.05.2012","Кафе
- бар
1 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
 - бильярд
2 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Ресторан
""Камелот""
2 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
ночного клуба
3 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
 - боулинг
2 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
 - боулинг
1 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
- спорт
2 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
- бильярд
3 этаж, г. Братск, ул. Комсомольская, 37, пом. № 1001","
",,,,
158,"ООО ""Страйк""
ИНН: 3804009739","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 10.12.2009","38МЕ006443 870 от 20.02.2012
 срок действия с 20.02.2012 по 01.04.2012","Бар
в бильярде 2 этажа
г. Братск, ж.р. Центральный, ул. Комсомольская,37,  пом. № 1001","
",,01.04.2012,,
,,,,"Бар
в бильярде 3 этажа
г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
в боулинге 1 этажа
г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
в боулинге 2 этажа
г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
ночного клуба
г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Бар
спортивный
г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"кофейня

г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
,,,,"Ресторан
""Камелот""
г. Братск, ж.р. Центральный, ул. Комсомольская, 37, пом. № 1001","
",,,,
159,"ООО ""Сфера Досуга""
ИНН: 3804041605","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 29.05.2008","38МЕ006025 463 от 22.12.2008
 срок действия с 22.12.2008 по 31.07.2013;     ","Отдел в магазине

ул. Маршала Жукова, 3","
",,,,
,,,,"Отдел в магазине

ж.р. Центральный, пр-т Ленина, 28","
",,,,
,,,,"Бар

ж.р. Центральный, пр-т Ленина, 28","
",,,,
160,"ООО ""Сфера""
ИНН: 3805708560","МИФНС № 15 по Иркутской области
Постановление(св-во) от 12.08.2008","38МЕ006423 851 от 21.12.2011
 срок действия с 21.12.2011 по 05.11.2013;     взамен: 38МЕ006368 рег.№ 793 от 21.07.2011 с 21.07.2011 до 20.12.2011","Торговый отдел
""Винный погребок""
г.Братск, ж.р.Энергетик, ул.Гиндина, 4, пом. 1002","
",,,,
,,,,"Торговый отдел
в торговом центре ""Багульник""
г. Братск, ж.р. Центральный, ул. Крупской, 8, корпус № 6, торговая площадь № 13","
",,,,
,,,,"Торговый отдел
в ТЦ ""Байкал""
г. Братск, ж.р.Центральный, ул.Янгеля, 120/1","
",,,,
161,"ООО ""Таежный""
ИНН: 3805705369","Межрайонная ИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 17.12.2006","38МЕ005784 234 от 04.04.2007
 срок действия с 04.04.2007 по 04.04.2012","Отдел в магазине

ул. 2-я Таежная, 40","
",,04.04.2012,,
162,"ООО ""ТАЙГА""
ИНН: 3805703019","МИФНС № 15 по Иркутск. обл и УОБАО
Постановление(св-во) от 05.12.2005","38МЕ006281 714 от 18.04.2011
 срок действия с 18.04.2011 по 17.04.2012","Магазин

г. Братск, ж.р. Гидростроитель, ул. Тургенева, 31","
",,17.04.2012,,
163,"ООО ""Талисман""
ИНН: 3804033570","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 20.12.2005","38МЕ006319 745 от 14.06.2011
 срок действия с 14.06.2011 по 13.06.2012;     ","Отдел в магазине

г. Братск, ж.р. Порожский, ул. 20 Партсъезда, 233","
",,13.06.2012,,
164,"ООО ""Тандем""
ИНН: 3805703354","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 17.02.2006","38МЕ006324 750 от 17.06.2011
 срок действия с 17.06.2011 по 16.06.2012;     ","Магазин

г. Братск, ж.р. Гидростроитель, П 26540101 (юго-западнее перекрестка улиц Заводская и  Спортивная)","
",,16.06.2012,,
,,,,"Отдел в магазине
""Первый""
г. Братск, ж.р.Осиновка, ул. Промышленная, 3","
",,,,
165,"ООО ""Татьяна""
ИНН: 3804035129","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.05.2006","38МЕ006392 819 от 31.08.2011
 срок действия с 31.08.2011 по 30.08.2012;     ","Отдел в магазине
№ 3
г. Братск, п. Порожский, ул. 50 лет Октября, 9","
",,,,
166,"ООО ""Торговая компания""
ИНН: 3804027495","ИМНС РФ по Центральн. округу г.Братска
Постановление(св-во) от 30.06.2003","38МЕ006387 814 от 22.08.2011
 срок действия с 27.08.2011 по 26.08.2014;     ","Столовая
- заготовочная
промышленная площадка ОАО ""Братсккомплексхолдинг""","
",,,,
167,"ООО ""Торговый дом ""ОСТО""
ИНН: 3805401868","Межрайонная ИМНС РФ № 15 по Иркутской области
Постановление(св-во) от 27.08.2002","38МЕ006238 672 от 01.11.2010
 срок действия с 01.11.2010 по 28.01.2014;     ","Отдел в магазине
""Енисейский""
ж.р. Гидростроитель, ул. Вокзальная, 12б, пом.1001","
",,,,
,,,,"Торговый отдел
в кафе ""Альянс""
ж.р. Гидростроитель, ул. Енисейская, 62, пом. 1002","
",,,,
,,,,"Торговый отдел
в павильоне ""Эльдорадо""
ж.р.Гидр-ль, ул.Сосновая, р-н рынка ""Сосновый""","
",,,,
,,,,"Торговый отдел в магазине
с оказанием услуг общепита
ж.р. Гидростроитель, ул. Вокзальная, 12б, пом.1001","
",,,,
,,,,"Кафе

ж.р. Гидростроитель, ул. Енисейская, 62","
",,,,
168,"ООО ""Транзит""
ИНН: 3804025402","ИМНС России по Центральн. окр. г.Братска Ирк. обл.
Постановление(св-во) от 12.07.2002","38МЕ005997 440 от 30.10.2008
 срок действия с 30.10.2008 по 29.10.2013;     ","Магазин

переулок 1-й Химлесхозовский, 10А","
",,,,
169,"ООО ""Траффик Лайт""
ИНН: 3804041980","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 07.07.2008","38МЕ005968 411 от 18.08.2008
 срок действия с 18.08.2008 по 17.08.2013;     ","Буфет

ул. Депутатская, 35А, помещение № 1001","
",,,,
170,"ООО ""Тренд""
ИНН: 3804039229","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.09.2007","38МЕ006399 825 от 09.09.2011
 срок действия с 09.09.2011 по 08.09.2012;     ","Магазин
""Камелия""
г. Братск, ж.р. Центральный, ул. Возрождения, 4","
",,,,
171,"ООО ""Три пятерки""
ИНН: 3804035009","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 18.05.2006","38МЕ006366 791 от 21.07.2011
 срок действия с 21.07.2011 по 20.07.2012;     ","Отдел в магазине
""Янг""
г. Братск,  ул.  Комсомольская, 31","
",,20.07.2012,,
172,"ООО ""ТРИО ПЛЮС""
ИНН: 3805711563","Межрайонная ИФНС № 15 по  Иркутской области
Постановление(св-во) от 23.04.2010","38МЕ006405 830 от 22.09.2011
 срок действия с 22.09.2011 по 21.09.2013;     ","Магазин
""Трио плюс""
г. Братск, ж.р. Энергетик, ул. Наймушина, 22, пом. 1002","
",,,,
173,"ООО ""ТРИО""
ИНН: 3805709042","МИФНС № 15 по Иркутской обл
Постановление(св-во) от 01.12.2008","38МЕ006049 483 от 26.02.2009
 срок действия с 26.02.2009 по 05.02.2014;     ","Магазин

ж.р. Центральный, ул. Мира, 1/27,пом 1001","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Обручева, 21, пом 1002","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Свердлова, 20","
",,,,
,,,,"Магазин

г.Братск, П 17270101, тер-я ОАО МПК ""Падунский""","
",,,,
,,,,"Отдел в магазине

ж.р Центральный, ул. Советская, 28 пом 1004","
",,,,
,,,,"Отдел в магазине

ж.р. Центральный, ул. Комсомольская, 70пом 1001","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Пихтовая, 72","
",,,,
,,,,"Магазин

ж.р. Энергетик, ул. Мечтателей, 7А","
",,,,
174,"ООО ""Триумф""
ИНН: 3804044003","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 05.05.2009","38МЕ006310 739 от 31.05.2011
 срок действия с 31.05.2011 по 17.06.2014;     взамен: 38МЕ006025 рег. № 559 от 30.09.2009 с 30.09.2009 до 30.05.2011","Магазин
""Фаворит""
г. Братск, ж.р. Центральный, ул. Гурьевская, 12","
",,,,
,,,,"Отдел в магазине
""Сибирские зори""
г. Братск, ж.р. Центральный, ул. Крупской, 17","
",,,,
,,,,"Торговый отдел
№ 1 в универсаме
г. братск, ж.р. Центральный, ул. Янгеля, 58а","
",,,,
175,"ООО ""У Ильи""
ИНН: 3804023500","ИМНС России по Центральному округу гБратска Ирк о
Постановление(св-во) от 02.12.2002","38МЕ006451 878 от 01.03.2012
 срок действия с 07.03.2012 по 06.03.2013;     прекращенная: 38МЕ005753 238 от 13.04.2007  срок действия с 13.04.2007 по 06.03.2012","Магазин
""Ивушка""
г. Братск, ж.р. Центральный, ул. Крупской, 21, пом. № 1002","
",,06.03.2012,,
176,"ООО ""У Камина""
ИНН: 3805704397","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 25.06.2006","38МЕ006369 794 от 26.07.2011
 срок действия с 26.07.2011 по 25.07.2012;     ","Закусочная
""Шашлычная""
г. Братск, ул. Мечтателей, 14","
",,,,
177,"ООО ""У Ольги""
ИНН: 3804023483","ИМНС по Центральному округу г. Братска Иркут обл
Постановление(св-во) от 30.10.2002","38МЕ006450 877 от 01.03.2012
 срок действия с 07.03.2012 по 06.03.2013;     прекращенная: 38МЕ005781 231 от 30.03.2007  срок действия с 30.03.2007 по 06.03.2012","Магазин
""У Ольги""
г. Братск, ж.р. Центральный, ул. Гагарина, 59, кв. № 1001","
",,06.03.2012,,
178,"ООО ""УльтраСи""
ИНН: 3804034855","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 04.05.2006","38МЕ006348 772 от 07.07.2011
 срок действия с 07.07.2011 по 06.07.2014;     ","Магазин
""Милан""
г. Братск, ул. Космонавтов, 54, пом. № 1001","
",,,,
179,"ООО ""УЛЬТРАТУР""
ИНН: 3805701438","МИМНС РФ № 15 по Иркутской области
Постановление(св-во) от 21.10.2004","38МЕ006365 790 от 26.07.2011
 срок действия с 26.07.2011 по 25.07.2016;     ","Ресторан
""Падун""
г. Братск, ж.р. Падун, ул. Гидростроителей, 96","
",,,,
180,"ООО ""Успех""
ИНН: 3804034608","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.04.2006","38МЕ006343 767 от 28.06.2011
 срок действия с 28.06.2011 по 27.06.2012;     ","Магазин
""Десятка""
г. Братск, ж.р. Центральный, ул. Депутатская, 19 А","
",,27.06.2012,,
,,,,"Магазин
""Десяточка""
г. Братск, ул. Комсомольская, 24, помещение № 1002","
",,,,
181,"ООО ""Успех""
ИНН: 3804046924","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 21.12.2011","38МЕ006469 892 от 17.04.2012
 срок действия с 17.04.2012 по 16.04.2013;     ","Кафе
""Каспий""
г. Братск, ул. Баркова, 13А","
",,,,
182,"ООО ""ФАРАОН""
ИНН: 3804043842","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 15.04.2009","38МЕ006139 574 от 27.11.2009
 срок действия с 27.11.2009 по 26.11.2014;     ","Закусочная

г.Братск, Р 02 09 01 01 (разв. Ангарская деревня)","
",,,,
183,"ООО ""Феникс""
ИНН: 3804043715","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.03.2009","38МЕ006103 536 от 13.08.2009
 срок действия с 13.08.2009 по 12.08.2014;     ","Магазин

ж.р. Центральный, ул. Комсомольская, 31, пом. 1002","
",,,,
184,"ООО ""Фортуна""
ИНН: 3805703837","МИФНС № 15 по Иркут. Обл. и УОБАО
Постановление(св-во) от 15.04.2006","38МЕ006340 764 от 24.06.2011
 срок действия с 30.06.2011 по 29.06.2012;     ","Магазин
""Рябинка""
г. Братск, ж.р. Энергетик, ул. Приморская, 17","
",,29.06.2012,,
,,,,"Магазин
""Люкс""
г. Братск, ж.р. Энергетик, ул. Приморская, 53","
",,,,
,,,,"Магазин
""Фортуна""
г. Братск, ж.р. Энергетик, ул. Наймушина, 9","
",,,,
185,"ООО ""Фруктовый Мир""
ИНН: 3804044540","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.07.2009","38МЕ006129 563 от 22.10.2009
 срок действия с 22.10.2009 по 21.10.2014;     ","Отдел магазина

г.Братск, ж.р. Центр, ул.Советская, 6, пом 1008","
",,,,
186,"ООО ""ХОЛОД""
ИНН: 3804008407","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 03.11.2009","38МЕ006147 582 от 24.12.2009
 срок действия с 24.12.2009 по 23.12.2014;     ","Магазин

г. Братск, ж.р. Центр., ул. Мира, 55,пом. 1001","
",,,,
187,"ООО ""ЦЕЗАРЬ""
ИНН: 3804000334","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 14.10.2009","38МЕ006236 669 от 21.10.2010
 срок действия с 21.10.2010 по 10.12.2014;     ","Магазин
""Цезарь""
ж.р. Центральный, ул.Гагарина, 39, пом. 1001","
",,,,
188,"ООО ""ЦЕРЕРА""
ИНН: 3804042951","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 28.11.2008","38МЕ006141 576 от 10.12.2009
 срок действия с 10.12.2009 по 09.12.2014;     ","Магазин

г. Братск, бульвар Космонавтов, 14","
",,,,
189,"ООО ""Чарли""
ИНН: 3804025392","ИМНС РФ по Центральному округу г.Братска Ирк. обл.
Постановление(св-во) от 27.06.2002","38МЕ005808 261 от 01.06.2007
 срок действия с 01.06.2007 по 01.06.2012;     прекращенная: 38МЕ005808 261 от 01.06.2007  срок действия с 01.06.2007 по 01.06.2012","Бар

 ул. Крупской, 19/47","
",,01.06.2012,,
190,"ООО ""Шатл""
ИНН: 3804033562","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 20.12.2005","38МЕ006105 538 от 14.08.2009
 срок действия с 14.08.2009 по 31.01.2012","Закусочная

ж.р. Центральный, ул. Комсомольская, 62","
",,31.01.2012,,
,,,,"Закусочная

ул. Баркова, 13а","
",,,,
191,"ООО ""Эдельвейс""
ИНН: 3805704333","МИФНС №15 по Иркутской области и УОБАО
Постановление(св-во) от 20.06.2006","38МЕ006386 813 от 22.08.2011
 срок действия с 25.08.2011 по 24.08.2012;     ","Отдел в магазине
""Гастроном""
г. Братск, ж.р. Гидростроитель, ул. Енисейская, 15","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Енисейская, 43","
",,,,
192,"ООО ""ЭДНОС""
ИНН: 3804033266","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 01.12.2005","38МЕ006317 742 от 09.06.2011
 срок действия с 09.06.2011 по 08.06.2014;     ","Павильон

г. Братск, пересечение ул. Карла Маркса и б-ра Космонавтов","
",,,,
,,,,"Магазин

г. Братск, бульвар Космонавтов, 52а","
",,,,
193,"ООО ""Эксклюзив""
ИНН: 3804022987","ИМНС РФ по Центральному округу г. Братска Ирк. Обл
Постановление(св-во) от 28.12.2002","38МЕ006460 886 от 27.03.2012
 срок действия с 27.03.2012 по 26.03.2013;     прекращенная: 38МЕ006381 808 от 08.08.2011  срок действия с 08.08.2011 по 06.03.2012","Отдел в магазине
""Флагман""
г. Братск, ж.р. Центральный, бульвар Космонавтов, 13, пом. 1002","
",,06.03.2012,,
194,"ООО ""ЭлАр""
ИНН: 3804039620","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 16.10.2007","38МЕ006298 729 от 29.04.2011
 срок действия с 29.04.2011 по 28.07.2014;     взамен: 38МЕ006096 рег.№ 529 от 29.07.2009 с 29.07.2009 до 28.04.2011","Кафе
""Чайна Таун""
г. Братск, ж.р. Центральный,ул. Энгельса, 29","
",,,,
195,"ООО ""Элит-Маркет""
ИНН: 3805702488","Межрайонная ИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 11.08.2005","38МЕ006288 720 от 20.04.2011
 срок действия с 22.04.2011 по 21.04.2016;     ","Отдел в магазине
""Фишка""
г. Братск, ул. Наймушина, 24","
",,,,
,,,,"Закусочная

г. Братск, ул. Кирова, 27","
",,,,
,,,,"Магазин
""Фишка-2""
г. Братск, ул. Кирова, 27","
",,,,
196,"ООО ""Элита плюс""
ИНН: 3804043793","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 10.04.2009","38МЕ006102 535 от 13.08.2009
 срок действия с 13.08.2009 по 12.08.2014;     ","Бар

ж.р.Центральный, ул. Баркова, 13А","
",,,,
197,"ООО ""Эльбрус""
ИНН: 3804023613","ИМНС РФ по Центральному округу г.Братска Ирк. обл.
Постановление(св-во) от 27.08.2002","38МЕ006456 883 от 15.03.2012
 срок действия с 18.03.2012 по 17.03.2014;     прекращенная: 38МЕ005773 222 от 16.03.2007  срок действия с 17.03.2007 по 17.03.2012","Магазин
""Нива""
г. Братск, ул. Цветочная, 5, пом. № 1001","
",,17.03.2012,,
198,"ООО ""ЭНЕРГЕТИК""
ИНН: 3805704904","Межрайонная ИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 22.09.2006","38МЕ005785 235 от 04.04.2007
 срок действия с 04.04.2007 по 04.04.2012","Закусочная

ул. Гиндина, 13","
",,04.04.2012,,
199,"ООО ""ЭТАЛОН""
ИНН: 3804039194","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 31.08.2007","38МЕ006446 873 от 27.02.2012
 срок действия с 27.02.2012 по 27.12.2012;     взамен: 38МЕ006354 рег.№ 779 от 05.07.2011 с 05.07.2011 до 26.02.2012","Закусочная

г. Братск, ж.р. Центральный, ул. Депутатская, 1А","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Депутатская, 1А","
",,,,
200,"ООО ""Эталон""
ИНН: 3805708970","МИФНС № 15по  Иркутской обл.
Постановление(св-во) от 14.11.2008","38МЕ006220 653 от 30.08.2010
 срок действия с 30.08.2010 по 11.03.2014;     ","Магазин
""Триумф""
ж.р. Падун, ул. Гидростроителей, 87","
",,,,
,,,,"Магазин

ж.р. Энергетик, ул. Наймушина, 40","
",,,,
201,"ООО ""ЮВИС""
ИНН: 3823030408","Межрайонная ИФНС № 11 по  Ирк. обл. и УОБАО
Постановление(св-во) от 12.04.2006","А194659 843 от 01.12.2011
 срок действия с 01.12.2011 по 07.07.2012;     взамен: А194642 рег. № 715 от 19.04.2011 с 19.04.2011 до 30.11.2011","Магазин

ул. Кирова, 30а","
",,07.07.2012,,"М/о ""Братский район"""
202,"ООО ""Южный""
ИНН: 3804011985","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 01.11.2010","38 МЕ 006249 681 от 16.12.2010
 срок действия с 16.12.2010 по 15.12.2011; 16.12.2011-15.12.2012;    ","Магазин
""Южный""
г. Братск, ж.р. Южный Падун, ул. Мамырская, 99Б","
",,,,
203,"ООО ""Ялен""
ИНН: 3804023902","ИМНС по Центральному окр гБратска Иркутс обл
Постановление(св-во) от 30.10.2002","38МЕ006476 900 от 26.04.2012
 срок действия с 29.04.2012 по 28.04.2013;     прекращенная: 38МЕ005799 249 от 27.04.2007  срок действия с 28.04.2007 по 28.04.2012","Магазин

г. Братск, ж.р. Центральный, ул. Крупской, 27, пом. № 1001","
",,28.04.2012,,
204,"ООО ""Янта-Братск-Розница""
ИНН: 3804036066","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 24.08.2006","38МЕ006342 766 от 24.06.2011
 срок действия с 24.06.2011 по 29.11.2012;     взамен: 38МЕ006215 рег. № 649 от 24.08.2010 с 24.08.2010 до 23.06.2011","Магазин
""Янта""
г. Братск, ж.р. Чекановский, ул. Первопроходцев, 2А, стр. 3","
",,,,
,,,,"Павильон
""Янта""
г. Братск, ж.р. Центральный, в 7 метрах южнее здания № 35 по ул. Крупской","
",,,,
,,,,"Магазин
""Янта""
г. Братск, ж.р. Центральный, ул. Советская, 23","
",,,,
,,,,"Магазин
""Янта""
г. Усть-Кут, ул. Чкалова, 1","
",,,,
,,,,"Магазин
""Янта""
г. Братск, ул. Наймушина, 11","
",,,,
205,"ООО ""ЯР""
ИНН: 3804023596","ИМНС по Центральному округу г.Братска Иркутск. Обл
Постановление(св-во) от 16.12.2002","38МЕ006517 942 от 16.07.2012
 срок действия с 16.07.2012 по 10.12.2013;     взамен: 38МЕ006497 рег. № 922 от 14.06.2012 с 14.06.2012 до 15.07.2012","Магазин
""Алко-Маркет+""
г. Усть-Илимск, проспект Мира, д. 65, н.п. 250","
",,,,
,,,,"Магазин
""Алко-маркет""
г. Усть-Илимск, ул. Наймушина, 4, н.п. 1","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. 25-летия Братскгэсстроя, 68","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Вихоревская, юго-западнее почтового отделения № 12","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Островского, 8","
",,,,
,,,,"Отдел в магазине

г. Братск, дачный поселок Зяба, СОНТ ""Мичуринец"", а/остановка ""Черемушки""","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Набережная, 28","
",,,,
,,,,"Торговый отдел
в павильоне
г. Братск, ж.р. Падун, ул. Геологов, 20","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Гидростроителей, 17","
",,,,
206,"ООО Культурно-развлекательный центр ""Метелица""
ИНН: 3804033160","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 24.11.2005","38МЕ005954 397 от 02.07.2008
 срок действия с 02.07.2008 по 01.07.2013;     ","Буфет

ул. Мира, 37а","
",,,,
207,"ООО Торговая компания ""Айсберг""
ИНН: 3804034301","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 16.03.2006","38МЕ006437 863 от 08.02.2012
 срок действия с 08.02.2012 по 07.02.2017;     прекращенная: 38МЕ006393 820 от 31.08.2011  срок действия с 31.08.2011 по 02.02.2012","Отдел в магазине

г. Братск, ж.р. Центральный, ул. Малышева, 2, пом. № 1001","
",,02.02.2012,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Южная, 25А","
",,,,
208,"ООО Торговый дом ""Север""
ИНН: 3805111830","Межрайонная ИМНС РФ № 15 по Иркутской области
Постановление(св-во) от 07.06.2002","38МЕ005975 419 от 10.09.2008
 срок действия с 10.09.2008 по 09.09.2013;     ","Магазин-кулинария

ул. Наймушина, 7","
",,,,
,,,,"Кафе

ул. Наймушина, 7","
",,,,
209,"ООО Торговый дом ""Сибирь""
ИНН: 3804019374","ИМНС по Центральному округу г.Братска Ирк обл.
Постановление(св-во) от 26.12.1995","38МЕ006511 936 от 05.07.2012
 срок действия с 05.07.2012 по 31.12.2013;     взамен: 38МЕ006265 рег. № 693 от 04.02.2011 с 04.02.2011 до 04.07.2012","Закусочная

г. Братск, ж.р. Центральный, ул. Мира, восточнее ж.д.№ 31, напротив магазина ""Орхидея""","
",,,,
,,,,"Кафетерий

г. Братск, ул. Рябикова, 27","
",,,,
,,,,"Магазин

г.Братск,ул. Маршала Жукова, 8","
",,,,
,,,,"Магазин

г. Братск, бульвар Победы, 26","
",,,,
,,,,"Магазин

г.Братск, ул. Мира, 5","
",,,,
