                  Государственный реестр выданных лицензий  за апрель 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
26,ООО,"""Энергия-Плюс""","г.Хабаровск, ул.Гамарника д.80, тел. 41-08-64",2721050322/272101001/1022700927259,розничная продажа АП 2 года,магазин,"г.Хабаровск, п.с.т.свх Дорурса д.61",59.3,59.3,21.8,9-21,впервые,ХБ 000983 № 2548 17.04.2012 - 17.04.2014,,,
27,ООО," ""Режент""","г.Хабаровск, б-р.Амурский д.43, тел. 73-68-47",2702090834/272201001/1022701127096,розничная продажа АП в розлив 1 год,закусочная,"г.Хабаровск, ш.Матвеевское д.28А, литер Б, 1 этаж",58.15,58.15,48.2,08-20,доп. объекты,ХБ 000954 № 1220 13.03.2012 - 13.03.2017,,,
,,,,,,закусочная ,"г.Хабаровск, ш.Матвеевское д.28А, литер Б,2 этаж",126.93,126.93,93.72,08-20,,,,,
28,ООО,"""МАГНАТ""","г.Хабаровск, ул.Джамбула д.86, тел. 20-22-55",2722109748/272201001/1122722000631,розничная продажа АП в розлив 1 год,ресторан,"г.Хабаровск, ул.Джамбула д.86",350.2,350.2,118.2,10-02,впервые,ХБ 001031 № 2560 17.04.2012 - 17.12.2013,,,
29,ООО,"""Масалитин""","г.Хабаровск, ул.Служебная д.3, 40, тел. 42-85-90",2721137527/272101001/1062721086625,розничная продажа АП 3 года,отдел,"г.Хабаровск, ул.Гоголя д.17",52,52,25,8.30-22,доп. объект,ХБ 001047 № 357 24.05.2011 - 24.05.2015,,,
30,ООО,"""Профит""","г.Хабаровск, ул.Серышева д.22-4, тел. 93-14-53",2722091628/272201001/1102722000655,розничная продажа АП в розлив 1 год,ресторан,"г.Хабаровск, ул.Дикопольцева д.80",279.5,279.5,,12-02,продление,ХБ 001033 № 2331 17.04.2012 - 17.04.2013,,,
31,ООО,"""Спарта""","г.Хабаровск, ул.Волочаевская д.15, литер Д, тел. 60-97-70",2723147633/272301001/1122723001411,розничная продажа АП 3 года,магазин,"г.Хабаровск, ул.Волочаевская д.15, литер Д",85,85,63,8-23,впервые,ХБ 001035 № 2562 17.04.2012 - 17.04.2015,,,
32,ООО,"""ТК ""Стеил - Хабаровск""","г.Хабаровск, ул.Окружная д.16, тел. 73-63-00",2724150396/272401001/1112724001730,розничная продажа АП в розлив 1 год,отдел в ТЦ,"г.Хабаровск, ул.Брестская д.24, ",1104,1104,208.9,9-22,впервые,ХБ 001034 № 2561 17.04.2012 - 17.04.2013,,,
33,ООО,"""Русская водка""","г.Хабаровск, ул.Муравьева-Амурского д.4-530, тел. 32-60-94",2721162763/272101001/1082721008721,розничная продажа АП 5 лет,отдел в ТЦ,"г.Хабаровск, ул.Краснореченская д.177в","51,2","51,2","31,8",9-21,доп. объект,ХБ 000114 № 1867 16.12.2008 - 16.12.2013,,,
г. Комсомольск-на-Амуре,,,,,,,,,,,,,,,,
