Городской округ Саранск,,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,,Ф.И.О. ,
ор-,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,руководителя (учредителя),
гани,цион-,,,,,объектов,лицензииё,факс,новки и,,,
за,ный,,,ИНН,,,,,возобнов-,,,
ций,№,,,ОГРН,,,,,ления,,,
в,лицен-,,,,,,,,лицензии,,,
р-не,зии,,,,,,,,,,,
1,117,13 МЕ,"ООО ""МИ-КА"" г. Саранск, ул. Московская, 57",1328904320,"зак-ная ""Минутка"" г. Саранск, ул. Пролетарская, 112",1,15/05/12,48-25-94,,,Дмитраков Сергей Михайлович,
,,002046,,1051328051752,,,16/05/14,89876996757,,,,
1,98,13 МЕ,"ООО ""Елки"" г. Саранск, ул. Коммунистическая,",1328905115,"кафе ""Елки"" г. Саранск, ул. Коммунистическая, 59",1,27/04/12,24-55-22,,,Губин Григорий Пантелеевич,
,,002025,59,1061328008169,,,27/04/13,,,,Фирстова Юлия Юрьевна,
1,187,13 МЕ,"ООО ""Продукты"" г. Саранск, ул. Сущинского, 9г",1328905404,"м-н г. Саранск, ул. Сущинского, 9г",1,15/06/11,55-65-04,п.25.12.07,,Долгова Вера Ивановна,
,,001643,,1061328009181,,,15/06/14,89179964532,в. 29.12.07,,,
1,201,13 МЕ,"ООО ""Лесное"" г. Саранск, ул. Полежаева, 186, стр. 2",1326197266,"кафе ""Лесное""  г. Саранск, ул. Полежаева, 186, стр. 2",1,23/06/11,47-65-62,,,Артюхин Алексей Викторович,
,,001661,,1061326022020,,,23/06/16,,,,Васильева Наталья Ивановна,
1,154,13 РМ,"ООО ""ТД Гермес"" г. Саранск, ул. Чкалова, 2а",1328905002,"м-н г. Саранск, ул. Ульянова, 20а",1,15/06/12,32-05-87,,,Пучков Евгений Алексеевич,
,,000047,,1061328007058,,,15/06/13,,,,,
1,253,13 МЕ,"ООО ""Релина"" г. Саранск, п. Луховка, ул.",1328905316,"м-н ""Исса"" г. Саранск, пр.70 лет Октября, 65",4,15/07/11,25-75-72,,,Реводько Лидия Николаевна,
,,001716,"Октябрьская, 18а ",1061328009071,"м-н г. Саранск, п. Луховка, ул. Октябрьская, 18а",,15/07/12,89272760722,,,Строкин Александр Владимирович,
,,,,,"м-н ""Универсам"" г. Саранск, ул. Ленинградская, 37",,,,,,,
,,,,,"м-н ""Апельсин"", г. Рузаевка, ул. Луначарского, 1",,,,,,,
1,222,13 МЕ,"ООО ""Ульяна"" г. Саранск, п. Озерный, ул.",1328904506,"м-н ""Ульяна"" г. Саранск, п. Озерный, ул. Тепличная, 15",1,30/06/11,25-25-38,,,Дьячков Владимир Викторович,
,,001683,"Тепличная, 15",1061328000051,,,30/06/16,,,,,
1,137,13 МЕ,"ООО ""Амброзия"" г. Саранск, ул. Веселовского,",1327002431,"м-н г. Саранск, ул. Веселовского, 62а",2,16/05/11,76-57-74,,,Денисова Наталья Петровна,
,,001591,62а ,1061327010282,"магазин, г. Саранск, пр. Ленина, 23а",,16/05/16,,,,,
1,62,13 МЕ,"ООО ""Дискавери"" г. Саранск, ул. С.Разина, 19",1326185133,"кафе ""Акватория"" г. Саранск, ул. С.Разина, 19",1,30/03/11,47-67-69,,,Трушикин Вячеслав Николаевич,
,,001506,,1021300982075,,,30/03/16,89271838801,,,,
1,159,13 РМ,"ООО ""Золотая рыбка"" г. Саранск, ул. Вой-",1327002030,"магазин ""Золотая рыбка"" г. Саранск, ул. Войнова, 17",1,15/06/12,72-73-09,,,Акимов Александр Васильевич,
,,000037,"нова, 17",1061327008489,,,15/06/14,30-11-01,,,,
1,199,13 МЕ,"ООО ""Продукты-С"" г. Саранск, ул. Васенко, 36",1326196537,"м-н г. Саранск, ул. Полежаева, 159",3,23/06/11,89271726432,,,Старкина Лариса Сергеевна,
,,001659,,1061326012175,"м-н г. Саранск, пер. Кирилова, 2а",,23/06/16,24-77-22,,,,
,,,,,"м-н ""Любимый"" г. Саранск, ул. Чкалова, 2а",,,35-50-38,,,,
1,182,13 МЕ,"ООО ""Викинг"" г. Саранск, ул. Невского, 46а",1328905355,"кафе ""Затерянный рай"" г. Саранск, ул. Невского, 46а",1,15/06/11,89272760163,,,Чембриков Константин,
,,001638,,1061328009115,,,15/06/16,23-15-16,,,Богалева Ольга Викторовна бух,
1,184,13 МЕ,"ООО ""Мокшанка"" г. Саранск, ул. Васенко, 2б",1326196784,"м-н г. Саранск, ул. Васенко, 2б",3,15/06/11,24-43-69,,,Дивеева Светлана Ивановна,
,,001640,,1061326014573,"м-н г. Саранск, ул. Кошевого, 7",,15/06/14,,,,,
,,,,,"магазин, г. Саранск, ул. Лихачева, 2",,,,,,,
1,160,13 РМ,"ООО ""МиА"" г. Саранск, ул. Полежаева, 68",1326197467,"м-н ""Продукты""  г. Саранск, ул. Полежаева, 68",2,15/06/12,30-19-49,,,Борисова Марина Евгеньевна,
,,000038,,1061326022295,"м-н ""Продукты"" г. Саранск, ул. Полежаева, 117",,15/06/13,24-18-44,,,,
1,11,13 МЕ,"ООО ""Александра"" г. Саранск, ул. Веселовс-",1327002375,"кафе ""Александра"" г. Саранск, ул. Веселовского, 43",2,30/01/12,30-68-11,,,Костюк Александр Владимирович,
,,001932,"кого, 43 ",1061327010194,"закусочная ""Дамино"" г. Саранск, ул. Веселовского, 4а",,01/02/15,,,,,
1,126,13 МЕ,"ООО ""Миф"" г. Саранск, ул. Миронова, 1а-114",1327001766,"м-н ""Эконом"" п. Комсомольский, ул. Респ-ая, 3а",1,15/06/09,89271988898,"в. 29.06.07, в. 29.11.07",,Акимочкин Сергей Михайлович,
,,000877,,,"м-н ""Каприз"" г. Саранск, ул. Миронова, 1а (пав.114)",,15/06/14,,"пр.23.06.07, пр.20.11.07",,,
1,162,13 РМ,"ООО ""Меркатор"" г. Саранск, ул. Гожувская, 52а",1328905250,"м-н ""Чарка"" г. Саранск, ул. Гожувская, 52а",2,15/06/12,25-03-36,"пр.21.09.07, пр.27.04.09",,Аверкина Марина Петровна,
,,000040,,1061328009016,"магазин ""Продукты"", г. Саранск, ул. Косарева, 86а",,15/06/13,89271783013,"в.04.10.07, в. 7.05.09",,Аюева Светлана Ивановна,
1,415,13 МЕ,"ООО ""Ивенин"" г. Саранск, ул. Транспортная, 5",1328904440,"м-н ""Теремок"", г. Саранск, п. Ялга, ул. Пионе-ая, 41 а;",4,15/12/11,33-09-56,27.04.09,,Ивенин Евгений Анатольевич,
,,001893,,1051328053325,"м-н ""Авоська"", г. Саранск, ул. Транспортная, 5;",,30/06/14,89272744444,,,,
,,,,,"м-н ""Причал"", г. Саранск, п. Николаевка, ул. Ленина, 60 б",,,,,,,
,,,,,"м-н ""Продукты"" г. Саранск, п. Пушкино, ул. Пушкинская, 87а",,,,,,,
1,227,13 МЕ,"ООО ""Фаворит-плюс"" г. Саранск, ул. Кирова,",1326195501,"пав-он г. Саранск, ул. Невского-ул.Московская",2,30/06/11,47-36-76,,,Гусева Ирина Николаевна,
,,001688,66,1051326070400,"м-н г. Саранск, ул. Кирова, 73",,30/06/14,,,,Кирчева Ольга Владимировна,
1,96,13 МЕ,"ООО ""Трейдинг-опт"" г. Саранск, ул. 1-ая ",1326196350,"пав-он г. Саранск, ул. 2-ая Промышленная, 7",3,15/04/10,47-00-05,,,,
,,001211,"Промышленная, 39а",,"м-н г. Саранск, ул. 1-ая Промышленная, 39а",,15/06/14,29-26-00,,,Ягубкин Сергей Викторович,
,,,,,"м-н ""Маяк"" г. Саранск, ул. Кирова, 63а",,,89271853466,,,,
1,252,13 МЕ,"ООО ""Монастырское"" г. Саранск, с. Монастыр-",1328905482,"м-н г. Саранск, с. Монастырское, ул. Пионерская, 1а",1,15/07/11,25-46-69,,,Житаева Надежда Ивановна,
,,001715,"ское, ул. Пионерская, 1а",1061328009236,,,15/07/12,,,,,
1,260,13 МЕ,"ООО ""Август"" г. Саранск, ул. Советская, 33",1326197107,"м-н ""Любимый"", г. Саранск, ул. Советская, 33",1,15/07/11,24-44-49,,,Старкин Антон Валерьевич,
,,001723,,1061326019853,,,15/07/16,89176903092,,,,
1,161,13 РМ,"ООО ""Клен"" г. Саранск, ул. Веселовского, 84а",1327001117,"м-н ""Клен"" г. Саранск, ул. Веселовского, 84а",1,15/06/12,89272759887,,,Забелина Галина Ивановна,
,,000039,,1061327000470,,,16/06/13,,,,,
1,57,13 МЕ,"ООО ""Константин"" г. Саранск, ул. Коваленко, 30а",1327002625,"магазин ""Продукты"", г. Саранск, ул. Косарева, 13, корпус 3, 4",2,30/03/12,89276424638,,,Колмогорцева Елена Викторовна,
,,001989,,1061327010854,"магазин ""Продукты"", г. Саранск, ул. Коваленко, 80",,31/10/12,,,,,
1,30,13 МЕ,"ООО ""Мордоврегионторг"" г. Саранск, ул. С.",1326147610,"м-н ""Продукты"" г. Саранск, ул. Полежаева, 122а",2,29/02/12,29-20-23,,,Сусуйкин Андрей Владимирович,
,,001954,"Разина, 17 ",1021300987840,"магазин ""Продукты"", г. Саранск, ул. Лесная, 4",,15/07/13,89271887523,,,,
1,397,13 МЕ,"ООО ""Восьмое чудо света"" г. Саранск, ул.",1326186828,"ресторан ""Восьмое чудо света"" г. Саранск, ул. Хмельницкого, 40",2,02/12/11,47-20-62,,,Мордовина Ирина Владимировна,
,,001874,"Хмельницкого, 40 ",1031316000462,"кафе ""Улица"", г. Саранск, ул. Советская, 31",,15/07/13,32-74-20,,,Малюгина Ольга Юрьевна,
1,417,13 МЕ,"ООО ""ЮВИС"" г. Саранск, ул. Попова, 69",1326196449,"м-н ""Продукты"" г. Саранск, ул. Попова, 69",2,15/12/11,35-69-52,,,Богданкевич Татьяна Федоровна,
,,001895,,1061326011196,"магазин ""Продукты"", г. Саранск, ул. Маринина (окол д. № 19)",,15/07/12,89271726982,,,Рыков Иван Викторович,
1,198,13 РМ,"ООО ""Мир продуктов"" г. Саранск, п. Озерный,",1328905161,"магазин, г. Саранск, п. Озерный, ул. Молодежная, 12",1,29/06/12,25-25-46,,,Калачина Людмила Александровна,
,,000089,"ул. Молодежная, 12 ",1061328008763,,,30/06/13,89179929309,,,Калачин Павел Петрович,
1,364,13 МЕ,"ООО ""Центр 2000"" г. Саранск, ул. Рабочая, 100",1327153600,"пав-он г. Саранск, ул. Пролетарская, 108",1,15/11/11,32-82-30,Пр. 3.05.07,,Данилов Владимир Александрович,
,,001839,,1021301069910,,,15/11/13,,,,,
1,191,13 МЕ,"ООО ""Агран"" г. Саранск, ул. Косарева, 74",1328166337,"зак-ная ""Раздолье"" г. Саранск, ул. Косарева, 74",1,30/07/09,,,,Степанова Майя Викторовна,
,,000947,,,,,30/07/12,89510564235,,,,
1,349,13 МЕ,"ООО ""Кафе Пилигрим"" г. Саранск, ул. Б.",1326195621,"кафе ""Пилигрим"" г. Саранск, ул. Б.Хмельницкого, 33",1,31/10/11,23-24-27,,,Бородулина Людмила Алексеевна,
,,001823,"Хмельницкого, 33 ",1051326072159,,,31/10/16,30-61-27,,,Николаев Андрей Валентинович,
1,118,13 МЕ,"ООО ""Морозко"" г. Саранск, ул. Л.Толстого, 23",1326000135,"м-н ""Ксения"" г. Саранск, ул. Гайдара, 6",1,15/05/12,47-89-34,,,Храмова Ольга Сергеевна,
,,002048,,1021300981305,,,15/08/12,24-25-11,,,Тимохина Мария Владимировна,
1,271,13 МЕ,"ООО ""Белый Фрегат"" г. Саранск, ул. Миро-",1327001491,"павильон № 124 (15%) ""Белый Фрегат"" г. Саранск, ул. Миронова, 1а",1,28/07/11,89093259277,,,Ермакова Лариса Анатольевна,
,,001735,"нова, 1а ",1061327003506,,,28/07/13,,,,,
1,301,13 МЕ,"ООО ""Доломит"" г. Саранск, ул. Васенко, 8",1326185165,"кафе ""Старый Саранск"" г. Саранск, ул. Коммунистическая, 35",2,30/08/11,28-23-46,,,Дьяков Александр Дмитриевич,
,,001768,,102130097279,"кафе ""С пылу с жару"", г. Саранск, пр. Ленина, 47",,30/08/14,28-26-43,бух,,Абушаева Эльвира Ирафовна,
1,298,13 МЕ,"ООО ""Стрелец"" г. Саранск, ул. Строительная, 11",1327002583,"магазин ""Продукты"", г. Саранск, ул. Строительная, 11",1,30/08/11,29-15-60,,,Третьяков Василий Германович,
,,001765,,1061327010580,,,30/08/12,27-02-60,,,Ежова Елена Кириловна,
1,334,13 МЕ,"ООО ""Кудалев"" г. Саранск, с. Горяйновка, ",1328905556,"м-н г. Саранск, с. Горяйновка, ул. Орлова, 6а",1,14/10/11,28-96-25,,,Кудалев Владимир Васильевич,
,,001804,"ул. Орлова, 6а ",1061328009379,,,30/10/12,,,,,
1,111,13 МЕ,"ООО ""Ресторан ""Национальный"" г. Саранск,",1326198622,"рес-ан ""Национальный"" г.Саранск, ул. Советская, 47",2,29/04/10,47-05-87,,,Бояркин Владимир Николаевич,
,,001228,"ул. Советская, 47 ",,"м-н ""Продукты"" г. Саранск, ул. Б.Академическая, 19",,16/11/14,,,,Зевайкина Тамара Ивановна,
1,367,13 МЕ,"ООО ""Премиум"" г. Саранск, ул. Полежаева.74",1326197259,"зак-ная ""Спидвей"" г. Саранск, ул. Полежаева, 74",1,15/11/11,48-02-98,,,Терешкина Людмила Анатольевна,
,,001842,,1061326022031,,,16/11/12,,,,,
1,416,13 МЕ,"ОАО ""103 Арсенал"" г. Саранск, ул. Мордовс-",1328001381,"м-н г. Саранск, ул. Мордовская, 35, корп. 56",2,15/12/11,47-92-69,,,Колентьева Мария Петровна,
,,001894,"кая, 35",1091328002358,"буфет г. Саранск, ул. Мордовская, 35, корп.56",,15/12/12,32-71-09,,,,
1,58,13 МЕ,"ООО АКВА"" г. Саранск, ул. Гожувская, 25",1328905429,"м-н г. Саранск, ул. Гожувская, 25",1,15/02/10,29-41-52,,,Лисенкова Светлана Васильевна,
,,001169,,1061328009160,,,15/02/13,,,,,
1,28,13 МЕ,"ООО ""Антей и К"" г. Саранск, ул. Строительная,",1327002985,"м-н с. Берсеневка, ул. Советская, 59 б, Лямбирский",,28/02/11,89272747879,27.04.09,,Дрыгин Алексей Николаевич,
,,001467,1,1061327012053,,,28/02/14,,в. 7.05.09,,,
1,19,13 МЕ,"ООО ""Юнитэк"" г. Саранск, Александровское",1328904136,"магазин ""Продукты"", г. Саранск, ул. Саранская, 59",1,15/02/12,89276421891,,,Ильина Наталья Ивановна,
,,001946,ш. 19,1051328050421,,,15/02/15,,,,Киушкин Александр Михайлович,
1,31,13 МЕ,"ООО ""АКЦЭКС"" г. Саранск, ул. Веселовского,",1327001893,"м-н №1 ""Продукты"" г. Саранск, ул. Семашко, 9а ",2,29/02/12,75-20-12,,,Томилин Вячеслав Борисович,
,,001955,44а ,1021301066830,"м-н №3 ""Продукты"" г. Саранск, пр. 60 лет Октября, 33",,29.02.14,,,,,
1,87,13 МЕ,"ООО ""Виктория"" г. Саранск, ул. Победы, 23б",1327003499,"пав-он ""24 часа"" г. Саранск, ул. Победы, 23 б",3,15/04/11,89271725987,,,Лазарева Надежда Александровна,
,,001534,,1071327000051,"м-н ""Виктория"" г. Саранск, ул. Титова, 140, помещ. 1",,15/04/14,72-26-92,,,,
,,,,,"пав-он г. Саранск, ул. Гагарина, 9, стр. 6",,,,,,,
1,219,13 МЕ,"ООО ТЭК ""Транс-Экс"" г. Саранск, ул.",1326199658,"м-н г. Саранск, ул. Рабочая, 61",4,30/06/11,23-01-06,,,Чертоусов Алексей Петрович,
,,001680,"Рабочая, 61, 301",1061326025573,"зак-ная ""Штаб"" г. Саранск, ул. Рабочая, 61",,30/06/13,89271888841,,,Огнянов Вячеслав Васильевич,
,,,,,"м-н ""Лимон"", г. Саранск, ул. Попова, 41",,,,,,,
,,,,,"(до 15%) м-н г. Саранск, ул. Ломоносова, 2 ",,,,,,,
1,12,13 МЕ,"ООО ""Альбатрос"" г. Саранск, ул. Хмельниц-",1326202131,"м-н г. Саранск, ул. Миронова, 10в",4,31/01/11,47-30-75,в.22.05.08,,Асташкин Алексей Максимович,
,,001447,"кого, 1а ",1071326003980,"м-н ""Маячок на Войнова"" г. Саранск, ул. Войнова, 36а",,09/08/12,73-18-23,пр.12.05.08,,Слодынец Евгений Евгеньевич,
,,,,,"кафе ""Гранд-пицца"" г. Саранск, ул. Коммунистическая, 36",,,,,,,
,,,,,"магазин ""Маячок"", г. Саранск, пр. Ленина, 43",,,,,,,
1,185,13 МЕ,"ООО ""Мираж"" с. Зыково, ГО Саранск, ул. ",1328906398,"м-н с. Зыково, ул. Советская, 124а, ГО Саранск",2,15/10/07,,,,Лукшина Ольга Николаевна,
,,000352,"Советская, 124а ",,"пав-он д. Полянки, ул. Юбилейная, 51, ГО Саранск",,15/10/12,,,,,
1,350,13 МЕ,"ООО ""Успех"" г. Саранск, ул. Пушкина, д.3,",1327002752,"магазин ""Визит"", г. Саранск, ул. Пушкина, 3-3",1,31/10/11,79-98-95,,,Абрамов Виктор Николаевич,
,,001824,корпус 3 ,1061327011228,,,31/10/12,89093244580,,,,
1,120,13 РМ,"ООО ""Квартал"" г. Саранск, ул. С. Разина, 44",1328907909,"м-н ""Продукты"" г. Саранск, ул. С. Разина, 44",2,15/05/12,30-48-53,,,Неськина Мария Ивановна,
,,000001,,1071328002680,"бар, г. Саранск, ул. С. Разина, 44",,14/10/16,23-32-27,,,Забайкина Мария Михайловна,
1,284,13 МЕ,"ООО ""АСТЕР"" г. Саранск, ул. Титова, 10",1327004809,"м-н ""Продукты 24 часа"" г. Саранск, ул. Титова, 10",1,16/11/09,89272767506,,,Аршинова Альбина Владимировна,
,,001048,,,,,16/11/14,,,,,
1,221,13 МЕ,"ЗАО ""БИН Групп"" г. Саранск, ул. Строитель-",1327004090,"кафе г. Саранск, ул. Строительная, 11",1,30/11/07,2/27/1955,,,Зубенков Игорь Александрович,
,,000393,"ная, 11",,,,30/11/12,,,,,
1,10,13 МЕ,"ООО ""АЗС Маркет"" г. Саранск, п. Николаевка,",1328908116,"м-н г. Саранск, ул. Полежаева, 186",6,30/01/12,29-45-57,,,Ахлестина Наталья Александровна,
,,001931,ул. Ленина. 90,1071328002910,"м-н г. Саранск, ул. Волгоградская, 48",,21/07/16,23-20-29,,,,
,,,Всего - 10,,"м-н ""Надо"" г. Саранск, пр. Ленина, 97в",,,89271732525,,,,
,,,,,"м-н ""Надо"" г. Саранск, Лямбирское ш. (повор ""Лесная сказка"")",,,33-18-94,,,,
,,,,,"м-н а/д Саранск-Рузаевка, 23 км ",,,,,,,
,,,,,"магазин, г. Саранск, ул. Лодыгина, 7б",,,,,,,
,,,,,"м-н автотрасса ""Саранск-Москва"" 9км, Лямбирский",,,,,,,
,,,,,"м-н а/д ""Чамзинка-Б.Березники"", Чамзинский район",,,,,,,
,,,,,"магазин, г. Саранск, ул. Косарева, 128",,,,,,,
,,,,,"м-н с. Зарубкино, З. Полянский район",,,,,,,
1,249,13 МЕ,"ООО ""Служба такси 32-90-90"" г. Саранск,",1327003890,"кафе ""Оазис"" г. Саранск, ул. Строительная, 1а, 5",1,28/12/07,47-44-90,,,Кизим Сергей Николаевич,
,,000422,"ул. Строительная, 1а, 5 ",,,,28/12/12,,,,,
1,43,13 МЕ,"ООО ""Ксюша"" г. Саранск, пр. 60 лет Октября,",1327004767,"м-н ""Мясо птицы"" г. Саранск, пр. 60 лет Октября, 87",1,15/03/12,89063795826,,,Литвиненко Сергей Леонидович,
,,001969,87,1071327001460,,,15/03/13,,,,Рогачев,
1,184,13 РМ,"ООО ТД ""Оброченский"" с. Ичалки, ул. Первомайская, 27, Ичалковский",1310086930,"м-н г. Саранск, ул. Полежаева, 161",1,29/06/12,2-44-04,,,,
,,000074,,1031304001200,,,29/06/13,,,,,
1,265,13 МЕ,"ООО ""Три-Ойл"" г. Саранск, ул. Большевистская,",1326202861,"м-н г. Саранск, ул. Волгоградская, 114",2,15/10/09,89276411592,,,Карпушкин Александр Федорович,
,,001024,60,,"м-н г. Саранск, ул. Большевистская, 60",,28/03/13,,,,,
1,126,13 РМ,"ООО ""12 стульев"" г. Саранск, пр. Ленина, 4",1326196914,"кафе ""12 стульев"" г. Саранск, пр. Ленина, 4",1,15/05/12,24-21-11,пр.16.04.08,,Киринкина Наталья Ивановна,
,,000007,,1061326017218,,,15/05/13,,в.22.04.08,,,
1,95,13 МЕ,"ООО ""Десяточка"" г. Саранск, ул. Хмельницко-",1326205069,"м-н г. Саранск, п. Луховка, ул. Рабочая, 23",1,27/05/08,25-84-66,,,Зречева Елена Николаевна,
,,000536,"го, 81 ",,,,27/05/13,,,,,
1,128,13 МЕ,"ГУП РМ ""Комбинат питания ""Мордовия"" ",1326206383,"столовая Дом Республики г. Саранск, ул. Советская. 35",5,11/07/08,32-72-34,,,Иванова Валентина Михайловна,
,,000572,"г. Саранск, ул. Советская, 35",,"столовая Госсобрания г. Саранск, ул. Советская, 26",,11/07/13,,,,,
,,,,,"столовая Адм. Г. Саранска, г. Саранск, ул. Советская, 30",,,,,,,
,,,,,"буфет гостиницы ""Мордовия"" г. Саранск, пр. Ленина, 2",,,,,,,
,,,,,"буфет ф-ала гост. ""Мордовия"" г. Саранск, ул. Республиканская, 103",,,,,,,
1,59,13 МЕ,"ООО ""Метеор"" н. Саранск, пр. 50 лет Октября,",1326205245,"кафе ""Хижина"" г. Саранск, пр. 50 лет Октября, 13а",2,30/03/12,32-68-66,,,Пивкин Евгений Михайлович,
,,001986,13а,1081326000722,"магазин ""Продукты"", г. Саранск, ул. Энгельса, 18",,22/08/12,89276405050,,,,
1,130,13 МЕ,"ООО Адэлантэ"" г. Саранск, ул. Рабочая, 95а",1326201836,"м-н ""Город Ок"" №6 г. Саранск, ул. Лихачева, 34а",3,16/05/11,24-63-55,,,Тюрякова Лидия Генадьевна,
,,001587,,1071326003693,"м-н Город Ок"" г. Саранск, пр. 70 лет Октября, 77а",,29/08/13,89272752782,,,,
,,,,,"магазин ""Город Ок"", г. Саранск, пр. 70 лет Октября, 112а",,,,,,Купцова Елена Анатольевна,
1,4,13 МЕ,"ООО ""Империя вкуса"" г. Саранск, ул.",1326205809,"ресторан ""Пицца Брависсимо"" г. Саранск, ул. Титова, 23а",8,20/01/12,23-13-23,,,Болдина Марина Викторовна,
,,001923,"Титова, 23а",1081326001382,"бар г. Саранск, ул. Титова, 23а",,01/10/13,,,,Колесников Павел Борисович,
,,,Всего - 10,,"м-н г. Саранск, Лямбирское ш., 2км ",,,,,,Старцева Светлана Алексеевна,
,,,,,"м-н Саранск, ул. Севастопольская, 128, стр. 1",,,,,,,
,,,,,"р-н ""Славянка"" г. Саранск, ул. Коммунистическая, 52",,,,,,,
,,,,,"р-н ""Олимпия"", г. Саранск, ул. Титова, 23а",,,,,,,
,,,,,"м-н Продукты"", с. Рождественно, ул. Полевая, 23, Ичалковский р-н",,,,,,,
,,,,,"магазин, г. Рузаевка, ул. Толстого, 9",,,,,,,
,,,,,"магазин, г. Саранск, ул. Титова, 1, стр. 2",,,,,,,
,,,,,"магазин, г. Саранск, Александровское ш. 2 км",,,,,,,
1,341,13 МЕ,"ООО ""Народный продукт"" г. Саранск,",1327006394,"м-н ""Ассорти"" г. Саранск, ул. Коваленко, 50",5,14/10/11,73-59-13,,,Французов Сергей Алексеевич,
,,001819,"пр. Ленина, 13",1081327000787,"м-н ""Есенинский"" г. Саранск, ул. Есенина, 14",,14/10/12,,,,Муравьева татьяна Алексеевна,
,,,,,"м-н ""Аквариум"" г. Саранск, ул. Семашко, 9а",,,,,,,
,,,,,"м-н ""Продукты"", г. Саранск, ул. Веселовского, 14",,,,,,,
,,,,,"м-н ""Метро"", г. Саранск, ул. Коваленко, 53а",,,,,,,
1,389,13 МЕ,"ООО ""Юлия"" г. Саранск, ул. Студенческая, 11",1328910281,"м-н ""Юлия"" г. Саранск, ул. Студенческая, 11",1,30/11/11,89179960090,,,Акишкин Яков Михайлович,
,,001865,,1081328000995,,,30/11/14,,,,,
1,398,13 МЕ,"ООО ""Универсал-Мордовия"" г. Саранск,",1326196632,м-ны в Лямбирском районе,,02/12/11,47-48-87,,,Миронова Наталья Васильевна,
,,001875,"ул. Рабочая, 72 ",1061326012967,,,02/12/12,2-11-62,,,Минеева Любовь Яковлевна,
,,,Всего 14 (Лямбирский район),,,,,,,,,
1,368,13 МЕ,"ООО ""АМК-Маркет"" г. Саранск, пер. Кириллова,",1326209112,"м-н ""Мордовский"" г. Саранск, ул. Пролетарская, 85",3,15/11/11,24-54-26,пр.9.10.09,,Торопкин Иван Васильевич,
,,001844,2б ,1081326004760,"м-н ""Юбилейный"" г. Саранск, пр. 50 лет Октября, 30",,15/11/16,47-18-12,в.15.10.09,,Казакова Наталья Николаевна,
,,,,,"магазин, г. Саранск, ул. Рабочая, 100",,,32-26-12,,,,
1,242,13 МЕ,"ООО ""Продукты-М"" г. Саранск, ул. Полежаева,",1326207475,"м-н ""Продукты"" г. Саранск, пр. 70 лет Октября, 73а",3,13/11/10,47-97-50,,,Старкин Антон Валерьевич,
,,001378,159,1081326003120,"м-н г. Саранск, ул. Республиканская, 39а",,15/12/13,57-23-34,,,Агеева Татьяна Николаевна,
,,,,,"м-н ""Любимый"", г. Саранск, ул. Центральная, 5",,,89279765909,,,,
1,82,13 МЕ,"ООО ""Удача"" г. Саранск, пр. 70 лет Октября, ",1328910820,"м-н ""Продукты"" г. Саранск, пр. 70 лет Октября, 73а",2,16/04/12,57-03-07,,,Алекберова Елена Александровна,
,,002009,73а,1081328001545,"магазин ""Продукты"", г. Саранск, пр. 70 лет Октября, 94",,15/12/16,89271955407,,,,
1,10,13 МЕ,"ООО ""Анива"" г. Саранск, ул. Строительная,",1327150239,"бар г. Саранск, ул. Кутузова, 4",1,30/01/09,29-15-95,,,Корочков Сергей Владимирович,
,,000750,11а ,,,,30/01/14,,,,,
1,286,13 МЕ,"ООО ""Ник"" г. Саранск, ул. Победы, 25б",1326207972,"м-н ""Продукты"" г. Саранск, ул. Победы, 25б",1,29/12/10,73-58-62,,,Никитченко Инна Игоревна,
,,001427,,1081326003604,,,29/12/15,89271853466,,,Шикаев Сергей Васильевич,
1,17,13 МЕ,"ООО ""Континент-Н"" г. Саранск, ул. Рабочая. 72",1328904217,"м-н ""Континенг-Н"" с. Ст. Синдрово, ул. Советская. 7а",,16/02/09,29-45-96,,,Чушков Евгений Васильевич,
,,000754,,,,,16/02/14,,,,,
1,26,13 МЕ,"ООО ""Мордовская водка ""Р"" г. Саранск,",1327008031,"м-н № 2 г. Саранск, ул. Ботевградская, 63",9,20/02/12,48-06-93,,,Ямбаева Надежда Михайловна,
,,001950,"ул. Веселовского, 62а",1091327000401,"м-н № 5 ф-л №1 г. Саранск, ул. Красноармейская, 48",,20/02/17,89276418427,,,Надиля Мусеевна,
,,,Всего 19,,"м-н №5 филиал №4 г. Саранск, ул. Гожувская, 21а",,,89603388353,,,Борисова Ольга Александровна,
,,,,,"м-н №2 ф-л №2 г. Саранск, ул. Коваленко, 8б",,,,,,,
,,,,,"м-н №2 филиал №3, г. Саранск, пр. Ленина, 43",,,,,,,
,,,,,"магазин №5, филиал №2, г. Саранск, ул. Косарева, 104",,,,,,,
,,,,,"магазин №2, филиал №4, г. Саранск, ул. Полежаева, 64",,,,,,,
,,,,,"магазин №2, филиал №5, г. Саранск, ул. Полежаева, 78",,,,,,,
,,,,,"магазин №5, г. Саранск, ул. Веселовского, 16",,,,,,,
,,,,,"м-н №2 ф-л №7 с. Александровка, ул. Советская, 36а, Лямбирский",,,,,,,
,,,,,"магазин №10, филиал №3, с. Болотниково, ул. Полевая, 1в, Лямбирский ",,,,,,,
,,,,,"м-н № 8 п.Чамзинка, ул. Зеленая, 2""б""",,,,,,,
