"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Боханский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
20,Тихоновское потребительское общество ИНН  8503001140,МИНФНС России №7 по Иркутской области и УОБАО,А 195028 № 10 от 21.03.2012 до 21.03.14,"1. Иркутская область, Боханский район, с. Тихоновка, ул. Набережная, 1А - магазин; 2. с. Тихоновка, ул. Свердлова, 51А - магазин; 3. с. Дундай, ул. Центральная, 22А - магазин; 4. д. Вершина, ул. Советская, 47А - магазин; 5. д. Усть-Укыр, ул. Верхняя, 17А - магазин; 6. д. Тачигир, ул. Горная, 26А - магазин.
",,,,,
21,Буретское потребительское общество ИНН  8503001799,МИНФНС России №7 по Иркутской области и УОБАО,МЕ00846 041-РАП 31.10.2007 26.10.2012,"1. магазин ТПС - с. Буреть, ул. Центральная; 2. магазин ТПС - с. Буреть, ул. Космонавтов; 3. магазин ТПС - д. Быргазово; 4. магазин ТПС - д. Шарагун; 5. магазин ТПС - д. Грязная.",,,,,
22,Правление Боханского райпотребсоюза ИНН   8503001238,МИНФНС России №7 по Иркутской области и УОБАО,38МЕ000939 047-РАП 19.12.2007 по 19.12.2012,"1. магазин № 1 - п. Бохан,  ул. Инкижинова,1; 2. магазин № 2 - п. Бохан, ул. Ленина,59; 3. магазин № 4 - п. Бохан, ул. Свердлова,7; 4. магазин - п. Бохан, ул. Заводская,2; 5. магазин № 6 - п. Бохан, ул. Гагарина,36; 6. магазин № 1 - с. Тараса, ул. Ленина,40; 7. магазин № 2 - с. Тараса,  мик. Юбилейный; 8. магазин ТПС - д. Дундай; 9. магазин ТПС - с. Вершина; 10. магазин ТПС - д. Харагун; 11. магазин ТПС – с. Казачье; 12. столовая - п. Бохан, ул. Ленина; 13. закусочная - п. Бохан, мик. Южный.",,,,,
23,ООО «Абсолют» ИНН 8503006927,МИНФНС России №7 по Иркутской области и УОБАО,059-РАП 38МЕ000983 28.12.2007 по 28.12.2012,"1. магазин «Абсолют» - п. Бохан, ул. Свердлова,5.",,,,,
24,ООО «Приангарское» ИНН  8503003443,МИНФНС России №7 по Иркутской области и УОБАО,039-РАП 17.09.2007 по 17.09.2012г,"1. магазин «Ангара» - с. Середкино, ул. Ленина 43.",,,,,
25,ООО «Светлана» ИНН  8503006885,МИНФНС России №7 по Иркутской области и УОБАО МИНФНС России №7 по Иркутской области и УОБАО,053-РАП 38МЕ000973 от 27.12.07. по 27.12.12,1. магазин «Светлана» - с. Каменка.,,,,,
26,ООО «Маяк» ИНН  8503006839,МИНФНС России №7 по Иркутской области и УОБАО,052-РАП 38-МЕ 000965 26.12.07 по 26.12.12,"1. магазин «Маяк» - с. Хохорск, ул.Ленина,45а; 2. магазин ""Маяк"" - с.Хохорск, ул. Ленина,78; 3. магазин ""Маяк"" - п.Бохан, ул. Ленина,24",,,,,
27,ООО «Доржиева» ИНН  8503006606,МИНФНС России №7 по Иркутской области и УОБАО,051-РАП 20.12.07. по 20.12.12,"1. магазин «Триада» - п. Бохан, ул. Ленина.",,,,,
28,ООО «Подорожник» ИНН 8503006973,МИНФНС России №7 по Иркутской области и УОБАО,"Д 518671, рег. № 2 от 19.06.08 19.06.2013","1. кафе «Подорожник» - п. Бохан, ул. Колхозная,26.",,,,,
29,ООО «Мария» ИНН  8503006941,МИНФНС России №7 по Иркутской области и УОБАО.,056-РАП 38МЕ 000980 27.12.2007 27.12.2012,"1. кафе «Мария» - с. Тараса, мкр. Юбилейный,15.",,,,,
