                  Государственный реестр выданных лицензий  за февраль 2011г. по Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
Вязнмский район,,,,,,,,,,,,,,
42,ООО,"""Аленушка""","г.Вяземский, ул.Орджоникидзе д.85, тел. 8 (42-153) 34-1",2711006807/271101001/1062713009435,розничная продажа алкогольной продукции 1 год,магазин,"г.Вяземский, ул.Коммунистическая д.2и",65.8,65.8,43.2,9-21,продление,ХБ 002653 № 90 15.02.2011 - 15.02.2012,
,,,,,,магазин,"г.Вяземский, ул.Орджоникидзе д.85",173.8,,55.6,8-22,,,
43,МУП,"""Глория""","г.Вяземский, ул.Коммунистическая д.17, тел. 3-11-87",2711001661/271101001/1022700747080,розничная продажа алкогольной продукции 1 год,магазин,"г.Вяземский, ул.Коммунистическая д.17",128.3,128.3,51,8-22,продление,ХБ 002648 № 48 15.02.2011 - 15.02.2012,
44,ООО,"""Мир""","г.Вяземский, ул.Шолохова д.29, тел. 8 (42-153) 3-31-08",2711005546/271101001/1022700745341,розничная продажа алкогольной продукции 5 лет,магазин,"г.Вяземский, ул.Шолохова д.29",51,51,16,круглосуточно,продление,ХБ 002615 № 62 15.02.2011 - 15.02.2016,
,,,,,,магазин,"г.Вяземский, ул.Котляра д.45",51,51,12,круглосуточно,,,
45,ОАО,"""Хабаровскнефтепродукт""","г.Хабаровск, ул.Мухина д.22, тел. 79-38-12",2700000105/272101001/1022700910704,розничная продажа алкогольной продукции 5 лет,магазин на АЗС № 36,"г.Вяземский, ул.Шоссейная д.1а","89,4",,35,круглосуточно,продление,ХБ 002609 № 52 15.02.2011 - 15.02.2016,
г. Комсомольск-на-Амуре,,,,,,,,,,,,,,
46,ООО," ""Глотова""","г.Комсомольск-на-Амуре, ш.Восточное д.30, тел. 52-05-58",2703036043/270301001/1062703056900,розничная продажа алкогольной продукции 1 год,магазин,"г.Комсомольск-на-Амуре, ш.Восточное д.30",53.6,53.6,23.8,9-23,продление,ХБ 002646 № 2308 15.02.2011 - 15.02.2012,
47,ООО,"""Ива""","г.Комсомольск-на-Амуре, ул.Юбилейная д.7, тел. 27-62-38",2727025403/270301001/1022700526716,розничная продажа алкогольной продукции 2 года,магазин,"г.Комсомольск-на-Амуре, ул.Юбилейная д.7",615.4,615.4,147.3,8-23,продление,ХБ 001498 № 1602 15.02.2011 - 15.02.2013,
