"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
19,"ООО «Диалог»
3821013012
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888734 № 37
от 02.12.2008 
02.12.2008
02.12.2013
","г. Шелехов, 4 микрорайон, у здания Дома быта, павильон «Диалог»",,,,,Администрация Шелеховского раона,
20,ООО «Зодиак» 3821013982,Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888832 № 37
от  27.06.2011
с 30.06.2011 
до 30.06.2012

","Иркутская область, Шелеховский район, 
д. Олха, ул. Советская, дом 21 А, магазин «Зодиак»
",,,6/30/2012,,Администрация Шелеховского раона,
21,"ООО «ИНТРЕЙД»
3848000878
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888756 № 12
от 08.05.2009 
08.05.2009 
08.05.2014
","г. Шелехов, ул. Кочубея, 56 А, магазин",,,,,Администрация Шелеховского раона,
22,"ООО ""Ирком-плюс""  3821008936",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888865 № 12
от 21.04.2012
с 21.04.2012
до 21.04.2013
","Иркутская обл., г.Шелехов, 1 микрорайон, д.42, магазин ""Янта""",,,,,Администрация Шелеховского раона,
23,"ООО «ИВОЛГА»
3821015718
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888806 № 34
от 25.11.2010
27.12.2007 
27.12.2012

","Шелеховский район, 
п. Подкаменная, 
ул. Вокзальная, 7А-10, магазин 
",,,,,Администрация Шелеховского раона,
24,"ООО «Иркут»
3821013118
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888855 № 1
от  17.01.2012
с 17.01.2012 
до 17.01.2013
","Иркутская область, Шелеховский район,
 д. Олха, ул. Сибирская, дом 1 А, магазин «Иркут» 
",,,,,Администрация Шелеховского раона,
25,"ООО ""Каскад-Опт"" 3821012330",Межрайонная инспекция МНС России № 18 по Иркутской области,Г 888856 № 4 от 15.02.2012 с 15.02.17 до 15.02.2017,"Иркутская область, Шелеховский район, с. Баклаши, ул. Юбилейная, 10 А",,,,,Администрация Шелеховского раона,
26,"ООО «Королева»
3821013598
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888846 № 63
от 12.10.2011
с 12.10.2011 до
12.10.2012
","Иркутская область, Шелеховский район, с.Шаманка, ул. Советская, д. 7 А, специализированный отдел в магазине ",,,,,Администрация Шелеховского раона,
,"ООО ""КОПС"" 3821009866",Инспекция МНС по г. Шелехову и Шелеховскому району(код 3821),Г 888869 № 17   от 30.05.2012        с 30.05.2012 до 30.05.2014               ,"Иркутская обл., Шелеховский район, с. Баклаши, ул. Ангарская-71, в специализированном отделе магазина ""Продукты""",,,,,Администрация Шелеховского раона,
27,"ООО «Кубань»
3821012996
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888742 № 35
от 29.12.2008 
29.12.2008 
29.12.2013
","г. Шелехов, квартал 6, дом 29, ТЦ Былина, специализированный отдел",,,,,Администрация Шелеховского раона,
