№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Смоленский большак, 26 (магазин)",,,,,,,,,,,,,,,,,,
10,"ООО ""Олеся+""",6706005844,1066712012817,"216330, Смоленская область, г. Ельня, ул. Говорова, д. 13","216330, Смоленская область, г. Ельня, ул. Говорова, д. 13 (магазин)",№ 1382                  Г 679365                                 ( Г 301939),05 декабря 2006,по 05 декабря 2011,до 06 декабря 2013,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Кировская, д. 58 (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Смоленский большак, д. 7-а (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Энгельса, д. 12 (магазин)",,,,,,,,,,,,,,,,,,
11,"ООО ""Луч""",6706005770,1066712012180,"216330, Смоленская область, г. Ельня, ул. Ленина, 55","216330, Смоленская область, г. Ельня, ул. Ленина, д. 55 (магазин)",№ 1204                  Г 254845,27 июля 2006,по 27 июля 2011,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Молодежная, д. 1 (магазин)",,,,,,,,,,,,,,,,,,
12," ООО ""Вега""",6706005763,1066712012036,"216330, Смоленская область, г. Ельня, ул. Ольги Ржевской, д. 36","216330, Смоленская область, г. Ельня, ул. Пролетарская, д. 75-а (магазин), без ограничений",№ 1052                   Б 005817,04 июля 2006,по 04 июля 2011,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Советская, д. 36/2 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
13,Ельнинское РАЙПО,6706000028,1026700535927,"216330, г. Ельня, ул. Советская, д. 32","721/1 - 216343, Ельнинский район, дер. Данино (магазин), без ограничений","№ 721                               Г 245994
",29 апреля 2006,29 апреля 2011,,,,,,,,,,,,,,,
,,,,,"721/2 - 216343, г. Ельня, ул. Рославльская, д. 8-а (магазин № 10), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/3 - 216343, г. Ельня, ул. Интернациональная, д. 56 (магазин № 2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/4 - 216343, г. Ельня, ул. Смоленский большак, д. 7-а (магазин № 11), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/5 - 216343, Ельнинский район, дер. Гаристово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/6 - 216343, Ельнинский район, дер. Богородицкое (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/7 - 216343, Ельнинский район, дер. Мутище (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/8 - 216343, г. Ельня, ул. Рославльская, д. 7 (магазин № 11), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/9 - 216343, Ельнинский район, дер. Ярославль (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/10 - 216343, Ельнинский район, дер. Иваново-Гудино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/11 - 216343, Ельнинский район, дер. Старое Мутище (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/12 - 216343, г. Ельня, ул. Набережная, д. 61 (магазин № 3), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/13 - 216343, Ельнинский район, дер. Демщино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/14 - 216343, Ельнинский район, дер. Леоново (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/15 - 216343, Ельнинский район, дер. Богородицкое (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/16 - 216343, Ельнинский район, дер. Коситчино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/17 - 216343, Ельнинский район, дер. Лапино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/18 - 216343, Ельнинский район, дер. Мазово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/19 - 216343, Ельнинский район, дер. Шарапово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/20 - 216343, г. Ельня, ул. Пролетарская, д. 76 (магазин № 1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/21 - 216343, г. Ельня, ул. Дорогобужская, д. 55 (магазин № 17), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/22 - 216343, Ельнинский район, п. Коробец (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/23 - 216343, Ельнинский район, п. Коробец (магазин «Мечта»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"721/24 - 216343,г. Ельня, ул. Первомайская, д. 13 (магазин № 12), без ограничений",,,,,,,,,,,,,,,,,,
