"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Иркутскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
27,"ООО  ""Кемпенг-отель ""Елочка""                                          ИНН-3827023867",Межрайонная инспекция Министерства российской Федерации по  налогам  и сборам №12  по  Иркутской области,А 203043  регистрационный  номер 028  с  07.04.2008г.  По  07.04.2013г.,"Иркутский  район  21 км. Байкальского  Тракта  бар в кемпенг -отель ""Елочка""",,,,,,
28,"ОАО ""Востокэнергомонтаж""   ИНН-3800000238",МИ  ФНС  по  Правобережному  округу  г.Иркутска  от02.11.2005г.,А 203044          регистрационный  номер 029 от   07.04.08г.                       С       07.04.08     по 07.04.2013 г.,"Иркутский район,26 км. Байкальского тракта, бар  базй отдыха ""Голубой залив""",,,,,,
29,ООО  Байкальский  прибой                                ИНН-3827026579,Межрайонная инспекция Министерства российской Федерации по  налогам  и сборам №12  по  Иркутской области и УОБАО,А 203053  рег №038  от 12.05.08 г.   С  12.05.2008г.  По  12.05.2013г.,"1. Иркутский  район ,п.Листвянка,ул. Горького,101 - отдел в магазине,                         2.п Листвянка,ул. Горького 101,  бар в кафе",,,,,,
30,"ООО ""Рыжкова""                  ИНН - 3808126472",Инспекция Федеральной налоговой службы по Правобережнолму округу г. Иркутска,АН 00595Пр2 от 25.11.2011г. Взамен 38 МЕ 004930 регистрационный номер АН 00595 от 29.12.2008 г с 30.12.2008г  по29.12.2013 г. ,"Иркутский район с. Пивовариха, ул. Садовая,2 отдел в магазине",,,,,Администрация г. Иркутска,
31,"МУТПП""Поляна""                    ИНН3827011406             ",МИ  ФНС   № 12  по  Иркутской  области   29января1998г.,  А 203063   рег.омер  047   от 18.07.2008г.    по 18.07.2013г.,"1.Иркутская область.Иркутский район,п. Горячий Ключ.ул.Мира 2 магазин                             2.Иркутская область.Иркутский район, п.Горячий Ключ.ул.Мира 3-бар",,,,,,
32,"ООО""Байкал Ханс""",Инспекция Федеральной налоговой службы по Правобережнолму округу г. Иркутска,АН 00490 от 30.06.2008.с 01.07.2008 по 30.06.2013г.,кафе 9-й км.Иркутск-Листвянка,,,,,Администрация г. Иркутска,
33," ООО "" Березка""                    ИНН 3827027830               ",  Межрайонная  инспекция Федеральной налоговой службы №12  по Иркутской  области, А 203071            рег.номер  055  от 01.09.2008г.   По 01.09.2013г.,"Иркутская  область, Иркутский  район, п. Патроны, ул.Дачная 13-2",,,по личному заявлению с о4.07.2012г.,,,
34,"ООО  "" Исток Байкал""",ИФНС по Октябрьскомуокругу г. Иркутска,     38  МЕ  003348  регистрационный  номер АП 03271 Пр6  от 15.06.2010г. с 20.06.2005г.   по 19.06.2012г.,"Иркутский  район, с.Хомутово,                              ул.Трактовая, 1                                                                                                            1. магазин,                                                                                          2. Закусочная ",,,,,Администрация г. Иркутска,
35,"  ООО   "" Байкальские  терема""""                          ИНН   3812066716      ",  Межрайонная  инспекция Федеральной налоговой службы №12  по Иркутской  области,  А 203072  рег.номер  056  от 01.10.2008г.  Срок  действия  до 01.10.2013г.,"Иркутский  район, р.п.Листвянка, ул.Горная 16   ресторан  на  первом  этаже  ГТК "" Байкальские  терема""",,,,,,
36,ООО  Гостиница  Прибайкальская               ИНН  3808100033               ,по  запросу  г. Иркутска,38  МЕ 004832  регистрационный  номер  АН 00536  от 07.11.2008г.  с 10.11.2008г.   по 09.11.2013г.,"1. Иркутский  район, п. Листвянка, турбаза "" Прибайкальская""   бар                                         2. Иркутский  район, п. Листвянка, турбаза "" Прибайкальская""               ресторан",,,,,Администрация г. Иркутска,
37,"ООО ""Маяк""                                          ИНН - 3811125221",ИФНС по Октябрьскому округу г. Иркутска,"38 МЕ 004945 рег. номер АН 00545Пр11 от 22.12.2010,  с 28.11.2008 по 27.11.2013г.","п. Молодежный, ул. Кузнецовой, 14, отдел в магазине",,,,,Администрация г. Иркутска,
38,"ООО ""  Весна-12""                                   ИНН 3811023727",Ирутская регистрационная палата,     38   МЕ  004977   рег.номер  АН 00507Пр      с 20.08.2008г.  По  19.08.2013года,"1. с. Оек, ул. Кирова  93 Б   магазин",,,,,Администрация г. Иркутска,
39,"ООО ""Виктория""                  ИНН- 3827031018",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203083 рег.номер 003 от 16 марта 2009 г. по 16 марта 2014 года,"Иркутский район, с. Урик, бульвар Декабристов, 11 ""В"" - отдел в магазине ИП Тучнолобовой",,,,,,
40,"ООО ""Лоза""                                        ИНН- 3808171186",Инспекция Федеральной налоговой службы по Правобережному округу г. Иркутска,А 203084 рег. номер 004  от 8 апреля 2009 г. по 8 апреля 2014 года,"Иркутский район , в 1,2 км. автодороги Иркутск-Агродорспецстрой, с левой стороны - магазин ООО ""Лоза""",,,,,,
41,"ООО ""Аркада""                    ИНН- 3811115287",ИФНС Росии по Октябрьскому округу г. Иркутска,А 203085 регистьрационный номер 005 от 24 апреля 2009 г по 24 апреля 2014 г,"1. Иркутский район, 19 км. Байкальского тракта, садоводство ""Прибой"" - отдел в магазине;                                                                  2. Иркутский район, 28 км. Байкальского тракта, садоводство ""Лайнер""- отдел в магазине;                                                   3.Иркутский район, д. Карлук, ул. Гагарина, 34 - отдел в магазине",,,,,,
42,"ООО ""Рикона""                 ИНН- 3827032452",Межрайонная инспекция ФНС России №12 по Иркутской области                                ,А 203087 регистрационный номер 007 от 27 мая 2009 г. по 27 мая 2014 г.,"Иркутский район, д. Ангара, ул. Нагорная, 9 ""А"" - специализированный отдел в павильоне ""Продукты""",с 29.06.2012 до 29.12.2012г.,,,,,
43,Иркутский райпотребсоюз-                            ИНН - 3827000355,Межрайонная инспекция Министерства российской Федерации по  налогам  и сборам №12  по  Иркутской области ,А 203091 рег.№ 011 от  24.06.2009 с 24.06.2009 по 02.07.2013 г,"1. Иркутский район, с. Пивовариха, ул. Трактовая, 2 - магазин № 1 ""Виноводочные изделия"";                                                                               2. р.п. Большая Речка, ул. Горького, 1 ""А"" - магазин № 1;                                                                                  3. Иркутский район, д. Бурдаковка, ул. Трактовая, 5 ""А"" - магазин № 8; 4. Иркутский район, д. Карлук, ул. Нагорная, 5 ""А"" - магазин № 9",,,,,,
44,"ООО ""Туристическая компания ""Истлэнд""    ИНН-3808173095",ИФНС по Правобережному округу г. Иркутска,А 203096 регистрационный № 013 от 01.07.2009 срок с 01.07.2009 по 01.07.2014,"Иркутская область, юго-восточная часть Иркутского района, прибрежная к озеру Байкал, бухта Академическая, - бар",,,,,,
45,"ООО ""Янико""                                      ИНН 3811092625",ИФНС РФ по Октябрьскому округу г. Иркутска,38 МЕ оо5090 рег. номер АН 00611 Пр от 23.07.2009  срок с 19.02.2009 по 18.02.2014,"Иркутский район, 19 км. Байкальского тракта, СНТ ""Орбита-1"" - павильон ",,,,,Администрация г. Иркутска,
46,"ООО ""Иркутскстрахование""                  ИНН - 3808147049",ИФНС по Правобережному округу г. Иркутска,АН 00396Пр3 от 20.08.2009 с 03.11.2007 по 02.11.2012,"Иркутский район, п. Малая Топка, ул. Центральная, 21",,,,,администрация г. Иркутска,
47,"ООО ""КсеНат""                                      ИНН - 3808126514",Инспекция Федеральной налоговой службы по Правобережному округу г.Иркутска,А 203110 рег. номер  029  от 29.10.2009г.          по 29.07.2012 г.; .,".с.Мамоны, ул.Центральная, 26 ""А"" - магазин;                                                                                                                                         ",,,7/29/2012,,,
48,"ООО ""Ренессанс""            ИНН 3812109342",Инспекцией Федеральной налоговой Службы по Свердловскому округу г. Иркутска,А 203107 рег.номер 030 от 5 ноября 2009 г по 05.11.2014 г,"Иркутский район, 19 км. Байкальского  тракта, СНТ ""Сантехник""  - магазин ООО ""Ренессанс""",,,,,,
49,"ООО ""Пять Звезд""           ИНН -3827033054",  Межрайонная  инспекция Федеральной налоговой службы №12  по Иркутской  области,А 203109   рег.номер 033 от 17.11.2009 по 17.11.2014,"Иркутский район, с. Хомутово, ул. Чапаева, 11 ""Е"" - специализированный отдел в магазине ""Солнышко""",,,,,,
50,"ООО ""Сан-Байкал""          ИНН - 3827033262",  Межрайонная  инспекция Федеральной налоговой службы №12  по Иркутской  области, А 203112 рег.номер 035 от  04.12.2009 по 04.12.2014,"Иркутский район, п. Листвянка, ул. Куликова, 52 ""А"" - специализированный отдел в магазине ИП Афанасьева",,,,,,
51,"ООО ""Шанс""                               ИНН - 3811093925",ИФНС России по Октябрьскому округу ,А 203114 рег. номер 040 от 25.12.2009 г   с 25.12.2009 по 25.12.2014,"Иркутский район, п. Молодежный, ул. Дорожная, 1 - магазин",,,,,,
52,"ООО ""Гостиничный комплекс ""Байкал 21 км""                                           ИНН  3807001287",МИФНС № 12 по Иркутской области,А 203115 рег. номер 041 от 25.12.2009 г   с 25.12.2009 по 25.12.2014 г,"Иркутский район, 21 км. Байкальского тракта - ресторан",,,,,,
53,"ООО ""Елена""                ИНН-3827019821",МИФНС № 12 по Иркутской области  и УОБАО, А 203117 рег номер  043 от 30.12.2009  по 30.12.2014 г,"п. Дзержинск, ул. Западная, 6 - специализированный отдел ООО ""Елена"" в павильоне № 25",,,,,,
54,"ЗАО ""Колос""                                                                                                 ИНН 3827018070",Межрайонная ИФНС №12 по Иркутской области                      ,"А203264 №35 от 20.07.2012г., взамен А 203118 рег.№ 1              от 28.01.2010 с 28.01.2010 по 01.04.2013 взамен А 203057 рег.№ 042 от 20.05.2008 ","1.Иркутский район, д.Ширяева, ул.Ленина, 22, магазин,                                             2.  Иркутский район, д.Ширяева, ул.2-го Августа, 18, магазин, 3. Иркутский район, д. Горяшина, ул. Солнечная, 8 - магазин №5             ",,,,,,
