№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
,,,,,"214018, смоленская область, г. Смоленск, ул. Крупской, д. 69/2 (магазин), без ограничений",,,,,,,,,,,
21,"ООО ""АННУШКА""",6731055180,1066731101623,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 65","214020, Смоленская область, г. Смоленск, ул.  Шевченко, д. 65 (закусочная), без ограничений",№ 815                 Б 005578,01 июля 2006,по 01 июля 2011,до 02 июля 2015,,,,,,,
22,"ООО ""МИЛОРА""",6730060412,1056758467710,"214013, Смоленская область, г. Смоленск, ул. Кирова, д. 22-д, кв. 103","214014, Смоленская область, г. Смоленск, ул. Энгельса, д. 21/5 (магазин), без ограничений",№ 765                 Б 005522,31 мая 2006,по 31 мая 2011,до 01 июня 2014,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Академика Петрова, д. 1-а (магазин), без ограничений",,,,,,,,,,,
23,"ООО ""ОРИОН""",6732003836,1106732003795,"214030, Смоленская область, г. Смоленск, ул. Нормандии-Неман, д. 9, кв. 61","214030, Смоленская область, г. Смоленск, ул. Нормандии-Неман, между домами 22-24 (магазин), без ограничений",№ 1958               Б 005360,11 февраля 2011,по 11 февраля 2016,,,,,,,,
24,"ООО ""Кубанские вина""",6732002166,1106732002145,"214011, Смоленская область, г. Смоленск, ул. Верхне-Сенная, д. 4","214031, Смоленская область, г. Смоленск, ул. Рыленкова, д.22, Кисилевский рынок (закусочная), до 16,5%",№ 1926               Б 005398             (№ 2067                           Г 301821),18 марта 2011                             4 ноября 2011,по 03 ноября 2011                       04 ноября 2012,,,,,,,,
,,,,,"214004, Смоленская область, г. Смоленск, ул. Николаева, д. 18 (магазин), без ограничений",,,,,,,,,,,
25,"ООО ""У Артура""",6729042289,1076731019078,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 73, кв. 13 ","214011, Смоленская область, г. Смоленск, ул. Автозаводская, д. 36 (кафе)",№ 1638                 Б 005240,14 октября 2010,по 13 февраля 2013,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Дзержинского, д. 19 (кафе), без ограничений",,,,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, ул. Седова, д. 42 (магазин), без ограничений",,,,,,,,,,,
26," ООО ""Банно-прачечное хозяйство""",6729018286,1096731003621,"214012, Смоленская область, г. Смоленск, Колхозная площадь, д. 4","214012, Смоленская область, г. Смоленск, Колхозная площадь, д. 4 (буфет), без ограничений",№ 1864              Б 005392,14 марта 2011,по 25 сентября 2014,,,,,,,,
,,,,,"214004, Смоленская область, г. Смоленск, 2-ой Краснинский переулок (буфет), без ограничений",,,,,,,,,,,
,,,,,"214005, Смоленская область, г. Смоленск, ул. 3-я Северная (буфет), без ограничений",,,,,,,,,,,
27,"ООО ""Манго""",6731056698,1066731108399,"214000, Смоленская область, г. Смоленск, ул. Попова, д. 120","214000, Смоленская область, г. Смоленск, ул. Попова, д. 120 (магазин), без ограничений",№ 1307               Б 005425,04 апреля 2011,по 15 сентября 2011,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Ломоносова, д. 6(магазин), без ограничений",,,,,,,,,,,
28,"ООО ""Ассорти плюс""",6731079102,1106731000298,"214016, Смоленская область, г. Смоленск, ул. Соболева, д. 109-б, кв. 46","214000, Смоленская область, г. Смоленск, ул. Жукова, д. 9 (магазин)",№ 1909               Б 005212,02 апреля 2010,по 02 апреля 2011,,,,,,,,
,,,,,"214006, Смоленская область, г. Смоленск, ул. Островского, д. 2 (магазин)",№ 1922               Б 005237,14 октября 2010,по 14 октября 2011,,,,,,,,
29,"ООО ""Золотая кегля""",6730086315,1106731002388,"214030, Смоленская область, г. Смоленск, ул. Николаева, д. 74","214030, Смоленская область, г. Смоленск, ул. Николаева, д. 74 (кафе), без ограничений",№ 1930               Б 005263,11 ноября 2010,по 11 ноября 2011,,,,,,,,
30,"ООО ""Маяк""",6731059226,1066731118376,"214019, Смоленская область, г. Смоленск, пер. Хлебозаводской, д. 13, кв. 235","214019, Смоленская область, г. Смоленск, ул. Крупской, д. 60 (закусочная)",№ 1949               Б 005306,28 декабря 2010,по 28 декабря 2011,,,,,,,,
31,"ООО ""Барс""",6729022243,1106731000903,"214006, Смоленская область, г. Смоленск, ул. Госпитальная, д. 10, кв. 2","214039, Смоленская область, г. Смоленск, ул. Маршала Еременко, д. 66 (павильон), до 15%",№ 1950                   Б 005322,29 декабря 2010,по 29 декабря 2011,,,,,,,,
32,"ООО ""Талисман""",6732004170,1106732004114,"214032, Смоленская область, г. Смоленск, ул. М. Соколовского, д. 15 ","214032, Смоленская область, г. Смоленск, ул. М. Соколовского, д. 15 (магазин), без ограничений",№ 1934               Б 005279,29 ноября 2010,по 29 ноября 2012,,,,,,,,
33,"ООО ""Рябинушка""",6731064804,1076731016560,"214014, Смоленская область, г. Смоленск, ул. Исаковского, д. 22, кв. 19","214013, Смоленская область, г. Смоленск, ул. Николаева, д. 63(магазин ""Рябинушка"")",№ 1613              Г 679635,24 декабря 2007,по 24 декабря 2012,,,,,,,,
,,,,,"214004, Смоленская область, г. Смоленск, ул. Колхозная, д. 8 (магазин)",,,,,,,,,,,
34,"ООО ""Триада""",6731079046,1106731000034,"214000, Смоленская область, г. Смоленск,  Кроштадтский переулок, д. 8","214038, Смоленская область, г. Смоленск, ул. Гарабурды, д. 17-д (магазин(",№ 1945               Б 005297,16 декабря 2010,по 16 декабря 2011,,,,,,,,
35,"ООО ""ПОМАЗ""",6729034062,1066731100160,"214020, Смоленская область, г. Смоленск, ул. Толмачева, д. 3","214020, Смоленская область, г. Смоленск, ул. Толмачева, д. 3 (закусочная), без ограничений",№ 953                Б 005384,25 февраля 2011,по 29 июня 2011,до 30 июня 2013,,,,,,,
,,,,,"214039, Смоленская область, г. Смоленск, мкр. Королевка, д. 7А (закусочная), без ограничений",,,,,,,,,,,
36,"ООО ""Молодежное""",6730001350,1026701438609,"214025, Смоленская область, г. Смоленск, ул. Нахимова, д. 14","214000, Смоленская область, г. Смоленск, пр-т Гагарина, д. 10/2 (кафе), без ограничений",№ 1764                 Б 0053258,20 января 2011,по 23 декабря 2013,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Ленина, д. 16 (кафе), без ограничений",,,,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Нахимова, д. 14 (кафе ""Кедр"")",,,,,Исключение объекта,,,,,,
37,"ООО ""Терминал-Ойл""",6729046469,1086731004128,"214018, Смоленская область, г. Смоленск, ул.Ново-Лентнградская, д. 3","214533, Смоленская область, Смоленский район, п. Ольша, 397 км трассы М1 АЗС-116 (магазин), без ограничений",№ 1923                     Б 005382 ,16 февраля 2011,по 22 октября 2011,,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район, д. Семировичье, 381 км трассы М1 АЗС-119 ""Руснефть"" (магазин), без ограничений",,,,,,,,,,,
,,,,,"214550, смоленская область, смоленский район, д. Семиркчье, 381 км трассы М1 АЗС-120 ""Руснефть"" (магазин), без ограничений",,,,,,,,,,,
38,"ООО""САПСАН""",6731054771,1066731100699,"214014, Смоленская область, г. Смоленск, ул. Чаплина, д.4","214014, Смоленская область, г. Смоленск, ул. Чаплина, д. 4(магазин), без ограничений",№ 2048                   Б 004745,17 августа 2011,до 17 августа 2013,,,,,,,,
39,"ООО ""РУССКАЯ ТРАПЕЗА""",6731003424,1026701424090,"214018, Смоленская область, г. Смоленск, ул. Кирова, д. 59","214018, Смоленская область, г. Смоленск, ул. Кирова, д. 59 (кафе), без ограничений",№ 651                  Г 679253,21 марта 2006,по 21 марта 2011,до 22 марта 2012,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Бабушкина, д. 1(кафе), без ограничений",,,,,,,,,,,
40,"ООО ""ФАРТ""",6730063011,1066731101579,"214019, Смоленская область, г. Смоленск, ул. Шолохова, д. 6","214019, Смоленская область, г. Смоленск, ул. Шолохова, д. 6 (магазин), без ограничений",№ 1018               Б 004905,14 июня 2011,до 01 июля 2012,,,,,,,,
,,,,,"214012, Смоленская область, ул. Витебское шоссе, д. 54 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214039, Смоленская область, г. Смоленск, ул. Валентины Гризодубовой, д. 5 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Б. советская, д. 8 (кафе)",№ 1018                Б 005806,30 июня 2006,по 30 июня 2011,,исключение объекта,,,,,,
41,"ООО ""Галантерея""",6731003174,1026701430348,"214031, Смоленская область, г. Смоленск, ул. Индустриальная, д. 4","214000, Смоленская область, г. Смоленск, ул. Октябрьской революции, д. 32 (магазин), без ограничений",№ 1940              Б 005331,24 января 2011,по 10 декабря 2015,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Индустриальная, д. 4 (магазин №3), без ограничений",,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Индустриальная, д.4 (магазин №8), без ограничений",,,,,,,,,,,
42,"ООО ""Баланс""",6731071706,1086731015073,"214016, Смоленская область, г. Смоленск, ул. Шейна, д. 20","214016, Смоленская область, г. Смоленск, ул. Шейна, д. 20 (магазин), без ограничений",№ 1820               Б 005312,28 декабря 2010,по 21 января 2014,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Коммунистическая, д. 6 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Нахимова, д. 23 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, пр-т Строителей, д. 10/13 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Попова, д. 128 (отдел в магазине), без ограничений",,,,,,,,,,,
,,,,,"214006, Смоленская область, г. Смоленск, Островского, д. 6 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Рыленкова, д. 33 (магазин), без ограничений",,,,,,,,,,,
43,"ООО ""ТРОЙКА""",6731055253,1066731101832,"214013, Смоленская область, г. Смоленск, ул. Кирова, д. 24","214013, Смоленская область, г. Смоленск, ул. Кирова, д. 24 (магазин), без ограничений",№ 843                Б 005309,28 декабря 2010,по 19 июня 2011,до 20 июня 2016,,,,,,,
,,,,,"214000, Смоленская область, ул. Дзержинского, д. 9 (магазин), без ограничений",,,,,,,,,,,
44,"ООО ""Кухарев""",6730084808,1096731014984,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 1/35","214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 1/35 (магазин)",№ 1905                  Б 005207,05 марта 2010,по 05 марта 2011,,,,,,,,
45,"ООО ""КоКа""",6731078412,1096731015138,"214014, Смоленская область, г. Смоленск, ул. Нахимсона, д. 16, кв. 15","214006, Смоленская область, г. Смоленск, ул. Кирова, д. 53/11 (магазин_, без ограничений",№ 1891                  Б 005266,23 ноября 2010,по 23 декабря 2014,,,,,,,,
,,,,,"214009, смоленская область, г. Смоленск, микрорайон Южный, 35 (магазин), без ограничений",,,,,,,,,,,
46,"ООО ""Дубрава-2""",6729002600,1026701430062,"214022, Смоленская область, г. Смоленск, пос. Красный Бор","214022, Смоленская область, г. Смоленск, пос. Красный Бор (кафе ""Дубрава""), без ограничений",№ 851                 Б 005459,29 апреля 2011,по 19 июня 2011,,,,,,,,
,,,,,"214022, Смоленская область, г. Смоленск, пос. Красный Бор (мини-маркет ""Дубрава""), без ограничений",,,,,,,,,,,
,,,,,"214022, Смоленская область, г. Смоленск, пос. Красный Бор (магазин), без ограничений",,,,,,,,,,,
,,,,,"214000,Смоленская область, г. Смоленск, ул. Ленина, д. 28 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214022, Смоленская область, г. Смоленск, пос. Серебрянка (магазин), без ограничений",,,,,,,,,,,
,,,,,"214022, Смоленская область, г. Смоленск, пос. Серебрянка (закусочная), без ограничений",,,,,,,,,,,
47,"ООО ""БАСТ Ритейл""",6730081807,1096731004567,"214020, Смоленская область, г. Смоленск, ул. Ломоносова, д. 13","214031, Смоленская область, г. Смоленск, пр-т Строителей, д. 4, корп. 2 (магазин)",№ 1863               Б 005164,29 октября 2009,по 16 сентября 2014,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Багратиона, д. 7 (магазин)",,,,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 74 (магазин)",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Ломоносова, д. 23 (магазин)",,,,,,,,,,,
,,,,,"214039, Смоленская область, г. Смоленск, ул. Гризодубовой, д. 1 (магазин)",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Советская, д. 12 (магазин)",,,,,,,,,,,
,,,,,"216509, Смоленская область, г. Рославль, 34 микрорайон, д. 3(магазин)",,,,,,,,,,,
,,,,,"215800, Смоленская область,  г. Ярцево, пр-т Металлургов, д. 6-а (магазин)",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Ленина, д. 6/1 (магазин)",,,,,,,,,,,
,,,,,"214019, смоленская область, г. Смоленск, ул. Крупской, д. 55-а (магазин)",,,,,,,,,,,
,,,,,"214013, смоленская область, г. Смоленск, ул. Матросова, д. 9 (магазин)",,,,,,,,,,,
,,,,,"214020, смоленская область, г. Смоленск, ул. Рыленкова, д. 61-А (магазин)",,,,,,,,,,,
,,,,,"214012, Смоленская область, г. Смоленск, ул. Кашена, д. 1-а (магазин)",,,,,,,,,,,
48," ООО ""РИО""",6729035154,1066731105319,"214012, Смоленская область, г. Смоленск, ул. 12 лет Октября, д. 9 ""Б"", кв. 68","214012, Смоленская область, г. Смоленск, ул. Фрунзе, д. 22 (павильон), без ограничений",№1119               Б 005352,08 февраля 2011,по 13 июля 2011,до 14 июля 2016,,,,,,,
,,,,,"214012, Смоленская область, г. Смоленск, ул. Госпитальная, д. 4 ""А"" (магазин), без ограничений",,,,,,,,,,,
49,"ООО ""Минима""",6731062740,1076731011092,"214019, Смоленская область,  г. Смоленск, ул. М. Октябрьской, д. 20, кв. 27","214018, Смоленская область, г. Смоленск, ул. Ново-Киевская, д. 9 (магазин)",№ 1567                  Г 679571,27 декабря 2007,по 28 сентября 2012,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Нахимова, микрорынок ""Славянский базар"" (магазин",,,,,,,,,,,
50,"ООО ""Нина""",6731064280,1076731015217,"214000, Смоленская область, г. Смоленск, бульвар Гагарина, д. 9, кв. 25","214031, Смоленская область, г. Смоленск, ул. Рыленкова, д. 7 (магазин)",№ 1586               Г 679600,16 сентября 2008,по 13 ноября 2012,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, ул. Кирова, д. 6 (магазин)",,,,,,,,,,,
51,"ООО ""Интерком""",6730056769,1056758342310,"214013, Смоленская область, г. Смоленск, Колхозный переулок, д. 15-В, кв. 58","214000, Смоленская область, г. Смоленск, ул. Ленина, д. 14 (кафе), без ограничений",№ 1931                  Б 005264                      (Г 301843),15 ноября 2010,по 15 ноября 2011,до 16 ноября 2012,,,,,,,
52,"ООО ""Фортуна-2000""",6729018303,1026701429985,"214031, Смоленская область, г. Смоленск, ул. Индустриальная, д. 4","215500,Смоленская область, г. Сафоново, ул. Строителей, д. 28-а (магазин), без ограничений",№ 1500               Б 004918,17 июня 2011,по 22 июня 2012,,,,,,,,
,,,,,"215700, Смоленская область, г. Сафоново, 2 микрорайон, д. 7 (магазин),без ограничений",,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. Парковая, д. 2 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль,  ул. Карла Маркса, д. 81-Б (магазин), без ограничений",,,,,,,,,,,
,,,,,"214019, смоленская область, г. Смоленск, ул. 25 Сентября, д. 30-Б (отдел в магазине), без ограничений",,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, пр-т Металлургов, д. 6-а (магазин), без ограничений",№1500               Б 005236,14 октября 2010,по 22 июня 2012,,исключение объекта,,,,,,
53,"ООО ""Флагман""",6731055366,1066731103185,"214000, Смоленская область. Г. Смоленск, ул. Тенишевой, д. 6, кв. 3","214032, Смоленская область, ул. Генерала Городянского, между домами 1-3 (торговый павильон), без ограничений",№ 1179                               Б 004790                 (Г 301930),19 июля 2006,по 19 июля 2011,до 20 июля 2016,,,,,,,
,,,,,"214015, Смоленская область, г. Смоленск, ул. Мало-Краснофлотская, д. 29 (магазитн), без ограничений",,,,,,,,,,,
54,"ООО ""Зет""",6730060998,1066731012842,"214018, Смоленская область, г. Смоленск, пр-т Гагарина, д. 10/2","214000, Смоленская область, г. Смоленск, рпр-т Гагарина, д. 10/2 (бар), до 15%",№ 1088                Б 004772,11 июля 2011,до 11 июля 2012,,,,,,,,
55,"ООО ""ГАИ""",6729035010,1066731104505,"214034, Смоленская область, г. Смоленск, ул. Минская, 3, 55","Смоленская область, г. Смоленск, Красный бор, ул. Вокзальная (магазин с закусочной)",№ 1111             № 005886,10 июля 2006,по 11 июля 2015,,,,,,,,
,,,,,"214022, Смоленская область, г. Смоленск, ул. Карбышева, д. 9 (магазин)",,,,,,,,,,,
56,"ООО ""Стрела""",6731052460,1056758455270,"214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 67, кв. 52","214031, Смоленская область, г. Смоленск, проспект Строителей, д. 1/42 (закусочная), без ограничений",№ 1099               Б 004773,18 июля 2011,до 11 июля 2016,,,,,,,,
,,,,,"214006, Смоленская область, г. Смоленск, ул. Г. Лукина (закусочная), без ограничений",,,,,,,,,,,
