На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Мехман""",2501013318,"Приморский край, г Арсеньев, ул Жуковского д.54","Приморский край, г Арсеньев, ул Жуковского д.54","Закусочная ""У Мехмана""",ПК0060558/3971,08.08.2012,08.08.2015
"ООО ""Мечта""",2501012113,"Приморский край, г Арсеньев, ул Октябрьская д.57","Приморский край, г Арсеньев, пер Ирьянова д.14/2","Магазин ""Белочка""",ПК0059121/2534,14.07.2011,13.07.2016
"ООО ""Мечта""",2501012113,"Приморский край, г Арсеньев, ул Октябрьская д.57","Приморский край, г Арсеньев, ул Октябрьская д.30","Магазин ""Колосок""",ПК0059121/2534,14.07.2011,13.07.2016
"ООО ""Мечта""",2501012113,"Приморский край, г Арсеньев, ул Октябрьская д.57","Приморский край, г Арсеньев, ул Октябрьская д.57","Магазин ""Мечта""",ПК0059121/2534,14.07.2011,13.07.2016
"ООО ""Мечта""",2501012113,"Приморский край, г Арсеньев, ул Октябрьская д.57","Приморский край, г Арсеньев, ул Вокзальная д.6а","Магазин ""Мечта+""",ПК0059121/2534,14.07.2011,13.07.2016
"ООО ""Мечта""",2501012113,"Приморский край, г Арсеньев, ул Октябрьская д.57","Приморский край, г Арсеньев, ул Ломоносова д.9","Магазин ""Пятерочка""",ПК0059121/2534,14.07.2011,13.07.2016
"ООО ""Мечта""",2501012113,"Приморский край, г Арсеньев, ул Октябрьская д.57","Приморский край, г Арсеньев, ул Октябрьская д.57","закусочная ""Мечта""",ПК0059121/2534,14.07.2011,13.07.2016
"ООО ""Памир""",2501012040,"Приморский край, г Арсеньев, ул Ломоносова д.6","Приморский край, г Арсеньев, ул Октябрьская д.15/1",Магазин ,ПК0059987/3400,05.04.2012,06.04.2014
"ООО ""Пегас""",2501012554,"Приморский край, г Арсеньев, ул Ломоносова д.72","Приморский край, г Арсеньев, ул Ломоносова д.72",Магазин,ПК0060732/4145,01.10.2012,01.10.2013
"ООО ""ПоСиДеЛоЧки""",2540175898,"Приморский край, г Владивосток, ул Станюковича д.48/9-60","Приморский край, г Арсеньев, ул Островского д.5",кафе,ПК0059746/3158,29.12.2011,30.12.2012
"ООО ""Рассвет""",2501012240,"Приморский край, г Арсеньев, ул Калининская д.2","Приморский край, г Арсеньев, ул Калининская д.2","Отдел в магазине ""Рассвет"" ",ПК0059556/2969,24.11.2011,17.12.2016
"ООО ""Регион-Маркет""",2537088878,"Приморский край, г Владивосток, ул Сахалинская д.48","Приморский край, г Арсеньев, ул Калининская д.2, лит А",магазин,ПК0060668/4081,03.09.2012,19.01.2017
"ООО ""Роза ветров""",2501013011,"Приморский край, г Арсеньев, ул Пушкинская д.36/2","Приморский край, г Арсеньев, ул Пушкинская д.36/2",закусочная,ПК0056098,05.05.2008,05.05.2013
"ООО ""Спутник""",2501015548,"Приморский край, г Арсеньев, ул Совхозная д.75","Приморский край, г Арсеньев, ул Совхозная д.75","Магазин ""Пчелка""",ПК0059277/2690,02.08.2011,03.08.2014
"ООО ""Темп""",2501015812,"Приморский край, г Арсеньев, ул Октябрьская д.55","Приморский край, г Арсеньев, ул Октябрьская д.55",Магазин,ПК0060410/3823,12.07.2012,12.07.2013
"ООО ""Топаз""",2501012755,"Приморский край, г Арсеньев, ул Базовая д.4","Приморский край, г Арсеньев, ул Базовая д.4","Отдел в магазине ""Сопка""",ПК0059775/3187,18.01.2012,19.01.2013
"ООО ""Торговый Дом ""Савва""",2511062145,"Приморский край, г Уссурийск, ул Калинина д.39","Приморский край, г Арсеньев, ул Садовая д.7",Магазин,ПК0059448/2861,06.10.2012,06.10.2015
"ООО ""Торжок Плюс""",2501014382,"Приморский край, г Арсеньев, ул Октябрьская д.45, пом. 2","Приморский край, г Арсеньев, ул Октябрьская д.45, пом. 2",Магазин,ПК0057482/895,03.12.2009,09.12.2012
"ООО ""Фауна-Т""",2501012699,"Приморский край, г Арсеньев, ул Жуковского д.19","Приморский край, г Арсеньев, ул Жуковского д.19",Магазин,ПК0059962/3375,29.03.2012,30.03.2017
"ООО ""Феникс""",2501014167,"Приморский край, г Арсеньев, ул Октябрьская д.84/1","Приморский край, г Арсеньев, ул Октябрьская д.84/1","Магазин ""Русь""",ПК0060687/4100,14.09.2012,14.09.2017
"ООО ""Флагман""",2501012219,"Приморский край, г Арсеньев, ул Суличевского д.14","Приморский край, г Арсеньев, ул Октябрьская д.43",Магазин,ПК 0059813/3225,06.02.2012,12.04.2013
"ООО ""Флагман""",2501012219,"Приморский край, г Арсеньев, ул Суличевского д.14","Приморский край, г Арсеньев, пер Островского д.4а",Магазин,ПК 0059813/3225,06.02.2012,12.04.2013
"ООО ""Флагман""",2501012219,"Приморский край, г Арсеньев, ул Суличевского д.14","Приморский край, г Арсеньев, ул Октябрьская д.18",Магазин,ПК 0059813/3225,06.02.2012,12.04.2013
"ООО ""Флагман""",2501012219,"Приморский край, г Арсеньев, ул Суличевского д.14","Приморский край, г Арсеньев, ул Октябрьская д.47","Магазин ""Флагман""",ПК 0059813/3225,06.02.2012,12.04.2013
"ООО ""Флагман""",2501012219,"Приморский край, г Арсеньев, ул Суличевского д.14","Приморский край, г Арсеньев, ул Суличевского д.14","Магазин ""Флагман-Плюс""",ПК 0059813/3225,06.02.2012,12.04.2013
"ООО ""Хинган""",2501012836,"Приморский край, г Арсеньев, ул Советская д.74","Приморский край, г Арсеньев, ул Советская д.74","Магазин ""Хинган""",ПК0060064/3477,24.04.2012,27.04.2015
"ООО ""Хинган""",2501012836,"Приморский край, г Арсеньев, ул Советская д.74","Приморский край, г Арсеньев, ул Советская д.74","кафе ""Хинган""",ПК0060064/3477,24.04.2012,27.04.2015
"ООО ""Хинган-Бар""",2501015971,"Приморский край, г Арсеньев, ул Советская д.74","Приморский край, г Арсеньев, ул Советская д.74","бар ""Хинган-Бар""",ПК0060221/3634,05.06.2012,06.06.2013
"ООО ""Эврика-плюс""",2511062547,"Приморский край, г Уссурийск, ул Строительная д.5в-76","Приморский край, г Арсеньев, Жуковского проезд д.39/2","Магазин ""Эврика""",ПК0057854/1267,04.05.2010,30.11.2013
"ООО ""ЭльФан""",2501012794,"Приморский край, г Арсеньев, ул Октябрьская д.47-12","Приморский край, г Арсеньев, ул Ломоносова д.10","Магазин ""Апельсин""",ПК0059669/3082,20.12.2011,27.12.2014
"ООО ""ЭльФан""",2501012794,"Приморский край, г Арсеньев, ул Октябрьская д.47-12","Приморский край, г Арсеньев, ул Октябрьская д.47, пом. 12","Магазин ""Ассорти""",ПК0059669/3082,20.12.2011,27.12.2014
"ООО ""ЮОС""",2501011906,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул Жуковского д.12/2",Магазин,ПК0058300/1713,16.12.2010,08.02.2014
"ООО ""ЮОС""",2501011906,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул Октябрьская д.12",Магазин,ПК0058300/1713,16.12.2010,08.02.2014
"ООО ""ЮОС""",2501011906,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул Новикова д.30/1",Магазин,ПК0058300/1713,16.12.2010,08.02.2014
"ООО ""ЮОС""",2501011906,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул Ломоносова д.70",Магазин,ПК0058300/1713,16.12.2010,08.02.2014
"ООО ""ЮОС""",2501011906,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул 25 лет Арсеньеву д.3",Магазин,ПК0058300/1713,16.12.2010,08.02.2014
"ООО ""Ямато""",2501015403,"Приморский край, г Арсеньев, ул Жуковского д.35/2","Приморский край, г Арсеньев, ул Жуковского д.35/2, 35/1","кафе-бар ""Ямато""",ПК0060380/3793,23.07.2012,23.07.2013
"ООО"" Копеечка""",2501016100,"Приморский край, г Арсеньев, ул Октябрьская д.26, пом.1","Приморский край, г Арсеньев, ул Октябрьская д.26, пом.1",магазин,ПК 0060660/4073,31.08.2012,31.08.2014
