На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Золотой Дракон""",2505010477,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.60а","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.60а","кафе ""Золотой Дракон""",ПК0060672/4085,13.09.2012,13.09.2013
"ООО ""Зорин и К""",2505010484,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.251а",Магазин,ПК0059115/2528,08.07.2011,08.07.2016
"ООО ""Зорин и К""",2505010484,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Приморский край, г Дальнегорск, ул Менделеева д.10",Магазин,ПК0059115/2528,08.07.2011,08.07.2016
"ООО ""Зорин и К""",2505010484,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139",Магазин,ПК0059115/2528,08.07.2011,08.07.2016
"ООО ""Кустов и К""",2505007562,"Приморский край, г Дальнегорск, ул Набережная д.11-45","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.23/1",Магазин,ПК0058202/1615,03.11.2010,09.11.2015
"ООО ""Лотос""",2505001289,"Приморский край, г Дальнегорск, ул Дорожная д.14","Приморский край, г Дальнегорск, ул Дорожная д.14",Магазин,ПК0055833,29.09.2008,29.09.2013
"ООО ""Невшупа""",2505012587,"Приморский край, г Дальнегорск, ул Инженерная д.40","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.34",Магазин,ПК0059525/2938,16.11.2011,22.11.2013
"ООО ""Невшупа""",2505012587,"Приморский край, г Дальнегорск, ул Инженерная д.40","Приморский край, г Дальнегорск, ул Пионерская д.1",Магазин,ПК0059525/2938,16.11.2011,22.11.2013
"ООО ""Николай""",2505010420,"Приморский край, г Дальнегорск, ул Индустриальная д.8","Приморский край, г Дальнегорск, ул Индустриальная д.8",Отдел в магазине,ПК0058313/1726,21.12.2010,28.12.2015
"ООО ""Николай""",2505010420,"Приморский край, г Дальнегорск, ул Индустриальная д.8","Приморский край, г Дальнегорск, ул 8 Марта д.10",Отдел в магазине,ПК0058313/1726,21.12.2010,28.12.2015
"ООО ""Пари""",2505011223,"Приморский край, г Дальнегорск, с Краснореченский, ул Строительная д.22","Приморский край, г Дальнегорск, с Краснореченский, ул Октябрьская д.22",Магазин,ПК0060666/4079,04.09.2012,02.11.2012
"ООО ""Парус""",2505012869,"Приморский край, г Дальнегорск, с Сержантово, ул Ленинская д.8","Приморский край, г Дальнегорск, с Сержантово, ул Линейная д.8",Магазин,ПК0058594/2007,23.03.2011,30.03.2016
"ООО ""Парус""",2505012869,"Приморский край, г Дальнегорск, с Сержантово, ул Ленинская д.8","Приморский край, г Дальнегорск, с Сержантово, ул Линейная д.21","Магазин ""Парус""",ПК0058594/2007,23.03.2011,30.03.2016
"ООО ""Перекресток""",2505013213,"Приморский край, г Дальнегорск, ул Пионерская д.64-31","Приморский край, г Дальнегорск, с Каменка, ул Партизанская д.6",Отдел в магазине,ПК0060371/3784,18.07.2012,18.07.2015
"ООО ""Планета""",2505013076,"Приморский край, г Дальнегорск, ул Матросова д.30-28","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.44А",отдел в магазине,ПК0060552/3965,02.08.2012,02.08.2017
"ООО ""Плутос""",2505005460,"Приморский край, г Дальнегорск, ул Пушкинская д.43а, 3","Приморский край, г Дальнегорск, ул Осипенко д.13","Магазин ""Плутос""",ПК0060342/3755,03.07.2012,03.07.2013
"ООО ""ПримАгроСнаб""",2538128763,"Приморский край, г Дальнегорск, ул Набережная д.6-30","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.22",Магазин,ПК0059549/2962,24.11.2011,30.11.2012
"ООО ""Приморье""",2505010205,"Приморский край, Дальнегорский р-н, с Краснореченский, ул Первомайская д.48","Приморский край, г Дальнегорск, с Краснореченский, ул Первомайская д.48",Магазин ,ПК0059381/2794,24.09.2012,24.09.2013
"ООО ""Приморье""",2505010205,"Приморский край, Дальнегорский р-н, с Краснореченский, ул Первомайская д.48","Приморский край, г Дальнегорск, с Краснореченский, ул Первомайская д.19а",Магазин ,ПК0059381/2794,24.09.2012,24.09.2013
"ООО ""Русарт""",2505007139,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.6","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.6",Магазин,ПК0059793/3205,25.01.2012,27.02.2014
"ООО ""Сергей""",2505010780,"Приморский край, г Дальнегорск, ул Строительная д.18","Приморский край, г Дальнегорск, ул Строительная д.18",Отдел в магазине,ПК0060065/3478,03.05.2012,04.05.2013
"ООО ""Смит""",2505012185,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.115","Приморский край, г Дальнегорск, ул Пионерская д.3",Магазин,ПК0059423/2836,12.10.2011,15.10.2012
"ООО ""Смит""",2505012185,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.115","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.115",Магазин,ПК0059423/2836,12.10.2011,15.10.2012
"ООО ""Талан""",2505010318,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Приморский край, г Дальнегорск, ул Олега Кошевого д.3",Магазин,ПК0058971/2384,29.06.2011,19.07.2016
"ООО ""Талан""",2505010318,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.50","Магазин ""Маяк""",ПК0058971/2384,29.06.2011,19.07.2016
"ООО ""Талан""",2505010318,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.139","Магазин ""Пеликан""",ПК0058971/2384,29.06.2011,19.07.2016
"ООО ""Темп""",2505010290,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.273","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.273","Магазин ""Темп""",ПК0060538/3951,09.08.2012,09.08.2013
"ООО ""Торговый Дом ""Селена""",2505010300,"Приморский край, г Дальнегорск, ул Матросова д.12","Приморский край, г Дальнегорск, ул Матросова д.12","Магазин ""Азалия 1""",ПК0059387/2800,27.09.2011,28.09.2013
"ООО ""Торговый Дом ""Селена""",2505010300,"Приморский край, г Дальнегорск, ул Матросова д.12","Приморский край, г Дальнегорск, ул Осипенко д.9","Магазин ""Азалия 2""",ПК0059387/2800,27.09.2011,28.09.2013
"ООО ""Торговый Дом ""Селена""",2505010300,"Приморский край, г Дальнегорск, ул Матросова д.12","Приморский край, г Дальнегорск, ул Химиков д.9","Магазин ""Азалия 4""",ПК0059387/2800,27.09.2011,28.09.2013
"ООО ""Транзит+""",2505010519,"Приморский край, г Дальнегорск, ул Восточная д.39","Приморский край, г Дальнегорск, с Сержантово, ул Линейная д.2а","Магазин ""Транзит-1""",ПК0059076/2489,24.06.2011,01.07.2013
"ООО ""Транзит+""",2505010519,"Приморский край, г Дальнегорск, ул Восточная д.39","Приморский край, г Дальнегорск, с Сержантово, ул Ленинская д.3","Магазин ""Транзит-2""",ПК0059076/2489,24.06.2011,01.07.2013
"ООО ""Транзит+""",2505010519,"Приморский край, г Дальнегорск, ул Восточная д.39","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.57","Магазин ""Транзит-3""",ПК0059076/2489,24.06.2011,01.07.2013
"ООО ""Транзит+""",2505010519,"Приморский край, г Дальнегорск, ул Восточная д.39","Приморский край, г Дальнегорск, ул Геологическая д.1а","Магазин ""Транзит-4""",ПК0059076/2489,24.06.2011,01.07.2013
"ООО ""Управляющая компания ""Елена""",2505011424,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.84","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.84","Магазин ""Сапфир""",ПК0056135,28.04.2008,08.03.2013
"ООО ""Успех""",2505006174,"Приморский край, г Дальнегорск, ул Горького д.39","Приморский край, г Дальнегорск, ул Горького д.39","магазин ""Елена""",ПК0060606/4019,15.08.2012,15.08.2013
"ООО ""Шанс""",2505010438,"Приморский край, г Дальнегорск, ул Приморская д.19а","Приморский край, г Дальнегорск, ул Приморская д.19а","Магазин ""Шанс""",ПК0060548/3961,08.08.2012,08.08.2013
"ООО ТД ""Виола""",2505011294,"Приморский край, г Дальнегорск, ул Геологическая д.2а","Приморский край, г Дальнегорск, ул Геологическая д.2а",Магазин,ПК0045828,28.02.2008,06.12.2012
"ООО Торговый Дом ""Дальхлеб""",2505008735,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.165","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.92",Отдел в магазине,ПК0058189/1602,27.10.2010,18.06.2013
"ООО Торговый Дом ""Дальхлеб""",2505008735,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.165","Приморский край, г Дальнегорск, Проспект 50 лет Октября д.165",Отдел в магазине,ПК0058189/1602,27.10.2010,18.06.2013
"ООО Торговый Дом ""Дальхлеб""",2505008735,"Приморский край, г Дальнегорск, Проспект 50 лет Октября д.165","Приморский край, г Дальнегорск, ул Приморская д.29",Отдел в магазине,ПК0058189/1602,27.10.2010,18.06.2013
"ООО "" Астра""",2505008076,"Приморский край, Дальнегорский р-н, с Краснореченский, ул Октябрьская д.11","Приморский край, Дальнегорский р-н, с Краснореченский, ул Октябрьская д.11",магазин,ПК0060667/4080,04.09.2012,04.09.2015
"ОАО ""Пекарь и К""",2506000070,"Приморский край, г Дальнереченск, ул Чернышевского д.2","Приморский край, г Дальнереченск, ул Чернышевского д.2",Магазин №1,ПК0060110/3523,15.05.2012,15.12.2013
"ОАО ""Пекарь и К""",2506000070,"Приморский край, г Дальнереченск, ул Чернышевского д.2","Приморский край, г Дальнереченск, ул Красная д.2а",Магазин №2,ПК0060110/3523,15.05.2012,15.12.2013
"ОАО ""Пекарь и К""",2506000070,"Приморский край, г Дальнереченск, ул Чернышевского д.2","Приморский край, г Дальнереченск, ул Шевчука д.18",Магазин №5,ПК0060110/3523,15.05.2012,15.12.2013
"ОАО ""Пекарь и К""",2506000070,"Приморский край, г Дальнереченск, ул Чернышевского д.2","Приморский край, г Дальнереченск, с Лазо, ул Советская д.54",Магазин №54,ПК0060110/3523,15.05.2012,15.12.2013
"ООО ""25 регион""",2506010568,"Приморский край, г Дальнереченск, ул Калинина д.91","Приморский край, г Дальнереченск, ул Калинина д.91",закусочная,ПК0045684,29.12.2007,30.11.2012
"ООО ""Анжелика-М""",2506009308,"Приморский край, г Дальнереченск, ул Плеханова д.41а","Приморский край, г Дальнереченск, ул Плеханова д.41а",Магазин,ПК0058849/2261,31.05.2011,01.06.2013
"ООО ""Арарат""",2506009178,"Приморский край, г Дальнереченск, ул Ленина д.20","Приморский край, г Дальнереченск, ул Ленина д.20",Магазин,ПК0059734/3147,29.12.2011,30.12.2013
"ООО ""Арарат""",2506009178,"Приморский край, г Дальнереченск, ул Ленина д.20","Приморский край, г Дальнереченск, ул Шевчука д.12, (Лит.А)","кафе ""Арарат""",ПК0059734/3147,29.12.2011,30.12.2013
"ООО ""Аркаим""",2506010102,"Приморский край, г Дальнереченск, ул Железнодорожная д.47в","Приморский край, г Дальнереченск, ул Железнодорожная д.47в","Магазин ""Аркаим""",ПК0045548,19.12.2007,16.10.2012
"ООО ""Бизон""",2506009298,"Приморский край, г Дальнереченск, ул Ленина д.75","Приморский край, г Дальнереченск, ул Героев Даманского д.8а",Магазин,ПК0058632,01.04.2011,31.05.2014
"ООО ""Бизон""",2506009298,"Приморский край, г Дальнереченск, ул Ленина д.75","Приморский край, г Дальнереченск, ул Михаила Личенко д.13а",Отдел в магазине,ПК0058632,01.04.2011,31.05.2014
"ООО ""Бизон""",2506009298,"Приморский край, г Дальнереченск, ул Ленина д.75","Приморский край, г Дальнереченск, ул Дальнереченская д.59а",Отдел в магазине,ПК0058632,01.04.2011,31.05.2014
"ООО ""Бизон""",2506009298,"Приморский край, г Дальнереченск, ул Ленина д.75","Приморский край, г Дальнереченск, ул Советская д.21",Отдел в магазине,ПК0058632,01.04.2011,31.05.2014
"ООО ""Бизон""",2506009298,"Приморский край, г Дальнереченск, ул Ленина д.75","Приморский край, г Дальнереченск, ул Тухачевского д.63",Отдел в магазине,ПК0058632,01.04.2011,31.05.2014
"ООО ""Благо""",2506000489,"Приморский край, г Дальнереченск, ул Героев Даманского д.34","Приморский край, г Дальнереченск, ул Героев Даманского д.34",Магазин,ПК0059784/3196,18.01.2012,23.01.2013
"ООО ""Виктория""",2506009435,"Приморский край, г Дальнереченск, ул Краснофлотская д.9","Приморский край, г Дальнереченск, ул Полтавская д.108",магазин,ПК0060522/3935,06.08.2012,06.08.2013
"ООО ""Вишневый Сад""",2506011240,"Приморский край, г Дальнереченск, ул Промышленная д.3","Приморский край, г Дальнереченск, ул Рябуха д.14",Отдел в магазине,ПК0056825/238,22.04.2009,24.04.2014
"ООО ""Вишневый Сад""",2506011240,"Приморский край, г Дальнереченск, ул Промышленная д.3","Приморский край, г Дальнереченск, ул Промышленная д.3а","бар в клубе ""Чемпион""",ПК0056825/238,22.04.2009,24.04.2014
"ООО ""Вишневый Сад""",2506011240,"Приморский край, г Дальнереченск, ул Промышленная д.3","Приморский край, г Дальнереченск, ул Промышленная д.3","кафе ""Паритет""",ПК0056825/238,22.04.2009,24.04.2014
"ООО ""Водолей""",2506009322,"Приморский край, г Дальнереченск, ул Ленина д.76","Приморский край, г Дальнереченск, ул Михаила Личенко д.13б","Магазин ""Аист""",ПК0059105/2518,11.07.2011,04.08.2014
"ООО ""Водолей""",2506009322,"Приморский край, г Дальнереченск, ул Ленина д.76","Приморский край, г Дальнереченск, ул Ленина д.76","ресторан ""Центральный""",ПК0059105/2518,11.07.2011,04.08.2014
"ООО ""Волик""",2506010938,"Приморский край, г Дальнереченск, ул Олега Кошевого д.48","Приморский край, г Дальнереченск, ул Олега Кошевого д.48",Магазин,ПК0057629/1042,19.01.2010,27.01.2013
"ООО ""ДВПК""",2506008417,"Приморский край, г Дальнереченск, ул Красногвардейская д.123б","Приморский край, г Дальнереченск, ул Свободы д.41, по 11.03.2012 г",Магазин,ПК0055777,25.08.2008,15.10.2013
"ООО ""ДВПК""",2506008417,"Приморский край, г Дальнереченск, ул Красногвардейская д.123б","Приморский край, г Дальнереченск, ул Уссурийская д.50, по 15.10.2013 г.",Магазин,ПК0055777,25.08.2008,15.10.2013
"ООО ""ДВПК""",2506008417,"Приморский край, г Дальнереченск, ул Красногвардейская д.123б","Приморский край, г Дальнереченск, ул Ленина д.77, по 15.10.2013 г",Магазин,ПК0055777,25.08.2008,15.10.2013
"ООО ""ДВПК""",2506008417,"Приморский край, г Дальнереченск, ул Красногвардейская д.123б","Приморский край, г Дальнереченск, ул Победы д.5, по 15.10.2013 г.",Магазин,ПК0055777,25.08.2008,15.10.2013
"ООО ""ДВПК""",2506008417,"Приморский край, г Дальнереченск, ул Красногвардейская д.123б","Приморский край, г Дальнереченск, перекресток госстрассы Хабаровск-Владивосток       по 15.10.2013 г.",Отдел в магазине,ПК0055777,25.08.2008,15.10.2013
"ООО ""Диал""",2506009107,"Приморский край, г Дальнереченск, ул Героев Даманского д.36","Приморский край, г Дальнереченск, ул Героев Даманского д.36",Отдел в магазине,ПК0060201/3614,29.05.2012,30.05.2013
"ООО ""Диал""",2506009107,"Приморский край, г Дальнереченск, ул Героев Даманского д.36","Приморский край, г Дальнереченск, ул Первомайская д.63",Отдел в магазине,ПК0060201/3614,29.05.2012,30.05.2013
"ООО ""Золотая Чаша""",2506009636,"Приморский край, г Дальнереченск, ул Победы д.5","Приморский край, г Дальнереченск, ул Победы д.5",кафе,ПК0059718/3131,28.12.2011,29.12.2012
"ООО ""ИНТЕР""",2506007678,"Приморский край, г Дальнереченск, ул 50 лет Октября д.87","Приморский край, г Дальнереченск, ул Ленина д.77",Магазин,ПК0060189/3602,25.05.2012,04.11.2012
"ООО ""ИНТЕР""",2506007678,"Приморский край, г Дальнереченск, ул 50 лет Октября д.87","Приморский край, г Дальнереченск, ул 50 лет Октября д.85",Магазин,ПК0060189/3602,25.05.2012,04.11.2012
"ООО ""Изида""",2506009241,"Приморский край, г Дальнереченск, ул Таврическая д.35","Приморский край, г Дальнереченск, ул Таврическая д.35",магазин,ПК0060711/4124,21.09.2012,18.08.2017
"ООО ""Изида""",2506009241,"Приморский край, г Дальнереченск, ул Таврическая д.35","Приморский край, г Дальнереченск, ул 50 лет Октября д.21","магазин ""7""",ПК0060711/4124,21.09.2012,18.08.2017
"ООО ""Изида""",2506009241,"Приморский край, г Дальнереченск, ул Таврическая д.35","Приморский край, г Дальнереченск, с Лазо, ул Ярошенко д.1","магазин ""Виват""",ПК0060711/4124,21.09.2012,18.08.2017
"ООО ""КЛИМ-А""",2538016611,"Приморский край, г Владивосток, ул Толстого д.43а","Приморский край, г Дальнереченск, ул Таврическая д.64","Магазин ""Таврический""",ПК0060483/3896,23.07.2012,23.07.2013
"ООО ""Кардинал""",2506008985,"Приморский край, г Дальнереченск, ул Ленина д.76","Приморский край, г Дальнереченск, ул Ленина д.76","бар ""Кофе-Тайм""",ПК0058656/2069,11.04.2011,04.05.2016
"ООО ""Кардинал""",2506008985,"Приморский край, г Дальнереченск, ул Ленина д.76","Приморский край, г Дальнереченск, ул Ленина д.76","ресторан ""Серый Кардинал""",ПК0058656/2069,11.04.2011,04.05.2016
"ООО ""Корона""",2505004603,"Приморский край, г Дальнереченск, ул Осипенко д.7","Приморский край, г Дальнереченск, ул Осипенко д.7",Магазин,ПК 0060123/3536,14.05.2012,15.05.2013
"ООО ""Леприкон""",2517006108,"Приморский край, Красноармейский р-н, с Лимонники, пер Зеленый д.10","Приморский край, г Дальнереченск, 347 км федеральной автомобильной дороги Хабаровск-Владивосток",Магазин,ПК0058898/2310,09.06.2011,15.06.2013
"ООО ""Леприкон""",2517006108,"Приморский край, Красноармейский р-н, с Лимонники, пер Зеленый д.10","Приморский край, г Дальнереченск, 347 км федеральной автомобильной дороги Хабаровск-Владивосток",кафе,ПК0058898/2310,09.06.2011,15.06.2013
"ООО ""МЕТА""",2536181507,"Приморский край, г Владивосток, Проспект Красного Знамени д.86 А","Приморский край, г Дальнереченск, ул Дальнереченская д.54",Супермаркет,ПК0060036/3449,06.04.2012,07.04.2016
"ООО ""Меркурий ВМ""",2506009040,"Приморский край, г Дальнереченск, ул Ленина д.75","Приморский край, г Дальнереченск, ул Ленина д.75","Магазин ""Винный мир""",ПК0059211/2624,29.07.2011,09.08.2013
"ООО ""НАХОДКА""",2506008819,"Приморский край, г Дальнереченск, ул Олега Кошевого д.3/1","Приморский край, г Дальнереченск, ул Олега Кошевого д.3/1",Магазин ,ПК0060111/3524,05.05.2012,31.03.2014
"ООО ""НАХОДКА""",2506008819,"Приморский край, г Дальнереченск, ул Олега Кошевого д.3/1","Приморский край, г Дальнереченск, ул Пушкина д.19 А",Отдел в магазине,ПК0060111/3524,05.05.2012,31.03.2014
"ООО ""Никола-Водочников""",2506010984,"Приморский край, г Дальнереченск, ул Уссурийская д.50","Приморский край, г Дальнереченск, ул Уссурийская д.50",Магазин,ПК0056716/129,23.03.2009,16.04.2014
"ООО ""Новый Мир""",2506011272,"Приморский край, г Дальнереченск, ул Мира д.9","Приморский край, г Дальнереченск, ул Мира д.9","Магазин ""Новый Мир""",ПК0056916/329,15.05.2009,20.05.2014
"ООО ""Новый Мир""",2506011272,"Приморский край, г Дальнереченск, ул Мира д.9","Приморский край, г Дальнереченск, ул Трудовая д.29","Магазин ""Русалочка""",ПК0056916/329,15.05.2009,20.05.2014
"ООО ""Ностальгия""",2506009347,"Приморский край, г Дальнереченск, ул Шевчука д.2а","Приморский край, г Дальнереченск, ул Уссурийская д.50а","закусочная ""Светлана""",ПК0058796/2209,01.06.2011,04.06.2013
"ООО ""Ностальгия""",2506009347,"Приморский край, г Дальнереченск, ул Шевчука д.2а","Приморский край, г Дальнереченск, ул Шевчука д.2а","кафе ""Ностальгия""",ПК0058796/2209,01.06.2011,04.06.2013
"ООО ""Оникс""",2506009315,"Приморский край, г Дальнереченск, ул Фадеева д.60а","Приморский край, г Дальнереченск, ул 50 лет Октября д.21а","Магазин ""Визит""",ПК0059266/2679,22.07.2011,02.08.2016
"ООО ""Оникс""",2506009315,"Приморский край, г Дальнереченск, ул Фадеева д.60а","Приморский край, г Дальнереченск, ул 50 лет Октября д.21а","Отдел в магазине ""Транзит""",ПК0059266/2679,22.07.2011,02.08.2016
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Ленина д.71","Магазин ""Бальзам""",ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Октябрьская д.57а","Магазин ""Лагуна""",ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Школьная д.14а",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Тухачевского д.2а",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Пушкина д.9",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул 45 лет Октября д.50",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Ленина д.72",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Плутос""",2506012371,"Приморский край, г Дальнереченск, ул Рябуха д.7а","Приморский край, г Дальнереченск, ул Октябрьская д.64","Магазин ""Континент""",ПК0059543/2956,22.11.2011,26.10.2012
"ООО ""Полюс""",2506003850,"Приморский край, г Дальнереченск, ул Тухачевского д.50","Приморский край, г Дальнереченск, ул Тухачевского д.50","Магазин ""Полюс""",ПК0060390/3803,13.07.2012,13.07.2014
"ООО ""Посад""",2506010293,"Приморский край, г Дальнереченск, ул Уссурийская д.74","Приморский край, г Дальнереченск, ул Рябуха д.9",Магазин,ПК0060549/3962,13.08.2012,13.08.2013
"ООО ""Светлый""",2506010286,"Приморский край, г Дальнереченск, с Лазо, ул Советская д.11а","Приморский край, г Дальнереченск, с Лазо, ул Советская д.11а",Магазин,ПК0057651/1064,27.01.2010,29.01.2015
"ООО ""Стимул""",2506009386,"Приморский край, г Дальнереченск, ул Победы д.14a","Приморский край, г Дальнереченск, ул Победы д.14а","Магазин ""Стимул""",ПК0059259/2672,25.07.2011,01.08.2016
"ООО ""Сфера ДВ""",2506010656,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Ленина д.88","Магазин ""Народный""",ПК0058581/1994,17.03.2011,26.08.2013
"ООО ""Сфера ДВ""",2506010656,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, г Дальнереченск, ул Фадеева д.46",Отдел в магазине,ПК0058581/1994,17.03.2011,26.08.2013
"ООО ""Тайга""",2506011000,"Приморский край, Пожарский р-н, п.г.т.Лучегорск, 2-й мкр д.9-1","Приморский край, г Дальнереченск, с Лазо, ул Калинина д.55",Магазин,ПК0059915/3328,11.03.2012,12.03.2014
"ООО ""Тайга""",2506011000,"Приморский край, Пожарский р-н, п.г.т.Лучегорск, 2-й мкр д.9-1","Приморский край, г Дальнереченск, ул Украинская д.26а",Магазин ,ПК0059915/3328,11.03.2012,12.03.2014
"ООО ""Такт""",2506009259,"Приморский край, г Дальнереченск, ул Михаила Личенко д.28","Приморский край, г Дальнереченск, ул Михаила Личенко д.28а",Отдел в магазине,ПК0058631/2044,01.04.2011,01.06.2014
"ООО ""Такт""",2506009259,"Приморский край, г Дальнереченск, ул Михаила Личенко д.28","Приморский край, г Дальнереченск, ул Михаила Личенко д.28а",Отдел в магазине,ПК0060707/4120,24.09.2012,01.06.2014
"ООО ""Такт""",2506009259,"Приморский край, г Дальнереченск, ул Михаила Личенко д.28","Приморский край, г Дальнереченск, ул 50 лет Октября д.23",Отдел в магазине,ПК0058631/2044,01.04.2011,01.06.2014
"ООО ""Такт""",2506009259,"Приморский край, г Дальнереченск, ул Михаила Личенко д.28","Приморский край, г Дальнереченск, ул Михаила Личенко д.28",Отдел в магазине,ПК0058631/2044,01.04.2011,01.06.2014
"ООО ""Такт""",2506009259,"Приморский край, г Дальнереченск, ул Михаила Личенко д.28","Приморский край, г Дальнереченск, ул Михаила Личенко д.28а",отдел в магазине,ПК0060707/4120,24.09.2012,01.06.2014
"ООО ""Татьяна""",2506011258,"Приморский край, г Дальнереченск, ул Промышленная д.6-24","Приморский край, г Дальнереченск, ул 50 лет Октября д.54","Магазин ""Татьяна""",ПК0059520/2933,15.11.2011,25.11.2016
"ООО ""Трансторг""",2540122230,"Приморский край, г Владивосток, ул Алеутская д.11-901","Приморский край, г Дальнереченск, ул Полярная д.1",Магазин,ПК0060039/3452,11.04.2012,12.04.2015
"ОАО ""Пекарь и К""",2506000070,"Приморский край, г Дальнереченск, ул Чернышевского д.2","Приморский край, Дальнереченский р-н, с Рождественка, ул Пионерская д.33",Магазин №12,ПК0060110/3523,15.05.2012,15.12.2013
"ООО ""Дарья""",2506109398,"Приморский край, Дальнереченский р-н, с Любитовка, ул Партизанская д.50","Приморский край, Дальнереченский р-н, с Любитовка, ул Партизанская д.52",Магазин,ПК0057494/907,09.12.2009,26.12.2014
"ООО ""Елена""",2514004039,"Приморский край, Дальнереченский р-н, с Соловьевка, ул Юбилейная д.3","Приморский край, Дальнереченский р-н, с Малая Веденка, ул Мелехина д.72, по 31.12.2008 г.","Магазин ""Венеция""",ПК0056210,22.05.2008,06.02.2013
"ООО ""Елена""",2514004039,"Приморский край, Дальнереченский р-н, с Соловьевка, ул Юбилейная д.3","Приморский край, Дальнереченский р-н, с Стретенка, ул Лобода д.23","Магазин ""Элегия""",ПК0056210,22.05.2008,06.02.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Боголюбовка, ул Школьная д.14",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Ариадное, ул Дубова д.25",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Ракитное, ул Советская д.29",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Орехово, ул Кооперативная д.18",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Поляны, ул Центральная д.31",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
