,"Реестр действующих лицензий на розничную продажу алкогольной продукции, 
выданных на предприятия торговли и общественного питания Белгородской области по состоянию на 01.05.2012",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,№ п/п,Наименование территориально обособленного объекта,Дата добавления объекта,Муниципальное образование,Место нахождения объекта,ИНН организации,КПП объекта,Тип предприятия,Наименование организации,ОПФ,Местонахождения организации,Регистрационные номера и срок действия лицензии
3122504762/312245032,28,Отдел в магазине,,Алексеевский район,"Алексеевский район, с. Луценково",3122504762,312245032,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245040,29,Отдел в магазине,,Алексеевский район,"Алексеевский район, с. Дальнее Чесночное, ул. Мира, д. 10",3122504762,312245040,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132004,30,"Отдел в магазине ""21 век""",,Красногвардейский район,"Красногвардейский район, с. Засосона, ул. Пролетарская, д.10-а",3122504762,311132004,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132034,31,"Отдел в магазине ""31 Регион""",,Красногвардейский район,"Красногвардейский район, с. Засосна, ул. Братченко, д. 2-а",3122504762,311132034,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/310545005,32,"Отдел в магазине ""777""",,п. Вейделевка,"п. Вейделевка, ул. Парковая, д. 18",3122504762,310545005,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311145005,33,"Отдел в магазине ""7 Шагов""",,Красногвардейский район,"Красногвардейский район, с. Засосна, пер. Мира, д. 2-а",3122504762,311145005,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232002,34,"Отдел в магазине ""Аврора""",,г. Алексеевка,"г. Алексеевка, ул.Комсомольская, д. 2-а",3122504762,312232002,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/312245015,35,"Отдел в магазине ""Алия""",,г. Алексеевка,"г. Алексеевка, пос. Ольминского",3122504762,312245015,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232008,36,"Отдел в магазине ""Альянс""",,г. Алексеевка,"г. Алексеевка, ул. Степана Разина, д. 67",3122504762,312232008,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/311232006,37,"Отдел в магазине ""Березка""",,Красненский район,"Красненский район, с. Староуколово, ул. Центральная, д. 63",3122504762,311232006,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311232028,38,"Отдел в магазине ""Берёзка""",,Красненский район,"Красненский район, с. Новоуколово, ул. Центральная, д. 8",3122504762,311232028,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232007,39,"Отдел в магазине ""Бочкарев""",,г. Алексеевка,"г. Алексеевка, ул. Привокзальная, д. 12",3122504762,312232007,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311232005,40,"Отдел в магазине ""Валентина""",,Красненский район,"Красненский район, с. Ураково, ул. Советская, д. 45",3122504762,311232005,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132017,41,"Отдел в магазине ""Вариант""",,Красногвардейский район,"Красногвардейский район, с. Засосна, ул. Пролетарская, д. 84",3122504762,311132017,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311232025,42,"Отдел в магазине ""Василек""",,Красненский район,"Красненский район, с. Расховец, ул. Верхняя, д. 27",3122504762,311232025,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132009,43,"Отдел в магазине ""Весна""",,Красногвардейский район,"Красногвардейский район, с. Веселое, ул. Заречная, д. 52-а",3122504762,311132009,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311145008,44,"Отдел в магазине ""Весна""",,Красногвардейский район,"Красногвардейский район, с. Ливенка, ул. Транспортная, д. 35-а",3122504762,311145008,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232024,45,"Отдел в магазине ""Визит""",,Алексеевский район,"Алексеевский район, с. Глуховка",3122504762,312232024,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311145022,46,"Отдел в магазине ""Виктория""",,Красногвардейский район,"Красногвардейский район, с. Ливенка, ул. Пролетарская, д. 15-а",3122504762,311145022,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
