Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/11/786,16/12/2014,ООО,"""Андеграунд""","236010, Калининградская обл., г. Калининград, пр-кт Победы, д. 94",3905078746,,г. Калининград,,пр-кт Мира,д. 58-60,,,"ул. Косм. Леонова, д. 2, кафе","подвал, литер II из литера А, а, а1",,,,,,,
39/АЛК/11/607,02/09/2016,ООО,"""Аника""","236000, Калининградская обл., г. Калининград, пер. Театральный, д. 3, кв.12",3904071113,,г. Калининград,,пл. Победы,д. 4,,,,кафе,,,,,,,
39/АЛК/09/195,04/05/2014,ООО,"""АННА""","238580, Калининградская обл., пгт Янтарный, ул. Советская, д. 10",3912012658,,,пгт Янтарный,ул. Советская,д. 10,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/799,23/12/2012,ООО,"""Анрос плюс""","236004, Калининградская обл., г. Калининград, ул. Черниговская, д. 33, кв. 19",3906157503,,г. Калининград,,ул. А.Невского,д. 105-г,,,,литера А,,,,,,,
39/АЛК/10/426,29/10/2012,ЗАО,"""АОЗТ ""НОН-СТОП""","236000, г. Калининград, ул. Ген-лт.Захарова, д. 3, кв. 4",3904010456,,г. Калининград,,ул. Лейт.Яналова,д. 10,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/257,18/05/2013,ООО,"""Априори""","238530, Калининградская обл., г. Зеленоградск, ул. Гагарина, д. 24-а",3917037624,,г. Зеленоградск,,ул. Гагарина,д. 24-а,кафе,,,,,,,,,,
39/АЛК/10/14,21/01/2013,ООО,"""Арарат""","238210, Калининградская обл., г. Гвардейск, ул. Комсомольская, д. 17",3916012063,,г. Гвардейск,,ул. Комсомольская,д. 17,,,,,,,,,,,
39/АЛК/09/653,15/10/2012,ООО,"""АРДЕО""","236000, г. Калининград, ул. Чкалова, д. 14",3904085557,,г. Калининград,,ул. Косм.Леонова,д. 51-53а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/33,04/02/2013,ООО,"""АРЕН""","236000, г. Калининград, ул. Генделя, д. 10",3904056267,,г. Светлогорск,,пр. Калининградский,д. 79-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/636,28/09/2014,ООО,"""Арка""","236000, Калининградская обл., г. Калининград, ул. Красная, д. 115",3904002159,,г. Калининград,,ул. Чекистов,д. 30,,,,,,,,,,,
39/АЛК/09/762,10/12/2012,ООО,"""АРТ ВЕРФЬ""","236011, г. Калининград, б-р Шевцовой, д. 53, кв. 12",3907206520,,г. Калининград,,ул. Октябрьская,д. 4,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/260,08/08/2013,ООО,"""АРТ и К""","236023, Калининградская обл., г. Калининград, ул. Косм.Леонова, д. 74",3904003498,,г. Калининград,,ул. Проф.Баранова,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
